Nitric	nitric	B_chemical	O
oxide	oxide	I_chemical	O
synthase	synthase	I_chemical	O
expression	expression	O	O
in	in	O	O
the	the	O	O
course	course	O	O
of	of	O	O
lead-induced	lead-induced	O	O
hypertension	hypertension	O	S_disease
.	.	O	O

We	we	O	O
recently	recently	O	O
showed	showed	O	O
elevated	elevated	O	O
reactive	reactive	B_chemical	O
oxygen	oxygen	S_chemical	O
species	species	I_chemical	O
(	(	O	O
ROS	ros	O	O
)	)	O	O
,	,	O	O
reduced	reduced	O	O
urinary	urinary	O	O
excretion	excretion	O	O
of	of	O	O
NO	no	O	O
metabolites	metabolites	O	O
(	(	O	O
NOx	nox	O	O
)	)	O	O
,	,	O	O
and	and	O	O
increased	increased	O	O
NO	no	O	O
sequestration	sequestration	O	O
as	as	O	O
nitrotyrosine	nitrotyrosine	S_chemical	O
in	in	O	O
various	various	O	O
tissues	tissues	O	O
in	in	O	O
rats	rats	O	O
with	with	O	O
lead-induced	lead-induced	O	O
hypertension	hypertension	O	S_disease
.	.	O	O

This	this	O	O
study	study	O	O
was	was	O	O
designed	designed	O	O
to	to	O	O
discern	discern	O	O
whether	whether	O	O
the	the	O	O
reduction	reduction	O	O
in	in	O	O
urinary	urinary	O	O
NOx	nox	O	O
in	in	O	O
lead-induced	lead-induced	O	O
hypertension	hypertension	O	S_disease
is	is	O	O
,	,	O	O
in	in	O	O
part	part	O	O
,	,	O	O
due	due	O	O
to	to	O	O
depressed	depressed	O	S_disease
NO	no	O	O
synthase	synthase	O	O
(	(	O	O
NOS	nos	O	O
)	)	O	O
expression	expression	O	O
.	.	O	O

Male	male	O	O
Sprague-Dawley	sprague-dawley	O	O
rats	rats	O	O
were	were	O	O
randomly	randomly	O	O
assigned	assigned	O	O
to	to	O	O
a	a	O	O
lead-treated	lead-treated	O	O
group	group	O	O
(	(	O	O
given	given	O	O
lead	lead	B_chemical	O
acetate	acetate	I_chemical	O
,	,	O	O
100	100	O	O
ppm	ppm	O	O
,	,	O	O
in	in	O	O
drinking	drinking	B_chemical	O
water	water	I_chemical	O
and	and	O	O
regular	regular	O	O
rat	rat	O	O
chow	chow	O	O
)	)	O	O
,	,	O	O
a	a	O	O
group	group	O	O
given	given	O	O
lead	lead	O	O
and	and	O	O
vitamin	vitamin	O	O
E-fortified	e-fortified	O	O
chow	chow	O	O
,	,	O	O
or	or	O	O
a	a	O	O
normal	normal	O	O
control	control	O	O
group	group	O	O
given	given	O	O
either	either	O	O
regular	regular	O	O
food	food	O	O
and	and	O	O
water	water	O	O
or	or	O	O
vitamin	vitamin	O	O
E-fortified	e-fortified	O	O
food	food	O	O
for	for	O	O
12	12	O	O
weeks	weeks	O	O
.	.	O	O

Tail	tail	O	O
blood	blood	O	O
pressure	pressure	O	O
,	,	O	O
urinary	urinary	O	O
NOx	nox	O	O
excretion	excretion	O	O
,	,	O	O
plasma	plasma	B_chemical	O
malondialdehyde	malondialdehyde	S_chemical	O
(	(	O	O
MDA	mda	O	O
)	)	O	O
,	,	O	O
and	and	O	O
endothelial	endothelial	O	O
and	and	O	O
inducible	inducible	O	O
NOS	nos	O	O
(	(	O	O
eNOS	enos	S_chemical	S_disease
and	and	O	O
iNOS	inos	S_chemical	S_disease
)	)	O	O
isotypes	isotypes	O	O
in	in	O	O
the	the	O	O
aorta	aorta	O	O
and	and	O	O
kidney	kidney	O	O
were	were	O	O
measured	measured	O	O
.	.	O	O

The	the	O	O
lead-treated	lead-treated	O	O
group	group	O	O
exhibited	exhibited	O	O
a	a	O	O
rise	rise	O	O
in	in	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
plasma	plasma	O	O
MDA	mda	O	O
concentration	concentration	O	O
,	,	O	O
a	a	O	O
fall	fall	O	O
in	in	O	O
urinary	urinary	O	O
NOx	nox	O	O
excretion	excretion	O	O
,	,	O	O
and	and	O	O
a	a	O	O
paradoxical	paradoxical	O	O
rise	rise	O	O
in	in	O	O
vascular	vascular	O	O
and	and	O	O
renal	renal	O	B_disease
tissue	tissue	O	I_disease
eNOS	enos	S_chemical	S_disease
and	and	O	O
iNOS	inos	S_chemical	S_disease
expression	expression	O	O
.	.	O	O

Vitamin	vitamin	B_chemical	O
E	e	I_chemical	O
supplementation	supplementation	O	O
ameliorated	ameliorated	O	O
hypertension	hypertension	O	S_disease
,	,	O	O
lowered	lowered	O	O
plasma	plasma	O	O
MDA	mda	O	O
concentration	concentration	O	O
,	,	O	O
and	and	O	O
raised	raised	O	O
urinary	urinary	O	O
NOx	nox	O	O
excretion	excretion	O	O
while	while	O	O
significantly	significantly	O	O
lowering	lowering	O	O
vascular	vascular	O	O
,	,	O	O
but	but	O	O
not	not	O	O
renal	renal	O	O
,	,	O	O
tissue	tissue	O	O
eNOS	enos	S_chemical	S_disease
and	and	O	O
iNOS	inos	S_chemical	S_disease
expression	expression	O	O
.	.	O	O

Vitamin	vitamin	B_chemical	O
E	e	I_chemical	O
supplementation	supplementation	O	O
had	had	O	O
