Recurrent	recurrent	O	O
use	use	O	O
of	of	O	O
newer	newer	O	O
oral	oral	B_chemical	O
contraceptives	contraceptives	I_chemical	O
and	and	O	O
the	the	O	O
risk	risk	O	O
of	of	O	O
venous	venous	O	B_disease
thromboembolism	thromboembolism	O	I_disease
.	.	O	O

The	the	O	O
epidemiological	epidemiological	O	O
studies	studies	O	O
that	that	O	O
assessed	assessed	O	O
the	the	O	O
risk	risk	O	O
of	of	O	O
venous	venous	O	B_disease
thromboembolism	thromboembolism	O	I_disease
(	(	O	O
VTE	vte	S_chemical	S_disease
)	)	O	O
associated	associated	O	B_disease
with	with	O	I_disease
newer	newer	O	O
oral	oral	B_chemical	O
contraceptives	contraceptives	I_chemical	O
(	(	O	O
OC	oc	S_chemical	O
)	)	O	O
did	did	O	O
not	not	O	O
distinguish	distinguish	O	O
between	between	O	O
patterns	patterns	O	O
of	of	O	O
OC	oc	S_chemical	O
use	use	O	O
,	,	O	O
namely	namely	O	O
first-time	first-time	O	O
users	users	O	O
,	,	O	O
repeaters	repeaters	O	O
and	and	O	O
switchers	switchers	O	O
.	.	O	O

Data	data	O	O
from	from	O	O
a	a	O	O
Transnational	transnational	O	O
case-control	case-control	O	O
study	study	O	O
were	were	O	O
used	used	O	O
to	to	O	O
assess	assess	O	O
the	the	O	O
risk	risk	O	O
of	of	O	O
VTE	vte	S_chemical	S_disease
for	for	O	O
the	the	O	O
latter	latter	O	O
patterns	patterns	O	O
of	of	O	O
use	use	O	O
,	,	O	O
while	while	O	O
accounting	accounting	O	O
for	for	O	O
duration	duration	O	O
of	of	O	O
use	use	O	O
.	.	O	O

Over	over	O	O
the	the	O	O
period	period	O	O
1993	1993	O	O
-	-	O	O
1996	1996	O	O
,	,	O	O
551	551	O	O
cases	cases	O	O
of	of	O	O
VTE	vte	S_chemical	S_disease
were	were	O	O
identified	identified	O	O
in	in	O	O
Germany	germany	O	O
and	and	O	O
the	the	O	O
UK	uk	O	O
along	along	O	O
with	with	O	O
2066	2066	O	O
controls	controls	O	O
.	.	O	O

Totals	totals	O	O
of	of	O	O
128	128	O	O
cases	cases	O	O
and	and	O	O
650	650	O	O
controls	controls	O	O
were	were	O	O
analysed	analysed	O	O
for	for	O	O
repeat	repeat	O	O
use	use	O	O
and	and	O	O
135	135	O	O
cases	cases	O	O
and	and	O	O
622	622	O	O
controls	controls	O	O
for	for	O	O
switching	switching	O	O
patterns	patterns	O	O
.	.	O	O

The	the	O	O
adjusted	adjusted	O	O
rate	rate	O	O
ratio	ratio	O	O
of	of	O	O
VTE	vte	S_chemical	S_disease
for	for	O	O
repeat	repeat	O	O
users	users	O	O
of	of	O	O
third	third	O	O
generation	generation	O	O
OC	oc	S_chemical	O
was	was	O	O
0.6	0.6	O	O
(	(	O	O
95	95	O	O
%	%	O	O
CI:0.3	ci:0.3	O	O
-	-	O	O
1.2	1.2	O	O
)	)	O	O
relative	relative	O	O
to	to	O	O
repeat	repeat	O	O
users	users	O	O
of	of	O	O
second	second	O	O
generation	generation	O	O
pills	pills	O	O
,	,	O	O
whereas	whereas	O	O
it	it	O	O
was	was	O	O
1.3	1.3	O	O
(	(	O	O
95	95	O	O
%	%	O	O
CI:0.7	ci:0.7	O	O
-	-	O	O
2.4	2.4	O	O
)	)	O	O
for	for	O	O
switchers	switchers	O	O
from	from	O	O
second	second	O	O
to	to	O	O
third	third	O	O
generation	generation	O	O
pills	pills	O	O
relative	relative	O	O
to	to	O	O
switchers	switchers	O	O
from	from	O	O
third	third	O	O
to	to	O	O
second	second	O	O
generation	generation	O	O
pills	pills	O	O
.	.	O	O

We	we	O	O
conclude	conclude	O	O
that	that	O	O
second	second	O	O
and	and	O	O
third	third	O	O
generation	generation	O	O
agents	agents	O	O
are	are	O	O
associated	associated	O	B_disease
with	with	O	I_disease
equivalent	equivalent	O	O
risks	risks	O	O
of	of	O	O
VTE	vte	S_chemical	S_disease
when	when	O	O
the	the	O	O
same	same	O	O
agent	agent	O	O
is	is	O	O
used	used	O	O
repeatedly	repeatedly	O	O
after	after	O	O
interruption	interruption	O	O
periods	periods	O	O
or	or	O	O
when	when	O	O
users	users	O	O
are	are	O	O
switched	switched	O	O
between	between	O	O
the	the	O	O
two	two	O	O
generations	generations	O	O
of	of	O	O
pills	pills	O	O
.	.	O	O

These	these	O	O
analyses	analyses	O	O
suggest	suggest	O	O
that	that	O	O
the	the	O	O
higher	higher	O	O
risk	risk	O	O
observed	observed	O	O
for	for	O	O
the	the	O	O
newer	newer	O	O
OC	oc	S_chemical	O
in	in	O	O
other	other	O	O
studies	studies	O	O
may	may	O	O
be	be	O	O
the	the	O	O
result	result	O	O
of	of	O	O
inadequate	inadequate	O	O
comparisons	comparisons	O	O
of	of	O	O
pill	pill	O	O
users	users	O	O
with	with	O	O
different	different	O	O
patterns	patterns	O	O
of	of	O	O
pill	pill	O	O
use	use	O	O
.	.	O	O

