Cyclophosphamide-induced	cyclophosphamide-induced	O	O
cystitis	cystitis	O	S_disease
in	in	O	O
freely-moving	freely-moving	O	O
conscious	conscious	O	O
rats	rats	O	O
:	:	O	O
behavioral	behavioral	O	O
approach	approach	O	O
to	to	O	O
a	a	O	O
new	new	O	O
model	model	O	O
of	of	O	O
visceral	visceral	O	B_disease
pain	pain	O	S_disease
.	.	O	O

PURPOSE	purpose	O	O
:	:	O	O
To	to	O	O
develop	develop	O	O
a	a	O	O
model	model	O	O
of	of	O	O
visceral	visceral	O	B_disease
pain	pain	O	S_disease
in	in	O	O
rats	rats	O	O
using	using	O	O
a	a	O	O
behavioral	behavioral	O	O
approach	approach	O	O
.	.	O	O

Cyclophosphamide	cyclophosphamide	S_chemical	O
(	(	O	O
CP	cp	O	O
)	)	O	O
,	,	O	O
an	an	O	O
antitumoral	antitumoral	O	O
agent	agent	O	O
known	known	O	O
to	to	O	O
produce	produce	O	O
toxic	toxic	O	O
effects	effects	O	O
on	on	O	O
the	the	O	O
bladder	bladder	O	O
wall	wall	O	O
through	through	O	O
its	its	O	O
main	main	O	O
toxic	toxic	O	O
metabolite	metabolite	O	O
acrolein	acrolein	O	O
,	,	O	O
was	was	O	O
used	used	O	O
to	to	O	O
induce	induce	O	O
cystitis	cystitis	O	S_disease
.	.	O	O

MATERIALS	materials	O	O
AND	and	O	O
METHODS	methods	O	O
:	:	O	O
CP	cp	O	O
was	was	O	O
administered	administered	O	O
at	at	O	O
doses	doses	O	O
of	of	O	O
50	50	O	O
,	,	O	O
100	100	O	O
and	and	O	O
200	200	O	O
mg./kg	mg./kg	O	O
.	.	O	O

i.p	i.p	O	O
.	.	O	O
to	to	O	O
male	male	O	O
rats	rats	O	O
,	,	O	O
and	and	O	O
their	their	O	O
behavior	behavior	O	O
observed	observed	O	O
and	and	O	O
scored	scored	O	O
.	.	O	O

The	the	O	O
effects	effects	O	O
of	of	O	O
morphine	morphine	S_chemical	O
(	(	O	O
0.5	0.5	O	O
to	to	O	O
4	4	O	O
mg./kg	mg./kg	O	O
.	.	O	O

i.v	i.v	O	O
.	.	O	O
)	)	O	O
on	on	O	O
CP-induced	cp-induced	O	O
behavioral	behavioral	O	O
modifications	modifications	O	O
were	were	O	O
tested	tested	O	O
administered	administered	O	O
alone	alone	O	O
and	and	O	O
after	after	O	O
naloxone	naloxone	S_chemical	O
(	(	O	O
1	1	O	O
mg./kg	mg./kg	O	O
.	.	O	O

s.c	s.c	O	O
.	.	O	O
)	)	O	O
.	.	O	O

In	in	O	O
addition	addition	O	O
,	,	O	O
90	90	O	O
minutes	minutes	O	O
after	after	O	O
CP	cp	O	O
injection	injection	O	O
,	,	O	O
that	that	O	O
is	is	O	O
,	,	O	O
at	at	O	O
the	the	O	O
time	time	O	O
of	of	O	O
administration	administration	O	O
of	of	O	O
morphine	morphine	S_chemical	O
,	,	O	O
the	the	O	O
bladder	bladder	O	O
was	was	O	O
removed	removed	O	O
in	in	O	O
some	some	O	O
rats	rats	O	O
for	for	O	O
histological	histological	O	O
examination	examination	O	O
.	.	O	O

Finally	finally	O	O
,	,	O	O
to	to	O	O
show	show	O	O
that	that	O	O
the	the	O	O
bladder	bladder	O	O
is	is	O	O
essential	essential	O	O
for	for	O	O
the	the	O	O
CP-induced	cp-induced	O	O
behavioral	behavioral	O	O
modifications	modifications	O	O
,	,	O	O
female	female	O	O
rats	rats	O	O
also	also	O	O
received	received	O	O
CP	cp	O	O
at	at	O	O
doses	doses	O	O
of	of	O	O
200	200	O	O
mg./kg	mg./kg	O	O
.	.	O	O

i.p	i.p	O	O
.	.	O	O
and	and	O	O
of	of	O	O
20	20	O	O
mg	mg	O	O
.	.	O	O

by	by	O	O
the	the	O	O
intravesical	intravesical	O	O
route	route	O	O
,	,	O	O
and	and	O	O
acrolein	acrolein	O	O
at	at	O	O
doses	doses	O	O
of	of	O	O
0.5	0.5	O	O
mg	mg	O	O
.	.	O	O

by	by	O	O
the	the	O	O
intravesical	intravesical	O	O
route	route	O	O
and	and	O	O
of	of	O	O
5	5	O	O
mg./kg	mg./kg	O	O
.	.	O	O

i.v	i.v	O	O
.	.	O	O
RESULTS	results	O	O
:	:	O	O
CP	cp	O	O
dose-relatedly	dose-relatedly	O	O
induced	induced	O	O
marked	marked	O	O
behavioral	behavioral	O	O
modifications	modifications	O	O
in	in	O	O
male	male	O	O
rats	rats	O	O
:	:	O	O
breathing	breathing	O	O
rate	rate	O	O
decrease	decrease	O	O
,	,	O	O
closing	closing	O	O
of	of	O	O
the	the	O	O
eyes	eyes	O	O
and	and	O	O
occurrence	occurrence	O	O
of	of	O	O
specific	specific	O	O
postures	postures	O	O
.	.	O	O

Morphine	morphine	S_chemical	O
dose-dependently	dose-dependently	O	O
reversed	reversed	O	O
these	these	O	O
behavioral	behavioral	O	O
disorders	disorders	O	O
.	.	O	O

A	a	O	O
dose	dose	O	O
of	of	O	O
0.5	0.5	O	O
mg./kg	mg./kg	O	O
.	.	O	O
produced	produced	O	O
a	a	O	O
reduction	reduction	O	O
of	of	O	O
almost	almost	O	O
50	50	O	O
%	%	O	O
of	of	O	O
the	the	O	O
behavioral	behavioral	O	O
score	score	O	O
induced	induced	O	O
by	by	O	O
CP	cp	O	O
200	200	O	O
mg./kg	mg./kg	O	O
.	.	O	O

This	this	O	O
effect	effect	O	O
was	was	O	O
completely	completely	O	O
prevented	prevented	O	O
by	by	O	O
pretreatment	pretreatment	O	O
with	with	O	O
naloxone	naloxone	S_chemical	O
.	.	O	O

At	at	O	O
the	the	O	O
time	time	O	O
of	of	O	O
administration	administration	O	O
of	of	O	O
morphine	morphine	S_chemical	O
,	,	O	O
histological	histological	O	O
modifications	modifications	O	O
of	of	O	O
the	the	O	O
bladder	bladder	O	O
wall	wall	O	O
,	,	O	O
such	such	O	O
as	as	O	O
chorionic	chorionic	O	O
and	and	O	O
muscle	muscle	O	O
layer	layer	O	O
edema	edema	O	S_disease
,	,	O	O
were	were	O	O
observed	observed	O	O
.	.	O	O

In	in	O	O
female	female	O	O
rats	rats	O	O
,	,	O	O
CP	cp	O	O
200	200	O	O
mg./kg	mg./kg	O	O
.	.	O	O

i.p	i.p	O	O
.	.	O	O
produced	produced	O	O
the	the	O	O
same	same	O	O
marked	marked	O	O
behavioral	behavioral	O	O
modifications	modifications	O	O
as	as	O	O
those	those	O	O
observed	observed	O	O
in	in	O	O
male	male	O	O
rats	rats	O	O
.	.	O	O

Administered	administered	O	O
at	at	O	O
the	the	O	O
dose	dose	O	O
of	of	O	O
20	20	O	O
mg	mg	O	O
.	.	O	O

intravesically	intravesically	O	O
,	,	O	O
CP	cp	O	O
did	did	O	O
not	not	O	O
produce	produce	O	O
any	any	O	O
behavioral	behavioral	O	O
effects	effects	O	O
,	,	O	O
whereas	whereas	O	O
acrolein	acrolein	O	O
at	at	O	O
0.5	0.5	O	O
mg	mg	O	O
.	.	O	O

intravesically	intravesically	O	O
induced	induced	O	O
behavioral	behavioral	O	O
modifications	modifications	O	O
identical	identical	O	O
to	to	O	O
those	those	O	O
under	under	O	O
CP	cp	O	O
200	200	O	O
mg./kg	mg./kg	O	O
.	.	O	O

i.p	i.p	O	O
.	.	O	O
,	,	O	O
with	with	O	O
the	the	O	O
same	same	O	O
maximal	maximal	O	O
levels	levels	O	O
.	.	O	O

Conversely	conversely	O	O
,	,	O	O
acrolein	acrolein	O	O
5	5	O	O
mg./kg	mg./kg	O	O
.	.	O	O

i.v	i.v	O	O
.	.	O	O
did	did	O	O
not	not	O	O
produce	produce	O	O
any	any	O	O
behavioral	behavioral	O	O
effects	effects	O	O
at	at	O	O
all	all	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
Overall	overall	O	O
,	,	O	O
these	these	O	O
results	results	O	O
