Prednisolone-induced	prednisolone-induced	O	O
muscle	muscle	O	O
dysfunction	dysfunction	O	O
is	is	O	O
caused	caused	O	O
more	more	O	O
by	by	O	O
atrophy	atrophy	O	S_disease
than	than	O	O
by	by	O	O
altered	altered	O	O
acetylcholine	acetylcholine	S_chemical	O
receptor	receptor	O	O
expression	expression	O	O
.	.	O	O

Large	large	O	O
doses	doses	O	O
of	of	O	O
glucocorticoids	glucocorticoids	O	O
can	can	O	O
alter	alter	O	O
muscle	muscle	O	O
physiology	physiology	O	O
and	and	O	O
susceptibility	susceptibility	O	O
to	to	O	O
neuromuscular	neuromuscular	O	O
blocking	blocking	O	O
drugs	drugs	O	O
by	by	O	O
mechanisms	mechanisms	O	O
not	not	O	O
clearly	clearly	O	O
understood	understood	O	O
.	.	O	O

We	we	O	O
investigated	investigated	O	O
the	the	O	O
effects	effects	O	O
of	of	O	O
moderate	moderate	O	O
and	and	O	O
large	large	O	O
doses	doses	O	O
of	of	O	O
prednisolone	prednisolone	S_chemical	O
on	on	O	O
muscle	muscle	O	O
function	function	O	O
and	and	O	O
pharmacology	pharmacology	O	O
,	,	O	O
and	and	O	O
their	their	O	O
relationship	relationship	O	O
to	to	O	O
changes	changes	O	O
in	in	O	O
muscle	muscle	O	O
size	size	O	O
and	and	O	O
acetylcholine	acetylcholine	S_chemical	O
receptor	receptor	O	O
(	(	O	O
AChR	achr	O	O
)	)	O	O
expression	expression	O	O
.	.	O	O

With	with	O	O
institutional	institutional	O	O
approval	approval	O	O
,	,	O	O
35	35	O	O
Sprague-Dawley	sprague-dawley	O	O
rats	rats	O	O
were	were	O	O
randomly	randomly	O	O
allocated	allocated	O	O
to	to	O	O
receive	receive	O	O
daily	daily	O	O
subcutaneous	subcutaneous	O	O
doses	doses	O	O
of	of	O	O
10	10	O	O
mg/kg	mg/kg	O	O
prednisolone	prednisolone	S_chemical	O
(	(	O	O
P10	p10	O	O
group	group	O	O
)	)	O	O
,	,	O	O
100	100	O	O
mg/kg	mg/kg	O	O
prednisolone	prednisolone	S_chemical	O
(	(	O	O
P100	p100	O	O
group	group	O	O
)	)	O	O
,	,	O	O
or	or	O	O
an	an	O	O
equal	equal	O	O
volume	volume	O	O
of	of	O	O
saline	saline	O	O
(	(	O	O
S	s	O	O
group	group	O	O
)	)	O	O
for	for	O	O
7	7	O	O
days	days	O	O
.	.	O	O

A	a	O	O
fourth	fourth	O	O
group	group	O	O
of	of	O	O
rats	rats	O	O
was	was	O	O
pair	pair	O	O
fed	fed	O	O
(	(	O	O
food	food	O	O
restricted	restricted	O	O
)	)	O	O
with	with	O	O
the	the	O	O
P100	p100	O	O
rats	rats	O	O
for	for	O	O
7	7	O	O
days	days	O	O
(	(	O	O
FR	fr	O	O
group	group	O	O
)	)	O	O
.	.	O	O

On	on	O	O
Day	day	O	O
8	8	O	O
,	,	O	O
the	the	O	O
nerve-evoked	nerve-evoked	O	O
peak	peak	O	O
twitch	twitch	O	O
tensions	tensions	O	O
,	,	O	O
tetanic	tetanic	O	O
tensions	tensions	O	O
,	,	O	O
and	and	O	O
fatigability	fatigability	O	O
,	,	O	O
and	and	O	O
the	the	O	O
dose-response	dose-response	O	O
curves	curves	O	O
of	of	O	O
d-tubocurarine	d-tubocurarine	O	O
in	in	O	O
the	the	O	O
tibialis	tibialis	O	O
cranialis	cranialis	O	O
muscle	muscle	O	O
were	were	O	O
measured	measured	O	O
in	in	O	O
vivo	vivo	O	O
and	and	O	O
related	related	O	O
to	to	O	O
muscle	muscle	O	O
mass	mass	O	O
or	or	O	O
expression	expression	O	O
of	of	O	O
AChRs	achrs	O	O
.	.	O	O

Rate	rate	O	O
of	of	O	O
body	body	O	B_disease
weight	weight	O	B_disease
gain	gain	O	I_disease
was	was	O	O
depressed	depressed	O	S_disease
in	in	O	O
the	the	O	O
P100	p100	O	O
,	,	O	O
FR	fr	O	O
,	,	O	O
and	and	O	O
P10	p10	O	O
groups	groups	O	O
compared	compared	O	O
with	with	O	O
the	the	O	O
S	s	O	O
group	group	O	O
.	.	O	O

Tibialis	tibialis	O	O
muscle	muscle	O	O
mass	mass	O	O
was	was	O	O
smaller	smaller	O	O
in	in	O	O
the	the	O	O
P100	p100	O	O
group	group	O	O
than	than	O	O
in	in	O	O
the	the	O	O
P10	p10	O	O
or	or	O	O
S	s	O	O
groups	groups	O	O
.	.	O	O

The	the	O	O
evoked	evoked	O	O
peak	peak	O	O
twitch	twitch	O	O
and	and	O	O
tetanic	tetanic	O	O
tensions	tensions	O	O
were	were	O	O
less	less	O	O
in	in	O	O
the	the	O	O
P100	p100	O	O
group	group	O	O
than	than	O	O
in	in	O	O
the	the	O	O
P10	p10	O	O
or	or	O	O
S	s	O	O
groups	groups	O	O
,	,	O	O
however	however	O	O
,	,	O	O
tension	tension	O	O
per	per	O	O
milligram	milligram	O	O
of	of	O	O
muscle	muscle	O	O
mass	mass	O	O
was	was	O	O
greater	greater	O	O
in	in	O	O
the	the	O	O
P100	p100	O	O
group	group	O	O
than	than	O	O
in	in	O	O
the	the	O	O
S	s	O	O
group	group	O	O
.	.	O	O

The	the	O	O
50	50	O	O
%	%	O	O
effective	effective	O	O
dose	dose	O	O
of	of	O	O
d-tubocurarine	d-tubocurarine	O	O
(	(	O	O
microg/kg	microg/kg	O	O
)	)	O	O
in	in	O	O
the	the	O	O
tibialis	tibialis	O	O
muscle	muscle	O	O
was	was	O	O
smaller	smaller	O	O
in	in	O	O
the	the	O	O
P10	p10	O	O
(	(	O	O
33.6	33.6	O	O
+	+	O	O
/-	/-	O	O
5.4	5.4	O	O
)	)	O	O
than	than	O	O
in	in	O	O
the	the	O	O
S	s	O	O
(	(	O	O
61.9	61.9	O	O
+	+	O	O
/-	/-	O	O
5.0	5.0	O	O
)	)	O	O
or	or	O	O
the	the	O	O
P100	p100	O	O
(	(	O	O
71.3	71.3	O	O
+	+	O	O
/-	/-	O	O
9.6	9.6	O	O
)	)	O	O
groups	groups	O	O
.	.	O	O

AChR	achr	O	O
expression	expression	O	O
was	was	O	O
less	less	O	O
in	in	O	O
the	the	O	O
P10	p10	O	O
group	group	O	O
than	than	O	O
in	in	O	O
the	the	O	O
S	s	O	O
group	group	O	O
.	.	O	O

The	the	O	O
evoked	evoked	O	O
tensions	tensions	O	O
correlated	correlated	O	O
with	with	O	O
muscle	muscle	O	O
mass	mass	O	O
(	(	O	O
r(2	r(2	O	O
)	)	O	O
=	=	O	O
0.32	0.32	O	O
,	,	O	O
P	p	O	O
<	<	O	O
0.001	0.001	O	O
)	)	O	O
,	,	O	O
however	however	O	O
,	,	O	O
not	not	O	O
with	with	O	O
expression	expression	O	O
of	of	O	O
AChR.	achr.	O	O
The	the	O	O
50	50	O	O
%	%	O	O
effective	effective	O	O
dose	dose	O	O
of	of	O	O
d-tubocurarine	d-tubocurarine	O	O
did	did	O	O
not	not	O	O
correlate	correlate	O	O
with	with	O	O
muscle	muscle	O	O
mass	mass	O	O
or	or	O	O
AChR	achr	O	O
expression	expression	O	O
.	.	O	O

Our	our	O	O
results	results	O	O
suggest	suggest	O	O
that	that	O	O
the	the	O	O
neuromuscular	neuromuscular	O	O
dysfunction	dysfunction	O	O
after	after	O	O
prednisolone	prednisolone	S_chemical	O
is	is	O	O
dose-dependent	dose-dependent	O	O
,	,	O	O
and	and	O	O
derives	derives	O	O
primarily	primarily	O	O
from	from	O	O
muscle	muscle	O	B_disease
atrophy	atrophy	O	S_disease
and	and	O	O
derives	derives	O	O
less	less	O	O
so	so	O	O
from	from	O	O
changes	changes	O	O
in	in	O	O
AChR	achr	O	O
expression	expression	O	O
.	.	O	O

IMPLICATIONS	implications	O	O
:	:	O	O
The	the	O	O
mechanisms	mechanisms	O	O
by	by	O	O
which	which	O	O
chronic	chronic	O	O
glucocorticoid	glucocorticoid	O	O
therapy	therapy	O	O
alters	alters	O	O
neuromuscular	neuromuscular	O	O
physiology	physiology	O	O
and	and	O	O
pharmacology	pharmacology	O	O
are	are	O	O
unclear	unclear	O	O
.	.	O	O

We	we	O	O
suggest	suggest	O	O
that	that	O	O
the	the	O	O
observed	observed	O	O
effects	effects	O	O
are	are	O	O
dose-dependent	dose-dependent	O	O
and	and	O	O
derive	derive	O	O
primarily	primarily	O	O
from	from	O	O
muscle	muscle	O	B_disease
atrophy	atrophy	O	S_disease
and	and	O	O
derive	derive	O	O
less	less	O	O
from	from	O	O
changes	changes	O	O
in	in	O	O
acetylcholine	acetylcholine	S_chemical	O
receptor	receptor	O	O
expression	expression	O	O
.	.	O	O

