Analgesic	analgesic	O	O
effect	effect	O	O
of	of	O	O
intravenous	intravenous	O	O
ketamine	ketamine	S_chemical	O
in	in	O	O
cancer	cancer	O	S_disease
patients	patients	O	O
on	on	O	O
morphine	morphine	S_chemical	O
therapy	therapy	O	O
:	:	O	O
a	a	O	O
randomized	randomized	O	O
,	,	O	O
controlled	controlled	O	O
,	,	O	O
double-blind	double-blind	O	O
,	,	O	O
crossover	crossover	O	O
,	,	O	O
double-dose	double-dose	O	O
study	study	O	O
.	.	O	O

Pain	pain	O	S_disease
not	not	O	O
responsive	responsive	O	O
to	to	O	O
morphine	morphine	S_chemical	O
is	is	O	O
often	often	O	O
problematic	problematic	O	O
.	.	O	O

Animal	animal	O	O
and	and	O	O
clinical	clinical	O	O
studies	studies	O	O
have	have	O	O
suggested	suggested	O	O
that	that	O	O
N-methyl-D-aspartate	n-methyl-d-aspartate	O	O
(	(	O	O
NMDA	nmda	S_chemical	O
)	)	O	O
antagonists	antagonists	O	O
,	,	O	O
such	such	O	O
as	as	O	O
ketamine	ketamine	S_chemical	O
,	,	O	O
may	may	O	O
be	be	O	O
effective	effective	O	O
in	in	O	O
improving	improving	O	O
opioid	opioid	O	O
analgesia	analgesia	O	O
in	in	O	O
difficult	difficult	O	O
pain	pain	O	S_disease
syndromes	syndromes	O	O
,	,	O	O
such	such	O	O
as	as	O	O
neuropathic	neuropathic	O	B_disease
pain	pain	O	S_disease
.	.	O	O

A	a	O	O
slow	slow	O	O
bolus	bolus	O	O
of	of	O	O
subhypnotic	subhypnotic	O	O
doses	doses	O	O
of	of	O	O
ketamine	ketamine	S_chemical	O
(	(	O	O
0.25	0.25	O	O
mg/kg	mg/kg	O	O
or	or	O	O
0.50	0.50	O	O
mg/kg	mg/kg	O	O
)	)	O	O
was	was	O	O
given	given	O	O
to	to	O	O
10	10	O	O
cancer	cancer	O	S_disease
patients	patients	O	O
whose	whose	O	O
pain	pain	O	S_disease
was	was	O	O
unrelieved	unrelieved	O	O
by	by	O	O
morphine	morphine	S_chemical	O
in	in	O	O
a	a	O	O
randomized	randomized	O	O
,	,	O	O
double-blind	double-blind	O	O
,	,	O	O
crossover	crossover	O	O
,	,	O	O
double-dose	double-dose	O	O
study	study	O	O
.	.	O	O

Pain	pain	O	S_disease
intensity	intensity	O	O
on	on	O	O
a	a	O	O
0	0	O	O
to	to	O	O
10	10	O	O
numerical	numerical	O	O
scale	scale	O	O
;	;	O	O
nausea	nausea	O	S_disease
and	and	O	O
vomiting	vomiting	O	S_disease
,	,	O	O
drowsiness	drowsiness	O	O
,	,	O	O
confusion	confusion	O	S_disease
,	,	O	O
and	and	O	O
dry	dry	O	B_disease
mouth	mouth	O	I_disease
,	,	O	O
using	using	O	O
a	a	O	O
scale	scale	O	O
from	from	O	O
0	0	O	O
to	to	O	O
3	3	O	O
(	(	O	O
not	not	O	O
at	at	O	O
all	all	O	O
,	,	O	O
slight	slight	O	O
,	,	O	O
a	a	O	O
lot	lot	O	O
,	,	O	O
awful	awful	O	O
)	)	O	O
;	;	O	O
Mini-Mental	mini-mental	O	O
State	state	O	O
Examination	examination	O	O
(	(	O	O
MMSE	mmse	O	O
)	)	O	O
(	(	O	O
0	0	O	O
-	-	O	O
30	30	O	O
)	)	O	O
;	;	O	O
and	and	O	O
arterial	arterial	O	O
pressure	pressure	O	O
were	were	O	O
recorded	recorded	O	O
before	before	O	O
administration	administration	O	O
of	of	O	O
drugs	drugs	O	O
(	(	O	O
T0	t0	O	O
)	)	O	O
and	and	O	O
after	after	O	O
30	30	O	O
minutes	minutes	O	O
(	(	O	O
T30	t30	O	O
)	)	O	O
,	,	O	O
60	60	O	O
minutes	minutes	O	O
(	(	O	O
T60	t60	O	O
)	)	O	O
,	,	O	O
120	120	O	O
minutes	minutes	O	O
(	(	O	O
T120	t120	O	O
)	)	O	O
,	,	O	O
and	and	O	O
180	180	O	O
minutes	minutes	O	O
(	(	O	O
T180	t180	O	O
)	)	O	O
.	.	O	O

Ketamine	ketamine	S_chemical	O
,	,	O	O
but	but	O	O
not	not	O	O
saline	saline	B_chemical	O
solution	solution	I_chemical	O
,	,	O	O
significantly	significantly	O	O
reduced	reduced	O	O
the	the	O	O
pain	pain	O	S_disease
intensity	intensity	O	O
in	in	O	O
almost	almost	O	O
all	all	O	O
the	the	O	O
patients	patients	O	O
at	at	O	O
both	both	O	O
doses	doses	O	O
.	.	O	O

This	this	O	O
effect	effect	O	O
was	was	O	O
more	more	O	O
relevant	relevant	O	O
in	in	O	O
patients	patients	O	O
treated	treated	O	O
with	with	O	O
higher	higher	O	O
doses	doses	O	O
.	.	O	O

Hallucinations	hallucinations	O	S_disease
occurred	occurred	O	O
in	in	O	O
4	4	O	O
patients	patients	O	O
,	,	O	O
and	and	O	O
an	an	O	O
unpleasant	unpleasant	O	O
sensation	sensation	O	O
(	(	O	O
"	"	O	O
empty	empty	O	O
head	head	O	O
"	"	O	O
)	)	O	O
was	was	O	O
also	also	O	O
reported	reported	O	O
by	by	O	O
2	2	O	O
patients	patients	O	O
.	.	O	O

These	these	O	O
episodes	episodes	O	O
reversed	reversed	O	O
after	after	O	O
the	the	O	O
administration	administration	O	O
of	of	O	O
diazepam	diazepam	S_chemical	O
1	1	O	O
mg	mg	O	O
intravenously	intravenously	O	O
.	.	O	O

Significant	significant	O	O
increases	increases	O	O
in	in	O	O
drowsiness	drowsiness	O	O
were	were	O	O
reported	reported	O	O
in	in	O	O
patients	patients	O	O
treated	treated	O	O
with	with	O	O
ketamine	ketamine	S_chemical	O
in	in	O	O
both	both	O	O
groups	groups	O	O
and	and	O	O
were	were	O	O
more	more	O	O
marked	marked	O	O
with	with	O	O
ketamine	ketamine	S_chemical	O
0.50	0.50	O	O
mg/kg	mg/kg	O	O
.	.	O	O

A	a	O	O
significant	significant	O	O
difference	difference	O	O
in	in	O	O
MMSE	mmse	O	O
was	was	O	O
observed	observed	O	O
at	at	O	O
T30	t30	O	O
in	in	O	O
patients	patients	O	O
who	who	O	O
received	received	O	O
0.50	0.50	O	O
mg/kg	mg/kg	O	O
of	of	O	O
ketamine	ketamine	S_chemical	O
.	.	O	O

Ketamine	ketamine	S_chemical	O
can	can	O	O
improve	improve	O	O
morphine	morphine	S_chemical	O
analgesia	analgesia	O	O
in	in	O	O
difficult	difficult	O	O
pain	pain	O	S_disease
syndromes	syndromes	O	O
,	,	O	O
such	such	O	O
as	as	O	O
neuropathic	neuropathic	O	B_disease
pain	pain	O	S_disease
.	.	O	O

However	however	O	O
,	,	O	O
the	the	O	O
occurrence	occurrence	O	O
of	of	O	O
central	central	O	O
adverse	adverse	O	O
effects	effects	O	O
should	should	O	O
be	be	O	O
taken	taken	O	O
into	into	O	O
account	account	O	O
,	,	O	O
especially	especially	O	O
when	when	O	O
using	using	O	O
higher	higher	O	O
doses	doses	O	O
.	.	O	O

This	this	O	O
observation	observation	O	O
should	should	O	O
be	be	O	O
tested	tested	O	O
in	in	O	O
studies	studies	O	O
of	of	O	O
prolonged	prolonged	O	O
ketamine	ketamine	S_chemical	O
administration	administration	O	O
