Evidence	evidence	O	O
of	of	O	O
functional	functional	O	O
somatotopy	somatotopy	O	O
in	in	O	O
GPi	gpi	O	O
from	from	O	O
results	results	O	O
of	of	O	O
pallidotomy	pallidotomy	O	O
.	.	O	O

The	the	O	O
objective	objective	O	O
of	of	O	O
this	this	O	O
study	study	O	O
was	was	O	O
to	to	O	O
explore	explore	O	O
the	the	O	O
functional	functional	O	O
anatomy	anatomy	O	O
of	of	O	O
the	the	O	O
globus	globus	O	O
pallidus	pallidus	O	O
internus	internus	O	O
(	(	O	O
GPi	gpi	O	O
)	)	O	O
by	by	O	O
studying	studying	O	O
the	the	O	O
effects	effects	O	O
of	of	O	O
unilateral	unilateral	O	O
pallidotomy	pallidotomy	O	O
on	on	O	O
parkinsonian	parkinsonian	O	S_disease
'	'	O	O
off	off	O	O
'	'	O	O
signs	signs	O	O
and	and	O	O
levodopa-induced	levodopa-induced	O	O
dyskinesias	dyskinesias	O	S_disease
(	(	O	O
LID	lid	O	S_disease
)	)	O	O
.	.	O	O

We	we	O	O
found	found	O	O
significant	significant	O	O
positive	positive	O	O
correlations	correlations	O	O
between	between	O	O
the	the	O	O
preoperative	preoperative	O	O
levodopa	levodopa	S_chemical	O
responsiveness	responsiveness	O	O
of	of	O	O
motor	motor	O	O
signs	signs	O	O
and	and	O	O
the	the	O	O
levodopa	levodopa	S_chemical	O
responsiveness	responsiveness	O	O
of	of	O	O
scores	scores	O	O
in	in	O	O
timed	timed	O	O
tests	tests	O	O
(	(	O	O
Core	core	O	O
Assessment	assessment	O	O
Program	program	O	O
for	for	O	O
Intracerebral	intracerebral	O	O
Transplantations	transplantations	O	O
)	)	O	O
in	in	O	O
the	the	O	O
contralateral	contralateral	O	O
limbs	limbs	O	O
and	and	O	O
the	the	O	O
improvement	improvement	O	O
in	in	O	O
these	these	O	O
scores	scores	O	O
after	after	O	O
surgery	surgery	O	O
,	,	O	O
whereas	whereas	O	O
there	there	O	O
was	was	O	O
no	no	O	O
correlation	correlation	O	O
with	with	O	O
the	the	O	O
improvement	improvement	O	O
in	in	O	O
LID	lid	O	S_disease
.	.	O	O

We	we	O	O
also	also	O	O
found	found	O	O
a	a	O	O
highly	highly	O	O
significant	significant	O	O
correlation	correlation	O	O
(	(	O	O
P	p	O	O
:	:	O	O
<	<	O	O
0.0001	0.0001	O	O
,	,	O	O
r	r	O	O
=	=	O	O
0.8	0.8	O	O
)	)	O	O
between	between	O	O
the	the	O	O
volume	volume	O	O
of	of	O	O
the	the	O	O
