Reduced	reduced	O	O
cardiotoxicity	cardiotoxicity	O	S_disease
and	and	O	O
preserved	preserved	O	O
antitumor	antitumor	O	O
efficacy	efficacy	O	O
of	of	O	O
liposome-encapsulated	liposome-encapsulated	O	O
doxorubicin	doxorubicin	S_chemical	O
and	and	O	O
cyclophosphamide	cyclophosphamide	S_chemical	O
compared	compared	O	O
with	with	O	O
conventional	conventional	O	O
doxorubicin	doxorubicin	S_chemical	O
and	and	O	O
cyclophosphamide	cyclophosphamide	S_chemical	O
in	in	O	O
a	a	O	O
randomized	randomized	O	O
,	,	O	O
multicenter	multicenter	O	O
trial	trial	O	O
of	of	O	O
metastatic	metastatic	O	O
breast	breast	O	B_disease
cancer	cancer	O	S_disease
.	.	O	O

PURPOSE	purpose	O	O
:	:	O	O
To	to	O	O
determine	determine	O	O
whether	whether	O	O
Myocet	myocet	S_chemical	S_disease
(	(	O	O
liposome-encapsulated	liposome-encapsulated	O	O
doxorubicin	doxorubicin	S_chemical	O
;	;	O	O
The	the	O	O
Liposome	liposome	O	O
Company	company	O	O
,	,	O	O
Elan	elan	O	O
Corporation	corporation	O	O
,	,	O	O
Princeton	princeton	O	O
,	,	O	O
NJ	nj	O	O
)	)	O	O
in	in	O	O
combination	combination	O	O
with	with	O	O
cyclophosphamide	cyclophosphamide	S_chemical	O
significantly	significantly	O	O
reduces	reduces	O	O
doxorubicin	doxorubicin	S_chemical	O
cardiotoxicity	cardiotoxicity	O	S_disease
while	while	O	O
providing	providing	O	O
comparable	comparable	O	O
antitumor	antitumor	O	O
efficacy	efficacy	O	O
in	in	O	O
first-line	first-line	O	O
treatment	treatment	O	O
of	of	O	O
metastatic	metastatic	O	O
breast	breast	O	B_disease
cancer	cancer	O	S_disease
(	(	O	O
MBC	mbc	O	O
)	)	O	O
.	.	O	O

PATIENTS	patients	O	O
AND	and	O	O
METHODS	methods	O	O
:	:	O	O
Two	two	O	O
hundred	hundred	O	O
ninety-seven	ninety-seven	O	O
patients	patients	O	O
with	with	O	O
MBC	mbc	O	O
and	and	O	O
no	no	O	O
prior	prior	O	O
chemotherapy	chemotherapy	O	O
for	for	O	O
metastatic	metastatic	O	B_disease
disease	disease	O	I_disease
were	were	O	O
randomized	randomized	O	O
to	to	O	O
receive	receive	O	O
either	either	O	O
60	60	O	O
mg/m(2	mg/m(2	O	O
)	)	O	O
of	of	O	O
Myocet	myocet	S_chemical	S_disease
(	(	O	O
M	m	O	O
)	)	O	O
or	or	O	O
conventional	conventional	O	O
doxorubicin	doxorubicin	S_chemical	O
(	(	O	O
A	a	O	O
)	)	O	O
,	,	O	O
in	in	O	O
combination	combination	O	O
with	with	O	O
600	600	O	O
mg/m(2	mg/m(2	O	O
)	)	O	O
of	of	O	O
cyclophosphamide	cyclophosphamide	S_chemical	O
(	(	O	O
C	c	O	O
)	)	O	O
,	,	O	O
every	every	O	O
3	3	O	O
weeks	weeks	O	O
until	until	O	O
disease	disease	O	B_disease
progression	progression	O	I_disease
or	or	O	O
unacceptable	unacceptable	O	O
toxicity	toxicity	O	S_disease
.	.	O	O

Cardiotoxicity	cardiotoxicity	O	S_disease
was	was	O	O
defined	defined	O	O
by	by	O	O
reductions	reductions	O	O
in	in	O	O
left-ventricular	left-ventricular	O	O
ejection	ejection	O	O
fraction	fraction	O	O
,	,	O	O
assessed	assessed	O	O
by	by	O	O
serial	serial	O	O
multigated	multigated	O	O
radionuclide	radionuclide	O	O
angiography	angiography	O	O
scans	scans	O	O
,	,	O	O
or	or	O	O
congestive	congestive	O	B_disease
heart	heart	O	B_disease
failure	failure	O	I_disease
(	(	O	O
CHF	chf	O	S_disease
)	)	O	O
.	.	O	O

Antitumor	antitumor	O	O
efficacy	efficacy	O	O
was	was	O	O
assessed	assessed	O	O
by	by	O	O
objective	objective	O	O
tumor	tumor	O	S_disease
response	response	O	O
rates	rates	O	O
(	(	O	O
World	world	O	O
Health	health	O	O
Organization	organization	O	O
criteria	criteria	O	O
)	)	O	O
,	,	O	O
time	time	O	O
to	to	O	O
progression	progression	O	O
,	,	O	O
and	and	O	O
survival	survival	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Six	six	O	O
percent	percent	O	O
of	of	O	O
MC	mc	O	O
patients	patients	O	O
versus	versus	O	O
21	21	O	O
%	%	O	O
(	(	O	O
including	including	O	O
five	five	O	O
cases	cases	O	O
of	of	O	O
CHF	chf	O	S_disease
)	)	O	O
of	of	O	O
AC	ac	O	O
patients	patients	O	O
developed	developed	O	O
cardiotoxicity	cardiotoxicity	O	S_disease
(	(	O	O
P	p	O	O
=	=	O	O
.0002	.0002	O	O
)	)	O	O
.	.	O	O

Median	median	O	O
cumulative	cumulative	O	O
doxorubicin	doxorubicin	S_chemical	O
dose	dose	O	O
at	at	O	O
onset	onset	O	O
was	was	O	O
more	more	O	O
than	than	O	O
2,220	2,220	O	O
mg/m(2	mg/m(2	O	O
)	)	O	O
for	for	O	O
MC	mc	O	O
versus	versus	O	O
480	480	O	O
mg/m(2	mg/m(2	O	O
)	)	O	O
for	for	O	O
AC	ac	O	O
(	(	O	O
P	p	O	O
=	=	O	O
.0001	.0001	O	O
,	,	O	O
hazard	hazard	O	O
ratio	ratio	O	O
,	,	O	O
5.04	5.04	O	O
)	)	O	O
.	.	O	O

MC	mc	O	O
patients	patients	O	O
also	also	O	O
experienced	experienced	O	O
