Antidepressant-induced	antidepressant-induced	O	O
mania	mania	O	S_disease
in	in	O	O
bipolar	bipolar	O	S_disease
patients	patients	O	O
:	:	O	O
identification	identification	O	O
of	of	O	O
risk	risk	O	O
factors	factors	O	O
.	.	O	O

BACKGROUND	background	O	O
:	:	O	O
Concerns	concerns	O	O
about	about	O	O
possible	possible	O	O
risks	risks	O	O
of	of	O	O
switching	switching	O	O
to	to	O	O
mania	mania	O	S_disease
associated	associated	O	B_disease
with	with	O	I_disease
antidepressants	antidepressants	S_chemical	O
continue	continue	O	O
to	to	O	O
interfere	interfere	O	O
with	with	O	O
the	the	O	O
establishment	establishment	O	O
of	of	O	O
an	an	O	O
optimal	optimal	O	O
treatment	treatment	O	O
paradigm	paradigm	O	O
for	for	O	O
bipolar	bipolar	O	B_disease
depression	depression	O	S_disease
.	.	O	O

METHOD	method	O	O
:	:	O	O
The	the	O	O
response	response	O	O
of	of	O	O
44	44	O	O
patients	patients	O	O
meeting	meeting	O	O
DSM-IV	dsm-iv	O	O
criteria	criteria	O	O
for	for	O	O
bipolar	bipolar	O	B_disease
disorder	disorder	O	I_disease
to	to	O	O
naturalistic	naturalistic	O	O
treatment	treatment	O	O
was	was	O	O
assessed	assessed	O	O
for	for	O	O
at	at	O	O
least	least	O	O
6	6	O	O
weeks	weeks	O	O
using	using	O	O
the	the	O	O
Montgomery-Asberg	montgomery-asberg	O	O
Depression	depression	O	S_disease
Rating	rating	O	O
Scale	scale	O	O
and	and	O	O
the	the	O	O
Bech-Rafaelson	bech-rafaelson	O	O
Mania	mania	O	S_disease
Rating	rating	O	O
Scale	scale	O	O
.	.	O	O

Patients	patients	O	O
who	who	O	O
experienced	experienced	O	O
a	a	O	O
manic	manic	O	S_disease
or	or	O	O
hypomanic	hypomanic	O	O
switch	switch	O	O
were	were	O	O
compared	compared	O	O
with	with	O	O
those	those	O	O
who	who	O	O
did	did	O	O
not	not	O	O
on	on	O	O
several	several	O	O
variables	variables	O	O
including	including	O	O
age	age	O	O
,	,	O	O
sex	sex	O	O
,	,	O	O
diagnosis	diagnosis	O	O
(	(	O	O
DSM-IV	dsm-iv	O	O
bipolar	bipolar	O	S_disease
I	i	O	O
vs.	vs.	O	O
bipolar	bipolar	O	S_disease
II	ii	O	O
)	)	O	O
,	,	O	O
number	number	O	O
of	of	O	O
previous	previous	O	O
manic	manic	O	S_disease
episodes	episodes	O	O
,	,	O	O
type	type	O	O
of	of	O	O
antidepressant	antidepressant	S_chemical	O
therapy	therapy	O	O
used	used	O	O
(	(	O	O
electroconvulsive	electroconvulsive	O	O
therapy	therapy	O	O
vs.	vs.	O	O
antidepressant	antidepressant	S_chemical	O
drugs	drugs	O	O
and	and	O	O
,	,	O	O
more	more	O	O
particularly	particularly	O	O
,	,	O	O
selective	selective	O	O
serotonin	serotonin	S_chemical	O
reuptake	reuptake	O	O
inhibitors	inhibitors	O	O
[	[	O	O
SSRIs	ssris	O	O
]	]	O	O
)	)	O	O
,	,	O	O
use	use	O	O
and	and	O	O
type	type	O	O
of	of	O	O
mood	mood	O	O
stabilizers	stabilizers	O	O
(	(	O	O
lithium	lithium	S_chemical	O
vs.	vs.	O	O
anticonvulsants	anticonvulsants	O	O
)	)	O	O
,	,	O	O
and	and	O	O
temperament	temperament	O	O
of	of	O	O
the	the	O	O
patient	patient	O	O
,	,	O	O
assessed	assessed	O	O
during	during	O	O
a	a	O	O
normothymic	normothymic	O	O
period	period	O	O
using	using	O	O
the	the	O	O
hyperthymia	hyperthymia	O	S_disease
component	component	O	O
of	of	O	O
the	the	O	O
Semi-structured	semi-structured	O	O
Affective	affective	O	O
Temperament	temperament	O	O
Interview	interview	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Switches	switches	O	O
to	to	O	O
hypomania	hypomania	O	S_disease
or	or	O	O
mania	mania	O	S_disease
occurred	occurred	O	O
in	in	O	O
27	27	O	O
%	%	O	O
of	of	O	O
all	all	O	O
patients	patients	O	O
(	(	O	O
N	n	O	O
=	=	O	O
12	12	O	O
)	)	O	O
(	(	O	O
and	and	O	O
in	in	O	O
24	24	O	O
%	%	O	O
of	of	O	O
the	the	O	O
subgroup	subgroup	O	O
of	of	O	O
patients	patients	O	O
treated	treated	O	O
with	with	O	O
SSRIs	ssris	O	O
[	[	O	O
8/33	8/33	O	O
]	]	O	O
)	)	O	O
;	;	O	O
16	16	O	O
%	%	O	O
(	(	O	O
N	n	O	O
=	=	O	O
7	7	O	O
)	)	O	O
experienced	experienced	O	O
manic	manic	O	S_disease
episodes	episodes	O	O
,	,	O	O
and	and	O	O
11	11	O	O
%	%	O	O
(	(	O	O
N	n	O	O
=	=	O	O
5	5	O	O
)	)	O	O
experienced	experienced	O	O
hypomanic	hypomanic	O	B_disease
episodes	episodes	O	I_disease
.	.	O	O

Sex	sex	O	O
,	,	O	O
age	age	O	O
,	,	O	O
diagnosis	diagnosis	O	O
(	(	O	O
bipolar	bipolar	O	S_disease
I	i	O	O
vs.	vs.	O	O
bipolar	bipolar	O	S_disease
II	ii	O	O
)	)	O	O
,	,	O	O
and	and	O	O
additional	additional	O	O
treatment	treatment	O	O
did	did	O	O
not	not	O	O
affect	affect	O	O
the	the	O	O
risk	risk	O	O
of	of	O	O
switching	switching	O	O
.	.	O	O

The	the	O	O
incidence	incidence	O	O
of	of	O	O
mood	mood	O	O
switches	switches	O	O
seemed	seemed	O	O
not	not	O	O
to	to	O	O
differ	differ	O	O
between	between	O	O
patients	patients	O	O
receiving	receiving	O	O
an	an	O	O
anticonvulsant	anticonvulsant	O	O
and	and	O	O
those	those	O	O
receiving	receiving	O	O
no	no	O	O
mood	mood	O	O
stabilizer	stabilizer	O	O
.	.	O	O

In	in	O	O
contrast	contrast	O	O
,	,	O	O
mood	mood	O	O
switches	switches	O	O
were	were	O	O
less	less	O	O
frequent	frequent	O	O
in	in	O	O
patients	patients	O	O
receiving	receiving	O	O
lithium	lithium	S_chemical	O
(	(	O	O
15	15	O	O
%	%	O	O
,	,	O	O
4/26	4/26	O	O
)	)	O	O
than	than	O	O
in	in	O	O
patients	patients	O	O
not	not	O	O
treated	treated	O	O
with	with	O	O
lithium	lithium	S_chemical	O
(	(	O	O
44	44	O	O
%	%	O	O
,	,	O	O
8/18	8/18	O	O
;	;	O	O
p	p	O	O
=	=	O	O
.04	.04	O	O
)	)	O	O
.	.	O	O

The	the	O	O
number	number	O	O
of	of	O	O
previous	previous	O	O
manic	manic	O	S_disease
episodes	episodes	O	O
did	did	O	O
not	not	O	O
affect	affect	O	O
the	the	O	O
probability	probability	O	O
of	of	O	O
switching	switching	O	O
,	,	O	O
whereas	whereas	O	O
a	a	O	O
high	high	O	O
score	score	O	O
on	on	O	O
the	the	O	O
hyperthymia	hyperthymia	O	S_disease
component	component	O	O
of	of	O	O
the	the	O	O
Semistructured	semistructured	O	O
Affective	affective	O	O
Temperament	temperament	O	O
Interview	interview	O	O
was	was	O	O
associated	associated	O	B_disease
with	with	O	I_disease
a	a	O	O
greater	greater	O	O
risk	risk	O	O
of	of	O	O
switching	switching	O	O
(	(	O	O
p	p	O	O
=	=	O	O
.008	.008	O	O
)	)	O	O
.	.	O	O

CONCLUSION	conclusion	O	O
:	:	O	O
The	the	O	O
frequency	frequency	O	O
of	of	O	O
mood	mood	O	O
switching	switching	O	O
associated	associated	O	B_disease
with	with	O	I_disease
acute	acute	O	O
antidepressant	antidepressant	S_chemical	O
therapy	therapy	O	O
may	may	O	O
be	be	O	O
reduced	reduced	O	O
by	by	O	O
lithium	lithium	S_chemical	O
treatment	treatment	O	O
.	.	O	O

Particular	particular	O	O
attention	attention	O	O
should	should	O	O
be	be	O	O
paid	paid	O	O
to	to	O	O
patients	patients	O	O
with	with	O	O
a	a	O	O
hyperthymic	hyperthymic	O	B_disease
temperament	temperament	O	I_disease
,	,	O	O
who	who	O	O
have	have	O	O
a	a	O	O
greater	greater	O	O
risk	risk	O	O
of	of	O	O
mood	mood	O	O
switches	switches	O	O
.	.	O	O

