Antagonism	antagonism	O	O
between	between	O	O
interleukin	interleukin	O	O
3	3	O	O
and	and	O	O
erythropoietin	erythropoietin	O	O
in	in	O	O
mice	mice	O	O
with	with	O	O
azidothymidine-induced	azidothymidine-induced	O	O
anemia	anemia	O	S_disease
and	and	O	O
in	in	O	O
bone	bone	O	O
marrow	marrow	O	O
endothelial	endothelial	O	O
cells	cells	O	O
.	.	O	O

Azidothymidine	azidothymidine	S_chemical	O
(AZT)-induced	(azt)-induced	O	O
anemia	anemia	O	S_disease
in	in	O	O
mice	mice	O	O
can	can	O	O
be	be	O	O
reversed	reversed	O	O
by	by	O	O
the	the	O	O
administration	administration	O	O
of	of	O	O
IGF-IL-3	igf-il-3	O	O
(	(	O	O
fusion	fusion	O	O
protein	protein	O	O
of	of	O	O
insulin-like	insulin-like	O	O
growth	growth	O	O
factor	factor	O	O
II	ii	O	O
(	(	O	O
IGF	igf	O	O
II	ii	O	O
)	)	O	O
and	and	O	O
interleukin	interleukin	O	O
3	3	O	O
)	)	O	O
.	.	O	O

Although	although	O	O
interleukin	interleukin	O	O
3	3	O	O
(	(	O	O
IL-3	il-3	O	O
)	)	O	O
and	and	O	O
erythropoietin	erythropoietin	O	O
(	(	O	O
EPO	epo	O	O
)	)	O	O
are	are	O	O
known	known	O	O
to	to	O	O
act	act	O	O
synergistically	synergistically	O	O
on	on	O	O
hematopoietic	hematopoietic	O	O
cell	cell	O	O
proliferation	proliferation	O	O
in	in	O	O
vitro	vitro	O	O
,	,	O	O
injection	injection	O	O
of	of	O	O
IGF-IL-3	igf-il-3	O	O
and	and	O	O
EPO	epo	O	O
in	in	O	O
AZT-treated	azt-treated	O	O
mice	mice	O	O
resulted	resulted	O	O
in	in	O	O
a	a	O	O
reduction	reduction	O	O
of	of	O	O
red	red	O	O
cells	cells	O	O
and	and	O	O
an	an	O	O
increase	increase	O	O
of	of	O	O
plasma	plasma	O	O
EPO	epo	O	O
levels	levels	O	O
as	as	O	O
compared	compared	O	O
to	to	O	O
animals	animals	O	O
treated	treated	O	O
with	with	O	O
IGF-IL-3	igf-il-3	O	O
or	or	O	O
EPO	epo	O	O
alone	alone	O	O
.	.	O	O

We	we	O	O
tested	tested	O	O
the	the	O	O
hypothesis	hypothesis	O	O
that	that	O	O
the	the	O	O
antagonistic	antagonistic	O	O
effect	effect	O	O
of	of	O	O
IL-3	il-3	O	O
and	and	O	O
EPO	epo	O	O
on	on	O	O
erythroid	erythroid	O	O
cells	cells	O	O
may	may	O	O
be	be	O	O
mediated	mediated	O	O
by	by	O	O
endothelial	endothelial	O	O
cells	cells	O	O
.	.	O	O

Bovine	bovine	O	O
liver	liver	O	O
erythroid	erythroid	O	O
cells	cells	O	O
were	were	O	O
cultured	cultured	O	O
on	on	O	O
monolayers	monolayers	O	O
of	of	O	O
human	human	O	O
bone	bone	O	O
marrow	marrow	O	O
endothelial	endothelial	O	O
cells	cells	O	O
previously	previously	O	O
treated	treated	O	O
with	with	O	O
EPO	epo	O	O
and	and	O	O
IGF-IL-3	igf-il-3	O	O
.	.	O	O

There	there	O	O
was	was	O	O
a	a	O	O
significant	significant	O	O
reduction	reduction	O	O
of	of	O	O
thymidine	thymidine	O	O
incorporation	incorporation	O	O
into	into	O	O
both	both	O	O
erythroid	erythroid	O	O
and	and	O	O
endothelial	endothelial	O	O
cells	cells	O	O
in	in	O	O
cultures	cultures	O	O
pre-treated	pre-treated	O	O
with	with	O	O
IGF-IL-3	igf-il-3	O	O
and	and	O	O
EPO	epo	O	O
.	.	O	O

Endothelial	endothelial	O	O
cell	cell	O	O
culture	culture	O	O
supernatants	supernatants	O	O
separated	separated	O	O
by	by	O	O
ultrafiltration	ultrafiltration	O	O
and	and	O	O
ultracentrifugation	ultracentrifugation	O	O
from	from	O	O
cells	cells	O	O
treated	treated	O	O
with	with	O	O
EPO	epo	O	O
and	and	O	O
IL-3	il-3	O	O
significantly	significantly	O	O
reduced	reduced	O	O
thymidine	thymidine	O	O
incorporation	incorporation	O	O
into	into	O	O
erythroid	erythroid	O	O
cells	cells	O	O
as	as	O	O
compared	compared	O	O
to	to	O	O
identical	identical	O	O
fractions	fractions	O	O
obtained	obtained	O	O
from	from	O	O
the	the	O	O
media	media	O	O
of	of	O	O
cells	cells	O	O
cultured	cultured	O	O
with	with	O	O
EPO	epo	O	O
alone	alone	O	O
.	.	O	O

These	these	O	O
results	results	O	O
suggest	suggest	O	O
that	that	O	O
endothelial	endothelial	O	O
cells	cells	O	O
treated	treated	O	O
simultaneously	simultaneously	O	O
with	with	O	O
EPO	epo	O	O
and	and	O	O
IL-3	il-3	O	O
have	have	O	O
a	a	O	O
negative	negative	O	O
effect	effect	O	O
on	on	O	O
erythroid	erythroid	O	O
cell	cell	O	O
production	production	O	O
.	.	O	O

