Immunohistochemical	immunohistochemical	O	O
study	study	O	O
on	on	O	O
inducible	inducible	O	O
type	type	O	O
of	of	O	O
nitric	nitric	B_chemical	O
oxide	oxide	I_chemical	O
(	(	O	O
iNOS	inos	O	O
)	)	O	O
,	,	O	O
basic	basic	O	O
fibroblast	fibroblast	O	O
growth	growth	O	O
factor	factor	O	O
(	(	O	O
bFGF	bfgf	O	O
)	)	O	O
and	and	O	O
tumor	tumor	O	S_disease
growth	growth	O	O
factor-beta1	factor-beta1	O	O
(	(	O	O
TGF-beta1	tgf-beta1	O	O
)	)	O	O
in	in	O	O
arteritis	arteritis	O	O
induced	induced	O	O
in	in	O	O
rats	rats	O	O
by	by	O	O
fenoldopam	fenoldopam	O	O
and	and	O	O
theophylline	theophylline	S_chemical	O
,	,	O	O
vasodilators	vasodilators	S_chemical	O
.	.	O	O

Arteritis	arteritis	O	O
induced	induced	O	O
in	in	O	O
rats	rats	O	O
by	by	O	O
vasodilators	vasodilators	S_chemical	O
,	,	O	O
fenoldopam	fenoldopam	O	O
and	and	O	O
theophylline	theophylline	S_chemical	O
,	,	O	O
was	was	O	O
examined	examined	O	O
immunohistochemically	immunohistochemically	O	O
for	for	O	O
expressions	expressions	O	O
of	of	O	O
inducible	inducible	O	O
type	type	O	O
of	of	O	O
nitric	nitric	B_chemical	O
oxide	oxide	I_chemical	O
synthase	synthase	I_chemical	O
(	(	O	O
iNOS	inos	O	O
)	)	O	O
,	,	O	O
basic	basic	O	O
fibroblast	fibroblast	O	O
growth	growth	O	O
factor	factor	O	O
(	(	O	O
bFGF	bfgf	O	O
)	)	O	O
and	and	O	O
tumor	tumor	O	S_disease
growth	growth	O	O
factor-beta1	factor-beta1	O	O
(	(	O	O
TGF-beta1	tgf-beta1	O	O
)	)	O	O
.	.	O	O

Rats	rats	O	O
were	were	O	O
administered	administered	O	O
fenoldopam	fenoldopam	O	O
for	for	O	O
24	24	O	O
hours	hours	O	O
by	by	O	O
intravenous	intravenous	O	O
infusion	infusion	O	O
with	with	O	O
or	or	O	O
without	without	O	O
following	following	O	O
repeated	repeated	O	O
daily	daily	O	O
oral	oral	O	O
administrations	administrations	O	O
of	of	O	O
theophylline	theophylline	S_chemical	O
.	.	O	O

Irrespective	irrespective	O	O
of	of	O	O
theophylline	theophylline	S_chemical	O
administration	administration	O	O
,	,	O	O
iNOS	inos	O	O
antigens	antigens	O	O
were	were	O	O
remarkably	remarkably	O	O
abundant	abundant	O	O
in	in	O	O
ED-1-positive	ed-1-positive	O	O
cells	cells	O	O
on	on	O	O
day	day	O	O
5	5	O	O
and	and	O	O
8	8	O	O
post-fenoldopam-infusion	post-fenoldopam-infusion	O	O
(	(	O	O
DPI	dpi	O	O
)	)	O	O
;	;	O	O
bFGF	bfgf	O	O
antigens	antigens	O	O
were	were	O	O
remarkably	remarkably	O	O
abundant	abundant	O	O
in	in	O	O
ED-1-positive	ed-1-positive	O	O
cells	cells	O	O
on	on	O	O
1	1	O	O
and	and	O	O
3	3	O	O
DPI	dpi	O	O
;	;	O	O
TGF-beta1	tgf-beta1	O	O
antigens	antigens	O	O
were	were	O	O
observed	observed	O	O
in	in	O	O
ED-1-positive	ed-1-positive	O	O
cells	cells	O	O
on	on	O	O
and	and	O	O
after	after	O	O
5	5	O	O
DPI	dpi	O	O
.	.	O	O

These	these	O	O
results	results	O	O
suggest	suggest	O	O
that	that	O	O
the	the	O	O
peak	peak	O	O
expression	expression	O	O
of	of	O	O
iNOS	inos	O	O
antigen	antigen	O	O
was	was	O	O
followed	followed	O	O
by	by	O	O
that	that	O	O
of	of	O	O
bFGF	bfgf	O	O
antigen	antigen	O	O
,	,	O	O
and	and	O	O
bFGF	bfgf	O	O
may	may	O	O
have	have	O	O
a	a	O	O
suppressive	suppressive	O	O
effect	effect	O	O
on	on	O	O
iNOS	inos	O	O
expression	expression	O	O
in	in	O	O
these	these	O	O
rat	rat	O	O
arteritis	arteritis	O	O
models	models	O	O
.	.	O	O

On	on	O	O
the	the	O	O
other	other	O	O
hand	hand	O	O
,	,	O	O
TGF-beta1	tgf-beta1	O	O
was	was	O	O
not	not	O	O
considered	considered	O	O
to	to	O	O
have	have	O	O
a	a	O	O
suppressive	suppressive	O	O
effect	effect	O	O
on	on	O	O
iNOS	inos	O	O
expression	expression	O	O
in	in	O	O
these	these	O	O
models	models	O	O
.	.	O	O

