Can	can	O	O
lidocaine	lidocaine	S_chemical	O
reduce	reduce	O	O
succinylcholine	succinylcholine	S_chemical	O
induced	induced	O	O
postoperative	postoperative	O	O
myalgia?This	myalgia?this	O	O
study	study	O	O
was	was	O	O
undertaken	undertaken	O	O
to	to	O	O
determine	determine	O	O
the	the	O	O
effect	effect	O	O
of	of	O	O
lidocaine	lidocaine	S_chemical	O
pretreatment	pretreatment	O	O
on	on	O	O
reduction	reduction	O	O
of	of	O	O
succinylcholine-induced	succinylcholine-induced	O	O
myalgia	myalgia	O	S_disease
in	in	O	O
patients	patients	O	O
undergoing	undergoing	O	O
general	general	O	O
anesthesia	anesthesia	O	O
for	for	O	O
gynecological	gynecological	O	O
surgery	surgery	O	O
.	.	O	O

One	one	O	O
hundred	hundred	O	O
and	and	O	O
thirty-five	thirty-five	O	O
patients	patients	O	O
were	were	O	O
assigned	assigned	O	O
to	to	O	O
one	one	O	O
of	of	O	O
three	three	O	O
groups	groups	O	O
in	in	O	O
a	a	O	O
prospective	prospective	O	O
,	,	O	O
double	double	O	O
blind	blind	O	O
,	,	O	O
randomized	randomized	O	O
manner	manner	O	O
.	.	O	O

Group	group	O	O
PS	ps	O	O
,	,	O	O
the	the	O	O
control	control	O	O
group	group	O	O
,	,	O	O
received	received	O	O
normal	normal	O	O
saline	saline	O	O
and	and	O	O
succinylcholine	succinylcholine	S_chemical	O
1.5	1.5	O	O
mg	mg	O	O
x	x	O	O
kg(-1	kg(-1	O	O
)	)	O	O
;	;	O	O
Group	group	O	O
LS	ls	O	O
,	,	O	O
lidocaine	lidocaine	S_chemical	O
1.5	1.5	O	O
mg	mg	O	O
x	x	O	O
kg(-1	kg(-1	O	O
)	)	O	O
and	and	O	O
succinylcholine	succinylcholine	S_chemical	O
1.5	1.5	O	O
mg	mg	O	O
x	x	O	O
kg(-1	kg(-1	O	O
)	)	O	O
;	;	O	O
Group	group	O	O
PR	pr	O	O
,	,	O	O
normal	normal	O	O
saline	saline	O	O
and	and	O	O
rocuronium	rocuronium	S_chemical	O
0.6	0.6	O	O
mg	mg	O	O
x	x	O	O
kg(-1	kg(-1	O	O
)	)	O	O
.	.	O	O

Morphine	morphine	S_chemical	O
0.1	0.1	O	O
mg	mg	O	O
x	x	O	O
kg(-1	kg(-1	O	O
)	)	O	O
iv	iv	O	O
was	was	O	O
given	given	O	O
for	for	O	O
