Comparison	comparison	O	O
of	of	O	O
developmental	developmental	O	O
toxicology	toxicology	O	O
of	of	O	O
aspirin	aspirin	S_chemical	O
(	(	O	O
acetylsalicylic	acetylsalicylic	B_chemical	O
acid	acid	I_chemical	O
)	)	O	O
in	in	O	O
rats	rats	O	O
using	using	O	O
selected	selected	O	O
dosing	dosing	O	O
paradigms	paradigms	O	O
.	.	O	O

BACKGROUND	background	O	O
:	:	O	O
Analysis	analysis	O	O
of	of	O	O
the	the	O	O
literature	literature	O	O
for	for	O	O
nonsteroidal	nonsteroidal	O	O
anti-inflammatory	anti-inflammatory	O	O
drugs	drugs	O	O
(	(	O	O
NSAIDs	nsaids	O	O
)	)	O	O
suggests	suggests	O	O
that	that	O	O
a	a	O	O
low	low	O	O
incidence	incidence	O	O
of	of	O	O
developmental	developmental	O	O
anomalies	anomalies	O	O
occurs	occurs	O	O
in	in	O	O
rats	rats	O	O
given	given	O	O
NSAIDs	nsaids	O	O
on	on	O	O
specific	specific	O	O
days	days	O	O
during	during	O	O
organogenesis	organogenesis	O	O
.	.	O	O

Aspirin	aspirin	S_chemical	O
(	(	O	O
acetylsalicylic	acetylsalicylic	B_chemical	O
acid	acid	I_chemical	O
[	[	O	O
ASA	asa	S_chemical	O
]	]	O	O
)	)	O	O
,	,	O	O
an	an	O	O
irreversible	irreversible	O	O
cyclooxygenase	cyclooxygenase	B_chemical	O
1	1	I_chemical	O
and	and	O	O
2	2	O	O
inhibitor	inhibitor	O	O
,	,	O	O
induces	induces	O	O
developmental	developmental	O	O
anomalies	anomalies	O	O
when	when	O	O
administered	administered	O	O
to	to	O	O
Wistar	wistar	O	O
rats	rats	O	O
on	on	O	O
gestational	gestational	O	O
day	day	O	O
(	(	O	O
GD	gd	O	O
)	)	O	O
9	9	O	O
,	,	O	O
10	10	O	O
,	,	O	O
or	or	O	O
11	11	O	O
(	(	O	O
Kimmel	kimmel	O	O
CA	ca	S_chemical	O
,	,	O	O
Wilson	wilson	O	O
JG	jg	O	O
,	,	O	O
Schumacher	schumacher	O	O
HJ	hj	O	O
.	.	O	O

Teratology	teratology	O	O
4:15	4:15	O	O
-	-	O	O
24	24	O	O
,	,	O	O
1971	1971	O	O
