Protection	protection	O	O
against	against	O	O
amphetamine-induced	amphetamine-induced	O	O
neurotoxicity	neurotoxicity	O	S_disease
toward	toward	O	O
striatal	striatal	O	S_disease
dopamine	dopamine	S_chemical	O
neurons	neurons	O	O
in	in	O	O
rodents	rodents	O	O
by	by	O	O
LY274614	ly274614	S_chemical	O
,	,	O	O
an	an	O	O
excitatory	excitatory	O	O
amino	amino	B_chemical	O
acid	acid	I_chemical	O
antagonist	antagonist	O	O
.	.	O	O

LY274614	ly274614	S_chemical	O
,	,	O	O
3SR,4aRS,6SR,8aRS-6-[phosphonomethyl]decahydr	3sr,4ars,6sr,8ars-6-[phosphonomethyl]decahydr	B_chemical	O
oisoquinoline-3-	oisoquinoline-3-	I_chemical	O
carboxylic	carboxylic	I_chemical	O
acid	acid	I_chemical	O
,	,	O	O
has	has	O	O
been	been	O	O
described	described	O	O
as	as	O	O
a	a	O	O
potent	potent	O	O
antagonist	antagonist	O	O
of	of	O	O
the	the	O	O
N-methyl-D-aspartate	n-methyl-d-aspartate	S_chemical	O
(	(	O	O
NMDA	nmda	S_chemical	O
)	)	O	O
subtype	subtype	O	O
of	of	O	O
glutamate	glutamate	S_chemical	O
receptor	receptor	O	O
.	.	O	O

Here	here	O	O
its	its	O	O
ability	ability	O	O
to	to	O	O
antagonize	antagonize	O	O
the	the	O	O
prolonged	prolonged	O	O
depletion	depletion	O	O
of	of	O	O
dopamine	dopamine	S_chemical	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
by	by	O	O
amphetamine	amphetamine	S_chemical	O
in	in	O	O
iprindole-treated	iprindole-treated	O	O
rats	rats	O	O
is	is	O	O
reported	reported	O	O
.	.	O	O

A	a	O	O
single	single	O	O
18.4	18.4	O	O
mg/kg	mg/kg	O	O
(	(	O	O
i.p	i.p	O	O
.	.	O	O
)	)	O	O
dose	dose	O	O
of	of	O	O
(+/-)-amphetamine	(+/-)-amphetamine	S_chemical	O
hemisulfate	hemisulfate	S_chemical	O
,	,	O	O
given	given	O	O
to	to	O	O
rats	rats	O	O
pretreated	pretreated	O	O
with	with	O	O
iprindole	iprindole	S_chemical	O
,	,	O	O
resulted	resulted	O	O
in	in	O	O
persistent	persistent	O	O
depletion	depletion	O	O
of	of	O	O
dopamine	dopamine	S_chemical	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
1	1	O	O
week	week	O	O
later	later	O	O
.	.	O	O

This	this	O	O
prolonged	prolonged	O	O
depletion	depletion	O	O
of	of	O	O
dopamine	dopamine	S_chemical	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
was	was	O	O
antagonized	antagonized	O	O
by	by	O	O
dizocilpine	dizocilpine	S_chemical	O
(	(	O	O
MK-801	mk-801	S_chemical	O
,	,	O	O
a	a	O	O
non-competitive	non-competitive	O	O
antagonist	antagonist	O	O
of	of	O	O
NMDA	nmda	S_chemical	O
receptors	receptors	O	O
)	)	O	O
or	or	O	O
by	by	O	O
LY274614	ly274614	S_chemical	O
(	(	O	O
a	a	O	O
competitive	competitive	O	O
antagonist	antagonist	O	O
of	of	O	O
NMDA	nmda	S_chemical	O
receptors	receptors	O	O
)	)	O	O
.	.	O	O

The	the	O	O
protective	protective	O	O
effect	effect	O	O
of	of	O	O
LY274614	ly274614	S_chemical	O
was	was	O	O
dose-dependent	dose-dependent	O	O
,	,	O	O
being	being	O	O
maximum	maximum	O	O
at	at	O	O
10	10	O	O
-	-	O	O
40	40	O	O
mgkg	mgkg	O	O
(	(	O	O
i.p	i.p	O	O
.	.	O	O
)	)	O	O
.	.	O	O

A	a	O	O
10	10	O	O
mg/kg	mg/kg	O	O
dose	dose	O	O
of	of	O	O
LY274614	ly274614	S_chemical	O
was	was	O	O
effective	effective	O	O
in	in	O	O
antagonizing	antagonizing	O	O
the	the	O	O
depletion	depletion	O	O
of	of	O	O
dopamine	dopamine	S_chemical	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
,	,	O	O
when	when	O	O
given	given	O	O
as	as	O	O
long	long	O	O
as	as	B_chemical	O
8	8	I_chemical	O
hr	hr	O	O
prior	prior	O	O
to	to	O	O
amphetamine	amphetamine	S_chemical	O
but	but	O	O
not	not	O	O
when	when	O	O
given	given	O	O
24	24	O	O
hr	hr	O	O
prior	prior	O	O
to	to	O	O
amphetamine	amphetamine	S_chemical	O
.	.	O	O

Depletion	depletion	O	O
of	of	O	O
dopamine	dopamine	S_chemical	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
was	was	O	O
also	also	O	O
antagonized	antagonized	O	O
when	when	O	O
LY274614	ly274614	S_chemical	O
was	was	O	O
given	given	O	O
after	after	O	O
