NO-induced	no-induced	O	O
migraine	migraine	O	S_disease
attack	attack	O	O
:	:	O	O
strong	strong	O	O
increase	increase	O	O
in	in	O	O
plasma	plasma	O	O
calcitonin	calcitonin	S_chemical	O
gene-related	gene-related	O	O
peptide	peptide	O	O
(	(	O	O
CGRP	cgrp	S_chemical	O
)	)	O	O
concentration	concentration	O	O
and	and	O	O
negative	negative	O	O
correlation	correlation	O	O
with	with	O	O
platelet	platelet	O	O
serotonin	serotonin	S_chemical	O
release	release	O	O
.	.	O	O

The	the	O	O
aim	aim	O	O
of	of	O	O
the	the	O	O
present	present	O	O
study	study	O	O
was	was	O	O
to	to	O	O
investigate	investigate	O	O
changes	changes	O	O
in	in	O	O
the	the	O	O
plasma	plasma	O	O
calcitonin	calcitonin	S_chemical	O
gene-related	gene-related	O	O
peptide	peptide	O	O
(	(	O	O
CGRP	cgrp	S_chemical	O
)	)	O	O
concentration	concentration	O	O
and	and	O	O
platelet	platelet	O	O
serotonin	serotonin	S_chemical	O
(	(	O	O
5-hydroxytriptamine	5-hydroxytriptamine	S_chemical	O
,	,	O	O
5-HT	5-ht	S_chemical	O
)	)	O	O
content	content	O	O
during	during	O	O
the	the	O	O
immediate	immediate	O	O
headache	headache	O	S_disease
and	and	O	O
the	the	O	O
delayed	delayed	O	O
genuine	genuine	O	O
migraine	migraine	O	S_disease
attack	attack	O	O
provoked	provoked	O	O
by	by	O	O
nitroglycerin	nitroglycerin	S_chemical	O
.	.	O	O

Fifteen	fifteen	O	O
female	female	O	O
migraineurs	migraineurs	O	O
(	(	O	O
without	without	O	O
aura	aura	O	O
)	)	O	O
and	and	O	O
eight	eight	O	O
controls	controls	O	O
participated	participated	O	O
in	in	O	O
the	the	O	O
study	study	O	O
.	.	O	O

Sublingual	sublingual	O	O
nitroglycerin	nitroglycerin	S_chemical	O
(	(	O	O
0.5	0.5	O	O
mg	mg	O	O
)	)	O	O
was	was	O	O
administered	administered	O	O
.	.	O	O

Blood	blood	O	O
was	was	O	O
collected	collected	O	O
from	from	O	O
the	the	O	O
antecubital	antecubital	O	O
vein	vein	O	O
four	four	O	O
times	times	O	O
:	:	O	O
60	60	O	O
min	min	O	O
before	before	O	O
and	and	O	O
after	after	O	O
the	the	O	O
nitroglycerin	nitroglycerin	S_chemical	O
application	application	O	O
,	,	O	O
and	and	O	O
60	60	O	O
and	and	O	O
120	120	O	O
min	min	O	O
after	after	O	O
the	the	O	O
beginning	beginning	O	O
of	of	O	O
the	the	O	O
migraine	migraine	O	S_disease
attack	attack	O	O
(	(	O	O
mean	mean	O	O
344	344	O	O
and	and	O	O
404	404	O	O
