Hypersensitivity	hypersensitivity	O	S_disease
immune	immune	O	O
reaction	reaction	O	O
as	as	O	O
a	a	O	O
mechanism	mechanism	O	O
for	for	O	O
dilevalol-associated	dilevalol-associated	O	O
hepatitis	hepatitis	O	S_disease
.	.	O	O

OBJECTIVE	objective	O	O
:	:	O	O
To	to	O	O
assess	assess	O	O
lymphocyte	lymphocyte	O	O
reactivity	reactivity	O	O
to	to	O	O
dilevalol	dilevalol	O	O
and	and	O	O
to	to	O	O
serum	serum	O	O
containing	containing	O	O
putative	putative	O	O
ex	ex	O	O
vivo	vivo	O	O
dilevalol	dilevalol	O	O
antigens	antigens	O	O
or	or	O	O
metabolites	metabolites	O	O
in	in	O	O
a	a	O	O
case	case	O	O
of	of	O	O
dilevalol-induced	dilevalol-induced	O	O
liver	liver	O	B_disease
injury	injury	O	I_disease
.	.	O	O

PATIENT	patient	O	O
:	:	O	O
A	a	O	O
58-year-old	58-year-old	O	O
woman	woman	O	O
with	with	O	O
a	a	O	O
clinical	clinical	O	O
diagnosis	diagnosis	O	O
of	of	O	O
dilevalol-induced	dilevalol-induced	O	O
liver	liver	O	B_disease
injury	injury	O	I_disease
.	.	O	O

METHODS	methods	O	O
:	:	O	O
Peripheral	peripheral	O	O
blood	blood	O	O
mononuclear	mononuclear	O	O
cells	cells	O	O
collected	collected	O	O
from	from	O	O
the	the	O	O
patient	patient	O	O
were	were	O	O
cultured	cultured	O	O
in	in	O	O
the	the	O	O
presence	presence	O	O
of	of	O	O
a	a	O	O
solution	solution	O	O
of	of	O	O
dilevalol	dilevalol	O	O
and	and	O	O
also	also	O	O
with	with	O	O
sera	sera	O	O
collected	collected	O	O
from	from	O	O
a	a	O	O
volunteer	volunteer	O	O
before	before	O	O
and	and	O	O
after	after	O	O
dilevalol	dilevalol	O	O
intake	intake	O	O
.	.	O	O

A	a	O	O
similar	similar	O	O
protocol	protocol	O	O
was	was	O	O
performed	performed	O	O
with	with	O	O
lymphocytes	lymphocytes	O	O
from	from	O	O
a	a	O	O
healthy	healthy	O	O
subject	subject	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
No	no	O	O
lymphocyte	lymphocyte	O	O
proliferation	proliferation	O	O
was	was	O	O
observed	observed	O	O
either	either	O	O
in	in	O	O
the	the	O	O
patient	patient	O	O
or	or	O	O
in	in	O	O
the	the	O	O
healthy	healthy	O	O
volunteer	volunteer	O	O
in	in	O	O
the	the	O	O
presence	presence	O	O
of	of	O	O
dilevalol	dilevalol	O	O
solutions	solutions	O	O
.	.	O	O

A	a	O	O
significant	significant	O	O
proliferative	proliferative	O	O
response	response	O	O
to	to	O	O
serum	serum	O	O
collected	collected	O	O
after	after	O	O
dilevalol	dilevalol	O	O
intake	intake	O	O
was	was	O	O
observed	observed	O	O
in	in	O	O
the	the	O	O
case	case	O	O
of	of	O	O
the	the	O	O
patient	patient	O	O
compared	compared	O	O
with	with	O	O
the	the	O	O
proliferative	proliferative	O	O
response	response	O	O
to	to	O	O
the	the	O	O
serum	serum	O	O
collected	collected	O	O
before	before	O	O
the	the	O	O
drug	drug	O	O
intake	intake	O	O
.	.	O	O

No	no	O	O
reactivity	reactivity	O	O
was	was	O	O
found	found	O	O
when	when	O	O
lymphocytes	lymphocytes	O	O
from	from	O	O
the	the	O	O
healthy	healthy	O	O
subject	subject	O	O
were	were	O	O
tested	tested	O	O
under	under	O	O
similar	similar	O	O
conditions	conditions	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
The	the	O	O
methodology	methodology	O	O
used	used	O	O
allowed	allowed	O	O
the	the	O	O
detection	detection	O	O
of	of	O	O
lymphocyte	lymphocyte	O	O
sensitization	sensitization	O	O
to	to	O	O
sera	sera	O	O
containing	containing	O	O
ex	ex	O	O
vivo-prepared	vivo-prepared	O	O
dilevalol	dilevalol	O	O
antigens	antigens	O	O
,	,	O	O
suggesting	suggesting	O	O
the	the	O	O
involvement	involvement	O	O
of	of	O	O
an	an	O	O
immunologic	immunologic	O	O
mechanism	mechanism	O	O
in	in	O	O
dilevalol-induced	dilevalol-induced	O	O
liver	liver	O	B_disease
injury	injury	O	I_disease
.	.	O	O

