Urinary	urinary	O	B_disease
bladder	bladder	O	B_disease
cancer	cancer	O	S_disease
in	in	O	O
Wegener	wegener	O	B_disease
's	's	O	I_disease
granulomatosis	granulomatosis	O	I_disease
:	:	O	O
risks	risks	O	O
and	and	O	O
relation	relation	O	O
to	to	O	O
cyclophosphamide	cyclophosphamide	S_chemical	O
.	.	O	O

OBJECTIVE	objective	O	O
:	:	O	O
To	to	O	O
assess	assess	O	O
and	and	O	O
characterise	characterise	O	O
the	the	O	O
risk	risk	O	O
of	of	O	O
bladder	bladder	O	B_disease
cancer	cancer	O	S_disease
,	,	O	O
and	and	O	O
its	its	O	O
relation	relation	O	O
to	to	O	O
cyclophosphamide	cyclophosphamide	S_chemical	O
,	,	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
Wegener	wegener	O	B_disease
's	's	O	I_disease
granulomatosis	granulomatosis	O	I_disease
.	.	O	O

METHODS	methods	O	O
:	:	O	O
In	in	O	O
the	the	O	O
population	population	O	O
based	based	O	O
,	,	O	O
nationwide	nationwide	O	O
Swedish	swedish	O	O
Inpatient	inpatient	O	O
Register	register	O	O
a	a	O	O
cohort	cohort	O	O
of	of	O	O
1065	1065	O	O
patients	patients	O	O
with	with	O	O
Wegener	wegener	O	B_disease
's	's	O	I_disease
granulomatosis	granulomatosis	O	I_disease
,	,	O	O
1969	1969	O	O
-	-	O	O
95	95	O	O
,	,	O	O
was	was	O	O
identified	identified	O	O
.	.	O	O

Through	through	O	O
linkage	linkage	O	O
with	with	O	O
the	the	O	O
Swedish	swedish	O	O
Cancer	cancer	O	S_disease
Register	register	O	O
,	,	O	O
all	all	O	O
subjects	subjects	O	O
in	in	O	O
this	this	O	O
cohort	cohort	O	O
diagnosed	diagnosed	O	O
with	with	O	O
bladder	bladder	O	B_disease
cancer	cancer	O	S_disease
were	were	O	O
identified	identified	O	O
.	.	O	O

Nested	nested	O	O
within	within	O	O
the	the	O	O
cohort	cohort	O	O
,	,	O	O
a	a	O	O
matched	matched	O	O
case-control	case-control	O	O
study	study	O	O
was	was	O	O
performed	performed	O	O
to	to	O	O
estimate	estimate	O	O
the	the	O	O
association	association	O	O
between	between	O	O
cyclophosphamide	cyclophosphamide	S_chemical	O
and	and	O	O
bladder	bladder	O	B_disease
cancer	cancer	O	S_disease
using	using	O	O
odds	odds	O	O
ratios	ratios	O	O
(	(	O	O
ORs	ors	O	O
)	)	O	O
as	as	O	O
relative	relative	O	O
risk	risk	O	O
.	.	O	O

In	in	O	O
the	the	O	O
cohort	cohort	O	O
the	the	O	O
cumulative	cumulative	O	O
risk	risk	O	O
of	of	O	O
bladder	bladder	O	B_disease
cancer	cancer	O	S_disease
after	after	O	O
Wegener	wegener	O	B_disease
's	's	O	I_disease
granulomatosis	granulomatosis	O	I_disease
,	,	O	O
and	and	O	O
the	the	O	O
relative	relative	O	O
prevalence	prevalence	O	O
of	of	O	O
a	a	O	O
history	history	O	O
of	of	O	O
bladder	bladder	O	B_disease
cancer	cancer	O	S_disease
at	at	O	O
the	the	O	O
time	time	O	O
of	of	O	O
diagnosis	diagnosis	O	O
of	of	O	O
Wegener	wegener	O	B_disease
's	's	O	I_disease
granulomatosis	granulomatosis	O	I_disease
,	,	O	O
were	were	O	O
also	also	O	O
estimated	estimated	O	O
.	.	O	O

