Safety	safety	O	O
and	and	O	O
adverse	adverse	O	O
effects	effects	O	O
associated	associated	O	O
with	with	O	O
raloxifene	raloxifene	S_chemical	O
:	:	O	O
multiple	multiple	O	O
outcomes	outcomes	O	O
of	of	O	O
raloxifene	raloxifene	S_chemical	O
evaluation	evaluation	O	O
.	.	O	O

OBJECTIVE	objective	O	O
:	:	O	O
To	to	O	O
examine	examine	O	O
the	the	O	O
effect	effect	O	O
of	of	O	O
raloxifene	raloxifene	S_chemical	O
on	on	O	O
major	major	O	O
adverse	adverse	O	O
events	events	O	O
that	that	O	O
occur	occur	O	O
with	with	O	O
postmenopausal	postmenopausal	O	O
estrogen	estrogen	S_chemical	O
therapy	therapy	O	O
or	or	O	O
tamoxifen	tamoxifen	S_chemical	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
The	the	O	O
Multiple	multiple	O	O
Outcomes	outcomes	O	O
of	of	O	O
Raloxifene	raloxifene	S_chemical	O
Evaluation	evaluation	O	O
,	,	O	O
a	a	O	O
multicenter	multicenter	O	O
,	,	O	O
randomized	randomized	O	O
,	,	O	O
double-blind	double-blind	O	O
trial	trial	O	O
,	,	O	O
enrolled	enrolled	O	O
7,705	7,705	O	O
postmenopausal	postmenopausal	O	O
women	women	O	O
with	with	O	O
osteoporosis	osteoporosis	O	S_disease
.	.	O	O

Women	women	O	O
were	were	O	O
randomly	randomly	O	O
assigned	assigned	O	O
to	to	O	O
raloxifene	raloxifene	S_chemical	O
60	60	O	O
mg/d	mg/d	O	O
or	or	O	O
120	120	O	O
mg/d	mg/d	O	O
or	or	O	O
placebo	placebo	O	O
.	.	O	O

Outcomes	outcomes	O	O
included	included	O	O
venous	venous	O	B_disease
thromboembolism	thromboembolism	O	I_disease
,	,	O	O
cataracts	cataracts	O	S_disease
,	,	O	O
gallbladder	gallbladder	O	B_disease
disease	disease	O	I_disease
,	,	O	O
and	and	O	O
endometrial	endometrial	O	B_disease
hyperplasia	hyperplasia	O	I_disease
or	or	O	O
cancer	cancer	O	S_disease
.	.	O	O

RESULTS	results	O	O
:	:	O	O
During	during	O	O
a	a	O	O
mean	mean	O	O
follow-up	follow-up	O	O
of	of	O	O
3.3	3.3	O	O
years	years	O	O
,	,	O	O
raloxifene	raloxifene	S_chemical	O
was	was	O	O
associated	associated	O	O
with	with	O	O
an	an	O	O
increased	increased	O	O
risk	risk	O	O
for	for	O	O
venous	venous	O	B_disease
thromboembolism	thromboembolism	O	I_disease
(	(	O	O
relative	relative	O	O
risk	risk	O	O
[	[	O	O
RR	rr	O	O
]	]	O	O
2.1	2.1	O	O
;	;	O	O
95	95	O	O
%	%	O	O
confidence	confidence	O	O
interval	interval	O	O
[	[	O	O
CI	ci	O	O
]	]	O	O
1.2	1.2	O	O
-	-	O	O
3.8	3.8	O	O
)	)	O	O
.	.	O	O

The	the	O	O
excess	excess	O	O
event	event	O	O
rate	rate	O	O
was	was	O	O
1.8	1.8	O	O
per	per	O	O
1,000	1,000	O	O
woman-years	woman-years	O	O
(	(	O	O
95	95	O	O
%	%	O	O
CI	ci	O	O
-0.5	-0.5	O	O
-	-	O	O
4.1	4.1	O	O
)	)	O	O
