Does	does	O	O
supplemental	supplemental	O	O
vitamin	vitamin	O	O
C	c	O	O
increase	increase	O	O
cardiovascular	cardiovascular	O	B_disease
disease	disease	O	I_disease
risk	risk	O	O
in	in	O	O
women	women	O	O
with	with	O	O
diabetes?BACKGROUND	diabetes?background	O	O
:	:	O	O
Vitamin	vitamin	O	O
C	c	O	O
acts	acts	O	O
as	as	O	O
a	a	O	O
potent	potent	O	O
antioxidant	antioxidant	O	O
;	;	O	O
however	however	O	O
,	,	O	O
it	it	O	O
can	can	O	O
also	also	O	O
be	be	O	O
a	a	O	O
prooxidant	prooxidant	O	O
and	and	O	O
glycate	glycate	O	O
protein	protein	O	O
under	under	O	O
certain	certain	O	O
circumstances	circumstances	O	O
in	in	O	O
vitro	vitro	O	O
.	.	O	O

These	these	O	O
observations	observations	O	O
led	led	O	O
us	us	O	O
to	to	O	O
hypothesize	hypothesize	O	O
that	that	O	O
a	a	O	O
high	high	O	O
intake	intake	O	O
of	of	O	O
vitamin	vitamin	O	O
C	c	O	O
in	in	O	O
diabetic	diabetic	O	S_disease
persons	persons	O	O
might	might	O	O
promote	promote	O	O
atherosclerosis	atherosclerosis	O	S_disease
.	.	O	O

OBJECTIVE	objective	O	O
:	:	O	O
The	the	O	O
objective	objective	O	O
was	was	O	O
to	to	O	O
examine	examine	O	O
the	the	O	O
relation	relation	O	O
between	between	O	O
vitamin	vitamin	O	O
C	c	O	O
intake	intake	O	O
and	and	O	O
mortality	mortality	O	O
from	from	O	O
cardiovascular	cardiovascular	O	B_disease
disease	disease	O	I_disease
.	.	O	O

DESIGN	design	O	O
:	:	O	O
We	we	O	O
studied	studied	O	O
the	the	O	O
relation	relation	O	O
between	between	O	O
vitamin	vitamin	O	O
C	c	O	O
intake	intake	O	O
and	and	O	O
mortality	mortality	O	O
from	from	O	O
total	total	O	O
cardiovascular	cardiovascular	O	B_disease
disease	disease	O	I_disease
(	(	O	O
n	n	O	O
=	=	O	O
281	281	O	O
)	)	O	O
,	,	O	O
coronary	coronary	O	B_disease
artery	artery	O	I_disease
disease	disease	O	I_disease
(	(	O	O
n	n	O	O
=	=	O	O
175	175	O	O
)	)	O	O
,	,	O	O
and	and	O	O
stroke	stroke	O	S_disease
(	(	O	O
n	n	O	O
=	=	O	O
57	57	O	O
)	)	O	O
in	in	O	O
1923	1923	O	O
postmenopausal	postmenopausal	O	O
women	women	O	O
who	who	O	O
reported	reported	O	O
being	being	O	O
diabetic	diabetic	O	S_disease
at	at	O	O
baseline	baseline	O	O
.	.	O	O

Diet	diet	O	O
was	was	O	O
assessed	assessed	O	O
with	with	O	O
a	a	O	O
food-frequency	food-frequency	O	O
questionnaire	questionnaire	O	O
at	at	O	O
baseline	baseline	O	O
,	,	O	O
and	and	O	O
subjects	subjects	O	O
initially	initially	O	O
free	free	O	O
of	of	O	O
coronary	coronary	O	B_disease
artery	artery	O	I_disease
disease	disease	O	I_disease
were	were	O	O
prospectively	prospectively	O	O
followed	followed	O	O
for	for	O	O
15	15	O	O
y.	y.	O	O
RESULTS	results	O	O
:	:	O	O
After	after	O	O
adjustment	adjustment	O	O
for	for	O	O
cardiovascular	cardiovascular	O	B_disease
disease	disease	O	I_disease
risk	risk	O	O
factors	factors	O	O
,	,	O	O
type	type	O	O
of	of	O	O
diabetes	diabetes	O	S_disease
medication	medication	O	O
used	used	O	O
,	,	O	O
duration	duration	O	O
of	of	O	O
diabetes	diabetes	O	S_disease
,	,	O	O
and	and	O	O
intakes	intakes	O	O
of	of	O	O
folate	folate	S_chemical	O
,	,	O	O
vitamin	vitamin	B_chemical	O
E	e	I_chemical	O
,	,	O	O
and	and	O	O
beta-carotene	beta-carotene	O	O
,	,	O	O
the	the	O	O
adjusted	adjusted	O	O
relative	relative	O	O
risks	risks	O	O
of	of	O	O
total	total	O	O
cardiovascular	cardiovascular	O	B_disease
disease	disease	O	I_disease
mortality	mortality	O	O
were	were	O	O
1.0	1.0	O	O
,	,	O	O
0.97	0.97	O	O
,	,	O	O
1.11	1.11	O	O
,	,	O	O
1.47	1.47	O	O
,	,	O	O
and	and	O	O
1.84	1.84	O	O
(	(	O	O
P	p	O	O
for	for	O	O
trend	trend	O	O
<	<	O	O
0.01	0.01	O	O
)	)	O	O
across	across	O	O
quintiles	quintiles	O	O
of	of	O	O
total	total	O	O
vitamin	vitamin	O	O
C	c	O	O
intake	intake	O	O
from	from	O	O
food	food	O	O
and	and	O	O
supplements	supplements	O	O
.	.	O	O

Adjusted	adjusted	O	O
relative	relative	O	O
risks	risks	O	O
of	of	O	O
coronary	coronary	O	B_disease
artery	artery	O	I_disease
disease	disease	O	I_disease
were	were	O	O
1.0	1.0	O	O
,	,	O	O
0.81	0.81	O	O
,	,	O	O
0.99	0.99	O	O
,	,	O	O
1.26	1.26	O	O
,	,	O	O
and	and	O	O
1.91	1.91	O	O
(	(	O	O
P	p	O	O
for	for	O	O
trend	trend	O	O
=	=	O	O
0.01	0.01	O	O
)	)	O	O
and	and	O	O
of	of	O	O
stroke	stroke	O	S_disease
were	were	O	O
1.0	1.0	O	O
,	,	O	O
0.52	0.52	O	O
,	,	O	O
1.23	1.23	O	O
,	,	O	O
2.22	2.22	O	O
,	,	O	O
and	and	O	O
2.57	2.57	O	O
(	(	O	O
P	p	O	O
for	for	O	O
trend	trend	O	O
<	<	O	O
0.01	0.01	O	O
)	)	O	O
.	.	O	O

When	when	O	O
dietary	dietary	O	O
and	and	O	O
supplemental	supplemental	O	O
vitamin	vitamin	O	O
C	c	O	O
were	were	O	O
analyzed	analyzed	O	O
separately	separately	O	O
,	,	O	O
only	only	O	O
supplemental	supplemental	O	O
vitamin	vitamin	O	O
C	c	O	O
showed	showed	O	O
a	a	O	O
positive	positive	O	O
association	association	O	O
with	with	O	O
mortality	mortality	O	O
endpoints	endpoints	O	O
.	.	O	O

Vitamin	vitamin	O	O
C	c	O	O
intake	intake	O	O
was	was	O	O
unrelated	unrelated	O	O
to	to	O	O
mortality	mortality	O	O
from	from	O	O
cardiovascular	cardiovascular	O	B_disease
disease	disease	O	I_disease
in	in	O	O
the	the	O	O
nondiabetic	nondiabetic	O	S_disease
subjects	subjects	O	O
at	at	O	O
baseline	baseline	O	O
.	.	O	O

CONCLUSION	conclusion	O	O
:	:	O	O
A	a	O	O
high	high	O	O
vitamin	vitamin	O	O
C	c	O	O
intake	intake	O	O
from	from	O	O
supplements	supplements	O	O
is	is	O	O
associated	associated	O	B_disease
with	with	O	I_disease
an	an	O	O
