Adequate	adequate	O	O
timing	timing	O	O
of	of	O	O
ribavirin	ribavirin	S_chemical	O
reduction	reduction	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
hemolysis	hemolysis	O	S_disease
during	during	O	O
combination	combination	O	O
therapy	therapy	O	O
of	of	O	O
interferon	interferon	O	O
and	and	O	O
ribavirin	ribavirin	S_chemical	O
for	for	O	O
chronic	chronic	O	O
hepatitis	hepatitis	O	S_disease
C.BACKGROUND	c.background	O	O
:	:	O	O
Hemolytic	hemolytic	O	B_disease
anemia	anemia	O	S_disease
is	is	O	O
one	one	O	O
of	of	O	O
the	the	O	O
major	major	O	O
adverse	adverse	O	O
events	events	O	O
of	of	O	O
the	the	O	O
combination	combination	O	O
therapy	therapy	O	O
of	of	O	O
interferon	interferon	O	O
and	and	O	O
ribavirin	ribavirin	S_chemical	O
.	.	O	O

Because	because	O	O
of	of	O	O
ribavirin-related	ribavirin-related	O	O
hemolytic	hemolytic	O	B_disease
anemia	anemia	O	S_disease
,	,	O	O
dose	dose	O	O
reduction	reduction	O	O
is	is	O	O
a	a	O	O
common	common	O	O
event	event	O	O
in	in	O	O
this	this	O	O
therapy	therapy	O	O
.	.	O	O

In	in	O	O
this	this	O	O
clinical	clinical	O	O
retrospective	retrospective	O	O
cohort	cohort	O	O
study	study	O	O
we	we	O	O
have	have	O	O
examined	examined	O	O
the	the	O	O
suitable	suitable	O	O
timing	timing	O	O
of	of	O	O
ribavirin	ribavirin	S_chemical	O
reduction	reduction	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
hemolysis	hemolysis	O	S_disease
during	during	O	O
combination	combination	O	O
therapy	therapy	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
Thirty-seven	thirty-seven	O	O
of	of	O	O
160	160	O	O
patients	patients	O	O
who	who	O	O
had	had	O	O
HCV-genotype	hcv-genotype	O	O
1b	1b	O	O
,	,	O	O
had	had	O	O
high	high	O	O
virus	virus	O	O
load	load	O	O
,	,	O	O
and	and	O	O
received	received	O	O
24-week	24-week	O	O
combination	combination	O	O
therapy	therapy	O	O
developed	developed	O	O
anemia	anemia	O	S_disease
with	with	O	O
hemoglobin	hemoglobin	O	O
level	level	O	O
<	<	O	O
10	10	O	O
g/dl	g/dl	O	O
or	or	O	O
anemia-related	anemia-related	O	O
signs	signs	O	O
during	during	O	O
therapy	therapy	O	O
.	.	O	O

After	after	O	O
that	that	O	O
,	,	O	O
these	these	O	O
37	37	O	O
patients	patients	O	O
were	were	O	O
reduced	reduced	O	O
one	one	O	O
tablet	tablet	O	O
of	of	O	O
ribavirin	ribavirin	S_chemical	O
(	(	O	O
200	200	O	O
mg	mg	O	O
)	)	O	O
per	per	O	O
day	day	O	O
.	.	O	O

After	after	O	O
reduction	reduction	O	O
of	of	O	O
ribavirin	ribavirin	S_chemical	O
,	,	O	O
27	27	O	O
of	of	O	O
37	37	O	O
patients	patients	O	O
could	could	O	O
continue	continue	O	O
combination	combination	O	O
therapy	therapy	O	O
for	for	O	O
a	a	O	O
total	total	O	O
of	of	O	O
24	24	O	O
weeks	weeks	O	O
(	(	O	O
group	group	O	O
A	a	O	O
)	)	O	O
.	.	O	O

However	however	O	O
,	,	O	O
10	10	O	O
of	of	O	O
37	37	O	O
patients	patients	O	O
with	with	O	O
reduction	reduction	O	O
of	of	O	O
ribavirin	ribavirin	S_chemical	O
could	could	O	O
not	not	O	O
continue	continue	O	O
combination	combination	O	O
therapy	therapy	O	O
because	because	O	O
their	their	O	O
<	<	O	O
8.5	8.5	O	O
g/dl	g/dl	O	O
hemoglobin	hemoglobin	O	O
values	values	O	O
decreased	decreased	O	O
to	to	O	O
or	or	O	O
anemia-related	anemia-related	O	O
severe	severe	O	O
side	side	O	O
effects	effects	O	O
occurred	occurred	O	O
(	(	O	O
group	group	O	O
B	b	O	O
)	)	O	O
.	.	O	O

We	we	O	O
assessed	assessed	O	O
the	the	O	O
final	final	O	O
efficacy	efficacy	O	O
and	and	O	O
safety	safety	O	O
after	after	O	O
reduction	reduction	O	O
of	of	O	O
ribavirin	ribavirin	S_chemical	O
in	in	O	O
groups	groups	O	O
A	a	O	O
and	and	O	O
B.	b.	O	O
RESULTS	results	O	O
:	:	O	O
A	a	O	O
sustained	sustained	O	O
virological	virological	O	O
response	response	O	O
(	(	O	O
SVR	svr	O	O
)	)	O	O
was	was	O	O
29.6	29.6	O	O
%	%	O	O
(	(	O	O
8/27	8/27	O	O
)	)	O	O
in	in	O	O
group	group	O	O
A	a	O	O
and	and	O	O
10	10	O	O
%	%	O	O
(	(	O	O
1/10	1/10	O	O
)	)	O	O
in	in	O	O
group	group	O	O
B	b	O	O
,	,	O	O
respectively	respectively	O	O
.	.	O	O

A	a	O	O
34.4	34.4	O	O
%	%	O	O
(	(	O	O
12/27	12/27	O	O
)	)	O	O
of	of	O	O
SVR	svr	O	O
+	+	O	O
biological	biological	O	O
response	response	O	O
in	in	O	O
group	group	O	O
A	a	O	O
was	was	O	O
higher	higher	O	O
than	than	O	O
10	10	O	O
%	%	O	O
(	(	O	O
1/10	1/10	O	O
)	)	O	O
in	in	O	O
group	group	O	O
B	b	O	O
(	(	O	O
P	p	O	O
=	=	O	O
0.051	0.051	O	O
)	)	O	O
,	,	O	O
with	with	O	O
slight	slight	O	O
significance	significance	O	O
.	.	O	O

With	with	O	O
respect	respect	O	O
to	to	O	O
hemoglobin	hemoglobin	O	O
level	level	O	O
at	at	O	O
the	the	O	O
time	time	O	O
of	of	O	O
ribavirin	ribavirin	S_chemical	O
reduction	reduction	O	O
,	,	O	O
a	a	O	O
rate	rate	O	O
of	of	O	O
continuation	continuation	O	O
of	of	O	O
therapy	therapy	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
>	>	O	O
or	or	O	O
=	=	O	O
10	10	O	O
g/dl	g/dl	O	O
hemoglobin	hemoglobin	O	O
was	was	O	O
higher	higher	O	O
than	than	O	O
that	that	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
<	<	O	O
10	10	O	O
g/dl	g/dl	O	O
(	(	O	O
P	p	O	O
=	=	O	O
0.036	0.036	O	O
)	)	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
Reduction	reduction	O	O
of	of	O	O
ribavirin	ribavirin	S_chemical	O
at	at	O	O
hemoglobin	hemoglobin	O	O
level	level	O	O
>	>	O	O
or	or	O	O
=	=	O	O
10	10	O	O
g/dl	g/dl	O	O
is	is	O	O
suitable	suitable	O	O
in	in	O	O
terms	terms	O	O
of	of	O	O
efficacy	efficacy	O	O
and	and	O	O
side	side	O	O
effects	effects	O	O
.	.	O	O

