Relation	relation	O	O
of	of	O	O
perfusion	perfusion	O	O
defects	defects	O	O
observed	observed	O	O
with	with	O	O
myocardial	myocardial	O	O
contrast	contrast	O	O
echocardiography	echocardiography	O	O
to	to	O	O
the	the	O	O
severity	severity	O	O
of	of	O	O
coronary	coronary	O	B_disease
stenosis	stenosis	O	I_disease
:	:	O	O
correlation	correlation	O	O
with	with	O	O
thallium-201	thallium-201	O	O
single-photon	single-photon	O	O
emission	emission	O	O
tomography	tomography	O	O
.	.	O	O

It	it	O	O
has	has	O	O
been	been	O	O
previously	previously	O	O
shown	shown	O	O
that	that	O	O
myocardial	myocardial	O	O
contrast	contrast	O	O
echocardiography	echocardiography	O	O
is	is	O	O
a	a	O	O
valuable	valuable	O	O
technique	technique	O	O
for	for	O	O
delineating	delineating	O	O
regions	regions	O	O
of	of	O	O
myocardial	myocardial	O	O
underperfusion	underperfusion	O	O
secondary	secondary	O	O
to	to	O	O
coronary	coronary	O	B_disease
occlusion	occlusion	O	I_disease
and	and	O	O
to	to	O	O
critical	critical	O	O
coronary	coronary	O	B_disease
stenoses	stenoses	O	I_disease
in	in	O	O
the	the	O	O
presence	presence	O	O
of	of	O	O
hyperemic	hyperemic	O	O
stimulation	stimulation	O	O
.	.	O	O

The	the	O	O
aim	aim	O	O
of	of	O	O
this	this	O	O
study	study	O	O
was	was	O	O
to	to	O	O
determine	determine	O	O
whether	whether	O	O
myocardial	myocardial	O	O
contrast	contrast	O	O
echocardiography	echocardiography	O	O
performed	performed	O	O
with	with	O	O
a	a	O	O
stable	stable	O	O
solution	solution	O	O
of	of	O	O
sonicated	sonicated	O	O
albumin	albumin	O	O
could	could	O	O
detect	detect	O	O
regions	regions	O	O
of	of	O	O
myocardial	myocardial	O	O
underperfusion	underperfusion	O	O
resulting	resulting	O	O
from	from	O	O
various	various	O	O
degrees	degrees	O	O
of	of	O	O
coronary	coronary	O	B_disease
stenosis	stenosis	O	I_disease
.	.	O	O

The	the	O	O
perfusion	perfusion	O	O
defect	defect	O	O
produced	produced	O	O
in	in	O	O
16	16	O	O
open	open	O	O
chest	chest	O	O
dogs	dogs	O	O
was	was	O	O
compared	compared	O	O
with	with	O	O
the	the	O	O
anatomic	anatomic	O	O
area	area	O	O
at	at	O	O
risk	risk	O	O
measured	measured	O	O
by	by	O	O
the	the	O	O
postmortem	postmortem	O	O
dual-perfusion	dual-perfusion	O	O
technique	technique	O	O
and	and	O	O
with	with	O	O
thallium-201	thallium-201	O	O
single-photon	single-photon	O	O
emission	emission	O	O
tomography	tomography	O	O
(	(	O	O
SPECT	spect	O	O
)	)	O	O
.	.	O	O

During	during	O	O
a	a	O	O
transient	transient	O	O
(	(	O	O
20-s	20-s	O	O
)	)	O	O
coronary	coronary	O	B_disease
occlusion	occlusion	O	I_disease
,	,	O	O
a	a	O	O
perfusion	perfusion	O	O
defect	defect	O	O
was	was	O	O
observed	observed	O	O
with	with	O	O
contrast	contrast	O	O
echocardiography	echocardiography	O	O
in	in	O	O
14	14	O	O
of	of	O	O
the	the	O	O
15	15	O	O
dogs	dogs	O	O
in	in	O	O
which	which	O	O
the	the	O	O
occlusion	occlusion	O	O
was	was	O	O
produced	produced	O	O
.	.	O	O

The	the	O	O
perfusion	perfusion	O	O
defect	defect	O	O
correlated	correlated	O	O
significantly	significantly	O	O
with	with	O	O
the	the	O	O
anatomic	anatomic	O	O
area	area	O	O
at	at	O	O
risk	risk	O	O
(	(	O	O
r	r	O	O
=	=	O	O
0.74	0.74	O	O
;	;	O	O
p	p	O	O
less	less	O	O
than	than	O	O
