Absence	absence	O	O
of	of	O	O
acute	acute	O	O
cerebral	cerebral	O	O
vasoconstriction	vasoconstriction	O	O
after	after	O	O
cocaine-associated	cocaine-associated	O	O
subarachnoid	subarachnoid	O	B_disease
hemorrhage	hemorrhage	O	S_disease
.	.	O	O

INTRODUCTION	introduction	O	O
:	:	O	O
Cocaine	cocaine	S_chemical	O
use	use	O	O
has	has	O	O
been	been	O	O
associated	associated	O	B_disease
with	with	O	I_disease
neurovascular	neurovascular	O	B_disease
complications	complications	O	I_disease
,	,	O	O
including	including	O	O
arterial	arterial	O	O
vasoconstriction	vasoconstriction	O	O
and	and	O	O
vasculitis	vasculitis	O	S_disease
.	.	O	O

However	however	O	O
,	,	O	O
there	there	O	O
are	are	O	O
few	few	O	O
studies	studies	O	O
of	of	O	O
angiographic	angiographic	O	S_disease
effects	effects	O	O
of	of	O	O
cocaine	cocaine	S_chemical	O
on	on	O	O
human	human	O	O
cerebral	cerebral	O	O
arteries	arteries	O	O
.	.	O	O

Information	information	O	O
on	on	O	O
these	these	O	O
effects	effects	O	O
could	could	O	O
be	be	O	O
obtained	obtained	O	O
from	from	O	O
angiograms	angiograms	O	O
of	of	O	O
patients	patients	O	O
with	with	O	O
cocaine-associated	cocaine-associated	O	O
subarachnoid	subarachnoid	O	B_disease
hemorrhage	hemorrhage	O	S_disease
(	(	O	O
SAH	sah	O	O
)	)	O	O
who	who	O	O
underwent	underwent	O	O
angiography	angiography	O	O
shortly	shortly	O	O
after	after	O	O
cocaine	cocaine	S_chemical	O
use	use	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
We	we	O	O
screened	screened	O	O
patients	patients	O	O
with	with	O	O
SAH	sah	O	O
retrospectively	retrospectively	O	O
and	and	O	O
identified	identified	O	O
those	those	O	O
with	with	O	O
positive	positive	O	O
urine	urine	O	O
toxicology	toxicology	O	O
for	for	O	O
cocaine	cocaine	S_chemical	O
or	or	O	O
its	its	O	O
metabolites	metabolites	O	O
.	.	O	O

Quantitative	quantitative	O	O
arterial	arterial	O	O
diameter	diameter	O	O
measurements	measurements	O	O
from	from	O	O
angiograms	angiograms	O	O
of	of	O	O
these	these	O	O
patients	patients	O	O
were	were	O	O
compared	compared	O	O
to	to	O	O
measurements	measurements	O	O
from	from	O	O
control	control	O	O
patients	patients	O	O
with	with	O	O
SAH	sah	O	O
who	who	O	O
were	were	O	O
matched	matched	O	O
for	for	O	O
factors	factors	O	O
known	known	O	O
to	to	O	O
influence	influence	O	O
arterial	arterial	O	O
diameter	diameter	O	O
.	.	O	O

Qualitative	qualitative	O	O
comparisons	comparisons	O	O
of	of	O	O
small	small	O	O
artery	artery	O	O
changes	changes	O	O
also	also	O	O
were	were	O	O
made	made	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Thirteen	thirteen	O	O
patients	patients	O	O
with	with	O	O
positive	positive	O	O
cocaine	cocaine	S_chemical	O
toxicology	toxicology	O	O
were	were	O	O
compared	compared	O	O
to	to	O	O
26	26	O	O
controls	controls	O	O
.	.	O	O

There	there	O	O
were	were	O	O
no	no	O	O
significant	significant	O	O
differences	differences	O	O
between	between	O	O
groups	groups	O	O
in	in	O	O
the	the	O	O
mean	mean	O	O
diameters	diameters	O	O
of	of	O	O
the	the	O	O
intradural	intradural	O	O
internal	internal	O	O
carotid	carotid	O	O
,	,	O	O
sphenoidal	sphenoidal	O	O
segment	segment	O	O
of	of	O	O
the	the	O	O
middle	middle	O	O
cerebral	cerebral	O	O
,	,	O	O
precommunicating	precommunicating	O	O
segment	segment	O	O
of	of	O	O
the	the	O	O
anterior	anterior	O	O
cerebral	cerebral	O	O
,	,	O	O
or	or	O	O
basilar	basilar	O	O
arteries	arteries	O	O
(	(	O	O
p	p	O	O
greater	greater	O	O
than	than	O	O
0.05	0.05	O	O
for	for	O	O
all	all	O	O
comparisons	comparisons	O	O
,	,	O	O
unpaired	unpaired	O	O
t-tests	t-tests	O	O
)	)	O	O
.	.	O	O

There	there	O	O
also	also	O	O
were	were	O	O
no	no	O	O
significant	significant	O	O
differences	differences	O	O
between	between	O	O
groups	groups	O	O
when	when	O	O
expressing	expressing	O	O
diameters	diameters	O	O
as	as	O	O
the	the	O	O
sum	sum	O	O
of	of	O	O
the	the	O	O
precommunicating	precommunicating	O	O
segment	segment	O	O
of	of	O	O
the	the	O	O
anterior	anterior	O	O
cerebral	cerebral	O	O
+	+	O	O
sphenoidal	sphenoidal	O	O
segment	segment	O	O
of	of	O	O
the	the	O	O
middle	middle	O	O
cerebral	cerebral	O	O
+	+	O	O
supraclinoid	supraclinoid	O	O
internal	internal	O	O
carotid	carotid	O	O
artery	artery	O	O
+	+	O	O
basilar	basilar	O	O
artery	artery	O	O
divided	divided	O	O
by	by	O	O
the	the	O	O
diameter	diameter	O	O
of	of	O	O
the	the	O	O
petrous	petrous	O	O
internal	internal	O	O
carotid	carotid	O	O
artery	artery	O	O
(	(	O	O
p	p	O	O
greater	greater	O	O
than	than	O	O
0.05	0.05	O	O
,	,	O	O
unpaired	unpaired	O	O
t-tests	t-tests	O	O
)	)	O	O
.	.	O	O

Qualitative	qualitative	O	O
assessments	assessments	O	O
showed	showed	O	O
two	two	O	O
arterial	arterial	O	O
irregularities	irregularities	O	O
in	in	O	O
the	the	O	O
distal	distal	O	O
vasculature	vasculature	O	O
in	in	O	O
each	each	O	O
group	group	O	O
.	.	O	O

CONCLUSION	conclusion	O	O
:	:	O	O
No	no	O	O
quantitative	quantitative	O	O
evidence	evidence	O	O
for	for	O	O
narrowing	narrowing	O	O
of	of	O	O
large	large	O	O
cerebral	cerebral	O	O
arteries	arteries	O	O
or	or	O	O
qualitative	qualitative	O	O
angiographic	angiographic	O	S_disease
evidence	evidence	O	O
for	for	O	O
distal	distal	O	B_disease
narrowing	narrowing	O	I_disease
or	or	O	O
vasculitis	vasculitis	O	S_disease
could	could	O	O
be	be	O	O
found	found	O	O
in	in	O	O
patients	patients	O	O
who	who	O	O
underwent	underwent	O	O
angiography	angiography	O	O
after	after	O	O
aneurysmal	aneurysmal	O	O
SAH	sah	O	O
associated	associated	O	B_disease
with	with	O	I_disease
cocaine	cocaine	S_chemical	O
use	use	O	O
.	.	O	O

