Adverse	adverse	O	O
effect	effect	O	O
of	of	O	O
the	the	O	O
calcium	calcium	S_chemical	O
channel	channel	O	O
blocker	blocker	O	O
nitrendipine	nitrendipine	S_chemical	O
on	on	O	O
nephrosclerosis	nephrosclerosis	O	O
in	in	O	O
rats	rats	O	O
with	with	O	O
renovascular	renovascular	O	B_disease
hypertension	hypertension	O	S_disease
.	.	O	O

The	the	O	O
effect	effect	O	O
of	of	O	O
a	a	O	O
6-week	6-week	O	O
treatment	treatment	O	O
with	with	O	O
the	the	O	O
calcium	calcium	S_chemical	O
channel	channel	O	O
blocker	blocker	O	O
nitrendipine	nitrendipine	S_chemical	O
or	or	O	O
the	the	O	O
angiotensin	angiotensin	S_chemical	O
converting	converting	O	O
enzyme	enzyme	O	O
inhibitor	inhibitor	O	O
enalapril	enalapril	S_chemical	O
on	on	O	O
blood	blood	O	O
pressure	pressure	O	O
,	,	O	O
albuminuria	albuminuria	O	S_disease
,	,	O	O
renal	renal	O	O
hemodynamics	hemodynamics	O	O
,	,	O	O
and	and	O	O
morphology	morphology	O	O
of	of	O	O
the	the	O	O
nonclipped	nonclipped	O	O
kidney	kidney	O	O
was	was	O	O
studied	studied	O	O
in	in	O	O
rats	rats	O	O
with	with	O	O
two-kidney	two-kidney	O	O
,	,	O	O
one	one	O	O
clip	clip	O	O
renovascular	renovascular	O	B_disease
hypertension	hypertension	O	S_disease
.	.	O	O

Six	six	O	O
weeks	weeks	O	O
after	after	O	O
clipping	clipping	O	O
of	of	O	O
one	one	O	O
renal	renal	O	B_disease
artery	artery	O	I_disease
,	,	O	O
hypertensive	hypertensive	O	S_disease
rats	rats	O	O
(	(	O	O
178	178	O	O
+	+	O	O
/-	/-	O	O
4	4	O	O
mm	mm	O	O
Hg	hg	O	O
)	)	O	O
were	were	O	O
randomly	randomly	O	O
assigned	assigned	O	O
to	to	O	O
three	three	O	O
groups	groups	O	O
:	:	O	O
untreated	untreated	O	O
hypertensive	hypertensive	O	S_disease
controls	controls	O	O
(	(	O	O
n	n	O	O
=	=	O	O
8)	8)	O	O
,	,	O	O
enalapril-treated	enalapril-treated	O	O
(	(	O	O
n	n	O	O
=	=	O	O
8)	8)	O	O
,	,	O	O
or	or	O	O
nitrendipine-treated	nitrendipine-treated	O	O
(	(	O	O
n	n	O	O
=	=	O	O
10	10	O	O
)	)	O	O
.	.	O	O

Sham-operated	sham-operated	O	O
rats	rats	O	O
served	served	O	O
as	as	O	O
normotensive	normotensive	O	O
controls	controls	O	O
(	(	O	O
128	128	O	O
+	+	O	O
/-	/-	O	O
3	3	O	O
mm	mm	O	O
Hg	hg	O	O
,	,	O	O
n	n	O	O
=	=	O	O
8)	8)	O	O
.	.	O	O

After	after	O	O
6	6	O	O
weeks	weeks	O	O
of	of	O	O
treatment	treatment	O	O
,	,	O	O
renal	renal	O	O
hemodynamics	hemodynamics	O	O
(	(	O	O
glomerular	glomerular	O	O
filtration	filtration	O	O
rate	rate	O	O
and	and	O	O
renal	renal	O	O
plasma	plasma	O	O
flow	flow	O	O
)	)	O	O
were	were	O	O
measured	measured	O	O
in	in	O	O
the	the	O	O
anesthetized	anesthetized	O	O
rats	rats	O	O
.	.	O	O

Renal	renal	O	B_disease
tissue	tissue	O	I_disease
was	was	O	O
obtained	obtained	O	O
for	for	O	O
determination	determination	O	O
of	of	O	O
glomerular	glomerular	O	O
size	size	O	O
and	and	O	O
sclerosis	sclerosis	O	O
.	.	O	O

Enalapril	enalapril	S_chemical	O
but	but	O	O
not	not	O	O
nitrendipine	nitrendipine	S_chemical	O
reduced	reduced	O	O
blood	blood	O	O
pressure	pressure	O	O
significantly	significantly	O	O
.	.	O	O

After	after	O	O
6	6	O	O
weeks	weeks	O	O
of	of	O	O
therapy	therapy	O	O
,	,	O	O
glomerular	glomerular	O	O
filtration	filtration	O	O
rate	rate	O	O
was	was	O	O
not	not	O	O
different	different	O	O
among	among	O	O
the	the	O	O
studied	studied	O	O
groups	groups	O	O
.	.	O	O

Renal	renal	O	O
plasma	plasma	O	O
flow	flow	O	O
increased	increased	O	O
,	,	O	O
but	but	O	O
albumin	albumin	O	O
excretion	excretion	O	O
and	and	O	O
glomerulosclerosis	glomerulosclerosis	O	S_disease
did	did	O	O
not	not	O	O
change	change	O	O
after	after	O	O
enalapril	enalapril	S_chemical	O
treatment	treatment	O	O
.	.	O	O

In	in	O	O
contrast	contrast	O	O
,	,	O	O
in	in	O	O
the	the	O	O
nitrendipine-treated	nitrendipine-treated	O	O
group	group	O	O
albuminuria	albuminuria	O	S_disease
increased	increased	O	O
from	from	O	O
12.8	12.8	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
progressively	progressively	O	O
to	to	O	O
163	163	O	O
+	+	O	O
/-	/-	O	O
55	55	O	O
compared	compared	O	O
with	with	O	O
19.2	19.2	O	O
+	+	O	O
/-	/-	O	O
9	9	O	O
mg/24	mg/24	O	O
hr	hr	O	O
in	in	O	O
the	the	O	O
hypertensive	hypertensive	O	S_disease
controls	controls	O	O
.	.	O	O

Furthermore	furthermore	O	O
,	,	O	O
glomerulosclerosis	glomerulosclerosis	O	S_disease
index	index	O	O
was	was	O	O
significantly	significantly	O	O
increased	increased	O	O
in	in	O	O
the	the	O	O
nitrendipine-treated	nitrendipine-treated	O	O
group	group	O	O
compared	compared	O	O
with	with	O	O
the	the	O	O
hypertensive	hypertensive	O	S_disease
controls	controls	O	O
(	(	O	O
0.38	0.38	O	O
+	+	O	O
/-	/-	O	O
0.1	0.1	O	O
versus	versus	O	O
0.13	0.13	O	O
+	+	O	O
/-	/-	O	O
0.04	0.04	O	O
)	)	O	O
.	.	O	O

In	in	O	O
addition	addition	O	O
,	,	O	O
glomerular	glomerular	O	O
size	size	O	O
was	was	O	O
higher	higher	O	O
in	in	O	O
the	the	O	O
nitrendipine-treated	nitrendipine-treated	O	O
group	group	O	O
(	(	O	O
14.9	14.9	O	O
+	+	O	O
/-	/-	O	O
0.17	0.17	O	O
10(-3	10(-3	O	O
)	)	O	O
mm2	mm2	O	O
)	)	O	O
but	but	O	O
lower	lower	O	O
in	in	O	O
the	the	O	O
enalapril-treated	enalapril-treated	O	O
group	group	O	O
(	(	O	O
11.5	11.5	O	O
+	+	O	O
/-	/-	O	O
0.15	0.15	O	O
10(-3	10(-3	O	O
)	)	O	O
mm2	mm2	O	O
)	)	O	O
compared	compared	O	O
with	with	O	O
the	the	O	O
hypertensive	hypertensive	O	S_disease
controls	controls	O	O
(	(	O	O
12.1	12.1	O	O
+	+	O	O
/-	/-	O	O
0.17	0.17	O	O
10(-3	10(-3	O	O
)	)	O	O
mm2).(ABSTRACT	mm2).(abstract	O	O
TRUNCATED	truncated	O	O
AT	at	O	O
250	250	O	O
WORDS	words	O	O
)	)	O	O

