Nerve	nerve	B_chemical	O
growth	growth	I_chemical	O
factor	factor	I_chemical	O
and	and	O	O
prostaglandins	prostaglandins	S_chemical	O
in	in	O	O
the	the	O	O
urine	urine	O	O
of	of	O	O
female	female	O	O
patients	patients	O	O
with	with	O	O
overactive	overactive	O	O
bladder	bladder	O	O
.	.	O	O

PURPOSE	purpose	O	O
:	:	O	O
NGF	ngf	S_chemical	O
and	and	O	O
PGs	pgs	O	O
in	in	O	O
the	the	O	O
bladder	bladder	O	O
can	can	O	O
be	be	O	O
affected	affected	O	O
by	by	O	O
pathological	pathological	O	O
changes	changes	O	O
in	in	O	O
the	the	O	O
bladder	bladder	O	O
and	and	O	O
these	these	O	O
changes	changes	O	O
can	can	O	O
be	be	O	O
detected	detected	O	O
in	in	O	O
urine	urine	O	O
.	.	O	O

We	we	O	O
investigated	investigated	O	O
changes	changes	O	O
in	in	O	O
urinary	urinary	O	O
NGF	ngf	S_chemical	O
and	and	O	O
PGs	pgs	O	O
in	in	O	O
women	women	O	O
with	with	O	O
OAB	oab	O	O
.	.	O	O

MATERIALS	materials	O	O
AND	and	O	O
METHODS	methods	O	O
:	:	O	O
The	the	O	O
study	study	O	O
groups	groups	O	O
included	included	O	O
65	65	O	O
women	women	O	O
with	with	O	O
OAB	oab	O	O
and	and	O	O
20	20	O	O
without	without	O	O
bladder	bladder	O	O
symptoms	symptoms	O	O
who	who	O	O
served	served	O	O
as	as	O	O
controls	controls	O	O
.	.	O	O

Evaluation	evaluation	O	O
included	included	O	O
patient	patient	O	O
history	history	O	O
,	,	O	O
urinalysis	urinalysis	O	O
,	,	O	O
a	a	O	O
voiding	voiding	O	O
diary	diary	O	O
and	and	O	O
urodynamic	urodynamic	O	O
studies	studies	O	O
.	.	O	O

Urine	urine	O	O
samples	samples	O	O
were	were	O	O
collected	collected	O	O
.	.	O	O

NGF	ngf	S_chemical	O
,	,	O	O
PGE2	pge2	O	O
,	,	O	O
PGF2alpha	pgf2alpha	O	O
and	and	O	O
PGI2	pgi2	O	O
were	were	O	O
measured	measured	O	O
using	using	O	O
enzyme-linked	enzyme-linked	O	O
immunosorbent	immunosorbent	O	O
assay	assay	O	O
and	and	O	O
compared	compared	O	O
between	between	O	O
the	the	O	O
groups	groups	O	O
.	.	O	O

In	in	O	O
addition	addition	O	O
,	,	O	O
correlations	correlations	O	O
between	between	O	O
urinary	urinary	O	O
NGF	ngf	S_chemical	O
and	and	O	O
PG	pg	S_chemical	O
,	,	O	O
and	and	O	O
urodynamic	urodynamic	O	O
parameters	parameters	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
OAB	oab	O	O
were	were	O	O
examined	examined	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Urinary	urinary	O	O
NGF	ngf	S_chemical	O
,	,	O	O
PGE2	pge2	O	O
and	and	O	O
PGF2alpha	pgf2alpha	O	O
were	were	O	O
significantly	significantly	O	O
increased	increased	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
OAB	oab	O	O
compared	compared	O	O
with	with	O	O
controls	controls	O	O
(	(	O	O
p	p	O	O
<	<	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

However	however	O	O
,	,	O	O
urinary	urinary	O	O
PGI2	pgi2	O	O
was	was	O	O
not	not	O	O
different	different	O	O
between	between	O	O
controls	controls	O	O
and	and	O	O
patients	patients	O	O
with	with	O	O
OAB	oab	O	O
.	.	O	O

In	in	O	O
patients	patients	O	O
with	with	O	O
OAB	oab	O	O
urinary	urinary	O	O
PGE2	pge2	O	O
positively	positively	O	O
correlated	correlated	O	O
with	with	O	O
volume	volume	O	O
at	at	O	O
first	first	O	O
desire	desire	O	O
to	to	O	O
void	void	O	O
and	and	O	O
maximum	maximum	O	O
cystometric	cystometric	O	O
capacity	capacity	O	O
(	(	O	O
p	p	O	O
<	<	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

Urinary	urinary	O	O
NGF	ngf	S_chemical	O
,	,	O	O
PGF2alpha	pgf2alpha	O	O
and	and	O	O
PGI2	pgi2	O	O
did	did	O	O
not	not	O	O
correlate	correlate	O	O
with	with	O	O
urodynamic	urodynamic	O	O
parameters	parameters	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
OAB	oab	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
NGF	ngf	S_chemical	O
and	and	O	O
PGs	pgs	O	O
have	have	O	O
important	important	O	O
roles	roles	O	O
in	in	O	O
the	the	O	O
development	development	O	O
of	of	O	O
OAB	oab	O	O
symptoms	symptoms	O	O
in	in	O	O
female	female	O	O
patients	patients	O	O
.	.	O	O

Urinary	urinary	O	O
levels	levels	O	O
of	of	O	O
these	these	O	O
factors	factors	O	O
may	may	O	O
be	be	O	O
used	used	O	O
as	as	O	O
markers	markers	O	O
to	to	O	O
evaluate	evaluate	O	O
OAB	oab	O	O
symptoms	symptoms	O	O
.	.	O	O

