Pharmacological	pharmacological	O	O
evidence	evidence	O	O
for	for	O	O
the	the	O	O
potential	potential	O	O
of	of	O	O
Daucus	daucus	O	O
carota	carota	O	O
in	in	O	O
the	the	O	O
management	management	O	O
of	of	O	O
cognitive	cognitive	O	B_disease
dysfunctions	dysfunctions	O	I_disease
.	.	O	O

The	the	O	O
present	present	O	O
study	study	O	O
was	was	O	O
aimed	aimed	O	O
at	at	O	O
investigating	investigating	O	O
the	the	O	O
effects	effects	O	O
of	of	O	O
Daucus	daucus	O	O
carota	carota	O	O
seeds	seeds	O	O
on	on	O	O
cognitive	cognitive	O	O
functions	functions	O	O
,	,	O	O
total	total	O	O
serum	serum	O	O
cholesterol	cholesterol	S_chemical	O
levels	levels	O	O
and	and	O	O
brain	brain	O	O
cholinesterase	cholinesterase	O	O
activity	activity	O	O
in	in	O	O
mice	mice	O	O
.	.	O	O

The	the	O	O
ethanolic	ethanolic	O	O
extract	extract	O	O
of	of	O	O
Daucus	daucus	O	O
carota	carota	O	O
seeds	seeds	O	O
(	(	O	O
DCE	dce	S_chemical	O
)	)	O	O
was	was	O	O
administered	administered	O	O
orally	orally	O	O
in	in	O	O
three	three	O	O
doses	doses	O	O
(	(	O	O
100	100	O	O
,	,	O	O
200	200	O	O
,	,	O	O
400	400	O	O
mg/kg	mg/kg	O	O
)	)	O	O
for	for	O	O
seven	seven	O	O
successive	successive	O	O
days	days	O	O
to	to	O	O
different	different	O	O
groups	groups	O	O
of	of	O	O
young	young	O	O
and	and	O	O
aged	aged	O	O
mice	mice	O	O
.	.	O	O

Elevated	elevated	O	O
plus	plus	O	O
maze	maze	O	O
and	and	O	O
passive	passive	O	O
avoidance	avoidance	O	O
apparatus	apparatus	O	O
served	served	O	O
as	as	O	O
the	the	O	O
exteroceptive	exteroceptive	O	O
behavioral	behavioral	O	O
models	models	O	O
for	for	O	O
testing	testing	O	O
memory	memory	O	O
.	.	O	O

Diazepam-	diazepam-	O	O
,	,	O	O
scopolamine-	scopolamine-	O	O
and	and	O	O
ageing-induced	ageing-induced	O	O
amnesia	amnesia	O	S_disease
served	served	O	O
as	as	O	O
the	the	O	O
interoceptive	interoceptive	O	O
behavioral	behavioral	O	O
models	models	O	O
.	.	O	O

DCE	dce	S_chemical	O
(	(	O	O
200	200	O	O
,	,	O	O
400	400	O	O
mg/kg	mg/kg	O	O
,	,	O	O
p.o	p.o	O	O
.	.	O	O
)	)	O	O
showed	showed	O	O
significant	significant	O	O
improvement	improvement	O	O
in	in	O	O
memory	memory	O	O
scores	scores	O	O
of	of	O	O
young	young	O	O
and	and	O	O
aged	aged	O	O
mice	mice	O	O
.	.	O	O

The	the	O	O
extent	extent	O	O
of	of	O	O
memory	memory	O	O
improvement	improvement	O	O
evoked	evoked	O	O
by	by	O	O
DCE	dce	S_chemical	O
was	was	O	O
23	23	O	O
%	%	O	O
at	at	O	O
the	the	O	O
dose	dose	O	O
of	of	O	O
200	200	O	O
mg/kg	mg/kg	O	O
and	and	O	O
35	35	O	O
%	%	O	O
at	at	O	O
the	the	O	O
dose	dose	O	O
of	of	O	O
400	400	O	O
mg/kg	mg/kg	O	O
in	in	O	O
young	young	O	O
mice	mice	O	O
using	using	O	O
elevated	elevated	O	O
plus	plus	O	O
maze	maze	O	O
.	.	O	O

Similarly	similarly	O	O
,	,	O	O
significant	significant	O	O
improvements	improvements	O	O
in	in	O	O
memory	memory	O	O
scores	scores	O	O
were	were	O	O
observed	observed	O	O
using	using	O	O
passive	passive	O	O
avoidance	avoidance	O	O
apparatus	apparatus	O	O
and	and	O	O
aged	aged	O	O
mice	mice	O	O
.	.	O	O

Furthermore	furthermore	O	O
,	,	O	O
DCE	dce	S_chemical	O
reversed	reversed	O	O
the	the	O	O
amnesia	amnesia	O	S_disease
induced	induced	O	O
by	by	O	O
scopolamine	scopolamine	S_chemical	O
(	(	O	O
0.4	0.4	O	O
mg/kg	mg/kg	O	O
,	,	O	O
i.p	i.p	O	O
.	.	O	O
)	)	O	O
and	and	O	O
diazepam	diazepam	S_chemical	O
(	(	O	O
1	1	O	O
mg/kg	mg/kg	O	O
,	,	O	O
i.p	i.p	O	O
.	.	O	O
)	)	O	O
.	.	O	O

Daucus	daucus	O	O
carota	carota	O	O
extract	extract	O	O
(	(	O	O
200	200	O	O
,	,	O	O
400	400	O	O
mg/kg	mg/kg	O	O
,	,	O	O
p.o	p.o	O	O
.	.	O	O
)	)	O	O
reduced	reduced	O	O
significantly	significantly	O	O
the	the	O	O
brain	brain	O	O
acetylcholinesterase	acetylcholinesterase	O	O
activity	activity	O	O
and	and	O	O
cholesterol	cholesterol	S_chemical	O
levels	levels	O	O
in	in	O	O
young	young	O	O
and	and	O	O
aged	aged	O	O
mice	mice	O	O
.	.	O	O

The	the	O	O
extent	extent	O	O
of	of	O	O
inhibition	inhibition	O	O
of	of	O	O
brain	brain	O	O
cholinesterase	cholinesterase	O	O
activity	activity	O	O
evoked	evoked	O	O
by	by	O	O
DCE	dce	S_chemical	O
at	at	O	O
the	the	O	O
dose	dose	O	O
of	of	O	O
400	400	O	O
mg/kg	mg/kg	O	O
was	was	O	O
22	22	O	O
%	%	O	O
in	in	O	O
young	young	O	O
and	and	O	O
19	19	O	O
%	%	O	O
in	in	O	O
aged	aged	O	O
mice	mice	O	O
.	.	O	O

There	there	O	O
was	was	O	O
a	a	O	O
remarkable	remarkable	O	O
reduction	reduction	O	O
in	in	O	O
total	total	O	O
cholesterol	cholesterol	S_chemical	O
level	level	O	O
as	as	O	O
well	well	O	O
,	,	O	O
to	to	O	O
the	the	O	O
extent	extent	O	O
of	of	O	O
23	23	O	O
%	%	O	O
in	in	O	O
young	young	O	O
and	and	O	O
21	21	O	O
%	%	O	O
in	in	O	O
aged	aged	O	O
animals	animals	O	O
with	with	O	O
this	this	O	O
dose	dose	O	O
of	of	O	O
DCE	dce	S_chemical	O
.	.	O	O

Therefore	therefore	O	O
,	,	O	O
DCE	dce	S_chemical	O
may	may	O	O
prove	prove	O	O
to	to	O	O
be	be	O	O
a	a	O	O
useful	useful	O	O
remedy	remedy	O	O
for	for	O	O
the	the	O	O
management	management	O	O
of	of	O	O
