Placebo-level	placebo-level	O	O
incidence	incidence	O	O
of	of	O	O
extrapyramidal	extrapyramidal	O	B_disease
symptoms	symptoms	O	I_disease
(	(	O	O
EPS	eps	O	S_disease
)	)	O	O
with	with	O	O
quetiapine	quetiapine	O	O
in	in	O	O
controlled	controlled	O	O
studies	studies	O	O
of	of	O	O
patients	patients	O	O
with	with	O	O
bipolar	bipolar	O	S_disease
mania	mania	O	S_disease
.	.	O	O

OBJECTIVES	objectives	O	O
:	:	O	O
To	to	O	O
evaluate	evaluate	O	O
extrapyramidal	extrapyramidal	O	B_disease
symptoms	symptoms	O	I_disease
(	(	O	O
EPS	eps	O	S_disease
)	)	O	O
,	,	O	O
including	including	O	O
akathisia	akathisia	O	S_disease
,	,	O	O
with	with	O	O
quetiapine	quetiapine	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
bipolar	bipolar	O	S_disease
mania	mania	O	S_disease
.	.	O	O

METHODS	methods	O	O
:	:	O	O
Data	data	O	O
were	were	O	O
analyzed	analyzed	O	O
from	from	O	O
four	four	O	O
similarly	similarly	O	O
designed	designed	O	O
,	,	O	O
randomized	randomized	O	O
,	,	O	O
double-blind	double-blind	O	O
,	,	O	O
3-	3-	O	O
to	to	O	O
12-week	12-week	O	O
studies	studies	O	O
.	.	O	O

Two	two	O	O
studies	studies	O	O
evaluated	evaluated	O	O
quetiapine	quetiapine	O	O
monotherapy	monotherapy	O	O
(	(	O	O
up	up	O	O
to	to	O	O
800	800	O	O
mg/day	mg/day	O	O
)	)	O	O
(	(	O	O
n	n	O	O
=	=	O	O
209	209	O	O
)	)	O	O
versus	versus	O	O
placebo	placebo	O	O
(	(	O	O
n	n	O	O
=	=	O	O
198	198	O	O
)	)	O	O
,	,	O	O
with	with	O	O
lithium	lithium	S_chemical	O
or	or	O	O
haloperidol	haloperidol	S_chemical	O
monotherapy	monotherapy	O	O
as	as	O	O
respective	respective	O	O
active	active	O	O
controls	controls	O	O
.	.	O	O

Two	two	O	O
studies	studies	O	O
evaluated	evaluated	O	O
quetiapine	quetiapine	O	O
(	(	O	O
up	up	O	O
to	to	O	O
800	800	O	O
mg/day	mg/day	O	O
)	)	O	O
in	in	O	O
combination	combination	O	O
with	with	O	O
a	a	O	O
mood	mood	O	O
stabilizer	stabilizer	O	O
(	(	O	O
lithium	lithium	S_chemical	O
or	or	O	O
divalproex	divalproex	S_chemical	O
,	,	O	O
QTP	qtp	O	O
+	+	O	O
Li/DVP	li/dvp	O	O
)	)	O	O
(	(	O	O
n	n	O	O
=	=	O	O
196	196	O	O
)	)	O	O
compared	compared	O	O
to	to	O	O
placebo	placebo	O	O
and	and	O	O
mood	mood	O	O
stabilizer	stabilizer	O	O
(	(	O	O
PBO	pbo	O	O
+	+	O	O
Li/DVP	li/dvp	O	O
)	)	O	O
(	(	O	O
n	n	O	O
=	=	O	O
203	203	O	O
)	)	O	O
.	.	O	O

Extrapyramidal	extrapyramidal	O	B_disease
symptoms	symptoms	O	I_disease
were	were	O	O
evaluated	evaluated	O	O
using	using	O	O
the	the	O	O
Simpson-Angus	simpson-angus	O	O
Scale	scale	O	O
(	(	O	O
SAS	sas	O	O
)	)	O	O
,	,	O	O
the	the	O	O
Barnes	barnes	O	O
Akathisia	akathisia	O	S_disease
Rating	rating	O	O
Scale	scale	O	O
(	(	O	O
BARS	bars	O	O
)	)	O	O
,	,	O	O
adverse	adverse	O	O
event	event	O	O
reports	reports	O	O
and	and	O	O
anticholinergic	anticholinergic	O	O
drug	drug	O	O
usage	usage	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
The	the	O	O
incidence	incidence	O	O
of	of	O	O
EPS-related	eps-related	O	O
adverse	adverse	O	O
events	events	O	O
,	,	O	O
including	including	O	O
akathisia	akathisia	O	S_disease
,	,	O	O
was	was	O	O
no	no	O	O
different	different	O	O
with	with	O	O
quetiapine	quetiapine	O	O
monotherapy	monotherapy	O	O
(	(	O	O
12.9	12.9	O	O
%	%	O	O
)	)	O	O
than	than	O	O
with	with	O	O
placebo	placebo	O	O
(	(	O	O
13.1	13.1	O	O
%	%	O	O
)	)	O	O
.	.	O	O

Similarly	similarly	O	O
,	,	O	O
EPS-related	eps-related	O	O
adverse	adverse	O	O
events	events	O	O
with	with	O	O
QTP	qtp	O	O
+	+	O	O
Li/DVP	li/dvp	O	O
(	(	O	O
21.4	21.4	O	O
%	%	O	O
)	)	O	O
were	were	O	O
no	no	O	O
different	different	O	O
than	than	O	O
with	with	O	O
PBO	pbo	O	O
+	+	O	O
Li/DVP	li/dvp	O	O
(	(	O	O
19.2	19.2	O	O
%	%	O	O
)	)	O	O
.	.	O	O

Adverse	adverse	O	O
events	events	O	O
related	related	O	O
to	to	O	O
EPS	eps	O	S_disease
occurred	occurred	O	O
in	in	O	O
59.6	59.6	O	O
%	%	O	O
of	of	O	O
patients	patients	O	O
treated	treated	O	O
with	with	O	O
haloperidol	haloperidol	S_chemical	O
(	(	O	O
n	n	O	O
=	=	O	O
99	99	O	O
)	)	O	O
monotherapy	monotherapy	O	O
,	,	O	O
whereas	whereas	O	O
26.5	26.5	O	O
%	%	O	O
of	of	O	O
patients	patients	O	O
treated	treated	O	O
with	with	O	O
lithium	lithium	S_chemical	O
(	(	O	O
n	n	O	O
=	=	O	O
98	98	O	O
)	)	O	O
monotherapy	monotherapy	O	O
experienced	experienced	O	O
adverse	adverse	O	O
events	events	O	O
related	related	O	O
to	to	O	O
EPS	eps	O	S_disease
.	.	O	O

The	the	O	O
incidence	incidence	O	O
of	of	O	O
akathisia	akathisia	O	S_disease
was	was	O	O
low	low	O	O
and	and	O	O
similar	similar	O	O
with	with	O	O
quetiapine	quetiapine	O	O
monotherapy	monotherapy	O	O
(	(	O	O
3.3	3.3	O	O
%	%	O	O
)	)	O	O
and	and	O	O
placebo	placebo	O	O
(	(	O	O
6.1	6.1	O	O
%	%	O	O
)	)	O	O
,	,	O	O
and	and	O	O
with	with	O	O
QTP	qtp	O	O
+	+	O	O
Li/DVP	li/dvp	O	O
(	(	O	O
3.6	3.6	O	O
%	%	O	O
)	)	O	O
and	and	O	O
PBO	pbo	O	O
+	+	O	O
Li/DVP	li/dvp	O	O
(	(	O	O
4.9	4.9	O	O
%	%	O	O
)	)	O	O
.	.	O	O

Lithium	lithium	S_chemical	O
was	was	O	O
associated	associated	O	O
with	with	O	O
a	a	O	O
