Anti-oxidant	anti-oxidant	O	O
effects	effects	O	O
of	of	O	O
atorvastatin	atorvastatin	O	O
in	in	O	O
dexamethasone-induced	dexamethasone-induced	O	O
hypertension	hypertension	O	S_disease
in	in	O	O
the	the	O	O
rat.1	rat.1	O	O
.	.	O	O

Dexamethasone	dexamethasone	S_chemical	O
(Dex)-induced	(dex)-induced	O	O
hypertension	hypertension	O	S_disease
is	is	O	O
characterized	characterized	O	O
by	by	O	O
endothelial	endothelial	O	B_disease
dysfunction	dysfunction	O	I_disease
associated	associated	O	B_disease
with	with	O	I_disease
nitric	nitric	B_chemical	O
oxide	oxide	I_chemical	O
(	(	O	O
NO	no	O	O
)	)	O	O
deficiency	deficiency	O	O
and	and	O	O
increased	increased	O	O
superoxide	superoxide	S_chemical	O
(	(	O	O
O2-	o2-	O	O
)	)	O	O
production	production	O	O
.	.	O	O

Atorvastatin	atorvastatin	O	O
(	(	O	O
Ato	ato	S_chemical	O
)	)	O	O
possesses	possesses	O	O
pleiotropic	pleiotropic	O	O
properties	properties	O	O
that	that	O	O
have	have	O	O
been	been	O	O
reported	reported	O	O
to	to	O	O
improve	improve	O	O
endothelial	endothelial	O	O
function	function	O	O
through	through	O	O
increased	increased	O	O
availability	availability	O	O
of	of	O	O
NO	no	O	O
and	and	O	O
reduced	reduced	O	O
O2-	o2-	O	O
production	production	O	O
in	in	O	O
various	various	O	O
forms	forms	O	O
of	of	O	O
hypertension	hypertension	O	S_disease
.	.	O	O

In	in	O	O
the	the	O	O
present	present	O	O
study	study	O	O
,	,	O	O
we	we	O	O
investigated	investigated	O	O
whether	whether	O	O
50	50	O	O
mg/kg	mg/kg	O	O
per	per	O	O
day	day	O	O
,	,	O	O
p.o	p.o	O	O
.	.	O	O
,	,	O	O
Ato	ato	S_chemical	O
could	could	O	O
prevent	prevent	O	O
endothelial	endothelial	O	O
NO	no	O	O
synthase	synthase	O	O
(	(	O	O
eNOS	enos	S_chemical	S_disease
)	)	O	O
downregulation	downregulation	O	O
and	and	O	O
the	the	O	O
increase	increase	O	O
in	in	O	O
O2-	o2-	O	O
in	in	O	O
Sprague-Dawley	sprague-dawley	O	O
(	(	O	O
SD	sd	O	O
)	)	O	O
rats	rats	O	O
,	,	O	O
thereby	thereby	O	O
reducing	reducing	O	O
blood	blood	O	O
pressure	pressure	O	O
.	.	O	O

2	2	O	O
.	.	O	O
Male	male	O	O
SD	sd	O	O
rats	rats	O	O
(	(	O	O
n	n	O	O
=	=	O	O
30	30	O	O
)	)	O	O
