Delayed	delayed	O	O
institution	institution	O	O
of	of	O	O
hypertension	hypertension	O	S_disease
during	during	O	O
focal	focal	O	O
cerebral	cerebral	O	B_disease
ischemia	ischemia	O	S_disease
:	:	O	O
effect	effect	O	O
on	on	O	O
brain	brain	O	B_disease
edema	edema	O	S_disease
.	.	O	O

The	the	O	O
effect	effect	O	O
of	of	O	O
induced	induced	O	O
hypertension	hypertension	O	S_disease
instituted	instituted	O	O
after	after	O	O
a	a	O	O
2-h	2-h	O	O
delay	delay	O	O
following	following	O	O
middle	middle	O	O
cerebral	cerebral	O	O
artery	artery	O	O
occlusion	occlusion	O	O
(	(	O	O
MCAO	mcao	S_chemical	O
)	)	O	O
on	on	O	O
brain	brain	O	B_disease
edema	edema	O	S_disease
formation	formation	O	O
and	and	O	O
histochemical	histochemical	O	O
injury	injury	O	O
was	was	O	O
studied	studied	O	O
.	.	O	O

Under	under	O	O
isoflurane	isoflurane	S_chemical	O
anesthesia	anesthesia	O	O
,	,	O	O
the	the	O	O
MCA	mca	O	O
of	of	O	O
14	14	O	O
spontaneously	spontaneously	O	O
hypertensive	hypertensive	O	S_disease
rats	rats	O	O
was	was	O	O
occluded	occluded	O	O
.	.	O	O

In	in	O	O
the	the	O	O
control	control	O	O
group	group	O	O
(	(	O	O
n	n	O	O
=	=	O	O
7	7	O	O
)	)	O	O
,	,	O	O
the	the	O	O
mean	mean	O	O
arterial	arterial	O	O
pressure	pressure	O	O
(	(	O	O
MAP	map	O	O
)	)	O	O
was	was	O	O
not	not	O	O
manipulated	manipulated	O	O
.	.	O	O

In	in	O	O
the	the	O	O
hypertensive	hypertensive	O	S_disease
group	group	O	O
(	(	O	O
n	n	O	O
=	=	O	O
7	7	O	O
)	)	O	O
,	,	O	O
the	the	O	O
MAP	map	O	O
was	was	O	O
elevated	elevated	O	O
by	by	O	O
25	25	O	O
-	-	O	O
30	30	O	O
mm	mm	O	O
Hg	hg	O	O
beginning	beginning	O	O
2	2	O	O
h	h	S_chemical	O
after	after	O	O
MCAO	mcao	S_chemical	O
.	.	O	O

Four	four	O	O
hours	hours	O	O
after	after	O	O
MCAO	mcao	S_chemical	O
,	,	O	O
the	the	O	O
rats	rats	O	O
were	were	O	O
killed	killed	O	O
and	and	O	O
the	the	O	O
brains	brains	O	O
harvested	harvested	O	O
.	.	O	O

The	the	O	O
brains	brains	O	O
were	were	O	O
sectioned	sectioned	O	O
along	along	O	O
coronal	coronal	O	O
planes	planes	O	O
spanning	spanning	O	O
the	the	O	O
distribution	distribution	O	O
of	of	O	O
ischemia	ischemia	O	S_disease
produced	produced	O	O
by	by	O	O
MCAO	mcao	S_chemical	O
.	.	O	O

Specific	specific	O	O
gravity	gravity	O	O
(	(	O	O
SG	sg	O	O
)	)	O	O
was	was	O	O
determined	determined	O	O
in	in	O	O
the	the	O	O
subcortex	subcortex	O	O
and	and	O	O
in	in	O	O
two	two	O	O
sites	sites	O	O
in	in	O	O
the	the	O	O
cortex	cortex	O	O
(	(	O	O
core	core	O	O
and	and	O	O
periphery	periphery	O	O
of	of	O	O
the	the	O	O
ischemic	ischemic	O	B_disease
territory	territory	O	I_disease
)	)	O	O
.	.	O	O

The	the	O	O
extent	extent	O	O
of	of	O	O
