Sex	sex	O	O
differences	differences	O	O
in	in	O	O
NMDA	nmda	S_chemical	O
antagonist	antagonist	O	O
enhancement	enhancement	O	O
of	of	O	O
morphine	morphine	S_chemical	O
antihyperalgesia	antihyperalgesia	O	O
in	in	O	O
a	a	O	O
capsaicin	capsaicin	S_chemical	O
model	model	O	O
of	of	O	O
persistent	persistent	O	B_disease
pain	pain	O	S_disease
:	:	O	O
comparisons	comparisons	O	O
to	to	O	O
two	two	O	O
models	models	O	O
of	of	O	O
acute	acute	O	B_disease
pain	pain	O	S_disease
.	.	O	O

In	in	O	O
acute	acute	O	B_disease
pain	pain	O	S_disease
models	models	O	O
,	,	O	O
N-methyl-D-aspartate	n-methyl-d-aspartate	S_chemical	O
(	(	O	O
NMDA	nmda	S_chemical	O
)	)	O	O
antagonists	antagonists	O	O
enhance	enhance	O	O
the	the	O	O
antinociceptive	antinociceptive	O	O
effects	effects	O	O
of	of	O	O
morphine	morphine	S_chemical	O
to	to	O	O
a	a	O	O
greater	greater	O	O
extent	extent	O	O
in	in	O	O
males	males	O	O
than	than	O	O
females	females	O	O
.	.	O	O

The	the	O	O
purpose	purpose	O	O
of	of	O	O
this	this	O	O
investigation	investigation	O	O
was	was	O	O
to	to	O	O
extend	extend	O	O
these	these	O	O
findings	findings	O	O
to	to	O	O
a	a	O	O
persistent	persistent	O	B_disease
pain	pain	O	S_disease
model	model	O	O
which	which	O	O
could	could	O	O
be	be	O	O
distinguished	distinguished	O	O
from	from	O	O
acute	acute	O	B_disease
pain	pain	O	S_disease
models	models	O	O
on	on	O	O
the	the	O	O
basis	basis	O	O
of	of	O	O
the	the	O	O
nociceptive	nociceptive	O	O
fibers	fibers	O	O
activated	activated	O	O
,	,	O	O
neurochemical	neurochemical	O	O
substrates	substrates	O	O
,	,	O	O
and	and	O	O
duration	duration	O	O
of	of	O	O
the	the	O	O
nociceptive	nociceptive	O	O
stimulus	stimulus	O	O
.	.	O	O

To	to	O	O
this	this	O	O
end	end	O	O
,	,	O	O
persistent	persistent	O	O
hyperalgesia	hyperalgesia	O	S_disease
was	was	O	O
induced	induced	O	O
by	by	O	O
administration	administration	O	O
of	of	O	O
capsaicin	capsaicin	S_chemical	O
in	in	O	O
the	the	O	O
tail	tail	O	O
of	of	O	O
gonadally	gonadally	O	O
intact	intact	O	O
F344	f344	O	O
rats	rats	O	O
,	,	O	O
following	following	O	O
which	which	O	O
the	the	O	O
tail	tail	O	O
was	was	O	O
immersed	immersed	O	O
in	in	O	O
a	a	O	O
mildly	mildly	O	O
noxious	noxious	O	O
thermal	thermal	O	O
stimulus	stimulus	O	O
,	,	O	O
and	and	O	O
tail-withdrawal	tail-withdrawal	O	O
latencies	latencies	O	O
measured	measured	O	O
.	.	O	O

For	for	O	O
comparison	comparison	O	O
,	,	O	O
tests	tests	O	O
were	were	O	O
conducted	conducted	O	O
in	in	O	O
two	two	O	O
acute	acute	O	B_disease
pain	pain	O	S_disease
models	models	O	O
,	,	O	O
the	the	O	O
hotplate	hotplate	O	O
and	and	O	O
warm	warm	O	O
water	water	O	O
tail-withdrawal	tail-withdrawal	O	O
procedures	procedures	O	O
.	.	O	O

In	in	O	O
males	males	O	O
,	,	O	O
the	the	O	O
non-competitive	non-competitive	O	O
NMDA	nmda	S_chemical	O
antagonist	antagonist	O	O
dextromethorphan	dextromethorphan	S_chemical	O
enhanced	enhanced	O	O
the	the	O	O
antihyperalgesic	antihyperalgesic	O	O
effect	effect	O	O
of	of	O	O
low	low	O	O
to	to	O	O
moderate	moderate	O	O
doses	doses	O	O
of	of	O	O
morphine	morphine	S_chemical	O
in	in	O	O
a	a	O	O
dose-and	dose-and	O	O
time-dependent	time-dependent	O	O
manner	manner	O	O
.	.	O	O

Across	across	O	O
the	the	O	O
doses	doses	O	O
and	and	O	O
pretreatment	pretreatment	O	O
times	times	O	O
examined	examined	O	O
,	,	O	O
enhancement	enhancement	O	O
was	was	O	O
not	not	O	O
observed	observed	O	O
in	in	O	O
females	females	O	O
.	.	O	O

Enhancement	enhancement	O	O
of	of	O	O
morphine	morphine	S_chemical	O
antinociception	antinociception	O	O
by	by	O	O
dextromethorphan	dextromethorphan	S_chemical	O
was	was	O	O
seen	seen	O	O
in	in	O	O
both	both	O	O
males	males	O	O
and	and	O	O
females	females	O	O
in	in	O	O
the	the	O	O
acute	acute	O	B_disease
pain	pain	O	S_disease
models	models	O	O
,	,	O	O
with	with	O	O
the	the	O	O
magnitude	magnitude	O	O
of	of	O	O
this	this	O	O
effect	effect	O	O
being	being	O	O
greater	greater	O	O
in	in	O	O
males	males	O	O
.	.	O	O

These	these	O	O
findings	findings	O	O
demonstrate	demonstrate	O	O
a	a	O	O
sexually-dimorphic	sexually-dimorphic	O	O
interaction	interaction	O	O
between	between	O	O
NMDA	nmda	S_chemical	O
antagonists	antagonists	O	O
and	and	O	O
morphine	morphine	S_chemical	O
in	in	O	O
a	a	O	O
persistent	persistent	O	B_disease
pain	pain	O	S_disease
model	model	O	O
that	that	O	O
can	can	O	O
be	be	O	O
distinguished	distinguished	O	O
from	from	O	O
those	those	O	O
observed	observed	O	O
in	in	O	O
acute	acute	O	B_disease
pain	pain	O	S_disease
models	models	O	O
.	.	O	O

