Acute	acute	O	O
effects	effects	O	O
of	of	O	O
N-(2-propylpentanoyl)urea	n-(2-propylpentanoyl)urea	S_chemical	O
on	on	O	O
hippocampal	hippocampal	O	S_disease
amino	amino	B_chemical	O
acid	acid	I_chemical	O
neurotransmitters	neurotransmitters	O	O
in	in	O	O
pilocarpine-induced	pilocarpine-induced	O	O
seizure	seizure	O	S_disease
in	in	O	O
rats	rats	O	O
.	.	O	O

The	the	O	O
present	present	O	O
study	study	O	O
aimed	aimed	O	O
to	to	O	O
investigate	investigate	O	O
the	the	O	O
anticonvulsant	anticonvulsant	O	O
activity	activity	O	O
as	as	O	O
well	well	O	O
as	as	O	O
the	the	O	O
effects	effects	O	O
on	on	O	O
the	the	O	O
level	level	O	O
of	of	O	O
hippocampal	hippocampal	O	S_disease
amino	amino	B_chemical	O
acid	acid	I_chemical	O
neurotransmitters	neurotransmitters	O	O
(	(	O	O
glutamate	glutamate	S_chemical	O
,	,	O	O
aspartate	aspartate	S_chemical	O
,	,	O	O
glycine	glycine	S_chemical	O
and	and	O	O
GABA	gaba	S_chemical	O
)	)	O	O
of	of	O	O
N-(2-propylpentanoyl)urea	n-(2-propylpentanoyl)urea	S_chemical	O
(	(	O	O
VPU	vpu	S_chemical	O
)	)	O	O
in	in	O	O
comparison	comparison	O	O
to	to	O	O
its	its	O	O
parent	parent	O	O
compound	compound	O	O
,	,	O	O
valproic	valproic	B_chemical	O
acid	acid	I_chemical	O
(	(	O	O
VPA	vpa	S_chemical	O
)	)	O	O
.	.	O	O

VPU	vpu	S_chemical	O
was	was	O	O
more	more	O	O
potent	potent	O	O
than	than	O	O
VPA	vpa	S_chemical	O
,	,	O	O
exhibiting	exhibiting	O	O
the	the	O	O
median	median	O	O
effective	effective	O	O
dose	dose	O	O
(	(	O	O
ED(50	ed(50	O	O
)	)	O	O
)	)	O	O
of	of	O	O
49	49	O	O
mg/kg	mg/kg	O	O
in	in	O	O
protecting	protecting	O	O
rats	rats	O	O
against	against	O	O
pilocarpine-induced	pilocarpine-induced	O	O
seizure	seizure	O	S_disease
whereas	whereas	O	O
the	the	O	O
corresponding	corresponding	O	O
value	value	O	O
for	for	O	O
VPA	vpa	S_chemical	O
was	was	O	O
322	322	O	O
mg/kg	mg/kg	O	O
.	.	O	O

In	in	O	O
vivo	vivo	O	O
microdialysis	microdialysis	O	O
demonstrated	demonstrated	O	O
that	that	O	O
an	an	O	O
intraperitoneal	intraperitoneal	O	O
administration	administration	O	O
of	of	O	O
