Omitting	omitting	O	O
fentanyl	fentanyl	S_chemical	O
reduces	reduces	O	O
nausea	nausea	O	B_disease
and	and	O	I_disease
vomiting	vomiting	O	S_disease
,	,	O	O
without	without	O	O
increasing	increasing	O	O
pain	pain	O	S_disease
,	,	O	O
after	after	O	O
sevoflurane	sevoflurane	S_chemical	O
for	for	O	O
day	day	O	O
surgery	surgery	O	O
.	.	O	O

BACKGROUND	background	O	O
AND	and	O	O
OBJECTIVE	objective	O	O
:	:	O	O
Despite	despite	O	O
advantages	advantages	O	O
of	of	O	O
induction	induction	O	O
and	and	O	O
maintenance	maintenance	O	O
of	of	O	O
anaesthesia	anaesthesia	O	O
with	with	O	O
sevoflurane	sevoflurane	S_chemical	O
,	,	O	O
postoperative	postoperative	O	B_disease
nausea	nausea	O	B_disease
and	and	O	I_disease
vomiting	vomiting	O	S_disease
occurs	occurs	O	O
frequently	frequently	O	O
.	.	O	O

Fentanyl	fentanyl	S_chemical	O
is	is	O	O
a	a	O	O
commonly	commonly	O	O
used	used	O	O
supplement	supplement	O	O
that	that	O	O
may	may	O	O
contribute	contribute	O	O
to	to	O	O
this	this	O	O
,	,	O	O
although	although	O	O
it	it	O	O
may	may	O	O
also	also	O	O
improve	improve	O	O
analgesia	analgesia	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
This	this	O	O
double-blind	double-blind	O	O
study	study	O	O
examined	examined	O	O
the	the	O	O
incidence	incidence	O	O
and	and	O	O
severity	severity	O	O
of	of	O	O
postoperative	postoperative	O	B_disease
nausea	nausea	O	B_disease
and	and	O	I_disease
vomiting	vomiting	O	S_disease
and	and	O	O
pain	pain	O	S_disease
in	in	O	O
the	the	O	O
first	first	O	O
24	24	O	O
h	h	S_chemical	O
after	after	O	O
sevoflurane	sevoflurane	S_chemical	O
anaesthesia	anaesthesia	O	O
in	in	O	O
216	216	O	O
adult	adult	O	O
day	day	O	O
surgery	surgery	O	O
patients	patients	O	O
.	.	O	O

Patients	patients	O	O
were	were	O	O
randomly	randomly	O	O
allocated	allocated	O	O
to	to	O	O
either	either	O	O
receive	receive	O	O
or	or	O	O
not	not	O	O
receive	receive	O	O
1	1	O	O
1	1	O	O
fentanyl	fentanyl	S_chemical	O
,	,	O	O
while	while	O	O
a	a	O	O
third	third	O	O
group	group	O	O
received	received	O	O
dexamethasone	dexamethasone	S_chemical	O
in	in	O	O
addition	addition	O	O
to	to	O	O
fentanyl	fentanyl	S_chemical	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Omission	omission	O	O
of	of	O	O
fentanyl	fentanyl	S_chemical	O
did	did	O	O
not	not	O	O
reduce	reduce	O	O
the	the	O	O
overall	overall	O	O
incidence	incidence	O	O
of	of	O	O
postoperative	postoperative	O	B_disease
nausea	nausea	O	B_disease
and	and	O	I_disease
vomiting	vomiting	O	S_disease
,	,	O	O
but	but	O	O
did	did	O	O
reduce	reduce	O	O
the	the	O	O
incidence	incidence	O	O
of	of	O	O
vomiting	vomiting	O	S_disease
and/or	and/or	O	O
moderate	moderate	O	O
to	to	O	O
severe	severe	O	O
nausea	nausea	O	S_disease
prior	prior	O	O
to	to	O	O
discharge	discharge	O	O
from	from	O	O
20	20	O	O
%	%	O	O
and	and	O	O
17	17	O	O
%	%	O	O
with	with	O	O
fentanyl	fentanyl	S_chemical	O
and	and	O	O
fentanyl-dexamethasone	fentanyl-dexamethasone	S_chemical	O
,	,	O	O
respectively	respectively	O	O
,	,	O	O
to	to	O	O
5	5	O	O
%	%	O	O
(	(	O	O
P	p	O	O
=	=	O	O
0.013	0.013	O	O
)	)	O	O
.	.	O	O

Antiemetic	antiemetic	O	O
requirements	requirements	O	O
were	were	O	O
reduced	reduced	O	O
from	from	O	O
24	24	O	O
%	%	O	O
and	and	O	O
31	31	O	O
%	%	O	O
to	to	O	O
7	7	O	O
%	%	O	O
(	(	O	O
P	p	O	O
=	=	O	O
0.0012	0.0012	O	O
)	)	O	O
.	.	O	O

Dexamethasone	dexamethasone	S_chemical	O
had	had	O	O
no	no	O	O
significant	significant	O	O
effect	effect	O	O
on	on	O	O
the	the	O	O
incidence	incidence	O	O
or	or	O	O
severity	severity	O	O
of	of	O	O
postoperative	postoperative	O	B_disease
nausea	nausea	O	B_disease
and	and	O	I_disease
vomiting	vomiting	O	S_disease
.	.	O	O

Combining	combining	O	O
the	the	O	O
two	two	O	O
fentanyl	fentanyl	S_chemical	O
groups	groups	O	O
revealed	revealed	O	O
further	further	O	O
significant	significant	O	O
benefits	benefits	O	O
from	from	O	O
the	the	O	O
avoidance	avoidance	O	O
of	of	O	O
opioids	opioids	S_chemical	O
,	,	O	O
reducing	reducing	O	O
postoperative	postoperative	O	B_disease
nausea	nausea	O	B_disease
and	and	O	I_disease
vomiting	vomiting	O	S_disease
and	and	O	O
nausea	nausea	O	S_disease
prior	prior	O	O
to	to	O	O
discharge	discharge	O	O
from	from	O	O
35	35	O	O
%	%	O	O
and	and	O	O
33	33	O	O
%	%	O	O
to	to	O	O
22	22	O	O
%	%	O	O
and	and	O	O
19	19	O	O
%	%	O	O
(	(	O	O
P	p	O	O
=	=	O	O
0.049	0.049	O	O
and	and	O	O
P	p	O	O
=	=	O	O
0.035	0.035	O	O
)	)	O	O
,	,	O	O
respectively	respectively	O	O
,	,	O	O
while	while	O	O
nausea	nausea	O	S_disease
in	in	O	O
the	the	O	O
first	first	O	O
24	24	O	O
h	h	S_chemical	O
was	was	O	O
decreased	decreased	O	O
from	from	O	O
42	42	O	O
%	%	O	O
to	to	O	O
27	27	O	O
%	%	O	O
(	(	O	O
P	p	O	O
=	=	O	O
0.034	0.034	O	O
)	)	O	O
.	.	O	O

Pain	pain	O	S_disease
severity	severity	O	O
and	and	O	O
analgesic	analgesic	O	O
requirements	requirements	O	O
were	were	O	O
unaffected	unaffected	O	O
by	by	O	O
the	the	O	O
omission	omission	O	O
of	of	O	O
fentanyl	fentanyl	S_chemical	O
.	.	O	O

Fentanyl	fentanyl	S_chemical	O
did	did	O	O
reduce	reduce	O	O
minor	minor	O	O
intraoperative	intraoperative	O	O
movement	movement	O	O
but	but	O	O
had	had	O	O
no	no	O	O
sevoflurane-sparing	sevoflurane-sparing	O	O
effect	effect	O	O
and	and	O	O
increased	increased	O	O
respiratory	respiratory	O	B_disease
depression	depression	O	S_disease
,	,	O	O
hypotension	hypotension	O	S_disease
and	and	O	O
bradycardia	bradycardia	O	S_disease
.	.	O	O

CONCLUSION	conclusion	O	O
:	:	O	O
As	as	O	O
fentanyl	fentanyl	S_chemical	O
exacerbated	exacerbated	O	O
postoperative	postoperative	O	B_disease
nausea	nausea	O	B_disease
and	and	O	I_disease
vomiting	vomiting	O	S_disease
without	without	O	O
an	an	O	O
improvement	improvement	O	O
in	in	O	O
postoperative	postoperative	O	B_disease
pain	pain	O	S_disease
and	and	O	O
also	also	O	O
had	had	O	O
adverse	adverse	O	O
cardiorespiratory	cardiorespiratory	O	O
effects	effects	O	O
,	,	O	O
it	it	O	O
appears	appears	O	O
to	to	O	O
be	be	O	O
an	an	O	O
unnecessary	unnecessary	O	O
and	and	O	O
possibly	possibly	O	O
detrimental	detrimental	O	O
supplement	supplement	O	O
to	to	O	O
sevoflurane	sevoflurane	S_chemical	O
in	in	O	O
day	day	O	O
surgery	surgery	O	O
.	.	O	O

