Testosterone-dependent	testosterone-dependent	O	O
hypertension	hypertension	O	S_disease
and	and	O	O
upregulation	upregulation	O	O
of	of	O	O
intrarenal	intrarenal	O	O
angiotensinogen	angiotensinogen	O	O
in	in	O	O
Dahl	dahl	O	O
salt-sensitive	salt-sensitive	O	O
rats	rats	O	O
.	.	O	O

Blood	blood	O	O
pressure	pressure	O	O
(	(	O	O
BP	bp	O	O
)	)	O	O
is	is	O	O
more	more	O	O
salt	salt	S_chemical	O
sensitive	sensitive	O	O
in	in	O	O
men	men	O	O
than	than	O	O
in	in	O	O
premenopausal	premenopausal	O	O
women	women	O	O
.	.	O	O

In	in	O	O
Dahl	dahl	O	O
salt-sensitive	salt-sensitive	O	O
rats	rats	O	O
(	(	O	O
DS	ds	O	O
)	)	O	O
,	,	O	O
high-salt	high-salt	O	O
(	(	O	O
HS	hs	O	O
)	)	O	O
diet	diet	O	O
increases	increases	O	O
BP	bp	O	O
more	more	O	O
in	in	O	O
males	males	O	O
than	than	O	O
females	females	O	O
.	.	O	O

In	in	O	O
contrast	contrast	O	O
to	to	O	O
the	the	O	O
systemic	systemic	O	O
renin-angiotensin	renin-angiotensin	O	O
system	system	O	O
,	,	O	O
which	which	O	O
is	is	O	O
suppressed	suppressed	O	O
in	in	O	O
response	response	O	O
to	to	O	O
HS	hs	O	O
in	in	O	O
male	male	O	O
DS	ds	O	O
,	,	O	O
intrarenal	intrarenal	O	O
angiotensinogen	angiotensinogen	O	O
expression	expression	O	O
is	is	O	O
increased	increased	O	O
,	,	O	O
and	and	O	O
intrarenal	intrarenal	O	O
levels	levels	O	O
of	of	O	O
ANG	ang	O	O
II	ii	O	O
are	are	O	O
not	not	O	O
suppressed	suppressed	O	O
.	.	O	O

In	in	O	O
this	this	O	O
study	study	O	O
,	,	O	O
the	the	O	O
hypothesis	hypothesis	O	O
was	was	O	O
tested	tested	O	O
that	that	O	O
there	there	O	O
is	is	O	O
a	a	O	O
sexual	sexual	O	O
dimorphism	dimorphism	O	O
in	in	O	O
HS-induced	hs-induced	O	O
upregulation	upregulation	O	O
of	of	O	O
intrarenal	intrarenal	O	O
angiotensinogen	angiotensinogen	O	O
mediated	mediated	O	O
by	by	O	O
testosterone	testosterone	S_chemical	O
that	that	O	O
also	also	O	O
causes	causes	O	O
increases	increases	O	O
in	in	O	O
BP	bp	O	O
and	and	O	O
renal	renal	O	B_disease
injury	injury	O	I_disease
.	.	O	O

On	on	O	O
a	a	O	O
low-salt	low-salt	O	O
(	(	O	O
LS	ls	O	O
)	)	O	O
diet	diet	O	O
,	,	O	O
male	male	O	O
DS	ds	O	O
had	had	O	O
higher	higher	O	O
levels	levels	O	O
of	of	O	O
intrarenal	intrarenal	O	O
angiotensinogen	angiotensinogen	O	O
mRNA	mrna	O	O
than	than	O	O
females	females	O	O
.	.	O	O

HS	hs	O	O
diet	diet	O	O
for	for	O	O
4	4	O	O
wk	wk	O	O
increased	increased	O	O
renal	renal	O	O
cortical	cortical	O	O
angiotensinogen	angiotensinogen	O	O
mRNA	mrna	O	O
and	and	O	O
protein	protein	O	O
only	only	O	O
in	in	O	O
male	male	O	O
DS	ds	O	O
,	,	O	O
which	which	O	O
was	was	O	O
prevented	prevented	O	O
by	by	O	O
castration	castration	O	O
.	.	O	O

Ovariectomy	ovariectomy	O	O
of	of	O	O
female	female	O	O
DS	ds	O	O
had	had	O	O
no	no	O	O
effect	effect	O	O
on	on	O	O
intrarenal	intrarenal	O	O
angiotensinogen	angiotensinogen	O	O
expression	expression	O	O
on	on	O	O
either	either	O	O
diet	diet	O	O
.	.	O	O

Radiotelemetric	radiotelemetric	O	O
BP	bp	O	O
was	was	O	O
similar	similar	O	O
between	between	O	O
males	males	O	O
and	and	O	O
castrated	castrated	O	O
rats	rats	O	O
on	on	O	O
LS	ls	O	O
diet	diet	O	O
.	.	O	O

HS	hs	O	O
diet	diet	O	O
for	for	O	O
4	4	O	O
wk	wk	O	O
caused	caused	O	O
a	a	O	O
progressive	progressive	O	O
increase	increase	O	O
in	in	O	O
BP	bp	O	O
,	,	O	O
protein	protein	O	O
and	and	O	O
albumin	albumin	O	O
excretion	excretion	O	O
,	,	O	O
and	and	O	O
glomerular	glomerular	O	B_disease
sclerosis	sclerosis	O	I_disease
in	in	O	O
male	male	O	O
DS	ds	O	O
rats	rats	O	O
,	,	O	O
which	which	O	O
were	were	O	O
attenuated	attenuated	O	O
by	by	O	O
castration	castration	O	O
.	.	O	O

Testosterone	testosterone	S_chemical	O
replacement	replacement	O	O
in	in	O	O
castrated	castrated	O	O
DS	ds	O	O
rats	rats	O	O
increased	increased	O	O
BP	bp	O	O
,	,	O	O
renal	renal	O	B_disease
injury	injury	O	I_disease
,	,	O	O
and	and	O	O
upregulation	upregulation	O	O
of	of	O	O
renal	renal	O	O
angiotensinogen	angiotensinogen	O	O
associated	associated	O	O
with	with	O	O
HS	hs	O	O
diet	diet	O	O
.	.	O	O

Testosterone	testosterone	S_chemical	O
contributes	contributes	O	O
to	to	O	O
the	the	O	O
development	development	O	O
of	of	O	O
hypertension	hypertension	O	S_disease
and	and	O	O
renal	renal	O	B_disease
injury	injury	O	I_disease
in	in	O	O
male	male	O	O
DS	ds	O	O
rats	rats	O	O
on	on	O	O
HS	hs	O	O
diet	diet	O	O
possibly	possibly	O	O
through	through	O	O
upregulation	upregulation	O	O
of	of	O	O
the	the	O	O
intrarenal	intrarenal	O	O
renin-angiotensin	renin-angiotensin	O	O
system	system	O	O
.	.	O	O

