Preservation	preservation	O	O
of	of	O	O
renal	renal	O	O
blood	blood	O	O
flow	flow	O	O
during	during	O	O
hypotension	hypotension	O	S_disease
induced	induced	O	O
with	with	O	O
fenoldopam	fenoldopam	S_chemical	O
in	in	O	O
dogs	dogs	O	O
.	.	O	O

The	the	O	O
introduction	introduction	O	O
of	of	O	O
drugs	drugs	O	O
that	that	O	O
could	could	O	O
induce	induce	O	O
hypotension	hypotension	O	S_disease
with	with	O	O
different	different	O	O
pharmacological	pharmacological	O	O
actions	actions	O	O
would	would	O	O
be	be	O	O
advantageous	advantageous	O	O
because	because	O	O
side	side	O	B_disease
effects	effects	O	I_disease
unique	unique	O	O
to	to	O	O
a	a	O	O
specific	specific	O	O
drug	drug	O	O
could	could	O	O
be	be	O	O
minimized	minimized	O	O
by	by	O	O
selecting	selecting	O	O
appropriate	appropriate	O	O
therapy	therapy	O	O
.	.	O	O

Specific	specific	O	O
dopamine-1	dopamine-1	O	O
,	,	O	O
(	(	O	O
DA1	da1	O	O
)	)	O	O
and	and	O	O
dopamine-2	dopamine-2	O	O
(	(	O	O
DA2	da2	O	O
)	)	O	O
receptor	receptor	O	O
agonists	agonists	O	O
are	are	O	O
now	now	O	O
under	under	O	O
clinical	clinical	O	O
investigation	investigation	O	O
.	.	O	O

Fenoldopam	fenoldopam	S_chemical	O
mesylate	mesylate	S_chemical	O
is	is	O	O
a	a	O	O
specific	specific	O	O
DA1	da1	O	O
receptor	receptor	O	O
agonist	agonist	O	O
that	that	O	O
lowers	lowers	O	O
blood	blood	O	O
pressure	pressure	O	O
by	by	O	O
vasodilatation	vasodilatation	O	O
.	.	O	O

The	the	O	O
hypothesis	hypothesis	O	O
that	that	O	O
fenoldopam	fenoldopam	S_chemical	O
could	could	O	O
be	be	O	O
used	used	O	O
to	to	O	O
induce	induce	O	O
hypotension	hypotension	O	S_disease
and	and	O	O
preserve	preserve	O	O
blood	blood	O	O
flow	flow	O	O
to	to	O	O
the	the	O	O
kidney	kidney	O	O
was	was	O	O
tested	tested	O	O
.	.	O	O

Systemic	systemic	O	O
aortic	aortic	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
renal	renal	O	O
blood	blood	O	O
flow	flow	O	O
were	were	O	O
measured	measured	O	O
continuously	continuously	O	O
with	with	O	O
a	a	O	O
carotid	carotid	O	O
arterial	arterial	O	O
catheter	catheter	O	O
and	and	O	O
an	an	O	O
electromagnetic	electromagnetic	O	O
flow	flow	O	O
probe	probe	O	O
respectively	respectively	O	O
,	,	O	O
in	in	O	O
order	order	O	O
to	to	O	O
compare	compare	O	O
the	the	O	O
cardiovascular	cardiovascular	O	O
and	and	O	O
renal	renal	O	O
vascular	vascular	O	O
effects	effects	O	O
of	of	O	O
fenoldopam	fenoldopam	S_chemical	O
and	and	O	O
sodium	sodium	B_chemical	O
nitroprusside	nitroprusside	S_chemical	O
in	in	O	O
ten	ten	O	O
dogs	dogs	O	O
under	under	O	O
halothane	halothane	S_chemical	O
general	general	O	O
anaesthesia	anaesthesia	O	O
.	.	O	O

Mean	mean	O	O
arterial	arterial	O	O
pressure	pressure	O	O
was	was	O	O
decreased	decreased	O	O
30	30	O	O
+	+	O	O
/-	/-	O	O
8	8	O	O
per	per	O	O
cent	cent	O	O
from	from	O	O
control	control	O	O
with	with	O	O
infusion	infusion	O	O
of	of	O	O
fenoldopam	fenoldopam	S_chemical	O
(	(	O	O
3.4	3.4	O	O
+	+	O	O
/-	/-	O	O
2.0	2.0	O	O
micrograms.kg-1.min-1	micrograms.kg-1.min-1	O	O
)	)	O	O
and	and	O	O
34	34	O	O
+	+	O	O
/-	/-	O	O
4	4	O	O
per	per	O	O
cent	cent	O	O
with	with	O	O
infusion	infusion	O	O
of	of	O	O
sodium	sodium	B_chemical	O
nitroprusside	nitroprusside	S_chemical	O
(	(	O	O
5.9	5.9	O	O
micrograms.kg-1.min-1	micrograms.kg-1.min-1	O	O
)	)	O	O
(	(	O	O
NS	ns	O	O
)	)	O	O
.	.	O	O

Renal	renal	O	O
blood	blood	O	O
flow	flow	O	O
(	(	O	O
RBF	rbf	O	O
)	)	O	O
increased	increased	O	O
during	during	O	O
fenoldopam-induced	fenoldopam-induced	O	O
hypotension	hypotension	O	S_disease
11	11	O	O
+	+	O	O
/-	/-	O	O
7	7	O	O
per	per	O	O
cent	cent	O	O
and	and	O	O
decreased	decreased	O	O
21	21	O	O
+	+	O	O
/-	/-	O	O
8	8	O	O
per	per	O	O
cent	cent	O	O
during	during	O	O
sodium	sodium	S_chemical	O
nitroprusside-induced	nitroprusside-induced	O	O
hypotension	hypotension	O	S_disease
(	(	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.01	0.01	O	O
)	)	O	O
.	.	O	O

Sodium	sodium	B_chemical	O
nitroprusside	nitroprusside	S_chemical	O
is	is	O	O
