Comparative	comparative	O	O
cognitive	cognitive	O	O
and	and	O	O
subjective	subjective	O	O
side	side	O	O
effects	effects	O	O
of	of	O	O
immediate-release	immediate-release	O	O
oxycodone	oxycodone	S_chemical	O
in	in	O	O
healthy	healthy	O	O
middle-aged	middle-aged	O	O
and	and	O	O
older	older	O	O
adults	adults	O	O
.	.	O	O

This	this	O	O
study	study	O	O
measured	measured	O	O
the	the	O	O
objective	objective	O	O
and	and	O	O
subjective	subjective	O	O
neurocognitive	neurocognitive	O	O
effects	effects	O	O
of	of	O	O
a	a	O	O
single	single	O	O
10-mg	10-mg	O	O
dose	dose	O	O
of	of	O	O
immediate-release	immediate-release	O	O
oxycodone	oxycodone	S_chemical	O
in	in	O	O
healthy	healthy	O	O
,	,	O	O
older	older	O	O
(	(	O	O
>	>	O	O
65	65	O	O
years	years	O	O
)	)	O	O
,	,	O	O
and	and	O	O
middle-aged	middle-aged	O	O
(	(	O	O
35	35	O	O
to	to	O	O
55	55	O	O
years	years	O	O
)	)	O	O
adults	adults	O	O
who	who	O	O
were	were	O	O
not	not	O	O
suffering	suffering	O	O
from	from	O	O
chronic	chronic	O	O
or	or	O	O
significant	significant	O	O
daily	daily	O	O
pain	pain	O	S_disease
.	.	O	O

Seventy-one	seventy-one	O	O
participants	participants	O	O
completed	completed	O	O
2	2	O	O
separate	separate	O	O
study	study	O	O
days	days	O	O
and	and	O	O
were	were	O	O
blind	blind	O	O
to	to	O	O
medication	medication	O	O
condition	condition	O	O
(	(	O	O
placebo	placebo	O	O
,	,	O	O
10-mg	10-mg	O	O
oxycodone	oxycodone	S_chemical	O
)	)	O	O
.	.	O	O

Plasma	plasma	O	O
oxycodone	oxycodone	S_chemical	O
concentration	concentration	O	O
peaked	peaked	O	O
between	between	O	O
60	60	O	O
and	and	O	O
90	90	O	O
minutes	minutes	O	O
postdose	postdose	O	O
(	(	O	O
P	p	O	O
<	<	O	O
.01	.01	O	O
)	)	O	O
and	and	O	O
pupil	pupil	O	O
size	size	O	O
,	,	O	O
an	an	O	O
indication	indication	O	O
of	of	O	O
physiological	physiological	O	O
effects	effects	O	O
of	of	O	O
the	the	O	O
medication	medication	O	O
,	,	O	O
peaked	peaked	O	O
at	at	O	O
approximately	approximately	O	O
90	90	O	O
to	to	O	O
120	120	O	O
minutes	minutes	O	O
postdose	postdose	O	O
(	(	O	O
P	p	O	O
<	<	O	O
.01	.01	O	O
)	)	O	O
.	.	O	O

Significant	significant	O	O
declines	declines	O	O
in	in	O	O
simple	simple	O	O
and	and	O	O
sustained	sustained	O	O
attention	attention	O	O
,	,	O	O
working	working	O	O
memory	memory	O	O
,	,	O	O
and	and	O	O
verbal	verbal	O	O
memory	memory	O	O
were	were	O	O
observed	observed	O	O
at	at	O	O
1	1	O	O
hour	hour	O	O
postdose	postdose	O	O
compared	compared	O	O
to	to	O	O
baseline	baseline	O	O
for	for	O	O
both	both	O	O
age	age	O	O
groups	groups	O	O
with	with	O	O
a	a	O	O
trend	trend	O	O
toward	toward	O	O
return	return	O	O
to	to	O	O
baseline	baseline	O	O
by	by	O	O
5	5	O	O
hours	hours	O	O
postdose	postdose	O	O
.	.	O	O

For	for	O	O
almost	almost	O	O
all	all	O	O
cognitive	cognitive	O	O
measures	measures	O	O
,	,	O	O
there	there	O	O
were	were	O	O
no	no	O	O
medication	medication	O	O
by	by	O	O
age-interaction	age-interaction	O	O
effects	effects	O	O
,	,	O	O
which	which	O	O
indicates	indicates	O	O
that	that	O	O
the	the	O	O
2	2	O	O
age	age	O	O
groups	groups	O	O
exhibited	exhibited	O	O
similar	similar	O	O
responses	responses	O	O
to	to	O	O
the	the	O	O
medication	medication	O	O
challenge	challenge	O	O
.	.	O	O

This	this	O	O
study	study	O	O
suggests	suggests	O	O
that	that	O	O
for	for	O	O
healthy	healthy	O	O
older	older	O	O
adults	adults	O	O
who	who	O	O
are	are	O	O
not	not	O	O
suffering	suffering	O	O
from	from	O	O
chronic	chronic	O	B_disease
pain	pain	O	S_disease
,	,	O	O
neurocognitive	neurocognitive	O	O
and	and	O	O
pharmacodynamic	pharmacodynamic	O	O
changes	changes	O	O
in	in	O	O
response	response	O	O
to	to	O	O
a	a	O	O
10-mg	10-mg	O	O
dose	dose	O	O
of	of	O	O
immediate-release	immediate-release	O	O
oxycodone	oxycodone	S_chemical	O
are	are	O	O
similar	similar	O	O
to	to	O	O
those	those	O	O
observed	observed	O	O
for	for	O	O
middle-aged	middle-aged	O	O
adults	adults	O	O
.	.	O	O

PERSPECTIVE	perspective	O	O
:	:	O	O
Study	study	O	O
findings	findings	O	O
indicate	indicate	O	O
that	that	O	O
the	the	O	O
metabolism	metabolism	O	O
,	,	O	O
neurocognitive	neurocognitive	O	O
effects	effects	O	O
,	,	O	O
and	and	O	O
physical	physical	O	O
side	side	O	O
effects	effects	O	O
of	of	O	O
oral	oral	O	O
oxycodone	oxycodone	S_chemical	O
are	are	O	O
similar	similar	O	O
for	for	O	O
healthy	healthy	O	O
middle-aged	middle-aged	O	O
and	and	O	O
older	older	O	O
adults	adults	O	O
.	.	O	O

Therefore	therefore	O	O
,	,	O	O
clinicians	clinicians	O	O
should	should	O	O
not	not	O	O
avoid	avoid	O	O
prescribing	prescribing	O	O
oral	oral	O	O
opioids	opioids	O	O
to	to	O	O
older	older	O	O
adults	adults	O	O
based	based	O	O
on	on	O	O
the	the	O	O
belief	belief	O	O
that	that	O	O
older	older	O	O
adults	adults	O	O
are	are	O	O
at	at	O	O
higher	higher	O	O
risk	risk	O	O
for	for	O	O
side	side	O	O
effects	effects	O	O
than	than	O	O
younger	younger	O	O
adults	adults	O	O
.	.	O	O

