Phlorizin-induced	phlorizin-induced	O	O
glycosuria	glycosuria	O	S_disease
does	does	O	O
not	not	O	O
prevent	prevent	O	O
gentamicin	gentamicin	S_chemical	O
nephrotoxicity	nephrotoxicity	O	S_disease
in	in	O	O
rats	rats	O	O
.	.	O	O

Because	because	O	O
rats	rats	O	O
with	with	O	O
streptozotocin-induced	streptozotocin-induced	O	O
diabetes	diabetes	O	B_disease
mellitus	mellitus	O	I_disease
(	(	O	O
DM	dm	O	S_disease
)	)	O	O
have	have	O	O
a	a	O	O
high	high	O	O
solute	solute	O	O
diuresis	diuresis	O	O
(	(	O	O
glycosuria	glycosuria	O	S_disease
of	of	O	O
10	10	O	O
to	to	O	O
12	12	O	O
g/day	g/day	O	O
)	)	O	O
,	,	O	O
we	we	O	O
have	have	O	O
suggested	suggested	O	O
that	that	O	O
this	this	O	O
may	may	O	O
in	in	O	O
part	part	O	O
be	be	O	O
responsible	responsible	O	O
for	for	O	O
their	their	O	O
resistance	resistance	O	O
to	to	O	O
gentamicin-induced	gentamicin-induced	O	O
acute	acute	O	B_disease
renal	renal	O	B_disease
failure	failure	O	I_disease
(	(	O	O
ARF	arf	O	O
)	)	O	O
.	.	O	O

The	the	O	O
protection	protection	O	O
from	from	O	O
gentamicin	gentamicin	S_chemical	O
nephrotoxicity	nephrotoxicity	O	S_disease
was	was	O	O
studied	studied	O	O
in	in	O	O
non-diabetic	non-diabetic	O	O
rats	rats	O	O
with	with	O	O
chronic	chronic	O	O
solute	solute	O	O
diuresis	diuresis	O	O
induced	induced	O	O
by	by	O	O
blockage	blockage	O	O
of	of	O	O
tubular	tubular	O	O
glucose	glucose	S_chemical	O
reabsorption	reabsorption	O	O
with	with	O	O
phlorizin	phlorizin	O	O
(	(	O	O
P	p	O	O
)	)	O	O
.	.	O	O

DM	dm	O	S_disease
rats	rats	O	O
with	with	O	O
mild	mild	O	O
glycosuria	glycosuria	O	S_disease
(	(	O	O
similar	similar	O	O
in	in	O	O
degree	degree	O	O
to	to	O	O
that	that	O	O
of	of	O	O
the	the	O	O
P	p	O	O
treated	treated	O	O
animals	animals	O	O
)	)	O	O
were	were	O	O
also	also	O	O
studied	studied	O	O
.	.	O	O

Unanesthetized	unanesthetized	O	O
adult	adult	O	O
female	female	O	O
,	,	O	O
Sprague-Dawley	sprague-dawley	O	O
rats	rats	O	O
were	were	O	O
divided	divided	O	O
in	in	O	O
four	four	O	O
groups	groups	O	O
and	and	O	O
studied	studied	O	O
for	for	O	O
15	15	O	O
days	days	O	O
.	.	O	O

Group	group	O	O
1	1	O	O
(	(	O	O
P	p	O	O
alone	alone	O	O
)	)	O	O
received	received	O	O
P	p	O	O
,	,	O	O
360	360	O	O
mg/day	mg/day	O	O
,	,	O	O
for	for	O	O
15	15	O	O
days	days	O	O
;	;	O	O
Group	group	O	O
II	ii	O	O
(	(	O	O
P	p	O	O
+	+	O	O
gentamicin	gentamicin	S_chemical	O
)	)	O	O
;	;	O	O
Group	group	O	O
III	iii	O	O
(	(	O	O
gentamicin	gentamicin	S_chemical	O
alone	alone	O	O
)	)	O	O
and	and	O	O
Group	group	O	O
IV	iv	O	O
(	(	O	O
mild	mild	O	O
DM	dm	O	S_disease
+	+	O	O
gentamicin	gentamicin	S_chemical	O
)	)	O	O
.	.	O	O

Nephrotoxic	nephrotoxic	O	S_disease
doses	doses	O	O
(	(	O	O
40	40	O	O
mg/kg	mg/kg	O	O
body	body	O	O
wt/day	wt/day	O	O
)	)	O	O
of	of	O	O
gentamicin	gentamicin	S_chemical	O
were	were	O	O
injected	injected	O	O
during	during	O	O
the	the	O	O
last	last	O	O
nine	nine	O	O
days	days	O	O
of	of	O	O
study	study	O	O
to	to	O	O
the	the	O	O
animals	animals	O	O
of	of	O	O
groups	groups	O	O
II	ii	O	O
to	to	O	O
IV	iv	O	O
.	.	O	O

In	in	O	O
Group	group	O	O
I	i	O	O
,	,	O	O
P	p	O	O
induced	induced	O	O
a	a	O	O
moderate	moderate	O	O
and	and	O	O
stable	stable	O	O
glycosuria	glycosuria	O	S_disease
(	(	O	O
3.9	3.9	O	O
+	+	O	O
/-	/-	O	O
0.1	0.1	O	O
g/day	g/day	O	O
,	,	O	O
SE	se	O	S_disease
)	)	O	O
,	,	O	O
and	and	O	O
no	no	O	O
functional	functional	O	O
or	or	O	O
morphologic	morphologic	O	O
evidence	evidence	O	O
of	of	O	O
renal	renal	O	B_disease
dysfunction	dysfunction	O	I_disease
(	(	O	O
baseline	baseline	O	O
CCr	ccr	O	O
2.1	2.1	O	O
+	+	O	O
/-	/-	O	O
0.1	0.1	O	O
ml/min	ml/min	O	O
,	,	O	O
undetectable	undetectable	O	O
lysozymuria	lysozymuria	O	O
)	)	O	O
or	or	O	O
damage	damage	O	O
(	(	O	O
tubular	tubular	O	B_disease
necrosis	necrosis	O	S_disease
score	score	O	O
[	[	O	O
maximum	maximum	O	O
4	4	O	O
]	]	O	O
,	,	O	O
zero	zero	O	O
)	)	O	O
.	.	O	O

In	in	O	O
Group	group	O	O
II	ii	O	O
,	,	O	O
P	p	O	O
did	did	O	O
not	not	O	O
prevent	prevent	O	O
gentamicin-ARF	gentamicin-arf	O	O
(	(	O	O
maximal	maximal	O	O
decrease	decrease	O	O
in	in	O	O
CCr	ccr	O	O
at	at	O	O
day	day	O	O
9.89	9.89	O	O
%	%	O	O
,	,	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.001	0.001	O	O
;	;	O	O
peak	peak	O	O
lysozymuria	lysozymuria	O	O
,	,	O	O
1863	1863	O	O
+	+	O	O
/-	/-	O	O
321	321	O	O
micrograms/day	micrograms/day	O	O
;	;	O	O
and	and	O	O
tubular	tubular	O	B_disease
necrosis	necrosis	O	S_disease
score	score	O	O
,	,	O	O
3.9	3.9	O	O
+	+	O	O
/-	/-	O	O
0.1	0.1	O	O
)	)	O	O
.	.	O	O

These	these	O	O
values	values	O	O
were	were	O	O
not	not	O	O
different	different	O	O
from	from	O	O
those	those	O	O
of	of	O	O
Group	group	O	O
III	iii	O	O
:	:	O	O
maximal	maximal	O	O
decrease	decrease	O	O
in	in	O	O
CCr	ccr	O	O
73	73	O	O
%	%	O	O
(	(	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.001	0.001	O	O
)	)	O	O
;	;	O	O
lysozymuria	lysozymuria	O	O
,	,	O	O
2147	2147	O	O
+	+	O	O
/-	/-	O	O
701	701	O	O
micrograms/day	micrograms/day	O	O
;	;	O	O
tubular	tubular	O	B_disease
necrosis	necrosis	O	S_disease
score	score	O	O
,	,	O	O
3.8	3.8	O	O
+	+	O	O
/-	/-	O	O
0.1.(ABSTRACT	0.1.(abstract	O	O
TRUNCATED	truncated	O	O
AT	at	O	O
250	250	O	O
WORDS	words	O	O
)	)	O	O

