Hydrocortisone-induced	hydrocortisone-induced	O	O
hypertension	hypertension	O	S_disease
in	in	O	O
humans	humans	O	O
:	:	O	O
pressor	pressor	O	O
responsiveness	responsiveness	O	O
and	and	O	O
sympathetic	sympathetic	O	O
function	function	O	O
.	.	O	O

Oral	oral	O	O
hydrocortisone	hydrocortisone	S_chemical	O
increases	increases	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
enhances	enhances	O	O
pressor	pressor	O	O
responsiveness	responsiveness	O	O
in	in	O	O
normal	normal	O	O
human	human	O	O
subjects	subjects	O	O
.	.	O	O

We	we	O	O
studied	studied	O	O
the	the	O	O
effects	effects	O	O
of	of	O	O
1	1	O	O
week	week	O	O
of	of	O	O
oral	oral	O	O
hydrocortisone	hydrocortisone	S_chemical	O
(	(	O	O
200	200	O	O
mg/day	mg/day	O	O
)	)	O	O
on	on	O	O
blood	blood	O	O
pressure	pressure	O	O
,	,	O	O
cardiac	cardiac	O	O
output	output	O	O
,	,	O	O
total	total	O	O
peripheral	peripheral	O	O
resistance	resistance	O	O
,	,	O	O
forearm	forearm	O	O
vascular	vascular	O	O
resistance	resistance	O	O
,	,	O	O
and	and	O	O
norepinephrine	norepinephrine	S_chemical	O
spillover	spillover	O	O
to	to	O	O
plasma	plasma	O	O
in	in	O	O
eight	eight	O	O
healthy	healthy	O	O
male	male	O	O
volunteers	volunteers	O	O
.	.	O	O

Although	although	O	O
diastolic	diastolic	O	O
blood	blood	O	O
pressure	pressure	O	O
remained	remained	O	O
unchanged	unchanged	O	O
,	,	O	O
systolic	systolic	O	O
blood	blood	O	O
pressure	pressure	O	O
increased	increased	O	O
from	from	O	O
119	119	O	O
to	to	O	O
135	135	O	O
mm	mm	O	O
Hg	hg	O	O
(	(	O	O
SED	sed	O	O
+	+	O	O
/-	/-	O	O
3.4	3.4	O	O
,	,	O	O
p	p	O	O
less	less	O	O
than	than	O	O
0.01	0.01	O	O
)	)	O	O
,	,	O	O
associated	associated	O	O
with	with	O	O
an	an	O	O
increased	increased	O	O
cardiac	cardiac	O	O
output	output	O	O
(	(	O	O
5.85	5.85	O	O
-	-	O	O
7.73	7.73	O	O
l/min	l/min	O	O
,	,	O	O
SED	sed	O	O
+	+	O	O
/-	/-	O	O
0.46	0.46	O	O
,	,	O	O
p	p	O	O
less	less	O	O
than	than	O	O
0.01	0.01	O	O
)	)	O	O
.	.	O	O

Total	total	O	O
peripheral	peripheral	O	O
vascular	vascular	O	O
resistance	resistance	O	O
fell	fell	O	O
from	from	O	O
15.1	15.1	O	O
to	to	O	O
12.2	12.2	O	O
mm	mm	O	O
Hg/l/min	hg/l/min	O	O
(	(	O	O
SED	sed	O	O
+	+	O	O
/-	/-	O	O
1.03	1.03	O	O
,	,	O	O
p	p	O	O
less	less	O	O
than	than	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

Resting	resting	O	O
forearm	forearm	O	O
vascular	vascular	O	O
resistance	resistance	O	O
remained	remained	O	O
unchanged	unchanged	O	O
,	,	O	O
but	but	O	O
the	the	O	O
reflex	reflex	O	O
response	response	O	O
to	to	O	O
the	the	O	O
cold	cold	O	O
pressor	pressor	O	O
test	test	O	O
was	was	O	O
accentuated	accentuated	O	O
,	,	O	O
the	the	O	O
rise	rise	O	O
in	in	O	O
resistance	resistance	O	O
increasing	increasing	O	O
from	from	O	O
10.5	10.5	O	O
mm	mm	O	O
Hg/ml/100	hg/ml/100	O	O
ml/min	ml/min	O	O
(	(	O	O
R	r	O	O
units	units	O	O
)	)	O	O
before	before	O	O
treatment	treatment	O	O
to	to	O	O
32.6	32.6	O	O
R	r	O	O
units	units	O	O
after	after	O	O
treatment	treatment	O	O
(	(	O	O
SED	sed	O	O
+	+	O	O
/-	/-	O	O
6.4	6.4	O	O
,	,	O	O
p	p	O	O
less	less	O	O
than	than	O	O
0.025	0.025	O	O
)	)	O	O
.	.	O	O

The	the	O	O
rise	rise	O	O
in	in	O	O
forearm	forearm	O	O
vascular	vascular	O	O
resistance	resistance	O	O
accompanying	accompanying	O	O
intra-arterial	intra-arterial	O	O
norepinephrine	norepinephrine	S_chemical	O
(	(	O	O
25	25	O	O
,	,	O	O
50	50	O	O
,	,	O	O
and	and	O	O
100	100	O	O
ng/min	ng/min	O	O
)	)	O	O
was	was	O	O
also	also	O	O
significantly	significantly	O	O
greater	greater	O	O
after	after	O	O
hydrocortisone	hydrocortisone	S_chemical	O
,	,	O	O
increasing	increasing	O	O
from	from	O	O
an	an	O	O
average	average	O	O
of	of	O	O
14.9	14.9	O	O
+	+	O	O
/-	/-	O	O
2.4	2.4	O	O
R	r	O	O
units	units	O	O
before	before	O	O
treatment	treatment	O	O
to	to	O	O
35.1	35.1	O	O
+	+	O	O
/-	/-	O	O
5.5	5.5	O	O
R	r	O	O
units	units	O	O
after	after	O	O
hydrocortisone	hydrocortisone	S_chemical	O
(	(	O	O
SED	sed	O	O
+	+	O	O
/-	/-	O	O
6.0	6.0	O	O
,	,	O	O
p	p	O	O
less	less	O	O
than	than	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

A	a	O	O
shift	shift	O	O
to	to	O	O
the	the	O	O
left	left	O	O
in	in	O	O
the	the	O	O
dose-response	dose-response	O	O
relation	relation	O	O
and	and	O	O
fall	fall	O	O
in	in	O	O
threshold	threshold	O	O
suggested	suggested	O	O
increased	increased	O	O
sensitivity	sensitivity	O	O
to	to	O	O
norepinephrine	norepinephrine	S_chemical	O
after	after	O	O
treatment	treatment	O	O
.	.	O	O

Measurement	measurement	O	O
of	of	O	O
resting	resting	O	O
norepinephrine	norepinephrine	S_chemical	O
spillover	spillover	O	O
rate	rate	O	O
to	to	O	O
plasma	plasma	O	O
and	and	O	O
norepinephrine	norepinephrine	S_chemical	O
uptake	uptake	O	O
indicated	indicated	O	O
that	that	O	O
overall	overall	O	O
resting	resting	O	O
sympathetic	sympathetic	O	O
nervous	nervous	O	O
system	system	O	O
activity	activity	O	O
was	was	O	O
not	not	O	O
increased	increased	O	O
.	.	O	O

The	the	O	O
rise	rise	O	O
in	in	O	O
resting	resting	O	O
blood	blood	O	O
pressure	pressure	O	O
with	with	O	O
hydrocortisone	hydrocortisone	S_chemical	O
is	is	O	O
associated	associated	O	O
with	with	O	O
an	an	O	O
