Co-carcinogenic	co-carcinogenic	O	O
effect	effect	O	O
of	of	O	O
retinyl	retinyl	O	O
acetate	acetate	O	O
on	on	O	O
forestomach	forestomach	O	O
carcinogenesis	carcinogenesis	O	S_disease
of	of	O	O
male	male	O	O
F344	f344	O	O
rats	rats	O	O
induced	induced	O	O
with	with	O	O
butylated	butylated	B_chemical	O
hydroxyanisole	hydroxyanisole	I_chemical	O
.	.	O	O

The	the	O	O
potential	potential	O	O
modifying	modifying	O	O
effect	effect	O	O
of	of	O	O
retinyl	retinyl	O	O
acetate	acetate	O	O
(	(	O	O
RA	ra	O	O
)	)	O	O
on	on	O	O
butylated	butylated	B_chemical	O
hydroxyanisole	hydroxyanisole	I_chemical	O
(BHA)-induced	(bha)-induced	O	O
rat	rat	O	O
forestomach	forestomach	O	O
tumorigenesis	tumorigenesis	O	O
was	was	O	O
examined	examined	O	O
.	.	O	O

Male	male	O	O
F344	f344	O	O
rats	rats	O	O
,	,	O	O
5	5	O	O
weeks	weeks	O	O
of	of	O	O
age	age	O	O
,	,	O	O
were	were	O	O
maintained	maintained	O	O
on	on	O	O
diet	diet	O	O
containing	containing	O	O
1	1	O	O
%	%	O	O
or	or	O	O
2	2	O	O
%	%	O	O
BHA	bha	S_chemical	O
by	by	O	O
weight	weight	O	O
and	and	O	O
simultaneously	simultaneously	O	O
on	on	O	O
drinking	drinking	B_chemical	O
water	water	I_chemical	O
supplemented	supplemented	O	O
with	with	O	O
RA	ra	O	O
at	at	O	O
various	various	O	O
concentrations	concentrations	O	O
(	(	O	O
w/v	w/v	O	O
)	)	O	O
for	for	O	O
52	52	O	O
weeks	weeks	O	O
.	.	O	O

In	in	O	O
groups	groups	O	O
given	given	O	O
2	2	O	O
%	%	O	O
BHA	bha	S_chemical	O
,	,	O	O
although	although	O	O
marked	marked	O	O
hyperplastic	hyperplastic	O	O
changes	changes	O	O
of	of	O	O
the	the	O	O
forestomach	forestomach	O	O
epithelium	epithelium	O	O
were	were	O	O
observed	observed	O	O
in	in	O	O
all	all	O	O
animals	animals	O	O
,	,	O	O
co-administration	co-administration	O	O
of	of	O	O
0.25	0.25	O	O
%	%	O	O
RA	ra	O	O
significantly	significantly	O	O
(	(	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.05	0.05	O	O
)	)	O	O
increased	increased	O	O
the	the	O	O
incidence	incidence	O	O
of	of	O	O
forestomach	forestomach	O	O
tumors	tumors	O	S_disease
(	(	O	O
squamous	squamous	O	O
cell	cell	O	O
papilloma	papilloma	O	O
and	and	O	O
carcinoma	carcinoma	O	S_disease
)	)	O	O
to	to	O	O
60	60	O	O
%	%	O	O
(	(	O	O
9/15	9/15	O	O
,	,	O	O
2	2	O	O
rats	rats	O	O
with	with	O	O
carcinoma	carcinoma	O	S_disease
)	)	O	O
from	from	O	O
15	15	O	O
%	%	O	O
(	(	O	O
3/20	3/20	O	O
,	,	O	O
one	one	O	O
rat	rat	O	O
with	with	O	O
carcinoma	carcinoma	O	S_disease
)	)	O	O
in	in	O	O
the	the	O	O
group	group	O	O
given	given	O	O
RA-free	ra-free	O	O
water	water	O	O
.	.	O	O

In	in	O	O
rats	rats	O	O
given	given	O	O
1	1	O	O
%	%	O	O
BHA	bha	S_chemical	O
,	,	O	O
RA	ra	O	O
co-administered	co-administered	O	O
at	at	O	O
a	a	O	O
dose	dose	O	O
of	of	O	O
0.05	0.05	O	O
,	,	O	O
0.1	0.1	O	O
,	,	O	O
0.2	0.2	O	O
or	or	O	O
0.25	0.25	O	O
%	%	O	O
showed	showed	O	O
a	a	O	O
dose-dependent	dose-dependent	O	O
enhancing	enhancing	O	O
effect	effect	O	O
on	on	O	O
the	the	O	O
development	development	O	O
of	of	O	O
the	the	O	O
BHA-induced	bha-induced	O	O
epithelial	epithelial	O	O
hyperplasia	hyperplasia	O	O
.	.	O	O

Tumors	tumors	O	S_disease
,	,	O	O
all	all	O	O
papillomas	papillomas	O	O
,	,	O	O
were	were	O	O
induced	induced	O	O
in	in	O	O
3	3	O	O
rats	rats	O	O
(	(	O	O
17	17	O	O
%	%	O	O
)	)	O	O
with	with	O	O
0.25	0.25	O	O
%	%	O	O
RA	ra	O	O
and	and	O	O
in	in	O	O
one	one	O	O
rat	rat	O	O
(	(	O	O
10	10	O	O
%	%	O	O
)	)	O	O
with	with	O	O
0.05	0.05	O	O
%	%	O	O
RA	ra	O	O
co-administration	co-administration	O	O
.	.	O	O

RA	ra	O	O
alone	alone	O	O
did	did	O	O
not	not	O	O
induce	induce	O	O
hyperplastic	hyperplastic	O	O
changes	changes	O	O
in	in	O	O
the	the	O	O
forestomach	forestomach	O	O
.	.	O	O

These	these	O	O
findings	findings	O	O
indicate	indicate	O	O
that	that	O	O
RA	ra	O	O
acted	acted	O	O
as	as	O	O
a	a	O	O
co-carcinogen	co-carcinogen	O	O
in	in	O	O
the	the	O	O
BHA	bha	S_chemical	O
forestomach	forestomach	O	O
carcinogenesis	carcinogenesis	O	S_disease
of	of	O	O
the	the	O	O
rat	rat	O	O
.	.	O	O

