Provocation	provocation	O	O
of	of	O	O
postural	postural	O	B_disease
hypotension	hypotension	O	S_disease
by	by	O	O
nitroglycerin	nitroglycerin	S_chemical	O
in	in	O	O
diabetic	diabetic	O	S_disease
autonomic	autonomic	O	O
neuropathy?The	neuropathy?the	O	O
effect	effect	O	O
of	of	O	O
nitroglycerin	nitroglycerin	S_chemical	O
on	on	O	O
heart	heart	O	O
rate	rate	O	O
and	and	O	O
systolic	systolic	O	O
blood	blood	O	O
pressure	pressure	O	O
was	was	O	O
compared	compared	O	O
in	in	O	O
5	5	O	O
normal	normal	O	O
subjects	subjects	O	O
,	,	O	O
12	12	O	O
diabetic	diabetic	O	S_disease
subjects	subjects	O	O
without	without	O	O
autonomic	autonomic	O	B_disease
neuropathy	neuropathy	O	S_disease
,	,	O	O
and	and	O	O
5	5	O	O
diabetic	diabetic	O	S_disease
subjects	subjects	O	O
with	with	O	O
autonomic	autonomic	O	B_disease
neuropathy	neuropathy	O	S_disease
.	.	O	O

The	the	O	O
magnitude	magnitude	O	O
and	and	O	O
time	time	O	O
course	course	O	O
of	of	O	O
the	the	O	O
increase	increase	O	O
in	in	O	O
heart	heart	O	O
rate	rate	O	O
and	and	O	O
the	the	O	O
decrease	decrease	O	O
in	in	O	O
systolic	systolic	O	O
blood	blood	O	O
pressure	pressure	O	O
after	after	O	O
nitroglycerin	nitroglycerin	S_chemical	O
were	were	O	O
similar	similar	O	O
in	in	O	O
the	the	O	O
normal	normal	O	O
and	and	O	O
diabetic	diabetic	O	S_disease
subjects	subjects	O	O
without	without	O	O
autonomic	autonomic	O	B_disease
neuropathy	neuropathy	O	S_disease
,	,	O	O
whereas	whereas	O	O
a	a	O	O
lesser	lesser	O	O
increase	increase	O	O
in	in	O	O
heart	heart	O	O
rate	rate	O	O
and	and	O	O
a	a	O	O
greater	greater	O	O
decrease	decrease	O	O
in	in	O	O
systolic	systolic	O	O
blood	blood	O	O
pressure	pressure	O	O
occurred	occurred	O	O
in	in	O	O
the	the	O	O
diabetic	diabetic	O	S_disease
subjects	subjects	O	O
with	with	O	O
autonomic	autonomic	O	B_disease
neuropathy	neuropathy	O	S_disease
.	.	O	O

It	it	O	O
is	is	O	O
therefore	therefore	O	O
suggested	suggested	O	O
that	that	O	O
caution	caution	O	O
should	should	O	O
be	be	O	O
exercised	exercised	O	O
when	when	O	O
prescribing	prescribing	O	O
vasodilator	vasodilator	B_chemical	O
drugs	drugs	I_chemical	O
in	in	O	O
diabetic	diabetic	O	S_disease
patients	patients	O	O
,	,	O	O
particularly	particularly	O	O
those	those	O	O
with	with	O	O
autonomic	autonomic	O	B_disease
neuropathy	neuropathy	O	S_disease
.	.	O	O

