Interactive	interactive	O	O
effects	effects	O	O
of	of	O	O
variations	variations	O	O
in	in	O	O
[Na]o	[na]o	O	O
and	and	O	O
[Ca]o	[ca]o	O	O
on	on	O	O
rat	rat	O	O
atrial	atrial	O	O
spontaneous	spontaneous	O	O
frequency	frequency	O	O
.	.	O	O

The	the	O	O
effects	effects	O	O
of	of	O	O
varying	varying	O	O
the	the	O	O
extracellular	extracellular	O	O
concentrations	concentrations	O	O
of	of	O	O
Na	na	S_chemical	O
and	and	O	O
Ca	ca	S_chemical	O
(	(	O	O
[Na]o	[na]o	O	O
and	and	O	O
[Ca]o	[ca]o	O	O
)	)	O	O
on	on	O	O
both	both	O	O
,	,	O	O
the	the	O	O
spontaneous	spontaneous	O	O
beating	beating	O	O
and	and	O	O
the	the	O	O
negative	negative	O	O
chronotropic	chronotropic	O	O
action	action	O	O
of	of	O	O
verapamil	verapamil	S_chemical	O
,	,	O	O
were	were	O	O
studied	studied	O	O
in	in	O	O
the	the	O	O
isolated	isolated	O	O
rat	rat	O	O
atria	atria	O	O
.	.	O	O

Basal	basal	O	O
frequency	frequency	O	O
(	(	O	O
BF	bf	O	O
)	)	O	O
evaluated	evaluated	O	O
by	by	O	O
surface	surface	O	O
electrogram	electrogram	O	O
was	was	O	O
223	223	O	O
+	+	O	O
/-	/-	O	O
4	4	O	O
beats/min	beats/min	O	O
.	.	O	O

in	in	O	O
control	control	O	O
Krebs-Ringer	krebs-ringer	O	O
containing	containing	O	O
137	137	O	O
mM	mm	O	O
Na	na	S_chemical	O
and	and	O	O
1.35	1.35	O	O
mM	mm	O	O
Ca	ca	S_chemical	O
(	(	O	O
N	n	O	O
)	)	O	O
.	.	O	O

It	it	O	O
decreased	decreased	O	O
by	by	O	O
16	16	O	O
+	+	O	O
/-	/-	O	O
3	3	O	O
%	%	O	O
by	by	O	O
lowering	lowering	O	O
[Na]o	[na]o	O	O
to	to	O	O
78	78	O	O
mM	mm	O	O
(	(	O	O
LNa	lna	O	O
)	)	O	O
,	,	O	O
23	23	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
%	%	O	O
by	by	O	O
lowering	lowering	O	O
simultaneously	simultaneously	O	O
[Na]o	[na]o	O	O
to	to	O	O
78	78	O	O
mM	mm	O	O
and	and	O	O
[Ca]o	[ca]o	O	O
to	to	O	O
0.675	0.675	O	O
mM	mm	O	O
(	(	O	O
LNa+LCa	lna+lca	O	O
)	)	O	O
and	and	O	O
31	31	O	O
+	+	O	O
/-	/-	O	O
5	5	O	O
