Reversal	reversal	O	O
of	of	O	O
ammonia	ammonia	O	O
coma	coma	O	S_disease
in	in	O	O
rats	rats	O	O
by	by	O	O
L-dopa	l-dopa	O	O
:	:	O	O
a	a	O	O
peripheral	peripheral	O	O
effect	effect	O	O
.	.	O	O

Ammonia	ammonia	O	O
coma	coma	O	S_disease
was	was	O	O
produced	produced	O	O
in	in	O	O
rats	rats	O	O
within	within	O	O
10	10	O	O
to	to	O	O
15	15	O	O
minutes	minutes	O	O
of	of	O	O
an	an	O	O
intraperitonealinjection	intraperitonealinjection	O	O
of	of	O	O
1.7	1.7	O	O
mmol	mmol	O	O
NH4CL	nh4cl	O	O
.	.	O	O

This	this	O	O
coma	coma	O	S_disease
was	was	O	O
prevented	prevented	O	O
with	with	O	O
1.68	1.68	O	O
mmol	mmol	O	O
L-dopa	l-dopa	O	O
given	given	O	O
by	by	O	O
gastric	gastric	O	O
intubation	intubation	O	O
15	15	O	O
minutes	minutes	O	O
before	before	O	O
the	the	O	O
ammonium	ammonium	O	O
salt	salt	S_chemical	O
injection	injection	O	O
.	.	O	O

The	the	O	O
effect	effect	O	O
of	of	O	O
L-dopa	l-dopa	O	O
was	was	O	O
correlated	correlated	O	O
with	with	O	O
a	a	O	O
decrease	decrease	O	O
in	in	O	O
blood	blood	O	O
and	and	O	O
brain	brain	O	O
ammonia	ammonia	O	O
,	,	O	O
an	an	O	O
increase	increase	O	O
in	in	O	O
brain	brain	O	O
dopamine	dopamine	S_chemical	O
,	,	O	O
and	and	O	O
an	an	O	O
increase	increase	O	O
in	in	O	O
renal	renal	O	O
excretion	excretion	O	O
of	of	O	O
ammonia	ammonia	O	O
and	and	O	O
urea	urea	S_chemical	O
.	.	O	O

Intraventricular	intraventricular	O	O
infusion	infusion	O	O
of	of	O	O
dopamine	dopamine	S_chemical	O
sufficient	sufficient	O	O
to	to	O	O
raise	raise	O	O
the	the	O	O
brain	brain	O	O
dopamine	dopamine	S_chemical	O
to	to	O	O
the	the	O	O
same	same	O	O
extent	extent	O	O
did	did	O	O
not	not	O	O
prevent	prevent	O	O
the	the	O	O
ammonia	ammonia	O	O
coma	coma	O	S_disease
nor	nor	O	O
affect	affect	O	O
the	the	O	O
blood	blood	O	O
and	and	O	O
brain	brain	O	O
ammonia	ammonia	O	O
concentrations	concentrations	O	O
.	.	O	O

Bilateral	bilateral	O	O
nephrectomy	nephrectomy	O	O
eliminated	eliminated	O	O
the	the	O	O
beneficial	beneficial	O	O
effect	effect	O	O
of	of	O	O
L-dopa	l-dopa	O	O
on	on	O	O
blood	blood	O	O
and	and	O	O
brain	brain	O	O
ammonia	ammonia	O	O
and	and	O	O
the	the	O	O
ammonia	ammonia	O	O
coma	coma	O	S_disease
was	was	O	O
not	not	O	O
prevented	prevented	O	O
.	.	O	O

Thus	thus	O	O
,	,	O	O
the	the	O	O
reduction	reduction	O	O
in	in	O	O
blood	blood	O	O
and	and	O	O
brain	brain	O	O
ammonia	ammonia	O	O
and	and	O	O
the	the	O	O
prevention	prevention	O	O
of	of	O	O
ammonia	ammonia	O	O
coma	coma	O	S_disease
after	after	O	O
L-dopa	l-dopa	O	O
,	,	O	O
can	can	O	O
be	be	O	O
accounted	accounted	O	O
for	for	O	O
by	by	O	O
the	the	O	O
peripheral	peripheral	O	O
effect	effect	O	O
of	of	O	O
dopamine	dopamine	S_chemical	O
on	on	O	O
renal	renal	O	O
function	function	O	O
rather	rather	O	O
than	than	O	O
its	its	O	O
central	central	O	O
action	action	O	O
.	.	O	O

These	these	O	O
results	results	O	O
provide	provide	O	O
a	a	O	O
reasonable	reasonable	O	O
explanation	explanation	O	O
for	for	O	O
the	the	O	O
beneficial	beneficial	O	O
effects	effects	O	O
observed	observed	O	O
in	in	O	O
some	some	O	O
encephalopathic	encephalopathic	O	S_disease
patients	patients	O	O
receiving	receiving	O	O
L-dopa	l-dopa	O	O
.	.	O	O

