Prospective	prospective	O	O
study	study	O	O
of	of	O	O
the	the	O	O
long-term	long-term	O	O
effects	effects	O	O
of	of	O	O
somatostatin	somatostatin	O	O
analog	analog	O	O
(	(	O	O
octreotide	octreotide	S_chemical	O
)	)	O	O
on	on	O	O
gallbladder	gallbladder	O	O
function	function	O	O
and	and	O	O
gallstone	gallstone	O	O
formation	formation	O	O
in	in	O	O
Chinese	chinese	O	O
acromegalic	acromegalic	O	O
patients	patients	O	O
.	.	O	O

This	this	O	O
article	article	O	O
reports	reports	O	O
the	the	O	O
changes	changes	O	O
in	in	O	O
gallbladder	gallbladder	O	O
function	function	O	O
examined	examined	O	O
by	by	O	O
ultrasonography	ultrasonography	O	O
in	in	O	O
20	20	O	O
Chinese	chinese	O	O
patients	patients	O	O
with	with	O	O
active	active	O	O
acromegaly	acromegaly	O	O
treated	treated	O	O
with	with	O	O
sc	sc	O	O
injection	injection	O	O
of	of	O	O
the	the	O	O
somatostatin	somatostatin	O	O
analog	analog	O	O
octreotide	octreotide	S_chemical	O
in	in	O	O
dosages	dosages	O	O
of	of	O	O
300	300	O	O
-	-	O	O
1500	1500	O	O
micrograms/day	micrograms/day	O	O
for	for	O	O
a	a	O	O
mean	mean	O	O
of	of	O	O
24.2	24.2	O	O
+	+	O	O
/-	/-	O	O
13.9	13.9	O	O
months	months	O	O
.	.	O	O

During	during	O	O
treatment	treatment	O	O
with	with	O	O
octreotide	octreotide	S_chemical	O
,	,	O	O
17	17	O	O
patients	patients	O	O
developed	developed	O	O
sludge	sludge	O	O
,	,	O	O
10	10	O	O
had	had	O	O
gallstones	gallstones	O	O
,	,	O	O
and	and	O	O
1	1	O	O
developed	developed	O	O
acute	acute	O	O
cholecystitis	cholecystitis	O	O
requiring	requiring	O	O
surgery	surgery	O	O
.	.	O	O

In	in	O	O
all	all	O	O
of	of	O	O
7	7	O	O
patients	patients	O	O
examined	examined	O	O
acutely	acutely	O	O
,	,	O	O
gallbladder	gallbladder	O	O
contractility	contractility	O	O
was	was	O	O
inhibited	inhibited	O	O
after	after	O	O
a	a	O	O
single	single	O	O
100-micrograms	100-micrograms	O	O
injection	injection	O	O
.	.	O	O

In	in	O	O
8	8	O	O
patients	patients	O	O
followed	followed	O	O
for	for	O	O
24	24	O	O
weeks	weeks	O	O
,	,	O	O
gallbladder	gallbladder	O	O
contractility	contractility	O	O
remained	remained	O	O
depressed	depressed	O	S_disease
throughout	throughout	O	O
therapy	therapy	O	O
.	.	O	O

After	after	O	O
withdrawal	withdrawal	O	O
of	of	O	O
octreotide	octreotide	S_chemical	O
in	in	O	O
10	10	O	O
patients	patients	O	O
without	without	O	O
gallstones	gallstones	O	O
,	,	O	O
8	8	O	O
patients	patients	O	O
assessed	assessed	O	O
had	had	O	O
return	return	O	O
of	of	O	O
normal	normal	O	O
gallbladder	gallbladder	O	O
contractility	contractility	O	O
within	within	O	O
1	1	O	O
month	month	O	O
.	.	O	O

In	in	O	O
8	8	O	O
of	of	O	O
the	the	O	O
remaining	remaining	O	O
10	10	O	O
patients	patients	O	O
who	who	O	O
developed	developed	O	O
gallstones	gallstones	O	O
during	during	O	O
treatment	treatment	O	O
,	,	O	O
gallbladder	gallbladder	O	O
contractility	contractility	O	O
normalized	normalized	O	O
in	in	O	O
5	5	O	O
patients	patients	O	O
(	(	O	O
3	3	O	O
of	of	O	O
whom	whom	O	O
has	has	O	O
disappearance	disappearance	O	O
of	of	O	O
their	their	O	O
stones	stones	O	O
within	within	O	O
3	3	O	O
weeks	weeks	O	O
)	)	O	O
,	,	O	O
and	and	O	O
remained	remained	O	O
depressed	depressed	O	S_disease
in	in	O	O
3	3	O	O
(	(	O	O
2	2	O	O
of	of	O	O
whom	whom	O	O
had	had	O	O
stones	stones	O	O
present	present	O	O
at	at	O	O
6	6	O	O
months	months	O	O
)	)	O	O
.	.	O	O

Our	our	O	O
results	results	O	O
suggest	suggest	O	O
that	that	O	O
the	the	O	O
suppression	suppression	O	O
of	of	O	O
gallbladder	gallbladder	O	O
contractility	contractility	O	O
is	is	O	O
the	the	O	O
cause	cause	O	O
of	of	O	O
the	the	O	O
successive	successive	O	O
formation	formation	O	O
of	of	O	O
bile	bile	O	O
sludge	sludge	O	O
,	,	O	O
gallstones	gallstones	O	O
,	,	O	O
and	and	O	O
cholecystitis	cholecystitis	O	O
during	during	O	O
octreotide	octreotide	S_chemical	O
therapy	therapy	O	O
in	in	O	O
Chinese	chinese	O	O
acromegalic	acromegalic	O	O
patients	patients	O	O
.	.	O	O

It	it	O	O
is	is	O	O
therefore	therefore	O	O
very	very	O	O
important	important	O	O
to	to	O	O
follow	follow	O	O
the	the	O	O
changes	changes	O	O
of	of	O	O
gallbladder	gallbladder	O	O
function	function	O	O
during	during	O	O
long-term	long-term	O	O
octreotide	octreotide	S_chemical	O
therapy	therapy	O	O
of	of	O	O
acromegalic	acromegalic	O	O
patients	patients	O	O
.	.	O	O

