Contribution	contribution	O	O
of	of	O	O
the	the	O	O
sympathetic	sympathetic	O	O
nervous	nervous	O	O
system	system	O	O
to	to	O	O
salt-sensitivity	salt-sensitivity	O	O
in	in	O	O
lifetime	lifetime	O	O
captopril-treated	captopril-treated	O	O
spontaneously	spontaneously	O	O
hypertensive	hypertensive	O	S_disease
rats	rats	O	O
.	.	O	O

OBJECTIVE	objective	O	O
:	:	O	O
To	to	O	O
test	test	O	O
the	the	O	O
hypothesis	hypothesis	O	O
that	that	O	O
,	,	O	O
in	in	O	O
lifetime	lifetime	O	O
captopril-treated	captopril-treated	O	O
spontaneously	spontaneously	O	O
hypertensive	hypertensive	O	S_disease
rats	rats	O	O
(	(	O	O
SHR	shr	S_chemical	O
)	)	O	O
,	,	O	O
the	the	O	O
sympathetic	sympathetic	O	O
nervous	nervous	O	O
system	system	O	O
contributes	contributes	O	O
importantly	importantly	O	O
to	to	O	O
the	the	O	O
hypertensive	hypertensive	O	S_disease
effect	effect	O	O
of	of	O	O
dietary	dietary	O	O
sodium	sodium	B_chemical	O
chloride	chloride	I_chemical	O
supplementation	supplementation	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
Male	male	O	O
SHR	shr	S_chemical	O
(	(	O	O
aged	aged	O	O
6	6	O	O
weeks	weeks	O	O
)	)	O	O
that	that	O	O
had	had	O	O
been	been	O	O
treated	treated	O	O
from	from	O	O
conception	conception	O	O
onward	onward	O	O
with	with	O	O
either	either	O	O
captopril	captopril	S_chemical	O
or	or	O	O
vehicle	vehicle	O	O
remained	remained	O	O
on	on	O	O
a	a	O	O
basal	basal	O	O
sodium	sodium	B_chemical	O
chloride	chloride	I_chemical	O
diet	diet	O	O
or	or	O	O
were	were	O	O
fed	fed	O	O
a	a	O	O
high	high	O	O
sodium	sodium	B_chemical	O
chloride	chloride	I_chemical	O
diet	diet	O	O
.	.	O	O

After	after	O	O
2	2	O	O
weeks	weeks	O	O
,	,	O	O
the	the	O	O
rats	rats	O	O
were	were	O	O
subjected	subjected	O	O
to	to	O	O
ganglionic	ganglionic	O	O
blockade	blockade	O	O
and	and	O	O
2	2	O	O
days	days	O	O
later	later	O	O
,	,	O	O
an	an	O	O
infusion	infusion	O	O
of	of	O	O
clonidine	clonidine	S_chemical	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Lifetime	lifetime	O	O
captopril	captopril	S_chemical	O
treatment	treatment	O	O
significantly	significantly	O	O
lowered	lowered	O	O
mean	mean	O	O
arterial	arterial	O	O
pressure	pressure	O	O
in	in	O	O
both	both	O	O
groups	groups	O	O
.	.	O	O

Intravenous	intravenous	O	O
infusion	infusion	O	O
of	of	O	O
the	the	O	O
ganglionic	ganglionic	O	O
blocker	blocker	O	O
hexamethonium	hexamethonium	S_chemical	O
resulted	resulted	O	O
in	in	O	O
a	a	O	O
rapid	rapid	O	O
decline	decline	O	O
in	in	O	O
MAP	map	O	O
that	that	O	O
eliminated	eliminated	O	O
the	the	O	O
dietary	dietary	O	O
sodium	sodium	S_chemical	O
chloride-induced	chloride-induced	O	O
increase	increase	O	O
in	in	O	O
MAP	map	O	O
in	in	O	O
both	both	O	O
groups	groups	O	O
.	.	O	O

Infusion	infusion	O	O
of	of	O	O
the	the	O	O
central	central	O	B_disease
nervous	nervous	O	I_disease
system	system	O	I_disease
alpha2-adrenergic	alpha2-adrenergic	O	O
receptor	receptor	O	O
agonist	agonist	O	O
clonidine	clonidine	S_chemical	O
also	also	O	O
resulted	resulted	O	O
in	in	O	O
a	a	O	O
greater	greater	O	O
reduction	reduction	O	O
in	in	O	O
MAP	map	O	O
in	in	O	O
both	both	O	O
groups	groups	O	O
of	of	O	O
SHR	shr	S_chemical	O
that	that	O	O
were	were	O	O
fed	fed	O	O
the	the	O	O
high	high	O	O
(	(	O	O
compared	compared	O	O
with	with	O	O
the	the	O	O
basal	basal	O	O
)	)	O	O
sodium	sodium	B_chemical	O
chloride	chloride	I_chemical	O
diet	diet	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
In	in	O	O
both	both	O	O
lifetime	lifetime	O	O
captopril-treated	captopril-treated	O	O
and	and	O	O
control	control	O	O
SHR	shr	S_chemical	O
,	,	O	O
the	the	O	O
sympathetic	sympathetic	O	O
nervous	nervous	O	O
system	system	O	O
contributes	contributes	O	O
to	to	O	O
the	the	O	O
pressor	pressor	O	O
effects	effects	O	O
of	of	O	O
a	a	O	O
high	high	O	O
sodium	sodium	B_chemical	O
chloride	chloride	I_chemical	O
diet	diet	O	O
.	.	O	O

