Effects	effects	O	O
of	of	O	O
acute	acute	O	O
steroid	steroid	S_chemical	O
administration	administration	O	O
on	on	O	O
ventilatory	ventilatory	O	O
and	and	O	O
peripheral	peripheral	O	O
muscles	muscles	O	O
in	in	O	O
rats	rats	O	O
.	.	O	O

Occasional	occasional	O	O
case	case	O	O
reports	reports	O	O
have	have	O	O
shown	shown	O	O
that	that	O	O
acute	acute	O	O
myopathy	myopathy	O	S_disease
may	may	O	O
occur	occur	O	O
in	in	O	O
patients	patients	O	O
treated	treated	O	O
with	with	O	O
massive	massive	O	O
doses	doses	O	O
of	of	O	O
corticosteroids	corticosteroids	S_chemical	O
.	.	O	O

The	the	O	O
mechanism	mechanism	O	O
of	of	O	O
this	this	O	O
myopathy	myopathy	O	S_disease
is	is	O	O
poorly	poorly	O	O
understood	understood	O	O
.	.	O	O

Therefore	therefore	O	O
,	,	O	O
60	60	O	O
male	male	O	O
rats	rats	O	O
were	were	O	O
randomly	randomly	O	O
assigned	assigned	O	O
to	to	O	O
receive	receive	O	O
daily	daily	O	O
injection	injection	O	O
of	of	O	O
saline	saline	O	O
(	(	O	O
C	c	O	O
)	)	O	O
,	,	O	O
methylprednisolone	methylprednisolone	S_chemical	O
(	(	O	O
M	m	O	O
)	)	O	O
,	,	O	O
or	or	O	O
triamcinolone	triamcinolone	O	O
(	(	O	O
T	t	O	O
)	)	O	O
80	80	O	O
mg/kg/d	mg/kg/d	O	O
for	for	O	O
5	5	O	O
d.	d.	O	O
Nutritional	nutritional	O	O
intake	intake	O	O
,	,	O	O
measured	measured	O	O
daily	daily	O	O
in	in	O	O
15	15	O	O
animals	animals	O	O
,	,	O	O
showed	showed	O	O
a	a	O	O
significant	significant	O	O
reduction	reduction	O	O
of	of	O	O
food	food	O	O
intake	intake	O	O
in	in	O	O
the	the	O	O
steroid-treated	steroid-treated	O	O
groups	groups	O	O
(	(	O	O
-50	-50	O	O
and	and	O	O
-79	-79	O	O
%	%	O	O
in	in	O	O
M	m	O	O
and	and	O	O
T	t	O	O
,	,	O	O
respectively	respectively	O	O
)	)	O	O
.	.	O	O

This	this	O	O
was	was	O	O
associated	associated	O	B_disease
with	with	O	I_disease
a	a	O	O
similar	similar	O	O
loss	loss	O	O
in	in	O	O
body	body	O	B_disease
weight	weight	O	I_disease
.	.	O	O

In	in	O	O
the	the	O	O
45	45	O	O
remaining	remaining	O	O
animals	animals	O	O
,	,	O	O
diaphragm	diaphragm	O	O
contractility	contractility	O	O
and	and	O	O
histopathologic	histopathologic	O	O
features	features	O	O
of	of	O	O
several	several	O	O
muscles	muscles	O	O
were	were	O	O
studied	studied	O	O
.	.	O	O

Weights	weights	O	O
of	of	O	O
respiratory	respiratory	O	O
and	and	O	O
peripheral	peripheral	O	O
muscles	muscles	O	O
were	were	O	O
similarly	similarly	O	O
decreased	decreased	O	O
after	after	O	O
steroid	steroid	S_chemical	O
treatment	treatment	O	O
.	.	O	O

Maximal	maximal	O	O
twitches	twitches	O	O
of	of	O	O
the	the	O	O
diaphragm	diaphragm	O	O
were	were	O	O
lower	lower	O	O
in	in	O	O
the	the	O	O
C	c	O	O
group	group	O	O
(	(	O	O
653	653	O	O
+	+	O	O
/-	/-	O	O
174	174	O	O
g/cm(2	g/cm(2	O	O
)	)	O	O
)	)	O	O
than	than	O	O
in	in	O	O
the	the	O	O
M	m	O	O
group	group	O	O
(	(	O	O
837	837	O	O
+	+	O	O
/-	/-	O	O
171	171	O	O
g/cm(2	g/cm(2	O	O
)	)	O	O
;	;	O	O
p	p	O	O
<	<	O	O
0.05	0.05	O	O
)	)	O	O
and	and	O	O
the	the	O	O
T	t	O	O
group	group	O	O
(	(	O	O
765	765	O	O
+	+	O	O
/-	/-	O	O
145	145	O	O
g/cm(2	g/cm(2	O	O
)	)	O	O
,	,	O	O
NS	ns	O	O
)	)	O	O
.	.	O	O

Half-relaxation	half-relaxation	O	O
time	time	O	O
was	was	O	O
prolonged	prolonged	O	O
in	in	O	O
both	both	O	O
steroid	steroid	S_chemical	O
groups	groups	O	O
,	,	O	O
and	and	O	O
time	time	O	O
to	to	O	O
peak	peak	O	O
tension	tension	O	O
was	was	O	O
longer	longer	O	O
with	with	O	O
M	m	O	O
,	,	O	O
whereas	whereas	O	O
tetanic	tetanic	O	O
tensions	tensions	O	O
were	were	O	O
similar	similar	O	O
.	.	O	O

Steroid	steroid	S_chemical	O
treatment	treatment	O	O
also	also	O	O
induced	induced	O	O
a	a	O	O
leftward	leftward	O	O
shift	shift	O	O
of	of	O	O
the	the	O	O
force-frequency	force-frequency	O	O
curve	curve	O	O
at	at	O	O
25	25	O	O
and	and	O	O
50	50	O	O
Hz	hz	O	O
when	when	O	O
compared	compared	O	O
with	with	O	O
saline	saline	O	O
treatment	treatment	O	O
(	(	O	O
p	p	O	O
<	<	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

ATPase	atpase	O	O
staining	staining	O	O
of	of	O	O
the	the	O	O
diaphragm	diaphragm	O	O
,	,	O	O
scalenus	scalenus	O	O
medius	medius	O	O
,	,	O	O
and	and	O	O
gastrocnemius	gastrocnemius	O	O
showed	showed	O	O
type	type	O	O
IIb	iib	O	O
fiber	fiber	O	O
atrophy	atrophy	O	S_disease
in	in	O	O
the	the	O	O
steroid	steroid	S_chemical	O
groups	groups	O	O
and	and	O	O
also	also	O	O
diaphragmatic	diaphragmatic	O	S_disease
type	type	O	O
IIa	iia	O	O
atrophy	atrophy	O	S_disease
with	with	O	O
T	t	O	O
,	,	O	O
whereas	whereas	O	O
histologic	histologic	O	O
examinations	examinations	O	O
revealed	revealed	O	O
a	a	O	O
normal	normal	O	O
muscular	muscular	O	O
pattern	pattern	O	O
with	with	O	O
absence	absence	O	O
of	of	O	O
necrosis	necrosis	O	S_disease
.	.	O	O

Finally	finally	O	O
,	,	O	O
a	a	O	O
pair-fed	pair-fed	O	O
(	(	O	O
PF	pf	O	O
)	)	O	O
study	study	O	O
,	,	O	O
performed	performed	O	O
in	in	O	O
18	18	O	O
rats	rats	O	O
(	(	O	O
C	c	O	O
,	,	O	O
T	t	O	O
,	,	O	O
and	and	O	O
PF	pf	O	O
)	)	O	O
,	,	O	O
showed	showed	O	O
that	that	O	O
muscle	muscle	O	B_disease
atrophy	atrophy	O	S_disease
was	was	O	O
considerably	considerably	O	O
less	less	O	O
pronounced	pronounced	O	O
in	in	O	O
PF	pf	O	O
animals	animals	O	O
than	than	O	O
in	in	O	O
T-treated	t-treated	O	O
animals	animals	O	O
.	.	O	O

We	we	O	O
conclude	conclude	O	O
that	that	O	O
(	(	O	O
1	1	O	O
)	)	O	O
short-term	short-term	O	O
treatment	treatment	O	O
with	with	O	O
massive	massive	O	O
doses	doses	O	O
of	of	O	O
steroids	steroids	S_chemical	O
induced	induced	O	O
severe	severe	O	O
respiratory	respiratory	O	O
and	and	O	O
limb	limb	O	O
muscle	muscle	O	O
wasting	wasting	O	O
;	;	O	O
(	(	O	O
2	2	O	O
)	)	O	O
both	both	O	O
types	types	O	O
of	of	O	O
steroids	steroids	S_chemical	O
induced	induced	O	O
predominantly	predominantly	O	O
type	type	O	O
IIb	iib	O	O
atrophy	atrophy	O	S_disease
,	,	O	O
resulting	resulting	O	O
in	in	O	O
the	the	O	O
expected	expected	O	O
alterations	alterations	O	O
in	in	O	O
diaphragm	diaphragm	O	O
contractile	contractile	O	O
properties	properties	O	O
;	;	O	O
(	(	O	O
3	3	O	O
)	)	O	O
neither	neither	O	O
steroid	steroid	S_chemical	O
caused	caused	O	O
muscle	muscle	O	B_disease
necrosis	necrosis	O	S_disease
;	;	O	O
(	(	O	O
4	4	O	O
)	)	O	O
type	type	O	O
IIb	iib	O	O
atrophy	atrophy	O	S_disease
was	was	O	O
not	not	O	O
caused	caused	O	O
by	by	O	O
acute	acute	O	O
nutritional	nutritional	O	O
deprivation	deprivation	O	O
alone	alone	O	O
.	.	O	O

