Reduction	reduction	O	O
of	of	O	O
heparan	heparan	O	O
sulphate-associated	sulphate-associated	O	O
anionic	anionic	O	O
sites	sites	O	O
in	in	O	O
the	the	O	O
glomerular	glomerular	O	O
basement	basement	O	O
membrane	membrane	O	O
of	of	O	O
rats	rats	O	O
with	with	O	O
streptozotocin-induced	streptozotocin-induced	O	O
diabetic	diabetic	O	B_disease
nephropathy	nephropathy	O	S_disease
.	.	O	O

Heparan	heparan	O	O
sulphate-associated	sulphate-associated	O	O
anionic	anionic	O	O
sites	sites	O	O
in	in	O	O
the	the	O	O
glomerular	glomerular	O	O
basement	basement	O	O
membrane	membrane	O	O
were	were	O	O
studied	studied	O	O
in	in	O	O
rats	rats	O	O
8	8	O	O
months	months	O	O
after	after	O	O
induction	induction	O	O
of	of	O	O
diabetes	diabetes	O	S_disease
by	by	O	O
streptozotocin	streptozotocin	S_chemical	O
and	and	O	O
in	in	O	O
age-	age-	O	O
adn	adn	O	O
sex-matched	sex-matched	O	O
control	control	O	O
rats	rats	O	O
,	,	O	O
employing	employing	O	O
the	the	O	O
cationic	cationic	O	O
dye	dye	O	O
cuprolinic	cuprolinic	O	O
blue	blue	O	O
.	.	O	O

Morphometric	morphometric	O	O
analysis	analysis	O	O
at	at	O	O
the	the	O	O
ultrastructural	ultrastructural	O	O
level	level	O	O
was	was	O	O
performed	performed	O	O
using	using	O	O
a	a	O	O
computerized	computerized	O	O
image	image	O	O
processor	processor	O	O
.	.	O	O

The	the	O	O
heparan	heparan	O	O
sulphate	sulphate	O	O
specificity	specificity	O	O
of	of	O	O
the	the	O	O
cuprolinic	cuprolinic	O	O
blue	blue	O	O
staining	staining	O	O
was	was	O	O
demonstrated	demonstrated	O	O
by	by	O	O
glycosaminoglycan-degrading	glycosaminoglycan-degrading	O	O
enzymes	enzymes	O	O
,	,	O	O
showing	showing	O	O
that	that	O	O
pretreatment	pretreatment	O	O
of	of	O	O
the	the	O	O
sections	sections	O	O
with	with	O	O
heparitinase	heparitinase	O	O
abolished	abolished	O	O
all	all	O	O
staining	staining	O	O
,	,	O	O
whereas	whereas	O	O
chondroitinase	chondroitinase	O	O
ABC	abc	O	O
had	had	O	O
no	no	O	O
effect	effect	O	O
.	.	O	O

The	the	O	O
majority	majority	O	O
of	of	O	O
anionic	anionic	O	O
sites	sites	O	O
(	(	O	O
74	74	O	O
%	%	O	O
in	in	O	O
diabetic	diabetic	O	S_disease
and	and	O	O
81	81	O	O
%	%	O	O
in	in	O	O
control	control	O	O
rats	rats	O	O
)	)	O	O
were	were	O	O
found	found	O	O
within	within	O	O
the	the	O	O
lamina	lamina	O	O
rara	rara	O	O
externa	externa	O	O
of	of	O	O
the	the	O	O
glomerular	glomerular	O	O
basement	basement	O	O
membrane	membrane	O	O
.	.	O	O

A	a	O	O
minority	minority	O	O
of	of	O	O
anionic	anionic	O	O
sites	sites	O	O
were	were	O	O
scattered	scattered	O	O
throughout	throughout	O	O
the	the	O	O
lamina	lamina	O	O
densa	densa	O	O
and	and	O	O
lamina	lamina	O	O
rara	rara	O	O
interna	interna	O	O
,	,	O	O
and	and	O	O
were	were	O	O
significantly	significantly	O	O
smaller	smaller	O	O
than	than	O	O
those	those	O	O
in	in	O	O
the	the	O	O
lamina	lamina	O	O
rara	rara	O	O
externa	externa	O	O
of	of	O	O
the	the	O	O
glomerular	glomerular	O	O
basement	basement	O	O
membrane	membrane	O	O
(	(	O	O
p<0.001	p<0.001	O	O
and	and	O	O
p<0.01	p<0.01	O	O
for	for	O	O
diabetic	diabetic	O	S_disease
and	and	O	O
control	control	O	O
rats	rats	O	O
,	,	O	O
respectively	respectively	O	O
)	)	O	O
.	.	O	O

Diabetic	diabetic	O	S_disease
rats	rats	O	O
progressively	progressively	O	O
developed	developed	O	O
albuminuria	albuminuria	O	S_disease
reaching	reaching	O	O
40.3	40.3	O	O
(	(	O	O
32.2	32.2	O	O
-	-	O	O
62.0	62.0	O	O
)	)	O	O
mg/24	mg/24	O	O
h	h	S_chemical	O
after	after	O	O
8	8	O	O
months	months	O	O
in	in	O	O
contrast	contrast	O	O
to	to	O	O
the	the	O	O
control	control	O	O
animals	animals	O	O
(	(	O	O
0.8	0.8	O	O
(	(	O	O
0.2	0.2	O	O
-	-	O	O
0.9	0.9	O	O
)	)	O	O
mg/24	mg/24	O	O
h	h	S_chemical	O
,	,	O	O
p<0.002	p<0.002	O	O
)	)	O	O
.	.	O	O

At	at	O	O
the	the	O	O
same	same	O	O
time	time	O	O
,	,	O	O
the	the	O	O
number	number	O	O
of	of	O	O
heparan	heparan	O	O
sulphate	sulphate	O	O
anionic	anionic	O	O
sites	sites	O	O
and	and	O	O
the	the	O	O
total	total	O	O
anionic	anionic	O	O
site	site	O	O
surface	surface	O	O
(	(	O	O
number	number	O	O
of	of	O	O
anionic	anionic	O	O
sites	sites	O	O
x	x	O	O
mean	mean	O	O
anionic	anionic	O	O
site	site	O	O
surface	surface	O	O
)	)	O	O
in	in	O	O
the	the	O	O
lamina	lamina	O	O
rara	rara	O	O
externa	externa	O	O
of	of	O	O
the	the	O	O
glomerular	glomerular	O	O
basement	basement	O	O
membrane	membrane	O	O
was	was	O	O
reduced	reduced	O	O
by	by	O	O
19	19	O	O
%	%	O	O
(	(	O	O
p<0.021	p<0.021	O	O
)	)	O	O
and	and	O	O
by	by	O	O
26	26	O	O
%	%	O	O
(	(	O	O
p<0.02	p<0.02	O	O
)	)	O	O
,	,	O	O
respectively	respectively	O	O
.	.	O	O

Number	number	O	O
and	and	O	O
total	total	O	O
anionic	anionic	O	O
site	site	O	O
surface	surface	O	O
in	in	O	O
the	the	O	O
remaining	remaining	O	O
part	part	O	O
of	of	O	O
the	the	O	O
glomerular	glomerular	O	O
basement	basement	O	O
membrane	membrane	O	O
(	(	O	O
lamina	lamina	O	O
densa	densa	O	O
and	and	O	O
lamina	lamina	O	O
rara	rara	O	O
interna	interna	O	O
)	)	O	O
were	were	O	O
not	not	O	O
significantly	significantly	O	O
changed	changed	O	O
.	.	O	O

We	we	O	O
conclude	conclude	O	O
that	that	O	O
in	in	O	O
streptozotocin-diabetic	streptozotocin-diabetic	O	O
rats	rats	O	O
with	with	O	O
an	an	O	O
increased	increased	O	O
urinary	urinary	O	O
albumin	albumin	O	O
excretion	excretion	O	O
,	,	O	O
a	a	O	O
