Mediation	mediation	O	O
of	of	O	O
enhanced	enhanced	O	O
reflex	reflex	O	O
vagal	vagal	O	O
bradycardia	bradycardia	O	S_disease
by	by	O	O
L-dopa	l-dopa	O	O
via	via	O	O
central	central	O	O
dopamine	dopamine	S_chemical	O
formation	formation	O	O
in	in	O	O
dogs	dogs	O	O
.	.	O	O

L-Dopa	l-dopa	O	O
(	(	O	O
5	5	O	O
mg/kg	mg/kg	O	O
i.v	i.v	O	O
.	.	O	O
)	)	O	O
decreased	decreased	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
heart	heart	O	O
rate	rate	O	O
after	after	O	O
extracerebral	extracerebral	O	O
decarboxylase	decarboxylase	O	O
inhibition	inhibition	O	O
with	with	O	O
MK-486	mk-486	O	O
(	(	O	O
25	25	O	O
mg/kg	mg/kg	O	O
i.v	i.v	O	O
.	.	O	O
)	)	O	O
in	in	O	O
anesthetize	anesthetize	O	O
MAO-inhibited	mao-inhibited	O	O
dogs	dogs	O	O
.	.	O	O

In	in	O	O
addition	addition	O	O
,	,	O	O
reflex	reflex	O	O
bradycardia	bradycardia	O	S_disease
caused	caused	O	O
by	by	O	O
injected	injected	O	O
norepinephrine	norepinephrine	S_chemical	O
was	was	O	O
significantly	significantly	O	O
enhanced	enhanced	O	O
by	by	O	O
L-dopa	l-dopa	O	O
,	,	O	O
DL-Threo-dihydroxyphenylserine	dl-threo-dihydroxyphenylserine	S_chemical	O
had	had	O	O
no	no	O	O
effect	effect	O	O
on	on	O	O
blood	blood	O	O
pressure	pressure	O	O
,	,	O	O
heart	heart	O	O
rate	rate	O	O
or	or	O	O
reflex	reflex	O	O
responses	responses	O	O
to	to	O	O
norepinephrine	norepinephrine	S_chemical	O
.	.	O	O

FLA-63	fla-63	O	O
,	,	O	O
a	a	O	O
dopamine-beta-oxidase	dopamine-beta-oxidase	O	O
inhibitor	inhibitor	O	O
,	,	O	O
did	did	O	O
not	not	O	O
have	have	O	O
any	any	O	O
effect	effect	O	O
on	on	O	O
the	the	O	O
hypotension	hypotension	O	S_disease
,	,	O	O
bradycardia	bradycardia	O	S_disease
or	or	O	O
reflex-enhancing	reflex-enhancing	O	O
effect	effect	O	O
of	of	O	O
L-dopa	l-dopa	O	O
.	.	O	O

Pimozide	pimozide	O	O
did	did	O	O
not	not	O	O
affect	affect	O	O
the	the	O	O
actions	actions	O	O
of	of	O	O
L-dopa	l-dopa	O	O
on	on	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
heart	heart	O	O
rate	rate	O	O
but	but	O	O
completely	completely	O	O
blocked	blocked	O	O
the	the	O	O
enhancement	enhancement	O	O
of	of	O	O
reflexes	reflexes	O	O
.	.	O	O

Removal	removal	O	O
of	of	O	O
the	the	O	O
carotid	carotid	O	O
sinuses	sinuses	O	O
caused	caused	O	O
an	an	O	O
elevation	elevation	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
heart	heart	O	O
rate	rate	O	O
and	and	O	O
abolished	abolished	O	O
the	the	O	O
negative	negative	O	O
chronotropic	chronotropic	O	O
effect	effect	O	O
of	of	O	O
norepinephrine	norepinephrine	S_chemical	O
.	.	O	O

However	however	O	O
,	,	O	O
L-dopa	l-dopa	O	O
restored	restored	O	O
the	the	O	O
bradycardia	bradycardia	O	S_disease
caused	caused	O	O
by	by	O	O
norepinephrine	norepinephrine	S_chemical	O
in	in	O	O
addition	addition	O	O
to	to	O	O
decreasing	decreasing	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
heart	heart	O	O
rate	rate	O	O
.	.	O	O

5-HTP	5-htp	S_chemical	O
(	(	O	O
5	5	O	O
mg/kg	mg/kg	O	O
i.v	i.v	O	O
.	.	O	O
)	)	O	O
decreased	decreased	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
heart	heart	O	O
rate	rate	O	O
and	and	O	O
decreased	decreased	O	O
the	the	O	O
reflex	reflex	O	O
bradycardia	bradycardia	O	S_disease
to	to	O	O
norepinephrine	norepinephrine	S_chemical	O
.	.	O	O

It	it	O	O
is	is	O	O
concluded	concluded	O	O
that	that	O	O
L-dopa	l-dopa	O	O
enhances	enhances	O	O
reflex	reflex	O	O
bradycardia	bradycardia	O	S_disease
through	through	O	O
central	central	O	O
alpha-receptor	alpha-receptor	O	O
stimulation	stimulation	O	O
.	.	O	O

Furthermore	furthermore	O	O
,	,	O	O
the	the	O	O
effects	effects	O	O
are	are	O	O
mediated	mediated	O	O
through	through	O	O
dopamine	dopamine	S_chemical	O
rather	rather	O	O
than	than	O	O
norepinephrine	norepinephrine	S_chemical	O
and	and	O	O
do	do	O	O
not	not	O	O
require	require	O	O
the	the	O	O
carotid	carotid	O	O
sinus	sinus	O	O
baroreceptors	baroreceptors	O	O
.	.	O	O

