Effect	effect	O	O
of	of	O	O
some	some	O	O
anticancer	anticancer	O	O
drugs	drugs	O	O
and	and	O	O
combined	combined	O	O
chemotherapy	chemotherapy	O	O
on	on	O	O
renal	renal	O	B_disease
toxicity	toxicity	O	S_disease
.	.	O	O

The	the	O	O
nephrotoxic	nephrotoxic	O	S_disease
action	action	O	O
of	of	O	O
anticancer	anticancer	O	O
drugs	drugs	O	O
such	such	O	O
as	as	O	O
nitrogranulogen	nitrogranulogen	S_chemical	O
(	(	O	O
NG	ng	O	O
)	)	O	O
,	,	O	O
methotrexate	methotrexate	S_chemical	O
(	(	O	O
MTX	mtx	S_chemical	O
)	)	O	O
,	,	O	O
5-fluorouracil	5-fluorouracil	S_chemical	O
(	(	O	O
5-FU	5-fu	S_chemical	O
)	)	O	O
and	and	O	O
cyclophosphamide	cyclophosphamide	S_chemical	O
(	(	O	O
CY	cy	S_chemical	O
)	)	O	O
administered	administered	O	O
alone	alone	O	O
or	or	O	O
in	in	O	O
combination	combination	O	O
[	[	O	O
MTX	mtx	S_chemical	O
+	+	O	O
5-FU	5-fu	S_chemical	O
+	+	O	O
CY	cy	S_chemical	O
(	(	O	O
CMF	cmf	O	O
)	)	O	O
]	]	O	O
was	was	O	O
evaluated	evaluated	O	O
in	in	O	O
experiments	experiments	O	O
on	on	O	O
Wistar	wistar	O	O
rats	rats	O	O
.	.	O	O

After	after	O	O
drug	drug	O	O
administration	administration	O	O
,	,	O	O
creatinine	creatinine	S_chemical	O
concentrations	concentrations	O	O
in	in	O	O
the	the	O	O
plasma	plasma	O	O
and	and	O	O
in	in	O	O
the	the	O	O
urine	urine	O	O
of	of	O	O
the	the	O	O
rats	rats	O	O
were	were	O	O
determined	determined	O	O
,	,	O	O
as	as	O	O
well	well	O	O
as	as	O	O
creatinine	creatinine	S_chemical	O
clearance	clearance	O	O
.	.	O	O

Histopathologic	histopathologic	O	O
evaluation	evaluation	O	O
of	of	O	O
the	the	O	O
kidneys	kidneys	O	O
was	was	O	O
also	also	O	O
performed	performed	O	O
.	.	O	O

After	after	O	O
MTX	mtx	S_chemical	O
administration	administration	O	O
a	a	O	O
significant	significant	O	O
increase	increase	O	O
(	(	O	O
p	p	O	O
=	=	O	O
0.0228	0.0228	O	O
)	)	O	O
in	in	O	O
the	the	O	O
plasma	plasma	O	O
creatinine	creatinine	S_chemical	O
concentration	concentration	O	O
and	and	O	O
a	a	O	O
significant	significant	O	O
(	(	O	O
p	p	O	O
=	=	O	O
0.0001	0.0001	O	O
)	)	O	O
decrease	decrease	O	O
in	in	O	O
creatinine	creatinine	S_chemical	O
clearance	clearance	O	O
was	was	O	O
noted	noted	O	O
compared	compared	O	O
to	to	O	O
controls	controls	O	O
.	.	O	O

After	after	O	O
the	the	O	O
administration	administration	O	O
of	of	O	O
NG	ng	O	O
,	,	O	O
5-FU	5-fu	S_chemical	O
and	and	O	O
CY	cy	S_chemical	O
neither	neither	O	O
a	a	O	O
statistically	statistically	O	O
significant	significant	O	O
increase	increase	O	O
in	in	O	O
creatinine	creatinine	S_chemical	O
concentration	concentration	O	O
nor	nor	O	O
an	an	O	O
increase	increase	O	O
in	in	O	O
creatinine	creatinine	S_chemical	O
clearance	clearance	O	O
was	was	O	O
observed	observed	O	O
compared	compared	O	O
to	to	O	O
the	the	O	O
group	group	O	O
receiving	receiving	O	O
no	no	O	O
cytostatics	cytostatics	S_chemical	O
.	.	O	O

Following	following	O	O
polytherapy	polytherapy	O	O
according	according	O	O
to	to	O	O
the	the	O	O
CMF	cmf	B_chemical	O
regimen	regimen	I_chemical	O
,	,	O	O
a	a	O	O
statistically	statistically	O	O
significant	significant	O	O
decrease	decrease	O	O
(	(	O	O
p	p	O	O
=	=	O	O
0.0343	0.0343	O	O
)	)	O	O
in	in	O	O
creatinine	creatinine	S_chemical	O
clearance	clearance	O	O
was	was	O	O
found	found	O	O
,	,	O	O
but	but	O	O
creatinine	creatinine	S_chemical	O
concentration	concentration	O	O
did	did	O	O
not	not	O	O
increase	increase	O	O
significantly	significantly	O	O
compared	compared	O	O
to	to	O	O
controls	controls	O	O
.	.	O	O

CY	cy	S_chemical	O
caused	caused	O	O
hemorrhagic	hemorrhagic	O	B_disease
cystitis	cystitis	O	S_disease
in	in	O	O
40	40	O	O
%	%	O	O
of	of	O	O
rats	rats	O	O
,	,	O	O
but	but	O	O
it	it	O	O
did	did	O	O
not	not	O	O
cause	cause	O	O
this	this	O	O
complication	complication	O	O
when	when	O	O
combined	combined	O	O
with	with	O	O
5-FU	5-fu	S_chemical	O
and	and	O	O
MTX	mtx	S_chemical	O
.	.	O	O

Histologic	histologic	O	O
changes	changes	O	O
were	were	O	O
found	found	O	O
in	in	O	O
rat	rat	O	O
kidneys	kidneys	O	O
after	after	O	O
administration	administration	O	O
of	of	O	O
MTX	mtx	S_chemical	O
,	,	O	O
CY	cy	S_chemical	O
and	and	O	O
NG	ng	O	O
,	,	O	O
while	while	O	O
no	no	O	O
such	such	O	O
change	change	O	O
was	was	O	O
observed	observed	O	O
after	after	O	O
5-FU	5-fu	S_chemical	O
and	and	O	O
joint	joint	O	O
administration	administration	O	O
