,text,pmid,entities,start_chars,end_chars,label
0,"(2) Combined with cyclosporine A (CsA), fluvastatin would further repress CD69 expression, cells proliferation and activity of killer cells, meanwhile significantly induced the secretion of IL-4 and IL-10. (3) Fluvastatin treatment also resulted in a strong inhibition of NFAT activation.",15483743_7,"IL-4,IL-10,NFAT","190,199,272","194,204,276","0,0,1"
1,"-Cell proliferation assay revealed that under the same culture conditions, activated AKI patient-derived CD4+ T cells had a significantly reduced proliferation rate when were co-cultured with HuAECs. And the level of IL-2 released was also significantly reduced.",27898347_3,IL-2,217,221,0
2,"1,25-dihydroxyvitamin D(3) (1,25(OH)(2)D(3)) is a secosteroid hormone that renders dendritic cells (DCs) tolerogenic, favoring the induction of regulatory T cells.",16030186_0,regulatory T cells,144,162,2
3,"4-1BB (CD137, TNFRSF9) is a costimulatory receptor expressed on several subsets of activated immune cells.",22406983_0,CD137,7,12,0
4,4-1BB agonist antibody treatment induces a population of KLRG1(+) T cells that infiltrate melanoma tumors.,23547098_0,T cells,66,73,2
5,A STAT consensus motif was present in 5' region of Jgamma4 gene segment.,17664008_3,STAT,2,6,1
6,A Salmonella therapeutic expressing enterotoxigenic Escherichia coli colonization factor Ag I (CFA/I) fimbriae protects against collagen-induced arthritis (CIA) by eliciting two regulatory T cell (Treg) subsets: TGF-β-producing Foxp3(-)CD39(+)CD4(+) T cells and IL-10-producing Foxp3(+)CD39(+)CD4(+) T cells.,24337375_0,"regulatory T cell,Treg","178,197","195,201","2,2"
7,"A TGF-beta signature was also displayed by a Th clone ""suppressed"" by a Treg clone.",19224638_7,"TGF-beta,Treg","2,72","10,76","0,2"
8,A better understanding of how IL-27 regulates these cells is needed to evaluate the therapeutic potential of IL-27 in Th17 cells-associated diseases.,19786534_2,"IL-27,Th17,IL-27","109,118,30","114,122,35","0,2,0"
9,"A better understanding of the factors determining TGF-β production and activation, Foxp3 induction and Treg stability is vital for the development of tolerogenic strategies in transplantation.",21839624_4,TGF-β,50,55,0
10,"A better understanding of the role of CD4+ and CD8+ T cells, which are both important to TB protection, is essential to unravel the mechanisms of protection and to identify the key antigens seen by these T cells.",24905579_1,T cells,204,211,2
11,"A characteristic feature of allergic diseases is the appearance of a subset of CD4+ cells known as TH2 cells, which is controlled by transcriptional and epigenetic mechanisms.",26459392_0,"TH2 cells,transcriptional","99,133","108,148","2,1"
12,A clinical implication is that local inhibition of RANKL/RANK interaction achieved via inhalatory administration of a RANKL antagonist can be considered as a novel therapeutic strategy in treatment of allergic asthma.,32339516_6,RANKL,118,123,0
13,A combination of TGF-beta plus IL-6 and the transcription factors STAT3 and RORgammat were recently described to be essential for initial differentiation of Th17 cells and IL-23 for the later stabilization of the Th17 cell subset.,17766098_3,"Th17,IL-23,Th17 cells,cell subset,transcription factors,TGF-beta,STAT3","213,172,157,218,44,17,66","217,177,167,229,65,25,71","2,0,2,2,1,0,1"
14,"A comparative analysis of vaccination with irradiated, murine tumor cells engineered to express a large number of immunostimulatory molecules established the superior ability of granulocyte-macrophage colony-stimulating factor (GM-CSF) to evoke potent, specific, and long-lasting anti-tumor immunity.",18364009_0,"granulocyte-macrophage colony-stimulating factor,GM-CSF","178,228","226,234","0,0"
15,"A complex of survivin and c-Myc, the transcription factor of FasL, was detected in CD4+ T cells in UC patients, which prevented the binding of c-Myc to the FasL promoter and interfered with the expression of FasL. Increased expression of survivin prevented the activation-induced CD4+ T cells from apoptosis.",31330513_7,"activation-induced,FasL,c-Myc,transcription factor,c-Myc,FasL","261,156,143,37,26,61","279,160,148,57,31,65","0,0,1,1,1,0"
16,A comprehensive examination of serum cytokine profiles revealed elevated levels of IL-13 in Id3-/- mice.,21924496_3,IL-13,83,88,0
17,A correlation analysis between the cytokines and transcription factors was conducted.,33040251_4,transcription factors,49,70,1
18,A critical process during thymic development of the T cell repertoire is the induction of self-tolerance.,24337745_0,T cell,52,58,2
19,A critical role of Stat3 in mediating immunosuppression by certain cytokines and growth factors in the tumor microenvironment has been recently documented.,19258507_4,"Stat3,growth factors","19,81","24,95","1,0"
20,A decoy peptide disrupting the IL-17RA-NOTCH1 interaction inhibits IL-17-induced NOTCH1 activation and attenuates Th17-mediated experimental autoimmune encephalitis (EAE).,28561022_5,NOTCH1,81,87,1
21,A decrease in the number of CD4+CD25highFoxP3+ regulatory T cells can play a key role in the loss of tolerance to self antigens.,20726328_4,regulatory T cells,47,65,2
22,A delineation of the mechanisms that underlie the inappropriate synthesis of IL-17 and IL-21 in autoimmune diseases can thus provide important insights into potential therapies for these disorders.,20697158_1,IL-17,77,82,0
23,A detailed analysis of the balance between Tregs and Th17 cells seems necessary in order to design more effective and less toxic modes of immunotherapy myeloma which still is an uncurable malignancy.,22489248_7,Th17 cells,53,63,2
24,"A direct IFN-beta-1a treatment of CD45RA(+) T cells cultured in Th17-polarizing conditions also down-regulated RORc, IL-17A, and IL-23R, but up-regulated IL-10 gene expression.",19783688_7,"IL-17A,IL-10","117,154","123,159","0,0"
25,"A few studies have investigated the effects of atmospheric PM on AHR activation and immune function and demonstrated that atmospheric PM can activate the AHR, change cytokine expression, and alter T cell differentiation.",30574142_9,"cytokine,AHR,AHR,T cell","166,154,65,197","174,157,68,203","0,1,1,2"
