,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_transcription_factor_distsv,lf_t_lymphocyte_distsv,label
8,T-helper cells,3,5,16,30,"The presence of T-helper cells favors the induction of CTL immunity, whereas the absence of T-helper cells can result in CTL tolerance.",10395322_1,-1,-1,2,2
12,T-helper cells,16,18,92,106,"The presence of T-helper cells favors the induction of CTL immunity, whereas the absence of T-helper cells can result in CTL tolerance.",10395322_1,-1,-1,2,2
13,CTL,21,22,121,124,"The presence of T-helper cells favors the induction of CTL immunity, whereas the absence of T-helper cells can result in CTL tolerance.",10395322_1,-1,-1,2,2
15,helper cells,4,6,16,28,The action of T helper cells in CTL priming is mediated by CD40-CD40 ligand interactions.,10395322_2,-1,-1,2,2
18,interactions,14,15,76,88,The action of T helper cells in CTL priming is mediated by CD40-CD40 ligand interactions.,10395322_2,-1,1,-1,1
20,CD40,6,7,39,43,We demonstrate here that triggering of CD40 in vivo can considerably enhance the efficacy of peptide-based anti-tumor vaccines.,10395322_3,-1,-1,2,2
27,CD40,18,19,128,132,The combination of a tolerogenic peptide vaccine containing a minimal essential CTL epitope with an activating antibody against CD40 converts tolerization into strong CTL priming.,10395322_4,-1,-1,2,2
29,CD40,2,3,10,14,"Moreover, CD40 ligation can provide an already protective tumor-specific peptide vaccine with the capacity to induce therapeutic CTL immunity in tumor-bearing mice.",10395322_5,-1,-1,2,2
37,act,9,10,59,62,"These findings indicate that the CD40-CD40 ligand pair can act as a 'switch', determining whether naive peripheral CTLs are primed or tolerized, and support the clinical use of CD40-stimulating agents as components of anti-cancer vaccines.",10395322_6,-1,1,-1,1
38,switch,13,14,69,75,"These findings indicate that the CD40-CD40 ligand pair can act as a 'switch', determining whether naive peripheral CTLs are primed or tolerized, and support the clinical use of CD40-stimulating agents as components of anti-cancer vaccines.",10395322_6,-1,1,-1,1
54,CTL,13,14,84,87,"Although both E6 and E7 proteins contain numerous predicted cytotoxic T lymphocyte (CTL) epitopes that are capable of binding to human leukocyte antigens, the majority of earlier in vivo tumor rejection studies have focused on E7.",10419051_2,-1,-1,2,2
56,binding,20,21,118,125,"Although both E6 and E7 proteins contain numerous predicted cytotoxic T lymphocyte (CTL) epitopes that are capable of binding to human leukocyte antigens, the majority of earlier in vivo tumor rejection studies have focused on E7.",10419051_2,-1,1,-1,1
70,interleukin-12,5,6,30,44,"The use of recombinant murine interleukin-12 (rmIL-12) as a vaccine adjuvant has been shown to result in both an enhancement and suppression of immune responses, depending upon the doses of rmIL-12 and the experimental systems used.",10419051_4,0,-1,-1,0
73,immune responses,25,27,144,160,"The use of recombinant murine interleukin-12 (rmIL-12) as a vaccine adjuvant has been shown to result in both an enhancement and suppression of immune responses, depending upon the doses of rmIL-12 and the experimental systems used.",10419051_4,0,-1,-1,0
77,expression,5,6,31,41,We demonstrate here that local expression of transgenic mIL-12 at the E6 DNA vaccination site potentiated E6-specific CTL responses and increased vaccine-induced antitumor therapeutic efficacy.,10419051_5,-1,1,-1,1
80,DNA,12,13,73,76,We demonstrate here that local expression of transgenic mIL-12 at the E6 DNA vaccination site potentiated E6-specific CTL responses and increased vaccine-induced antitumor therapeutic efficacy.,10419051_5,-1,1,-1,1
82,increased,20,21,136,145,We demonstrate here that local expression of transgenic mIL-12 at the E6 DNA vaccination site potentiated E6-specific CTL responses and increased vaccine-induced antitumor therapeutic efficacy.,10419051_5,0,-1,-1,0
89,Activation,0,1,0,10,Activation of the transcription factor nuclear factor-kappaB (NFkappaB) is impaired in T cells from patients with renal cell carcinomas (RCCs).,10491412_0,-1,-1,2,2
91,NFkappaB,8,9,62,70,Activation of the transcription factor nuclear factor-kappaB (NFkappaB) is impaired in T cells from patients with renal cell carcinomas (RCCs).,10491412_0,-1,1,-1,1
92,cells,14,15,89,94,Activation of the transcription factor nuclear factor-kappaB (NFkappaB) is impaired in T cells from patients with renal cell carcinomas (RCCs).,10491412_0,-1,-1,2,2
95,cells,3,4,17,22,"In circulating T cells from a subset of patients with RCCs, the suppression of NFkappaB binding activity is downstream from the stimulus-induced degradation of the cytoplasmic factor IkappaBalpha.",10491412_1,-1,-1,2,2
96,subset,6,7,30,36,"In circulating T cells from a subset of patients with RCCs, the suppression of NFkappaB binding activity is downstream from the stimulus-induced degradation of the cytoplasmic factor IkappaBalpha.",10491412_1,-1,-1,2,2
104,cells,12,13,89,94,"Tumor-derived soluble products from cultured RCC explants inhibit NFkappaB activity in T cells from healthy volunteers, despite a normal level of stimulus-induced IkappaBalpha degradation in these cells.",10491412_2,-1,-1,2,2
117,cells,25,26,149,154,"Gangliosides prepared from RCC supernatants, as well as the purified bovine gangliosides G(m1) and G(d1a), suppressed NFkappaB binding activity in T cells and reduced expression of the cytokines IL-2 and IFN-gamma.",10491412_5,-1,-1,2,2
120,IFN-gamma,34,35,204,213,"Gangliosides prepared from RCC supernatants, as well as the purified bovine gangliosides G(m1) and G(d1a), suppressed NFkappaB binding activity in T cells and reduced expression of the cytokines IL-2 and IFN-gamma.",10491412_5,0,-1,-1,0
126,immune responses,1,3,16,32,"Vaccine-induced immune responses to the HPV early antigens E6 and E7, which contribute to cell transformation and are thus expressed in these cervical cancers, could potentially eradicate malignant cells.",10772987_1,0,-1,-1,0
133,cells,30,31,198,203,"Vaccine-induced immune responses to the HPV early antigens E6 and E7, which contribute to cell transformation and are thus expressed in these cervical cancers, could potentially eradicate malignant cells.",10772987_1,-1,-1,2,2
154,cells,8,9,39,44,"Thymoma is known to contain CD4+CD8+ T cells, indicating that neoplastic epithelial cells of thymoma have a function as thymic cortical epithelium.",10886240_0,-1,-1,2,2
164,expression,23,24,127,137,"However, it has been shown that there is an impairment of CD4+ T cell development in thymoma and that IFN-gamma-induced HLA-DR expression on cultured thymic epithelial cells (TEC) derived from thymoma is decreased when compared with the normal thymus.",10886240_1,-1,1,-1,1
167,decreased,36,37,204,213,"However, it has been shown that there is an impairment of CD4+ T cell development in thymoma and that IFN-gamma-induced HLA-DR expression on cultured thymic epithelial cells (TEC) derived from thymoma is decreased when compared with the normal thymus.",10886240_1,-1,1,-1,1
171,transactivator,3,4,13,27,MHC class II transactivator (CIITA) is known to play a critical role in IFN-gamma-induced MHC II expression.,10886240_2,-1,1,-1,1
176,expression,18,19,97,107,MHC class II transactivator (CIITA) is known to play a critical role in IFN-gamma-induced MHC II expression.,10886240_2,-1,1,-1,1
182,IFN-gamma,23,24,136,145,"In this study, we attempted to elucidate whether CIITA is responsible for the impaired up-regulation of MHC II molecules in response to IFN-gamma in thymoma TEC.",10886240_3,0,-1,-1,0
199,translocation,8,9,45,58,"A gel mobility shift assay however, revealed translocation of STAT1 to the nucleus in thymoma as well as normal TEC.",10886240_7,-1,1,-1,1
200,STAT1,10,11,62,67,"A gel mobility shift assay however, revealed translocation of STAT1 to the nucleus in thymoma as well as normal TEC.",10886240_7,-1,1,-1,1
203,Intercellular adhesion molecule-1,0,3,0,33,Intercellular adhesion molecule-1 was up-regulated in the thymoma TEC to a level similar to normal TEC in response to IFN-gamma.,10886240_8,-1,-1,2,2
206,IFN-gamma,19,20,118,127,Intercellular adhesion molecule-1 was up-regulated in the thymoma TEC to a level similar to normal TEC in response to IFN-gamma.,10886240_8,0,-1,-1,0
210,IFN-gamma,11,12,76,85,"These results indicate that impaired up-regulation of HLA-DR in response to IFN-gamma results from insufficient induction of CIITA, but not from the signal from IFN-gamma receptor to the nucleus.",10886240_9,0,-1,-1,0
216,expression,5,6,34,44,The abnormal regulation of HLA-DR expression caused by impaired induction of CIITA may affect CD4+ T cell development in thymoma.,10886240_10,-1,1,-1,1
238,one,29,30,156,159,"In a cross-sectional study at the end of follow-up prior to biopsy, 8 of 20 patients with a persistent HPV 16 infection had specific mCTLp against at least one of the two oncoproteins.",10962445_3,-1,1,-1,1
257,interferon regulatory factor,10,13,65,93,PURPOSE: Mice experiments have established an important role for interferon regulatory factor (IRF) family members in hematopoiesis.,11013272_0,-1,1,-1,1
258,IRF,14,15,95,98,PURPOSE: Mice experiments have established an important role for interferon regulatory factor (IRF) family members in hematopoiesis.,11013272_0,-1,1,-1,1
261,interferon regulatory factor 4,7,11,37,67,"We wanted to study the expression of interferon regulatory factor 4 (IRF4) in various hematologic disorders, especially chronic myeloid leukemia (CML), and its association with response to interferon alfa (IFN-alpha) treatment in CML.MATERIALS AND METHODS: Blood samples from various hematopoietic cell lines, different leukemia patients (70 CML, 29 acute myeloid leukemia [AML], 10 chronic myelomonocytic leukemia [CMMoL], 10 acute lymphoblastic leukemia, and 10 chronic lymphoid leukemia patients), and 33 healthy volunteers were monitored for IRF4 expression by reverse transcriptase polymerase chain reaction.",11013272_1,-1,1,-1,1
262,IRF4,12,13,69,73,"We wanted to study the expression of interferon regulatory factor 4 (IRF4) in various hematologic disorders, especially chronic myeloid leukemia (CML), and its association with response to interferon alfa (IFN-alpha) treatment in CML.MATERIALS AND METHODS: Blood samples from various hematopoietic cell lines, different leukemia patients (70 CML, 29 acute myeloid leukemia [AML], 10 chronic myelomonocytic leukemia [CMMoL], 10 acute lymphoblastic leukemia, and 10 chronic lymphoid leukemia patients), and 33 healthy volunteers were monitored for IRF4 expression by reverse transcriptase polymerase chain reaction.",11013272_1,-1,1,-1,1
271,chronic,68,69,383,390,"We wanted to study the expression of interferon regulatory factor 4 (IRF4) in various hematologic disorders, especially chronic myeloid leukemia (CML), and its association with response to interferon alfa (IFN-alpha) treatment in CML.MATERIALS AND METHODS: Blood samples from various hematopoietic cell lines, different leukemia patients (70 CML, 29 acute myeloid leukemia [AML], 10 chronic myelomonocytic leukemia [CMMoL], 10 acute lymphoblastic leukemia, and 10 chronic lymphoid leukemia patients), and 33 healthy volunteers were monitored for IRF4 expression by reverse transcriptase polymerase chain reaction.",11013272_1,-1,1,-1,1
280,cells,28,29,159,164,"Then, with a focus on CML, the IRF4 level was determined in sorted cell subpopulations from CML patients and healthy volunteers and in in vitro-stimulated CML cells.",11013272_2,-1,-1,2,2
294,IRF4,3,4,22,26,The downregulation of IRF4 in CML samples was predominantly found in T cells.,11013272_6,-1,1,-1,1
297,cells,12,13,71,76,The downregulation of IRF4 in CML samples was predominantly found in T cells.,11013272_6,-1,-1,2,2
299,IRF4,11,12,68,72,"In CML patients during IFN-alpha therapy, a significant increase in IRF4 levels was detected, and this was also observed in sorted T cells from CML patients.",11013272_7,-1,1,-1,1
301,cells,24,25,133,138,"In CML patients during IFN-alpha therapy, a significant increase in IRF4 levels was detected, and this was also observed in sorted T cells from CML patients.",11013272_7,-1,-1,2,2
312,cells,8,9,50,55,"CONCLUSION: IRF4 expression is downregulated in T cells of CML patients, and its increase is associated with a good response to IFN-alpha therapy.",11013272_10,-1,-1,2,2
328,CD40,7,8,49,53,"Investigations in our laboratory have focused on CD40, a critical regulator of B cell survival and differentiation, and its ligand, CD154 (CD40L).",11042507_1,-1,-1,2,2
329,regulator,11,12,66,75,"Investigations in our laboratory have focused on CD40, a critical regulator of B cell survival and differentiation, and its ligand, CD154 (CD40L).",11042507_1,-1,1,-1,1
