,entities,text,pmid,label
8,T-helper cells,"The presence of T-helper cells favors the induction of CTL immunity, whereas the absence of T-helper cells can result in CTL tolerance.",10395322_1,2
12,T-helper cells,"The presence of T-helper cells favors the induction of CTL immunity, whereas the absence of T-helper cells can result in CTL tolerance.",10395322_1,2
13,CTL,"The presence of T-helper cells favors the induction of CTL immunity, whereas the absence of T-helper cells can result in CTL tolerance.",10395322_1,2
15,helper cells,The action of T helper cells in CTL priming is mediated by CD40-CD40 ligand interactions.,10395322_2,2
18,interactions,The action of T helper cells in CTL priming is mediated by CD40-CD40 ligand interactions.,10395322_2,1
20,CD40,We demonstrate here that triggering of CD40 in vivo can considerably enhance the efficacy of peptide-based anti-tumor vaccines.,10395322_3,2
27,CD40,The combination of a tolerogenic peptide vaccine containing a minimal essential CTL epitope with an activating antibody against CD40 converts tolerization into strong CTL priming.,10395322_4,2
29,CD40,"Moreover, CD40 ligation can provide an already protective tumor-specific peptide vaccine with the capacity to induce therapeutic CTL immunity in tumor-bearing mice.",10395322_5,2
37,act,"These findings indicate that the CD40-CD40 ligand pair can act as a 'switch', determining whether naive peripheral CTLs are primed or tolerized, and support the clinical use of CD40-stimulating agents as components of anti-cancer vaccines.",10395322_6,1
38,switch,"These findings indicate that the CD40-CD40 ligand pair can act as a 'switch', determining whether naive peripheral CTLs are primed or tolerized, and support the clinical use of CD40-stimulating agents as components of anti-cancer vaccines.",10395322_6,1
54,CTL,"Although both E6 and E7 proteins contain numerous predicted cytotoxic T lymphocyte (CTL) epitopes that are capable of binding to human leukocyte antigens, the majority of earlier in vivo tumor rejection studies have focused on E7.",10419051_2,2
56,binding,"Although both E6 and E7 proteins contain numerous predicted cytotoxic T lymphocyte (CTL) epitopes that are capable of binding to human leukocyte antigens, the majority of earlier in vivo tumor rejection studies have focused on E7.",10419051_2,1
70,interleukin-12,"The use of recombinant murine interleukin-12 (rmIL-12) as a vaccine adjuvant has been shown to result in both an enhancement and suppression of immune responses, depending upon the doses of rmIL-12 and the experimental systems used.",10419051_4,0
73,immune responses,"The use of recombinant murine interleukin-12 (rmIL-12) as a vaccine adjuvant has been shown to result in both an enhancement and suppression of immune responses, depending upon the doses of rmIL-12 and the experimental systems used.",10419051_4,0
