,text,pmid,entities,start_chars,end_chars,label
0,"(2) Combined with cyclosporine A (CsA), fluvastatin would further repress CD69 expression, cells proliferation and activity of killer cells, meanwhile significantly induced the secretion of IL-4 and IL-10. (3) Fluvastatin treatment also resulted in a strong inhibition of NFAT activation.",15483743_7,"killer cells,NFAT,IL-10,IL-4","127,272,199,190","139,276,204,194","2,1,0,0"
1,"-Cell proliferation assay revealed that under the same culture conditions, activated AKI patient-derived CD4+ T cells had a significantly reduced proliferation rate when were co-cultured with HuAECs. And the level of IL-2 released was also significantly reduced.",27898347_3,IL-2,217,221,0
2,"1,25-dihydroxyvitamin D(3) (1,25(OH)(2)D(3)) is a secosteroid hormone that renders dendritic cells (DCs) tolerogenic, favoring the induction of regulatory T cells.",16030186_0,regulatory T cells,144,162,2
3,"4-1BB (CD137, TNFRSF9) is a costimulatory receptor expressed on several subsets of activated immune cells.",22406983_0,"TNFRSF9,CD137","14,7","21,12","0,0"
4,4-1BB agonist antibody treatment induces a population of KLRG1(+) T cells that infiltrate melanoma tumors.,23547098_0,T cells,66,73,2
5,40 patients diagnosed with acute leukemia in The First Affiliated Hospital of Zhengzhou University from July 2012 to August 2014 were selected as the observation group.,28167485_1,acute leukemia,27,41,1
6,"4weeks following DEN treatment, no significant differences in CD80 and CD86 expression were found on DCs from HCC rats and normal rats but 12 and 16weeks following DEN treatment, the expression of CD80, CD86 and MHCII on DCs of HCC rats was significantly decreased.",25066760_3,"CD80,CD80","197,62","201,66","0,0"
7,A STAT consensus motif was present in 5' region of Jgamma4 gene segment.,17664008_3,"consensus motif,STAT","7,2","22,6","1,1"
8,A Salmonella therapeutic expressing enterotoxigenic Escherichia coli colonization factor Ag I (CFA/I) fimbriae protects against collagen-induced arthritis (CIA) by eliciting two regulatory T cell (Treg) subsets: TGF-β-producing Foxp3(-)CD39(+)CD4(+) T cells and IL-10-producing Foxp3(+)CD39(+)CD4(+) T cells.,24337375_0,"TGF-β-producing,regulatory T cell,Treg","212,178,197","227,195,201","0,2,2"
9,"A TGF-beta signature was also displayed by a Th clone ""suppressed"" by a Treg clone.",19224638_7,"Treg,TGF-beta,Th clone","72,2,45","76,10,53","2,0,2"
10,A better phenotypic and functional characterization of this regulatory T-cell subset could help in identifying modulators of their activity with therapeutic finalities.,18832002_1,regulatory T-cell subset,60,84,2
11,A better understanding of how IL-27 regulates these cells is needed to evaluate the therapeutic potential of IL-27 in Th17 cells-associated diseases.,19786534_2,"Th17,IL-27,IL-27","118,30,109","122,35,114","2,0,0"
12,"A better understanding of the factors determining TGF-β production and activation, Foxp3 induction and Treg stability is vital for the development of tolerogenic strategies in transplantation.",21839624_4,TGF-β,50,55,0
13,"A better understanding of the role of CD4+ and CD8+ T cells, which are both important to TB protection, is essential to unravel the mechanisms of protection and to identify the key antigens seen by these T cells.",24905579_1,T cells,204,211,2
14,"A bioinformatic search revealed several potential novel TRAPs, including a highly conserved protein, proline rich 7 (PRR7), previously described as a component of the PSD-95/N-methyl-d-aspartate receptor protein complex in postsynaptic densities (PSD) of rat neurons.",21460222_1,proline rich 7,101,115,1
15,"A central question is, how are signals emanating from multiple receptors integrated and interpreted to define the fate of effector CTLs? Using genetic and pharmacological tools, we have identified Akt as a signal integrator that links distinct facets of CTL differentiation to the specific signaling pathways of FOXO, mTOR, and Wnt/β-catenin.",22467649_3,"Wnt/β-catenin,FOXO,signal integrator","328,312,206","341,316,223","1,1,1"
16,"A characteristic feature of allergic diseases is the appearance of a subset of CD4+ cells known as TH2 cells, which is controlled by transcriptional and epigenetic mechanisms.",26459392_0,"transcriptional,TH2 cells","133,99","148,108","1,2"
17,A clinical implication is that local inhibition of RANKL/RANK interaction achieved via inhalatory administration of a RANKL antagonist can be considered as a novel therapeutic strategy in treatment of allergic asthma.,32339516_6,RANKL,118,123,0
18,"A collagen-induced arthritis (CIA) model was used to detect the clinical scores, histopathological change, bone destruction, Th17-Treg proportion and joint tissue immunohistochemistry.",31177080_3,Th17-Treg,125,134,2
19,A combination of TGF-beta plus IL-6 and the transcription factors STAT3 and RORgammat were recently described to be essential for initial differentiation of Th17 cells and IL-23 for the later stabilization of the Th17 cell subset.,17766098_3,"Th17 cells,STAT3,transcription factors,cell subset,Th17,TGF-beta,IL-23","157,66,44,218,213,17,172","167,71,65,229,217,25,177","2,1,1,2,2,0,0"
20,"A comparative analysis of vaccination with irradiated, murine tumor cells engineered to express a large number of immunostimulatory molecules established the superior ability of granulocyte-macrophage colony-stimulating factor (GM-CSF) to evoke potent, specific, and long-lasting anti-tumor immunity.",18364009_0,"granulocyte-macrophage colony-stimulating factor,GM-CSF","178,228","226,234","0,0"
21,A comparison of this cohort with 4 HIES patients illustrates the significant overlap of both syndromes including eczema and elevated IgE as well as skeletal and connective tissue manifestations.,24333532_4,connective tissue,161,178,0
22,"A complex of survivin and c-Myc, the transcription factor of FasL, was detected in CD4+ T cells in UC patients, which prevented the binding of c-Myc to the FasL promoter and interfered with the expression of FasL. Increased expression of survivin prevented the activation-induced CD4+ T cells from apoptosis.",31330513_7,"transcription factor,c-Myc,c-Myc,survivin,FasL.,FasL,activation-induced,FasL","37,26,143,13,208,156,261,61","57,31,148,21,213,160,279,65","1,1,1,1,0,0,0,0"
23,A comprehensive examination of serum cytokine profiles revealed elevated levels of IL-13 in Id3-/- mice.,21924496_3,IL-13,83,88,0
24,"A conserved region of FOXP3 intron 1 was demethylated in all Treg clones, whereas it was methylated in non-regulatory Th and CTL clones.",19224638_1,Treg clones,61,72,2
25,"A cooperative relationship was found between PSA-activated effector/memory T cells and tissue-resident FoxP3+ Tregs both in vivo and in vitro, and it is this cooperation that enables the suppressive activity of PSA outside of the gut environment where exposure takes place.",29087497_4,suppressive activity,187,207,0
26,A correlation analysis between the cytokines and transcription factors was conducted.,33040251_4,transcription factors,49,70,1
27,"A correlation between Th9 cells and MFI of p-STAT6 (r = 0.45, P = 0.03) as well as MFI of PU.1 (r = 0.5, P = 0.02) 24 h after challenge was only observed in AA patients.",26466682_15,"p-STAT6,Th9 cells","43,22","50,31","1,2"
28,"A correlation between the MFI of NF-κB and eosinophil apoptosis was observed in AA patients 24 h before (r = - .46, P = 0.02) and after (r = -0.5, P = 0.02) challenge.",26466682_16,"NF-κB,MFI","33,26","38,29","1,1"
29,A critical process during thymic development of the T cell repertoire is the induction of self-tolerance.,24337745_0,"thymic development,T cell","26,52","44,58","0,2"
30,A critical role of Stat3 in mediating immunosuppression by certain cytokines and growth factors in the tumor microenvironment has been recently documented.,19258507_4,"Stat3,growth factors","19,81","24,95","1,0"
31,"A crucial outcome of glucocorticoid exposure is induction of glucocorticoid-induced leucine zipper (GILZ), a protein with multiple functions that include inhibition of key immune cell signalling pathways.",26077873_1,"protein,glucocorticoid-induced leucine zipper","109,61","116,98","1,1"
32,A decoy peptide disrupting the IL-17RA-NOTCH1 interaction inhibits IL-17-induced NOTCH1 activation and attenuates Th17-mediated experimental autoimmune encephalitis (EAE).,28561022_5,NOTCH1,81,87,1
33,A decrease in the number of CD4+CD25highFoxP3+ regulatory T cells can play a key role in the loss of tolerance to self antigens.,20726328_4,regulatory T cells,47,65,2
