,text,pmid,entities,start_chars,end_chars,label
0,CD40 expression could be enhanced in CD40-positive MM by stimulation with IFN-gamma and tumor necrosis factor-alpha but not by interleukin (IL)-1beta or CD40 triggering.,10096561_3,"CD40,IFN-gamma,tumor necrosis factor-alpha,CD40","0,74,88,153","4,83,115,157","0,0,0,0"
1,"CD40 expression was confirmed in 7 human MM cell lines established from immunogenic primary tumors or metastases, whereas 11 cell lines established from advanced stages were CD40 negative.",10096561_2,"CD40,CD40","0,174","4,178","0,0"
2,"CD40 ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",10096561_4,"IL-6,MHC,IL-8,granulocyte macrophage,colony-stimulating factor,CD40,CD40","222,164,228,263,286,412,0","226,167,232,285,311,416,4","1,1,0,0,0,0,0"
3,"Comparison of tumor specimen from MM precursor lesions, primary tumors, and metastases revealed that CD40 surface expression is down-regulated during tumor progression.",10096561_1,CD40,101,105,0
4,"Even after activation with gamma-IFN or following phagocytosis, microglia remain unable to support a MLR.",10430043_3,MLR,101,104,2
5,"Finally, CD40 ligation induced growth inhibition and apoptosis in MM.",10096561_5,CD40,9,13,0
6,"For this purpose, 81 pentadecamer peptides covering the complete 491-amino-acid sequence of IE-1 were tested on peripheral blood mononuclear cells of anti-HCMV immunoglobulin G-seropositive donors.",10482568_4,IE-1,92,96,1
7,"Here, we have readdressed the issue of CD8(+) T cells specific for the 72-kDa major immediate-early protein (IE-1), which is nonstructural but is found very early and throughout the replicative cycle.",10482568_2,CD8(+) T cells,39,53,2
8,"Here, we report the functional expression of CD40 on human malignant melanomas (MMs).",10096561_0,CD40,45,49,0
9,"However, activation of STAT6, CD23 expression, and IgE synthesis induced by IL-4 were not affected in p47phox-deficient patients, which raises the possibility that p47phox may be important in other signaling activities as well in B cells.",10369419_7,"B cells,CD23,STAT6,IL-4","230,30,23,76","237,34,28,80","1,1,1,0"
10,IL-4 conducts its biological activities through binding to the IL-4 receptor (IL-4R) on the surface of target cells.,10369419_1,IL-4,0,4,0
11,IL-4R are thought to be composed of the IL-4R alpha chain (IL-4R alpha) and either the IL-2R gamma chain or the IL-13R alpha chain.,10369419_2,"IL-4R alpha chain,IL-2R gamma chain","40,87","57,104","1,1"
12,"Importantly, additional testing of a corresponding set of peptides covering the complete sequence of pp65 on 10 of these donors identified individuals whose CD8(+) T cells recognized IE-1 but not pp65 and vice versa, clearly illustrating that either protein may be a major target.",10482568_7,"CD8(+) T cells,IE-1","157,183","171,187","2,1"
13,"In summary, our results suggest that IE-1 is far more important as a CD8(+)-T-cell target than current opinion suggests.",10482568_8,"CD8(+)-T-cell,IE-1","69,37","82,41","2,1"
14,"In this study, we found that p47phox, an activator of the phagocyte NADPH oxidase, binds to this portion by the two-hybrid system.",10369419_4,NADPH oxidase,68,81,1
15,"Instead, the body is an integrated system in which nearly every cell type can relay the alarm through the production of chemokines, which recruit specific inflammatory cells to the target tissues.",10450520_1,chemokines,120,130,0
16,Interleukin (IL)-4 plays an important role in IgE synthesis in B cells and in Th2 differentiation in T cells.,10369419_0,"Th2,Interleukin (IL)-4","78,0","81,18","2,1"
17,"Previous studies have implicated a role for the immune system and, specifically, CD4(+) T cells, in the etiology of skin fibrosis in Tsk/+ mice.",10486156_1,CD4(+) T cells,81,95,2
18,"Second, tissue parenchymal cells, in their capacity as sentinel cells, are able to produce different patterns of chemokines in response to different alarm stimuli.",10450520_4,chemokines,113,123,0
19,"Since IL-4 is a major cytokine produced by T helper 2 (Th2) cells, we investigated the role of Th2 cells in mediating skin fibrosis in Tsk/+ mice.",10486156_3,IL-4,6,10,0
20,Supernatants from the recall assay stimulate gamma-IFN-dependent activation of a STAT (signal transducer and activator of transcription) factor within resting microglia.,10430043_6,"gamma-IFN-dependent,STAT,signal transducer","45,81,87","64,85,104","1,1,1"
21,The frequencies of CD8(+) T cells directed against IE-1 were similar to those directed against pp65 in donors tested with known pp65-derived peptides.,10482568_6,"CD8(+) T cells,IE-1","19,51","33,55","2,1"
22,These results suggest that p47phox is involved in the signal transduction of IL-4 in B cells.,10369419_6,IL-4,77,81,0
23,"This demonstrates that memory T cells not only receive sufficient stimulation from the gamma-IFN-activated microglia to proliferate and produce cytokines, but that there is also a reciprocal stimulation of resting microglia.",10430043_7,"resting microglia,memory T cells","206,23","223,37","0,2"
24,"Thus, our studies demonstrate that in vivo-expressed IgG heavy chain fusion protein can be processed and presented on the appropriate MHC class II, resulting in hyporesponsiveness to that antigen and offering an additional therapeutic approach to autoimmune diseases.",10411923_5,"class II,MHC,hyporesponsiveness,therapeutic approach","138,134,161,223","146,137,179,243","1,1,1,2"
25,"To further investigate whether tolerance to larger molecules can be achieved via this approach and whether the IgG scaffold is important for induction and maintenance of immunological tolerance, we engineered two retroviral constructs encoding the cI lambda repressor (MBAE-1-102 and MBAE-1-102-IgG) for gene transfer.",10411923_2,"MBAE-1,MBAE-1","269,284","275,290","1,1"
26,"Using a novel flow-cytometric assay, we were able to identify CD8(+)-T-cell epitopes (by IE-1 peptide-specific induction of cytokine synthesis) and simultaneously measure the frequency of cells directed against them.",10482568_3,cytokine synthesis,124,142,0
27,"We have previously shown that the membrane-proximal portion in the cytoplasmic domain of the human IL-4R alpha (hIL-4R alpha) is critical for proliferation, generation of germline epsilon transcript, and activation of STAT6, based on analyses of truncated hIL-4R alphas.",10369419_3,"STAT6,membrane-proximal portion","218,34","223,59","1,1"
