,text,pmid,entities,start_chars,end_chars,label
0,"(2) Combined with cyclosporine A (CsA), fluvastatin would further repress CD69 expression, cells proliferation and activity of killer cells, meanwhile significantly induced the secretion of IL-4 and IL-10. (3) Fluvastatin treatment also resulted in a strong inhibition of NFAT activation.",15483743_7,"cells proliferation,killer cells,IL-4,IL-10,NFAT","91,127,190,199,272","110,139,194,204,276","1,0,0,0,1"
1,"-Cell proliferation assay revealed that under the same culture conditions, activated AKI patient-derived CD4+ T cells had a significantly reduced proliferation rate when were co-cultured with HuAECs. And the level of IL-2 released was also significantly reduced.",27898347_3,"CD4+ T cells,IL-2","105,217","117,221","2,0"
2,"1,25-dihydroxyvitamin D(3) (1,25(OH)(2)D(3)) is a secosteroid hormone that renders dendritic cells (DCs) tolerogenic, favoring the induction of regulatory T cells.",16030186_0,regulatory T cells,144,162,2
3,"4-1BB (CD137, TNFRSF9) is a costimulatory receptor expressed on several subsets of activated immune cells.",22406983_0,CD137,7,12,0
4,A STAT consensus motif was present in 5' region of Jgamma4 gene segment.,17664008_3,STAT,2,6,1
5,A Salmonella therapeutic expressing enterotoxigenic Escherichia coli colonization factor Ag I (CFA/I) fimbriae protects against collagen-induced arthritis (CIA) by eliciting two regulatory T cell (Treg) subsets: TGF-β-producing Foxp3(-)CD39(+)CD4(+) T cells and IL-10-producing Foxp3(+)CD39(+)CD4(+) T cells.,24337375_0,"Treg,regulatory T cell","197,178","201,195","2,2"
6,"A TGF-beta signature was also displayed by a Th clone ""suppressed"" by a Treg clone.",19224638_7,"TGF-beta,Treg","2,72","10,76","0,2"
7,A better understanding of how IL-27 regulates these cells is needed to evaluate the therapeutic potential of IL-27 in Th17 cells-associated diseases.,19786534_2,"IL-27,IL-27,Th17","109,30,118","114,35,122","0,0,2"
8,"A better understanding of the factors determining TGF-β production and activation, Foxp3 induction and Treg stability is vital for the development of tolerogenic strategies in transplantation.",21839624_4,TGF-β,50,55,0
9,"A better understanding of the role of CD4+ and CD8+ T cells, which are both important to TB protection, is essential to unravel the mechanisms of protection and to identify the key antigens seen by these T cells.",24905579_1,"CD4+,CD8+ T cells","38,47","42,59","2,2"
10,"A characteristic feature of allergic diseases is the appearance of a subset of CD4+ cells known as TH2 cells, which is controlled by transcriptional and epigenetic mechanisms.",26459392_0,"CD4+ cells,TH2 cells,transcriptional","79,99,133","89,108,148","2,2,1"
11,A clinical implication is that local inhibition of RANKL/RANK interaction achieved via inhalatory administration of a RANKL antagonist can be considered as a novel therapeutic strategy in treatment of allergic asthma.,32339516_6,RANKL,118,123,0
12,A combination of TGF-beta plus IL-6 and the transcription factors STAT3 and RORgammat were recently described to be essential for initial differentiation of Th17 cells and IL-23 for the later stabilization of the Th17 cell subset.,17766098_3,"cell subset,Th17,IL-23,transcription factors,STAT3,TGF-beta,Th17 cells","218,213,172,44,66,17,157","229,217,177,65,71,25,167","2,2,0,1,1,0,2"
13,"A comparative analysis of vaccination with irradiated, murine tumor cells engineered to express a large number of immunostimulatory molecules established the superior ability of granulocyte-macrophage colony-stimulating factor (GM-CSF) to evoke potent, specific, and long-lasting anti-tumor immunity.",18364009_0,"tumor cells,granulocyte-macrophage colony-stimulating factor,GM-CSF","62,178,228","73,226,234","0,0,0"
14,A comparison of the transcriptome of FOXP3- and UBD-transduced T(h) cells with T(reg) cells allowed the identification of the gene LGALS3.,16702978_4,T(reg) cells,79,91,2
15,"A complex of survivin and c-Myc, the transcription factor of FasL, was detected in CD4+ T cells in UC patients, which prevented the binding of c-Myc to the FasL promoter and interfered with the expression of FasL. Increased expression of survivin prevented the activation-induced CD4+ T cells from apoptosis.",31330513_7,"c-Myc,transcription factor,FasL,CD4+ T cells,c-Myc,FasL,FasL.,activation-induced,CD4+ T cells","26,37,61,83,143,156,208,261,280","31,57,65,95,148,160,213,279,292","1,1,0,2,1,0,0,0,2"
16,A comprehensive examination of serum cytokine profiles revealed elevated levels of IL-13 in Id3-/- mice.,21924496_3,IL-13,83,88,0
17,"A cooperative relationship was found between PSA-activated effector/memory T cells and tissue-resident FoxP3+ Tregs both in vivo and in vitro, and it is this cooperation that enables the suppressive activity of PSA outside of the gut environment where exposure takes place.",29087497_4,tissue-resident,87,102,2
18,A correlation analysis between the cytokines and transcription factors was conducted.,33040251_4,transcription factors,49,70,1
19,"A correlation between the MFI of NF-κB and eosinophil apoptosis was observed in AA patients 24 h before (r = - .46, P = 0.02) and after (r = -0.5, P = 0.02) challenge.",26466682_16,NF-κB,33,38,1
20,A critical role of Stat3 in mediating immunosuppression by certain cytokines and growth factors in the tumor microenvironment has been recently documented.,19258507_4,"growth factors,Stat3","81,19","95,24","0,1"
21,A decoy peptide disrupting the IL-17RA-NOTCH1 interaction inhibits IL-17-induced NOTCH1 activation and attenuates Th17-mediated experimental autoimmune encephalitis (EAE).,28561022_5,NOTCH1,81,87,1
22,A decrease in the number of CD4+CD25highFoxP3+ regulatory T cells can play a key role in the loss of tolerance to self antigens.,20726328_4,regulatory T cells,47,65,2
23,A delineation of the mechanisms that underlie the inappropriate synthesis of IL-17 and IL-21 in autoimmune diseases can thus provide important insights into potential therapies for these disorders.,20697158_1,IL-17,77,82,0
24,A detailed analysis of the balance between Tregs and Th17 cells seems necessary in order to design more effective and less toxic modes of immunotherapy myeloma which still is an uncurable malignancy.,22489248_7,Th17 cells,53,63,2
25,"A direct IFN-beta-1a treatment of CD45RA(+) T cells cultured in Th17-polarizing conditions also down-regulated RORc, IL-17A, and IL-23R, but up-regulated IL-10 gene expression.",19783688_7,"IL-17A,IL-10","117,154","123,159","0,0"
26,A disruption of the crucial balance between regulatory T-cells (Tregs) and Th17-cells was recently implicated in various autoimmune disorders.,28098832_0,regulatory T-cells (,44,64,2
27,"A few studies have investigated the effects of atmospheric PM on AHR activation and immune function and demonstrated that atmospheric PM can activate the AHR, change cytokine expression, and alter T cell differentiation.",30574142_9,"AHR,cytokine,AHR","154,166,65","157,174,68","1,0,1"
