Disease, Biliary Tract	UMLS:C0005424
Thymoma	UMLS:C0040100
disease susceptibility	UMLS:C0012655
Dysmyelopoietic Syndromes	UMLS:C3463824
Diseases, Jaw	UMLS:C0022362
DI	UMLS:C0011848
Neoplasms, Neuroepithelial	UMLS:C0206715
scrotum diseases	UMLS:C0268919
kidney diseases	UMLS:C0022658
outcome prediction	UMLS:C0033325
Wolffian Duct Adenoma	UMLS:C1520159
Basal Cell Tumor	UMLS:C0206710
Adrenal Gland Diseases	UMLS:C0001621
Hereditary Diseases	UMLS:C0019247
forecast of outcome	UMLS:C0033325
disorders female genitals	UMLS:C0017411
Diabetes Insipidus	UMLS:C0011848
blood dyscrasia	UMLS:C0018939
Nail Disorders	UMLS:C0027339
Diseases of the blood and blood-forming organs	UMLS:C0018939
HODGKIN DISEASE	UMLS:C0019829
Jejunal syndrome	UMLS:C0013288
Intracranial Vascular Disorder	UMLS:C0007820
Diseases, Eyelid	UMLS:C0015423
lymphoma (Hodgkin's and non-Hodgkin's)	UMLS:C0024299
alcohol dependence syndrome	UMLS:C0001973
LEUKEMIA	UMLS:C0023418
hernia	UMLS:C0019270
Respiratory System Diseases	UMLS:C0035242
etiologies	UMLS:C0015127
Neoplasm of Neuroepithelial Tissue	UMLS:C0206715
neurologic disorders	UMLS:C0027765
urinary tract disorders	UMLS:C0042075
Temporomandibular Joint Disorders	UMLS:C0039494
Urological Disease	UMLS:C0042075
aminoacidopathy	UMLS:C0002514
Mast Cell Tumor	UMLS:C0334664
Nerve Sheath Tumor	UMLS:C0206727
disease disorders heart	UMLS:C0018799
Trophoblastic tumour	UMLS:C0041182
Soft Tissue Disorders	UMLS:C0263978
Kidney diseases	UMLS:C0022658
blood clotting disorders	UMLS:C0005779
Disease, Tongue	UMLS:C0040409
comorbidity	UMLS:C0009488
Nervous system--Diseases	UMLS:C0027765
Splenic Disease	UMLS:C0037997
Disease, Blood	UMLS:C0018939
central nervous system diseases	UMLS:C0007682
connective tissue disorder diagnosis	UMLS:C0009782
PSYCHIATRIC NONSPECIFIC	UMLS:C0004936
Glioma	UMLS:C0017638
cardiomyopathy	UMLS:C0878544
Causes	UMLS:C1314792
mineral metabolism disorder	UMLS:C0154260
Behavior, Adaptive	UMLS:C0085880
Lymphatics--Diseases	UMLS:C0024228
Dumping Syndromes	UMLS:C0013288
cns disorders	UMLS:C0007682
Pancreatic Diseases	UMLS:C0030286
Genitourinary disease	UMLS:C0080276
testicular disease	UMLS:C0039584
Female Genital Disorders	UMLS:C0017411
dermopathy	UMLS:C0037274
Behaviour-Related Disorder	UMLS:C0004930
Psychiatric disorders	UMLS:C0004936
congenital disease	UMLS:C0242354
abscess gum	UMLS:C0149892
portosystemic encephalopathy	UMLS:C0019151
skin disorder diagnosis	UMLS:C0037274
Portal Systemic Encephalopathy	UMLS:C0019151
Syndrome, Dysmyelopoietic	UMLS:C3463824
eyelids disorders	UMLS:C0015423
mastocytoma	UMLS:C0334664
oculopathy	UMLS:C0015397
disorder musculoskeletal	UMLS:C0026857
leukemia type	UMLS:C0023418
