Mature Lymphocyte	UMLS:C1513026
Autologous PD1-inhibiting Anti-CD19 4-1BB CAR T Cells	UMLS:C4726569
cardiac myocyte	UMLS:C0225828
TIL 1383I TCR Transduced Autologous T Cells	UMLS:C3640216
aPD1-MSLN-CAR T Cells	UMLS:C5554942
MSGV1-EGFRvIII-specific CAR-transduced Autologous T Lymphocytes	UMLS:C4684956
cell fiber	UMLS:C0596568
Human Anti-CD30 CAR-expressing Autologous T-lymphocytes	UMLS:C4745172
Bld MC	UMLS:C2347293
Epithelial Cell	UMLS:C0014597
Autologous Tumor-infiltrating Lymphocytes LN-145	UMLS:C4525956
Spheroplast	UMLS:C0037890
CYAD-01	UMLS:C4055424
Cell, HeLa-KB	UMLS:C0022539
Allogeneic Anti-CD19 CAR T-cells FT819	UMLS:C5447470
Acini Cell	UMLS:C0596030
CD16+CD57+NK lymphocyte	UMLS:C4324222
Autologous Anti-CD19 CAR T-cells IM19	UMLS:C4733644
autologous memory enriched HER2(EQ)BBzeta/CD19t+-expressing T cells	UMLS:C4727554
CCR4-CAR-CD30-28zeta-specific autologous T cells	UMLS:C4733634
Null cell	UMLS:C0024265
PSCs	UMLS:C2936598
T Lymphocytes, Cultured, Autologous, Genetically-modified	UMLS:C4522890
Corpuscles, Blood	UMLS:C0005773
HER2-CAR-modified Ad-specific CTLs	UMLS:C5203928
Cell, MCF-7	UMLS:C0596890
LentiGlobin BB305 Drug Product for TDT	UMLS:C5700424
autologous CD19t T-APC	UMLS:C4684462
Autologous E6 TCR T Cells	UMLS:C4726563
autologous cervical cancer-specific engineered immune effector cells	UMLS:C4733629
glia	UMLS:C0027836
LLC PK1 Cells	UMLS:C0242598
Killer Monocyte, Activated	UMLS:C0079852
Multinucleated Giant Cell	UMLS:C0017526
Lymphocytes.lambda	UMLS:C1115673
neoantigen-specific TCRs gene-transduced autologous PBLs	UMLS:C4687585
CEA RNA-pulsed Autologous Human Cultured Dendritic Cells	UMLS:C1511434
Autologous CD19/CD20-targeting CAR T-cells KITE-363	UMLS:C5557384
NY-ESO-1-redirected CRISPR edited T cells	UMLS:C4727561
Autologous Memory Cytokine-enriched NK Cells	UMLS:C5556651
Autologous Anti-mesothelin CAR-CD3zeta-4-1-BB-expressing T-lymphocytes	UMLS:C4733678
Autologous BAFFR-CAR T Cells	UMLS:C5554913
Autologous CC-EIE Cells	UMLS:C4733629
IL15-engineered TILs OBX-115	UMLS:C5706539
caco-2 cell	UMLS:C0282560
Autologous Anti-EGFR CAR-transduced CXCR 5-modified T-lymphocytes	UMLS:C5420484
Autologous NKG2D CAR-CD3zeta-DAP10-expressing T-cells CYAD-01	UMLS:C4055424
CD19R(EQ)28zetaEGFRt+ Tn/Tmem	UMLS:C4522300
Monocyte, Activated Killer	UMLS:C0079852
Autologous Anti-BCMA-CAR-4-1BB-CD3zeta-expressing T-cells C-CAR088	UMLS:C5417809
cells crest neural	UMLS:C0815004
MCPyV TAg-specific Polyclonal Autologous CD8-positive T Cells	UMLS:C3641687
Lymph Cell	UMLS:C0024264
CD79A+ B lymphocyte	UMLS:C4322816
Hemohistioblast	UMLS:C0018956
autologous anti-BCMA-CAR-expressing CD4+/CD8+ T lymphocytes FCARH143	UMLS:C4684830
helper t-cells	UMLS:C0018894
autologous anti-BCMA:TCRz-4-1-BB CAR-T cells	UMLS:C4725083
Blood Corpuscles	UMLS:C0005773
Caco-2 Cells	UMLS:C0282560
Prolymphocytes &#x7C; Blood &#x7C; Hematology and Cell counts	UMLS:C5178284
Basophils, Tissue	UMLS:C0024880
LentiGlobin BB305-transduced CD34-positive Cells	UMLS:C5700424
Autologous Anti-gp100:154-162 TCR Gene-Engineered PBL	UMLS:C1831990
Cells, L (Cell Line)	UMLS:C0022827
CD16+CD56+ T lymphocyte	UMLS:C4322826
autologous anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ CM T lymphocytes JCAR014	UMLS:C4287750
CT-053	UMLS:C5700419
Tfh Cells	UMLS:C5392114
Plasma cells	UMLS:C0032112
Autologous WT1-directed CRISPR-Cas9-engineered TCR T Cells NTLA-5001	UMLS:C5666943
CD38+ T lymphocyte	UMLS:C4324113
CD19/PD-1 Bispecific CAR T-Cells	UMLS:C5419628
Cell Line, A549	UMLS:C4277577
Skeletal muscle fiber	UMLS:C1704336
Autologous Tolerogenic Proinsulin Peptide-loaded Dendritic Cells PIpepTolDC	UMLS:C5447312
ATLCAR.CD30-CD28zeta-CCR4 Cells	UMLS:C4733634
ITIL 306	UMLS:C5706479
chimeric anti-ROR1 T-cell receptor-expressing autologous T lymphocytes	UMLS:C3896611
cell progenitor	UMLS:C0038250
EGFRvIII-4SCAR-IgT cells-producing PD1 and PD-L1 antibodies	UMLS:C4725796
androcyte	UMLS:C0037868
autologous cytomegalovirus-specific cytotoxic T lymphocytes	UMLS:C3900001
4SCAR-PSMA	UMLS:C4725933
monocyte	UMLS:C0026473
MDS Neoantigen-specific Autologous T-lymphocytes	UMLS:C4725001
Large Granular Lymphocytes	UMLS:C0427526
Immobilized Cell	UMLS:C0282542
T Cells, Regulatory	UMLS:C0039198
autologous anti-CD123 CAR TCR/4-1BB-expressing T lymphocytes	UMLS:C4085999
In Vitro DC-sensitized CTLs	UMLS:C4723770
Cells.FLAER	UMLS:C1507327
Anti-ACTR Viral Vector-transduced Autologous T-lymphocytes ACTR087	UMLS:C4329309
Lymphocytes, Allogeneic	UMLS:C0879438
Peripheral (Post-Thymic) T-Lymphocyte	UMLS:C1519004
Intraepithelial Lymphocyte	UMLS:C1512944
CD45RA+ lymphocyte	UMLS:C1267930
autologous CAR-CD19-CD28-zeta-transduced T lymphocytes	UMLS:C4733635
Cell, Th17	UMLS:C2936411
HL-60 Cells	UMLS:C0282549
nervous system cell	UMLS:C0027882
Killer Cell, Natural	UMLS:C0022688
Autologous Anti-CD19 CAR T Cells UF-KURE19	UMLS:C5706469
EBV-CTL	UMLS:C4684961
retinal cone	UMLS:C0206428
Autologous Anti-GPRC5D CAR-T Cells MCARH109	UMLS:C5447112
Infiltrating Lymphocyte, Tumor	UMLS:C0079722
Marrow Cell, Bone	UMLS:C0005955
polymorphonuclear leukocyte	UMLS:C0027950
Autologous AFP Specific T Cell Receptor Transduced T Cells C-TCR055	UMLS:C5417979
3T3 Cells	UMLS:C0085087
Autologous Bi-4SCAR GD2/PSMA T Cells	UMLS:C5708040
CD8-Positive Suppressor T-Lymphocyte	UMLS:C1956157
Autologous Anti-PSMA CAR T Cells P-PSMA-101	UMLS:C5448026
SmIg-Cd79 cells	UMLS:C1440396
anti-MUC1 CAR T Cells	UMLS:C4085976
autologous CEA-specific cytotoxic T-lymphocytes	UMLS:C4086003
blast cell	UMLS:C0038250
granular large lymphocytes	UMLS:C0427526
IMA202 T-cell Product	UMLS:C4727097
JCAR014	UMLS:C4287750
IL-12 plus anti-ESO-1 TCR PBL	UMLS:C3827113
Anti-BCMA-targeting CAR-T Cells	UMLS:C5446930
Autologous GD2/PSMA Bispecific 4SCAR-T Cells	UMLS:C5708040
Anti-meso-CAR Vector-transduced Autologous T Cells	UMLS:C4085987
cd4 cell	UMLS:C0039215
4ab T1E28-positive T-cells	UMLS:C3827871
Tooth Cell	UMLS:C1519550
Bi-4SCAR GD2/CD56 T Cells	UMLS:C5708041
Umbilical Cord Blood-derived Expanded Allogeneic Natural Killer Cells	UMLS:C4725769
Earle's Strain L Cells	UMLS:C0022827
Blast Cells	UMLS:C0368761
CBL-B Inhibitor-treated Autologous Tumor-infiltrating Lymphocytes DeTIL-0255	UMLS:C5666969
BCLXL cells	UMLS:C1979663
NY-ESO-1-redirected autologous T cells with CRISPR edited endogenous TCR and PD-1	UMLS:C4727561
cells red blood	UMLS:C0014792
Anti-CD3/Anti-EGFR-bispecific Monoclonal Antibody-armed Activated Autologous T-lymphocytes	UMLS:C4085965
Plasmablast (cell)	UMLS:C0229657
Autologous CD8+ PBL Sensitized To Drosophila Cell-Presented Melanoma Peptides	UMLS:C2987368
red blood cells	UMLS:C0014792
Lymphoid Stem Cell	UMLS:C1955939
Cells.cytoplasmic Ig mu	UMLS:C1440382
Autologous Anti-BCMA CAR4-1BBz T Cells	UMLS:C4725083
Autologous BCMA-4-1BBz-targeted CAR T-cells	UMLS:C4725083
Perivascular Cell	UMLS:C0598800
LMP2-specific T Cell Receptor-transduced Autologous T-lymphocytes	UMLS:C5419630
B Cells, Lymphocyte	UMLS:C0004561
autologous IL13(EQ)BBzeta/CD19t+ TCM-enriched T cells	UMLS:C3897094
eukaryotida	UMLS:C0015161
Axicabtagene ciloleucel	UMLS:C3896829
DARIC33 Autologous CAR T-cells SC-DARIC33	UMLS:C5666935
