,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_chemicals_distsv,lf_disease_distsv,label,orig_index,olabel
14599,Acute renal failure,0,3,0,19,Acute renal failure developed followed by a slow partial recovery of renal function.,7565311_3,-1,-1,1,14599,-1
10065,enalapril,3,4,22,31,Patients who received enalapril experienced clinically and statistically significantly less symptomatic hypotension (5.2%) than the patients who received prazosin (12.9%).,2024540_5,0,-1,0,10065,0
17697,sexual dysfunction,47,49,304,322,"Conventional agents are associated with unwanted central nervous system effects, including extrapyramidal symptoms (EPS), tardive dyskinesia, sedation, and possible impairment of some cognitive measures, as well as cardiac effects, orthostatic hypotension, hepatic changes, anticholinergic side effects, sexual dysfunction, and weight gain.",9766615_5,-1,1,1,17697,1
2055,cisplatin,3,4,16,25,"Early trials of cisplatin and amifostine also suggested that the incidence and severity of cisplatin-induced nephrotoxicity, ototoxicity, and neuropathy were reduced.",11745184_5,0,-1,0,2055,0
9739,chlorpromazine,9,10,75,89,Supraventricular tachycardia developed in one patient receiving Thorazine (chlorpromazine).,2004_3,0,-1,0,9739,0
17678,autoimmune disease,7,9,46,64,"CONCLUSIONS: The epileptic pregnant patient's autoimmune disease (probably drug-induced lupus) could damage the blood-brain barrier, therefore the therapeutic dose (> or =1 mg) of folic acid triggered a cluster of seizures.",9758264_8,-1,-1,1,17678,-1
7368,ritonavir,10,11,77,86,E2 decreased the accumulation of cholesteryl esters in macrophages following ritonavir treatment.,17879945_9,0,-1,0,7368,0
724,pain,21,22,116,120,"Forty-four percent of patients with uveitis had one or more identifiable signs or symptoms, such as red eye, ocular pain, decreased visual acuity, or photophobia, in order of decreasing frequency.",1079693_7,-1,1,1,724,1
518,calcium,11,12,67,74,"Because Warfarin treatment had no effect on the elevation in serum calcium produced by vitamin D, the synergy between Warfarin and vitamin D is probably best explained by the hypothesis that Warfarin inhibits the activity of matrix Gla protein as a calcification inhibitor.",10669626_13,0,-1,0,518,0
9052,metronidazole,15,16,93,106,Follow-up MRIs were performed on 5 patients from third to 14th days after discontinuation of metronidazole administration.,19346865_5,0,-1,0,9052,0
12699,isoflurane,6,7,44,54,"Anaesthesia was maintained with an inspired isoflurane concentration of 0.75% (plus 67% nitrous oxide in oxygen), during which CBF and CMRO2 were 34.3 +/- 2.1 ml/100 g min-1 and 2.32 +/- 0.16 ml/100 g min-1 at PaCO2 4.1 +/- 0.1 kPa (mean +/- SEM).",3676049_3,0,-1,0,12699,0
4623,Tremor,2,3,9,15,METHODS: Tremor was measured using a laser pointer technique.,15338796_4,-1,1,1,4623,1
11096,seizure,18,19,118,125,"Gamma-hexachlorocyclohexane (gamma-HCH), the active ingredient of the insecticide lindane, has been shown to decrease seizure threshold to pentylenetrazol (PTZ) 3 h after exposure to gamma-HCH and conversely increase threshold to PTZ-induced seizures 24 h after exposure to gamma-HCH (Vohland et al. 1981).",2440413_1,-1,1,1,11096,1
5984,vomiting,9,10,41,49,Grade less than or equal to 2 nausea and vomiting occurred in 66% courses and phlebitis in the infusion arm in 37%.,1664218_6,-1,1,1,5984,1
4684,Raloxifene,6,7,34,44,"METHODS: The Multiple Outcomes of Raloxifene Evaluation, a multicenter, randomized, double-blind trial, enrolled 7,705 postmenopausal women with osteoporosis.",15458908_2,-1,-1,0,4684,-1
4187,renal lesions,28,30,221,234,CONCLUSIONS: These results suggest an important role for quantitative and qualitative mtDNA alterations through the reduction of mtDNA-encoded respiratory chain function and induction of superoxide in doxorubicin-induced renal lesions.,14736955_13,-1,-1,1,4187,-1
12805,ischaemic heart disease,17,20,139,162,"The above results indicate that because potassium-losing diuretic therapy can increase myocardial electrical excitability in patients with ischaemic heart disease, even minor falls in plasma potassium concentrations are probably best avoided in such patients.",3732088_7,-1,-1,1,12805,-1
4306,Atrial fibrillation,0,2,0,19,"Atrial fibrillation following chemotherapy for stage IIIE diffuse large B-cell gastric lymphoma in a patient with myotonic dystrophy (Steinert's disease).The authors describe the unusual association between diffuse B-cell gastric lymphoma and myotonic dystrophy, the most common form of adult muscular dystrophy, and sudden atrial fibrillation following one cycle of doxorubicin-based chemotherapy in the same patient.",15042318_0,-1,-1,1,4306,-1
5418,warfarin,9,10,41,49,"In 2 of the 4 patients, rechallenge with warfarin led to recurrence of the lesions.",16047871_6,0,-1,0,5418,0
1344,tumors,6,7,39,45,"Four days after carboplatin treatment, tumors (DS-sarcoma of the rat) were implanted s.c. onto the hind food dorsum.",11245434_5,-1,1,1,1344,1
16407,phenytoin,11,12,63,72,"However, multiple regression for the daily dosage, duration of phenytoin treatment and cerebellar volume revealed a correlation of these parameters.",8864707_9,0,-1,0,16407,0
3018,bupropion,5,6,36,45,Acute liver failure with concurrent bupropion and carbimazole therapy.,12549952_0,0,-1,0,3018,0
1533,coronary artery disease,34,37,212,235,"CASE SUMMARY: A 68-year-old white woman with Candida glabrata isolated from a presacral abscess developed TDP eight days after commencing oral fluconazole The patient had no other risk factors for TDP, including coronary artery disease, cardiomyopathy, congestive heart failure, and electrolyte abnormalities There was a temporal association between the initiation of fluconazole and TDP.",11302406_2,-1,-1,1,1533,-1
8513,ezetimibe,10,11,64,73,"However, hepatotoxic events have not been widely published with ezetimibe or the combination agent simvastatin-ezetimibe.",18752389_2,-1,-1,0,8513,-1
12930,Bilateral optic neuropathy,0,3,0,26,Bilateral optic neuropathy due to combined ethambutol and isoniazid treatment.,384871_0,-1,-1,2,12930,-1
6471,extrapyramidal syndrome,31,33,131,154,"Haloperidol induced a significantly higher incidence (p < 0.001) of akathisia (33.3% versus 5.9%), tremor (30.3% versus 7.8%), and extrapyramidal syndrome (35.4% versus 5.9%) than quetiapine.",17042884_11,-1,-1,1,6471,-1
283,propofol,25,26,165,173,The haemodynamic effects of propofol in combination with ephedrine in elderly patients (ASA groups 3 and 4).The marked vasodilator and negative inotropic effects of propofol are disadvantages in frail elderly patients.,10520387_0,0,-1,0,283,0
4784,Ethambutol,0,1,0,10,Ethambutol is an antimycobacterial agent often used to treat tuberculosis.,15565293_2,-1,-1,0,4784,-1
1021,toxicity,27,28,142,150,BACKGROUND: The aim of this study is to evaluate the effects of RAPA conversion in patients undergoing cyclosporine (CsA) or tacrolimus (Tac) toxicity.,11063349_1,-1,1,1,1021,1
16269,lithium,34,35,210,217,"RESULTS: We report seven cases where substitution of lithium, either fully or partially, with divalproex sodium was extremely helpful in reducing the cognitive, motivational, or creative deficits attributed to lithium in our bipolar patients.",8752018_5,0,-1,0,16269,0
5391,calcium,12,13,66,73,"Of the 3 patients, 2 were ingesting acceptable doses of elemental calcium (1 g and 2 g daily, respectively) in the form of calcium carbonate.",16006300_7,0,-1,0,5391,0
3468,polymyositis,14,15,76,88,"Thus, muscle biopsy of the deltoid muscle was performed in order to exclude polymyositis or toxic myopathy.",12739036_9,-1,-1,1,3468,-1
14573,Cyclosporin A,0,2,0,13,"Cyclosporin A (CsA; 50 mg/kg) and Fujimycine (FK506; 5 mg/kg), but not the related macrolide immunosuppressant rapamycin (5 mg/kg), caused a reduction of glomerular filtration rate, degenerative changes of proximal tubular epithelium, and hypertrophy of the juxtaglomerular apparatus in male Wistar rats when given for 10 days.",7542793_1,-1,-1,0,14573,-1
2105,adenosine,15,16,83,92,"The purpose of this study was to screen for efficacy of a different formulation of adenosine marketed in the US, using both acute noxious stimulation and capsaicin-evoked mechanical hypersensitivity.",11752998_2,0,-1,0,2105,0
3009,absence seizure,11,13,72,87,"Despite the underlying diseases, the prognosis for drug-induced de novo absence seizure is good because it subsides rapidly after discontinuing the use of the offending drugs.",12536034_2,-1,-1,1,3009,-1
