,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_cytokine_substr,lf_transcription_factor_distsv,lf_transcription_factor_substr,lf_t_lymphocyte_distsv,lf_t_lymphocyte_substr,olabel,orig_index,label,prob_0,prob_1,prob_2
3,L-cells,7,8,48,55,"CD40 ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",10096561_4,-1,-1,-1,-1,-1,-1,-1,3,-1,0.9934088,0.0015936757,0.0049975836
8,transcription factor nuclear factor kappaB.,55,60,355,398,"CD40 ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",10096561_4,-1,-1,-1,-1,-1,-1,-1,8,-1,0.0074014785,0.99174917,0.00084939174
21,T cell,5,7,24,30,"This may result in full T cell activation, a partial state of activation, anergy or apoptosis of the 'responding' T cell.",10430043_1,0,0,1,1,2,2,-1,21,-1,0.0006324625,0.0009913688,0.99837613
22,T cell,23,25,114,120,"This may result in full T cell activation, a partial state of activation, anergy or apoptosis of the 'responding' T cell.",10430043_1,0,0,1,1,2,2,-1,22,-1,0.00062775594,0.0009933844,0.99837875
23,T cell,24,26,137,143,"Here, we demonstrate that neonatal rodent microglia not only fail to initiate a mixed lymphocyte reaction (MLR), but suppress background T cell proliferation.",10430043_2,0,0,1,1,2,2,-1,23,-1,0.00060594094,0.00084773614,0.99854636
26,T cell,25,27,150,156,"By contrast, gamma-IFN-activated microglia are able to activate memory T cells in a recall assay resulting in cytokine (gamma-IFN) release and modest T cell proliferation.",10430043_4,0,0,1,1,2,2,-1,26,-1,0.00058593135,0.00089167064,0.99852246
37,T-cell,5,6,32,38,"Finally, the differentiation of T-cell effectors allows for further regulation of local inflammation as their cytokines can also affect chemokine production.",10450520_6,0,0,1,1,2,2,-1,37,-1,0.007927064,0.008211553,0.9838614
66,T cell,36,38,179,185,"These have been driven, in part, by the realization that cytokines from the innate immune response, such as interleukin-12 (IL-12) and interferons (IFNs), play a critical role in T cell subset differentiation.",10579394_1,0,0,1,1,2,2,-1,66,-1,0.0006396443,0.0008781905,0.99848217
69,type I IFN,13,16,80,90,In this review we discuss the molecular basis for the specie-specific effect of type I IFN on the selective induction of Th1 type immune responses.,10579394_3,-1,-1,-1,-1,-1,-1,-1,69,-1,0.9982646,0.0006107887,0.0011245873
91,STAT4 serine,6,8,36,48,"Here we show that the IL-12-induced STAT4 serine kinase is not sensitive to inhibitors of the PI3K or MAPK Erk1,2.",10820390_4,-1,-1,-1,-1,-1,-1,-1,91,-1,0.023647696,0.9755703,0.0007820551
110,cytokines IL-12,29,31,183,198,"The next phase of work over the past several years has begun to define the intracellular processes set into motion during Th1/Th2 development, particularly by the strongly polarizing cytokines IL-12 and IL-4.",10837066_2,-1,-1,-1,-1,-1,-1,-1,110,-1,0.9989201,0.0005752242,0.0005046614
112,T cell,20,22,134,140,"Although somewhat incomplete, what has emerged is a richly detailed tapestry of signaling and transcription, controlling an important T cell developmental switch.",10837066_3,0,0,1,1,2,2,-1,112,-1,0.0006197923,0.00089449063,0.99848574
115,NF-kappaB transcription factors,23,26,115,146,"In this context, the potential role of transporter associated with antigen presentation 1+2 (TAP1+2) molecules and NF-kappaB transcription factors was addressed.",10852384_1,-1,-1,-1,-1,-1,-1,-1,115,-1,0.0012092332,0.99794525,0.00084556866
118,T3 cell,31,33,155,162,The IL-10 effect was investigated in a human lymphoblastoid cell system defective for TAP1+2 genes (T2 cell line) and in the related TAP1+2 transfectants (T3 cell line).,10852384_2,-1,-1,-1,-1,-1,-1,-1,118,-1,0.72246456,0.11273712,0.16479832
127,T3 cell,25,27,143,150,"In addition, the transfection of the inhibitor of NF-kappaB, IkappaBalpha, prevented the IL-10 effect on HLA class I antigen expression in the T3 cell line.",10852384_6,-1,-1,-1,-1,-1,-1,-1,127,-1,0.012288314,0.94942516,0.038286507
129,NF-kappabeta,14,15,80,92,These evidences indicate a time dependent involvement of TAP1+2 antigens and of NF-kappabeta activity in the IL-10-induced major histocompatibility complex (MHC) class I downmodulation.,10852384_8,-1,-1,-1,-1,-1,-1,-1,129,-1,0.0016526096,0.9975431,0.0008042907
137,Interleukin-6,0,1,0,13,Interleukin-6 (IL-6) is a pleiotropic cytokine that acts on a wide variety of cell types.,10993289_0,0,0,1,1,-1,-1,-1,137,-1,0.9988753,0.00053801655,0.0005866289
154,NF-kappaB transcription factors RelB,45,49,284,320,"Attenuation of apoptosis by BLyS correlates with changes in the ratios between Bcl-2 family proteins in favor of cell survival, predominantly by reducing the proapoptotic Bak and increasing its prosurvival partners, Bcl-2 and Bcl-xL. In either resting or CD40L-activated B cells, the NF-kappaB transcription factors RelB and p50 are specifically activated, suggesting that they may mediate BLyS signals for B cell survival.",11015437_5,-1,-1,-1,-1,-1,-1,-1,154,-1,0.0012437842,0.9979253,0.0008309555
166,T cell,8,10,49,55,"Furthermore, both disease development and CD8(+) T cell abnormality are suppressed by the introduction of nullizygosity to the genes that positively regulate the IFN-alpha/beta signaling pathway.",11114377_3,0,0,1,1,2,2,-1,166,-1,0.00062537886,0.0009093674,0.9984653
168,Type I IFNs,0,3,0,11,"Type I IFNs induce gene expression through Stat1 and Stat2, which can in turn associate either to form Stat1 homodimers or the transcription factor ISGF-3.",11163195_0,-1,-1,-1,-1,-1,-1,-1,168,-1,0.99821836,0.0006537719,0.0011279082
176,type I IFN,10,13,56,66,"To explore the unique properties of Stat2 and ISGF-3 in type I IFN signaling, its gene was targeted for deletion.",11163195_2,-1,-1,-1,-1,-1,-1,-1,176,-1,0.99701726,0.0008738633,0.00210899
178,type I IFN,13,16,79,89,"This includes an increased susceptibility to viral infection and the loss of a type I IFN autocrine/ paracrine loop, which in turn regulates several aspects of immune response.",11163195_4,-1,-1,-1,-1,-1,-1,-1,178,-1,0.99805427,0.0007321057,0.0012136413
179,type I IFNs,13,16,97,108,"Intriguingly, Stat2-deficient fibroblasts exhibit a more significant defect in their response to type I IFNs than macrophages, highlighting tissue-specific differences in the response to this family of ligands.",11163195_5,-1,-1,-1,-1,-1,-1,-1,179,-1,0.9984693,0.0006133351,0.00091728946
