,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_transcription_factor_distsv,lf_t_lymphocyte_distsv,olabel,orig_index,label,prob_0,prob_1,prob_2
5,protein,15,16,86,93,"CD40 ligation  on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein  up-regulated their expression of intercellular adhesion molecule-1 and MHC class  I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis  factor-a, and granulocyte macrophage colony-stimulating factor and also induced  a rapid activation of the transcription factor nuclear factor kappaB.  Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its  susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific  CTL clone.",10096561_4,0,1,-1,-1,5,-1,0.004327221,0.9877949,0.0078779105
8,granulocyte,47,48,267,278,"CD40 ligation  on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein  up-regulated their expression of intercellular adhesion molecule-1 and MHC class  I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis  factor-a, and granulocyte macrophage colony-stimulating factor and also induced  a rapid activation of the transcription factor nuclear factor kappaB.  Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its  susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific  CTL clone.",10096561_4,-1,-1,-1,-1,8,-1,0.28511265,0.0036168364,0.7112705
10,transcription factor nuclear factor,60,64,360,395,"CD40 ligation  on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein  up-regulated their expression of intercellular adhesion molecule-1 and MHC class  I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis  factor-a, and granulocyte macrophage colony-stimulating factor and also induced  a rapid activation of the transcription factor nuclear factor kappaB.  Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its  susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific  CTL clone.",10096561_4,-1,-1,-1,-1,10,-1,0.000100935664,0.99978036,0.000118680306
11,CD40,68,69,418,422,"CD40 ligation  on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein  up-regulated their expression of intercellular adhesion molecule-1 and MHC class  I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis  factor-a, and granulocyte macrophage colony-stimulating factor and also induced  a rapid activation of the transcription factor nuclear factor kappaB.  Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its  susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific  CTL clone.",10096561_4,-1,-1,-1,-1,11,-1,0.0034522426,0.013942776,0.982605
14,immunity,16,17,105,113, These results indicate that CD40-CD40L interactions may play an important role  in augmenting antitumor immunity and inducing apoptosis in some CD40-positive  immunogenic human MMs.,10096561_6,0,-1,2,-1,14,-1,0.9993443,0.0003175461,0.0003381528
18,receptor,11,12,69,77,IL-4 conducts its biological activities through  binding to the IL-4 receptor (IL-4R) on the surface of target cells.,10369419_1,0,1,2,-1,18,-1,0.00016905653,0.99931216,0.0005187818
30,protein,13,14,77,84,"Thus, our  studies demonstrate that in vivo-expressed IgG heavy chain fusion protein can be  processed and presented on the appropriate MHC class II, resulting in  hyporesponsiveness to that antigen and offering an additional therapeutic  approach to autoimmune diseases.",10411923_5,0,1,-1,-1,30,-1,0.033611313,0.9072109,0.059177756
43,factor,21,22,139,145,Supernatants from the recall assay  stimulate gamma-IFN-dependent activation of a STAT (signal transducer and  activator of transcription) factor within resting microglia.,10430043_6,0,1,-1,-1,43,-1,0.0001376009,0.9996866,0.00017576563
76,protein,20,21,102,109,"Here, we have  readdressed the issue of CD8(+) T cells specific for the 72-kDa major  immediate-early protein (IE-1), which is nonstructural but is found very early  and throughout the replicative cycle.",10482568_2,0,1,-1,-1,76,-1,0.016921697,0.9558664,0.027211951
79,blood,19,20,124,129,"For this purpose, 81 pentadecamer peptides covering the  complete 491-amino-acid sequence of IE-1 were tested on peripheral blood  mononuclear cells of anti-HCMV immunoglobulin G-seropositive donors.",10482568_4,0,1,-1,-1,79,-1,3.1528092e-05,5.619365e-05,0.9999124
83,protein,44,45,253,260,"Importantly, additional testing of a  corresponding set of peptides covering the complete sequence of pp65 on 10 of  these donors identified individuals whose CD8(+) T cells recognized IE-1 but not  pp65 and vice versa, clearly illustrating that either protein may be a major  target.",10482568_7,0,1,-1,-1,83,-1,0.11693411,0.79136646,0.091699354
90,Stat6 gene,28,30,147,157,Previous studies have shown that  the development of Th2 cells in non-Tsk mice is abrogated in mice with null  mutation for either the IL-4 or the Stat6 gene.,10486156_4,-1,-1,-1,-1,90,-1,0.00020857458,0.999571,0.00022037305
92,Stat6 gene,30,32,148,158,In this study we showed that the  polarization of CD4(+) T cells from Tsk/+ mice toward the Th2 lineage is also  dependent on a functioning IL-4 or Stat6 gene.,10486156_5,-1,-1,-1,-1,92,-1,0.00021678618,0.99955636,0.00022683578
100,factors,15,16,86,93,During the past year significant advances have been made in our understanding of  the factors contributing to the differentiation of CD4+ T helper cell subsets.,10579394_0,0,1,-1,-1,100,-1,0.00014176032,0.9996902,0.00016805533
101,T helper cell subsets,23,27,138,159,During the past year significant advances have been made in our understanding of  the factors contributing to the differentiation of CD4+ T helper cell subsets.,10579394_0,-1,-1,-1,-1,101,-1,3.477765e-05,0.00014434318,0.9998209
108,T helper cell subsets,25,29,140,161,This review covers some  of the most recent data concerning the divergent role that IFNs have in the  differentiation of human versus mouse T helper cell subsets.,10579394_2,-1,-1,-1,-1,108,-1,3.943692e-05,0.00016083704,0.9997998
129,IL-12 regulation,16,18,96,112,IL-12-activated tyrosine kinases  are the Janus kinases Jak2 and Tyk2 but little is known about IL-12 regulation  of serine kinases.,10820390_2,-1,-1,-1,-1,129,-1,0.8473682,0.13422431,0.018407527
130,protein,14,15,78,85,The object of the present study was to explore the role of  mitogen-activated protein kinases (MAPK) Erk1 and Erk2 and phosphatidylinositol  3-kinase (PI3K) in STAT4 regulation.,10820390_3,0,1,-1,-1,130,-1,0.034548383,0.91434044,0.051111173
131,STAT4 regulation,31,33,160,176,The object of the present study was to explore the role of  mitogen-activated protein kinases (MAPK) Erk1 and Erk2 and phosphatidylinositol  3-kinase (PI3K) in STAT4 regulation.,10820390_3,-1,-1,-1,-1,131,-1,0.00018645996,0.9995639,0.00024960382
144,factors,20,21,115,122,The recognition of polarized T cell subsets defined by cytokine production was  followed by a search to define the factors controlling this phenomenon.,10837066_0,0,1,-1,-1,144,-1,0.0003765641,0.9989248,0.0006986286
147,cytokines IL-12,32,34,186,201,"The next phase  of work over the past several years has begun to define the intracellular  processes set into motion during Th1/Th2 development, particularly by the  strongly polarizing cytokines IL-12 and IL-4.",10837066_2,-1,-1,-1,-1,147,-1,0.99948114,0.000275622,0.00024332167
157,NF-kappaB transcription factors,24,27,116,147,"In this context, the potential role of transporter associated with  antigen presentation 1+2 (TAP1+2) molecules and NF-kappaB transcription factors  was addressed.",10852384_1,-1,-1,-1,-1,157,-1,0.0001751444,0.9995945,0.0002303464
169,NF-kappaB factors,22,24,102,119,"Instead, after 3 h of exposure to IL-10, the HLA downmodulation  was observed in both cell lines, the NF-kappaB factors activity being strongly  reduced.",10852384_5,-1,-1,-1,-1,169,-1,0.00017458435,0.999617,0.00020835274
178,T helper cell subsets,7,11,50,71,Understanding the control exerted by cytokines on T helper cell subsets 1 and 2  (TH1-TH2) development has progressed to a fairly satisfying knowledge of  intracellular signals and transcription factors.,10973276_0,-1,-1,-1,-1,178,-1,3.7141057e-05,0.00014877152,0.9998141
182,cell subsets,6,8,37,49,"Recent work suggests  that dendritic cell subsets contribute significant polarizing influences on T  helper differentiation, but how this comes about is less clear.",10973276_2,-1,-1,-1,-1,182,-1,1.369527e-05,4.105673e-05,0.9999453
184,cell subset,14,16,63,74,"In some cases  known pathways may be used, as in the dendritic cell subset 1 exerting TH1  polarization by interleukin 12 (IL-12) production and STAT4 activation.",10973276_3,-1,-1,-1,-1,184,-1,1.4194081e-05,4.8899696e-05,0.99993694
195,transcription factor Stat3,16,19,90,116,A major signal  transduction pathway for IL-6 involves activation of JAK kinases and the  transcription factor Stat3.,10993289_2,-1,-1,-1,-1,195,-1,8.1606864e-05,0.99979204,0.00012631902
200,lymphocyte function,27,29,142,161,"In this review, we discuss the current  knowledge on IL-6 functions in the immune system, IL-6 signal transduction, and  its significance for lymphocyte function.",10993289_5,-1,-1,-1,-1,200,-1,0.0015323815,0.0022770017,0.99619055
216,proteins,15,16,93,101,"Attenuation of apoptosis by BLyS  correlates with changes in the ratios between Bcl-2 family proteins in favor of  cell survival, predominantly by reducing the proapoptotic Bak and increasing its  prosurvival partners, Bcl-2 and Bcl-xL. In either resting or CD40L-activated B  cells, the NF-kappaB transcription factors RelB and p50 are specifically  activated, suggesting that they may mediate BLyS signals for B cell survival.",11015437_5,0,1,-1,-1,216,-1,0.8853995,0.06834618,0.046254292
219,NF-kappaB transcription factors,49,52,288,319,"Attenuation of apoptosis by BLyS  correlates with changes in the ratios between Bcl-2 family proteins in favor of  cell survival, predominantly by reducing the proapoptotic Bak and increasing its  prosurvival partners, Bcl-2 and Bcl-xL. In either resting or CD40L-activated B  cells, the NF-kappaB transcription factors RelB and p50 are specifically  activated, suggesting that they may mediate BLyS signals for B cell survival.",11015437_5,-1,-1,-1,-1,219,-1,0.00015609797,0.9996475,0.0001963558
258,factors,35,36,156,163,"Although it is known that IL-4 is critical to the  polarization of naïve CD4+ T cells to a TH2 phenotype, both in vitro and in many  in vivo systems, other factors that regulate in vivo IL-4 production and TH2  commitment are poorly understood.",11248805_1,0,1,-1,-1,258,-1,0.0003038213,0.999358,0.00033814387
276,lymphoid cells,13,15,80,94,The  pattern of IFN-gamma staining appeared to be intracellular in mononuclear  lymphoid cells.,11275803_6,-1,-1,-1,-1,276,-1,1.718158e-05,4.738745e-05,0.9999354
277,T suppressor cells,1,4,6,24,"Human T suppressor cells (Ts), capable of preventing autologous T helper cells  (Th) from reacting against xenogeneic pig endothelial cells and pig APC can be  generated in vitro.",11334670_0,-1,-1,-1,-1,277,-1,6.0476897e-05,0.00024941764,0.9996902
285,function,13,14,81,89,These results strongly support the concept that  xenospecific Ts inhibit the APC function of xenogeneic cells by preventing  activation of NF-kappaB.,11334670_5,0,1,2,-1,285,-1,0.01471666,0.9548782,0.030405119
288,CD8+ T cell activation,11,16,68,90,"KS initiates in a context of immune dysregulation  characterised by CD8+ T cell activation and the production of Th1-type cytokines  that induce a generalised activation of endothelial cells leading to adhesion  and tissue extravasation of lympho-monocytes, spindle cell formation and  angiogenesis.",11423257_1,-1,-1,-1,-1,288,-1,3.6748344e-05,0.00010937599,0.99985385
303,toxicity,29,30,167,175,"Mice lacking the suppressor of cytokine signalling-1 (SOCS1) die within weeks of  birth with extensive fatty degeneration of the liver, consistent with acute  hepatic toxicity to interferon-gamma (IFN-gamma), and inflammation of multiple  organs.",11576226_0,0,1,-1,-1,303,-1,0.82663625,0.03352062,0.1398432
305,blood,2,3,10,15," Elevated blood levels of eosinophils, neutrophils and platelets were also  observed and the thymic lymphocyte population was depleted of CD4+ CD8+ T cells  and showed a reduced CD4 : CD8 ratio.",11576226_2,0,1,-1,-1,305,-1,0.00010944692,0.00016848257,0.99972206
311,T-lymphocyte  regulation,9,12,50,74,These data suggest an important role for SOCS1 in T-lymphocyte  regulation.,11576226_4,-1,-1,-1,-1,311,-1,0.011684444,0.737674,0.25064158
325,receptor,4,5,41,49,The heterodimeric interferon (IFN)-gamma receptor (IFN-gammaR) is formed of two  chains.,11739558_0,0,1,2,-1,325,-1,0.00017677646,0.9992854,0.00053789694
332,receptor,12,13,80,88, Differential cell membrane expression of IFN-gammaR2 determined the number of  receptor complexes that transduced the IFN-gamma signal and resulted in a  different response to IFN-gamma.,11739558_3,0,1,2,-1,332,-1,0.00019307643,0.9990896,0.0007173882
360,cytokines interleukin,6,8,17,38,"T helper 2 (Th2) cytokines interleukin (IL)-4 and IL-13, which activate signal  transducer and activator of transcription 6 (STAT6) are expressed in the  muscularis externa during nematode infection and are candidate mediators of the  associated hypercontractility.",11804843_0,-1,-1,-1,-1,360,-1,0.99943274,0.0002587954,0.000308402
394,protein,12,13,78,85,Isolated human CD4-positive T cells  express PPARalpha and PPARgamma mRNA and protein.,11934839_4,0,1,-1,-1,394,-1,0.02298969,0.9568701,0.02014024
396,protein,13,14,103,110,"Activation of CD4-positive T  cells by anti-CD3 monoclonal antibodies significantly increased IFNgamma protein  secretion from 0 to 504+/-168 pg/mL, as determined by ELISA.",11934839_5,0,1,-1,-1,396,-1,0.04213075,0.9179719,0.03989736
399,PPAR activators,0,2,0,15,PPAR activators also  inhibited TNFalpha and interleukin-2 protein expression.,11934839_7,-1,-1,-1,-1,399,-1,0.000104842286,0.9997427,0.0001524216
401,protein,8,9,59,66,PPAR activators also  inhibited TNFalpha and interleukin-2 protein expression.,11934839_7,0,1,-1,-1,401,-1,0.012089448,0.9650492,0.022861421
402,PPAR  activators,3,6,13,29,"In addition, PPAR  activators markedly reduced cytokine mRNA expression in these cells.",11934839_8,-1,-1,-1,-1,402,-1,0.00010693378,0.9997532,0.00013986192
461,cells  IRF-5,15,18,108,120,"The IRF-5-mediated stimulation of  inflammatory genes is not limited to IFNA since in BJAB/IRF-5-expressing cells  IRF-5 stimulates transcription of RANTES, macrophage inflammatory protein 1  beta, monocyte chemotactic protein 1, interleukin-8, and I-309 genes in a  virus-specific manner.",12138184_4,-1,-1,-1,-1,461,-1,0.008899638,0.1098147,0.8812857
467,IRF-5 polypeptide,31,33,154,171,"By transient- transfection assay, we identified  constitutive-activation (amino acids [aa] 410 to 489) and autoinhibitory (aa 490  to 539) domains in the IRF-5 polypeptide.",12138184_5,-1,-1,-1,-1,467,-1,0.006626908,0.9867312,0.006641888
474,function,29,30,174,182,"Thus, this study  defines the regulatory phosphorylation sites that control the activity of IRF-5  in NDV-infected cells and provides further insight into the structure and  function of IRF-5.",12138184_9,0,1,2,-1,474,-1,0.07835876,0.7450879,0.17655337
494,immunity,27,28,214,222,Recent observations on T helper cell differentiation and  activation by regulatory transcription factors-especially T-bet-in chronic  inflammatory diseases have provided new perspectives for understanding mucosal  immunity.,12171942_1,0,-1,2,-1,494,-1,0.99935776,0.0002569532,0.00038533172
513,regulation function,3,5,18,37,"To understand the regulation function and mechanism of IL-16 on target  cells, we used a 130 a.a. recombinant IL-16 to study its effects on the growth  of Jurkat T leukemia cells in vitro.",12528894_3,-1,-1,-1,-1,513,-1,0.000476421,0.9981406,0.0013829938
534,gene product,10,12,63,75,These results establish  that TFF2 is an allergen-induced lung gene product differentially regulated by  Th2 cytokines and STAT6.,12702542_6,0,1,-1,-1,534,-1,0.0004315777,0.9987907,0.0007777369
537,factors,6,7,36,43,"Given the important role of trefoil factors in wound  healing, epithelial restitution, and maintenance of mucosal integrity in the  gastrointestinal tract, these results support a potential role for TFF2, in both  the acute and chronic phase of experimental asthma, via separate induction  pathways.",12702542_7,0,1,-1,-1,537,-1,0.00041156873,0.99903166,0.0005567359
540,Analysis,0,1,0,8,Analysis of transcription activity revealed that  FR252921 inhibited activating protein-1 (AP-1).,12715862_3,0,1,-1,-1,540,-1,0.011132831,0.9741416,0.01472557
569,STAT6 deficiency,9,11,43,59,"CONCLUSIONS: In this model, the effects of STAT6 deficiency were in marked  contrast to the suppression of inflammation and AHR described in models of  allergic bronchopulmonary inflammation.",12752600_10,-1,-1,-1,-1,569,-1,0.0020718162,0.8026343,0.19529387
574,transcription factor GATA-3,5,8,32,59,"To examine the participation of transcription factor GATA-3 in Th2 immune  responses in vivo, we generated transgenic mice having several copies of GATA-3  with LCK promotor.",12771543_0,-1,-1,-1,-1,574,-1,0.00016032226,0.9996487,0.0001909908
