,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_protein_distsv,lf_cell_line_distsv,lf_cell_distsv,lf_dna_distsv,lf_rna_distsv,label,orig_index,olabel
487,Argonaute,17,18,90,99,"The expression of four novel small RNAs was validated by qRT-PCR in human skin, and their Argonaute association was confirmed by co-immunoprecipitation of ectopic small RNAs in HEK293 cells.",23175445_5,0,-1,-1,-1,-1,0,487,0
3080,α protein,11,13,55,64,"The properties of UL47 suggest that it, along with the α protein infected cell protein 27, attenuates degradation of mRNAs by the VHS-RNase through interaction with the enzyme in polyribosomes.",23589852_7,0,-1,-1,-1,-1,0,3080,0
3866,protein-bound,18,19,123,136,"This novel template-switching activity enables facile and less biased cloning of nonpolyadenylated RNAs, such as miRNAs or protein-bound RNA fragments.",23697550_5,0,-1,-1,-1,-1,0,3866,0
8078,immunoglobulin κ,28,30,137,153,"Here, we identified the 28S ribosomal DNA (RN28S1) gene as a novel fusion partner of the B-cell leukemia/lymphoma 11B gene (BCL11B), the immunoglobulin κ variable 3-20 gene (IGKV3-20) and the component of oligomeric Golgi complex 1 gene (COG1) in hematologic malignancies.",24504345_3,0,-1,-1,-1,-1,0,8078,0
8481,Argonaute protein,10,12,44,61,The terminal RNA (positions 19-21) provided Argonaute protein binding sites.,24561616_5,0,-1,-1,-1,-1,0,8481,0
8483,Argonaute,6,7,42,51,"Knockdown experiments showed that, unlike Argonaute and TRBP, Dicer was dispensable for RNAi.",24561616_7,0,-1,-1,-1,-1,0,8483,0
8814,calmodulin,34,35,167,177,"Fourteen antigens were identified including microneme protein 11 (MIC11), dense granule protein 5 (GRA5), 18 kDa cyclophilin (C-18), serine proteinase inhibitor (PI), calmodulin (CaM), leucine-rich repeat protein ( LRRP), D-3-phosphoglycerate dehydrogenase (D3PD), elongation factor 1-gamma (EF1), and 6 hypothetical proteins.",24646180_3,0,-1,-1,-1,-1,0,8814,0
10000,Serum amyloid A,0,3,0,15,"Serum amyloid A (SAA), a major evolutionarily conserved acute-phase protein, participates in many biological processes in eukaryotic cells, including innate immunity.",24859593_0,0,-1,-1,-1,-1,0,10000,0
10002,acute-phase protein,11,13,56,75,"Serum amyloid A (SAA), a major evolutionarily conserved acute-phase protein, participates in many biological processes in eukaryotic cells, including innate immunity.",24859593_0,0,-1,-1,-1,-1,0,10002,0
16442,multidomain protein,14,16,101,120,"Taken together, our complementary genetic and pharmacologic studies exemplify a general strategy for multidomain protein drug-target validation and in case of SMARCA2/4 highlight the potential for drugging the more challenging helicase/ATPase domain to deliver on the promise of synthetic-lethality therapy.",26139243_7,0,-1,-1,-1,-1,0,16442,0
19622,homeobox protein,15,17,124,140,"Targeted HO-1/CO interventions up- and downregulate specific cardiogenic transcription factors, transcription factor Gata4, homeobox protein Nkx-2.5, heart- and neural crest derivatives-expressed protein 1, and MEF2C.",26725491_4,0,-1,-1,-1,-1,0,19622,0
26245,von Willebrand factor,57,60,326,347,"Results and conclusion The average yield of the CO was 7-fold higher than WT, whereas both proteins were identical in the amino acid sequences (99% coverage) and very similar in patterns of the molecular fragments (before and after thrombin cleavage), glycosylation and tyrosine sulfation, secondary structures and binding to von Willebrand factor and to a fragment of the low-density lipoprotein receptor-related protein 1.",28109042_10,0,-1,-1,-1,-1,0,26245,0
28802,IPL,1,2,3,6,"In IPL, a heterobifunctional probe comprising a photoactivatable moiety and biotin is recruited by a monomeric streptavidin tag fused to a protein of interest.",28628203_4,0,-1,-1,-1,-1,0,28802,0
28812,IPL,14,15,110,113,"Here, we describe experimental protocols to discover novel protein-protein and protein-RNA interactions using IPL.",28628203_6,0,-1,-1,-1,-1,0,28812,0
