,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_tf_distsv,lf_t_lymphocyte_distsv,label,olabel
3,CD40,16.0,17.0,101.0,105.0,"Comparison of tumor specimen from MM precursor lesions, primary tumors, and metastases revealed that CD40 surface expression is down-regulated during tumor progression.",10096561_1,0,-1,-1,0,0
6,CD40,0.0,1.0,0.0,4.0,"CD40 expression was confirmed in 7 human MM cell lines established from immunogenic primary tumors or metastases, whereas 11 cell lines established from advanced stages were CD40 negative.",10096561_2,0,-1,-1,0,0
11,CD40,27.0,28.0,174.0,178.0,"CD40 expression was confirmed in 7 human MM cell lines established from immunogenic primary tumors or metastases, whereas 11 cell lines established from advanced stages were CD40 negative.",10096561_2,0,-1,-1,0,0
12,CD40,0.0,1.0,0.0,4.0,CD40 expression could be enhanced in CD40-positive MM by stimulation with IFN-gamma and tumor necrosis factor-alpha but not by interleukin (IL)-1beta or CD40 triggering.,10096561_3,0,-1,-1,0,0
15,tumor necrosis factor-alpha,13.0,16.0,88.0,115.0,CD40 expression could be enhanced in CD40-positive MM by stimulation with IFN-gamma and tumor necrosis factor-alpha but not by interleukin (IL)-1beta or CD40 triggering.,10096561_3,0,-1,-1,0,0
17,CD40,22.0,23.0,153.0,157.0,CD40 expression could be enhanced in CD40-positive MM by stimulation with IFN-gamma and tumor necrosis factor-alpha but not by interleukin (IL)-1beta or CD40 triggering.,10096561_3,0,-1,-1,0,0
18,CD40,0.0,1.0,0.0,4.0,"CD40 ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",10096561_4,0,-1,-1,0,0
23,soluble,11.0,12.0,64.0,71.0,"CD40 ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",10096561_4,0,-1,-1,0,0
31,IL-8,36.0,37.0,228.0,232.0,"CD40 ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",10096561_4,0,-1,-1,0,0
33,granulocyte macrophage,43.0,45.0,263.0,285.0,"CD40 ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",10096561_4,0,-1,-1,0,0
34,colony-stimulating factor,45.0,47.0,286.0,311.0,"CD40 ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",10096561_4,0,-1,-1,0,0
36,CD40,62.0,63.0,412.0,416.0,"CD40 ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",10096561_4,0,-1,-1,0,0
44,CD40,2.0,3.0,9.0,13.0,"Finally, CD40 ligation induced growth inhibition and apoptosis in MM.",10096561_5,0,-1,-1,0,0
54,IL-4,0.0,1.0,0.0,4.0,IL-4 conducts its biological activities through binding to the IL-4 receptor (IL-4R) on the surface of target cells.,10369419_1,0,-1,-1,0,0
80,IL-4,12.0,13.0,77.0,81.0,These results suggest that p47phox is involved in the signal transduction of IL-4 in B cells.,10369419_6,0,-1,-1,0,0
84,IL-4,14.0,15.0,76.0,80.0,"However, activation of STAT6, CD23 expression, and IgE synthesis induced by IL-4 were not affected in p47phox-deficient patients, which raises the possibility that p47phox may be important in other signaling activities as well in B cells.",10369419_7,0,-1,-1,0,0
162,chemokines,22.0,23.0,120.0,130.0,"Instead, the body is an integrated system in which nearly every cell type can relay the alarm through the production of chemokines, which recruit specific inflammatory cells to the target tissues.",10450520_1,0,-1,-1,0,0
176,chemokines,20.0,21.0,113.0,123.0,"Second, tissue parenchymal cells, in their capacity as sentinel cells, are able to produce different patterns of chemokines in response to different alarm stimuli.",10450520_4,0,-1,-1,0,0
202,cytokine synthesis,19.0,21.0,124.0,142.0,"Using a novel flow-cytometric assay, we were able to identify CD8(+)-T-cell epitopes (by IE-1 peptide-specific induction of cytokine synthesis) and simultaneously measure the frequency of cells directed against them.",10482568_3,0,-1,-1,0,0
229,IL-4,1.0,2.0,6.0,10.0,"Since IL-4 is a major cytokine produced by T helper 2 (Th2) cells, we investigated the role of Th2 cells in mediating skin fibrosis in Tsk/+ mice.",10486156_3,0,-1,-1,0,0
230,cytokine,5.0,6.0,22.0,30.0,"Since IL-4 is a major cytokine produced by T helper 2 (Th2) cells, we investigated the role of Th2 cells in mediating skin fibrosis in Tsk/+ mice.",10486156_3,0,-1,-1,0,0
238,IL-4,23.0,24.0,133.0,137.0,Previous studies have shown that the development of Th2 cells in non-Tsk mice is abrogated in mice with null mutation for either the IL-4 or the Stat6 gene.,10486156_4,0,-1,-1,0,0
243,IL-4,26.0,27.0,138.0,142.0,In this study we showed that the polarization of CD4(+) T cells from Tsk/+ mice toward the Th2 lineage is also dependent on a functioning IL-4 or Stat6 gene.,10486156_5,0,-1,-1,0,0
263,interleukin-12,21.0,22.0,108.0,122.0,"These have been driven, in part, by the realization that cytokines from the innate immune response, such as interleukin-12 (IL-12) and interferons (IFNs), play a critical role in T cell subset differentiation.",10579394_1,0,-1,-1,0,0
264,IL-12,23.0,24.0,124.0,129.0,"These have been driven, in part, by the realization that cytokines from the innate immune response, such as interleukin-12 (IL-12) and interferons (IFNs), play a critical role in T cell subset differentiation.",10579394_1,0,-1,-1,0,0
267,IFNs,14.0,15.0,83.0,87.0,This review covers some of the most recent data concerning the divergent role that IFNs have in the differentiation of human versus mouse T helper cell subsets.,10579394_2,0,-1,-1,0,0
284,TNF-alpha,4.0,5.0,18.0,27.0,Here we show that TNF-alpha promotes autoaggression of both effector CD4(+) and CD8(+) T cells.,10637268_1,0,-1,-1,0,0
295,TNF-alpha,5.0,6.0,25.0,34.0,"Instead, it appears that TNF-alpha can promote cross-presentation of islet antigen to CD8(+) T cells using a unique CD40-CD154-independent pathway.",10637268_4,0,-1,-1,0,0
305,IL-12,0.0,1.0,0.0,5.0,IL-12 is an important immunomodulatory cytokine that induces tyrosine phosphorylation and activation of the signal transducer and activator of transcription (STAT)4.,10820390_0,0,-1,-1,0,0
311,IL-12,0.0,1.0,0.0,5.0,IL-12 induces sustained activation and nuclear translocation of STAT4 and this regulatory process is coupled to both tyrosine and serine phosphorylation of this molecule.,10820390_1,0,-1,-1,0,0
320,IL-12,15.0,16.0,95.0,100.0,IL-12-activated tyrosine kinases are the Janus kinases Jak2 and Tyk2 but little is known about IL-12 regulation of serine kinases.,10820390_2,0,-1,-1,0,0
332,IL-12,2.0,3.0,10.0,15.0,"Moreover, IL-12 activation of STAT4 in human peripheral blood-derived T cells is not accompanied by stimulation of the Ras guanine nucleotide binding cycle or stimulation of MAPK Erk1,2 or initiation of the PI3K signaling pathways.",10820390_5,0,-1,-1,0,0
338,IL-12,0.0,1.0,0.0,5.0,IL-12 is unable to initiate the serine phosphorylation of STAT 1 and 3.,10820390_6,0,-1,-1,0,0
344,IL-12,21.0,22.0,109.0,114.0,"This reveals that the STAT1, 3 and 4 serine kinases are not coordinately regulated in human T cells and that IL-12 must regulate serine phosphorylation of STAT4 by a kinase network distinct to the MAPK Erk1,2 or PI3K pathways.",10820390_7,0,-1,-1,0,0
352,cytokine,9.0,10.0,55.0,63.0,The recognition of polarized T cell subsets defined by cytokine production was followed by a search to define the factors controlling this phenomenon.,10837066_0,0,-1,-1,0,0
362,IL-12,30.0,31.0,193.0,198.0,"The next phase of work over the past several years has begun to define the intracellular processes set into motion during Th1/Th2 development, particularly by the strongly polarizing cytokines IL-12 and IL-4.",10837066_2,0,-1,-1,0,0
363,IL-4,32.0,33.0,203.0,207.0,"The next phase of work over the past several years has begun to define the intracellular processes set into motion during Th1/Th2 development, particularly by the strongly polarizing cytokines IL-12 and IL-4.",10837066_2,0,-1,-1,0,0
365,IL-18,11.0,12.0,69.0,74.0,"In addition several new mediators of control have emerged, including IL-18, the intriguing Th2-selective T1/ST2 product, and heterogeneity in dendritic cells capable of directing cytokine-independent Th development.",10837066_4,0,-1,-1,0,0
379,IL-10,1.0,2.0,4.0,9.0,The IL-10 effect was investigated in a human lymphoblastoid cell system defective for TAP1+2 genes (T2 cell line) and in the related TAP1+2 transfectants (T3 cell line).,10852384_2,0,-1,-1,0,0
386,IL-10,14.0,15.0,73.0,78.0,"In this experimental system, after 48 h of incubation in the presence of IL-10, the HLA class I antigen downmodulation was observed in the T3 but not in the T2 cell line, suggesting a potential role of TAP1+2 molecules.",10852384_3,0,-1,-1,0,0
395,IL-10,8.0,9.0,34.0,39.0,"Instead, after 3 h of exposure to IL-10, the HLA downmodulation was observed in both cell lines, the NF-kappaB factors activity being strongly reduced.",10852384_5,0,-1,-1,0,0
404,IL-10,15.0,16.0,89.0,94.0,"In addition, the transfection of the inhibitor of NF-kappaB, IkappaBalpha, prevented the IL-10 effect on HLA class I antigen expression in the T3 cell line.",10852384_6,0,-1,-1,0,0
409,IL-10,12.0,13.0,55.0,60.0,This phenomenon was observed after 3 h but not 48 h of IL-10 incubation.,10852384_7,0,-1,-1,0,0
429,interleukin 12,20.0,22.0,105.0,119.0,"In some cases known pathways may be used, as in the dendritic cell subset 1 exerting TH1 polarization by interleukin 12 (IL-12) production and STAT4 activation.",10973276_3,0,-1,-1,0,0
430,IL-12,23.0,24.0,121.0,126.0,"In some cases known pathways may be used, as in the dendritic cell subset 1 exerting TH1 polarization by interleukin 12 (IL-12) production and STAT4 activation.",10973276_3,0,-1,-1,0,0
453,B lymphocyte stimulator,0.0,3.0,0.0,23.0,B lymphocyte stimulator (BLyS) is a newly identified monocyte-specific TNF family cytokine.,11015437_0,0,-1,-1,0,0
454,BLyS,4.0,5.0,25.0,29.0,B lymphocyte stimulator (BLyS) is a newly identified monocyte-specific TNF family cytokine.,11015437_0,0,-1,-1,0,0
462,BLyS,4.0,5.0,25.0,29.0,"Here we demonstrate that BLyS prominently enhances the humoral responses to both T cell-independent and T cell-dependent antigens, primarily by attenuation of apoptosis as evidenced by the prolonged survival of antigen-activated B cells in vivo and in vitro.",11015437_2,0,-1,-1,0,0
469,BLyS,0.0,1.0,0.0,4.0,"BLyS acts on primary splenic B cells autonomously, and directly cooperates with CD40 ligand (CD40L) in B cell activation in vitro by protecting replicating B cells from apoptosis.",11015437_3,0,-1,-1,0,0
471,CD40,13.0,14.0,80.0,84.0,"BLyS acts on primary splenic B cells autonomously, and directly cooperates with CD40 ligand (CD40L) in B cell activation in vitro by protecting replicating B cells from apoptosis.",11015437_3,0,-1,-1,0,0
472,ligand,14.0,15.0,85.0,91.0,"BLyS acts on primary splenic B cells autonomously, and directly cooperates with CD40 ligand (CD40L) in B cell activation in vitro by protecting replicating B cells from apoptosis.",11015437_3,0,-1,-1,0,0
473,CD40L,16.0,17.0,93.0,98.0,"BLyS acts on primary splenic B cells autonomously, and directly cooperates with CD40 ligand (CD40L) in B cell activation in vitro by protecting replicating B cells from apoptosis.",11015437_3,0,-1,-1,0,0
481,BLyS,4.0,5.0,28.0,32.0,"Attenuation of apoptosis by BLyS correlates with changes in the ratios between Bcl-2 family proteins in favor of cell survival, predominantly by reducing the proapoptotic Bak and increasing its prosurvival partners, Bcl-2 and Bcl-xL. In either resting or CD40L-activated B cells, the NF-kappaB transcription factors RelB and p50 are specifically activated, suggesting that they may mediate BLyS signals for B cell survival.",11015437_5,0,-1,-1,0,0
493,BLyS,60.0,61.0,390.0,394.0,"Attenuation of apoptosis by BLyS correlates with changes in the ratios between Bcl-2 family proteins in favor of cell survival, predominantly by reducing the proapoptotic Bak and increasing its prosurvival partners, Bcl-2 and Bcl-xL. In either resting or CD40L-activated B cells, the NF-kappaB transcription factors RelB and p50 are specifically activated, suggesting that they may mediate BLyS signals for B cell survival.",11015437_5,0,-1,-1,0,0
500,BLyS,3.0,4.0,15.0,19.0,"The ability of BLyS to increase B cell survival indiscriminately, at either a resting or activated state, and to cooperate with CD40L, further suggests that attenuation of apoptosis underlies BLyS enhancement of polyclonal autoimmunity as well as the physiologic humoral immune response.",11015437_7,0,-1,-1,0,0
503,CD40L,23.0,24.0,128.0,133.0,"The ability of BLyS to increase B cell survival indiscriminately, at either a resting or activated state, and to cooperate with CD40L, further suggests that attenuation of apoptosis underlies BLyS enhancement of polyclonal autoimmunity as well as the physiologic humoral immune response.",11015437_7,0,-1,-1,0,0
560,IL-5,25.0,26.0,115.0,119.0,"Overproduction of immunoglobulin E (IgE) and T helper cell type 2 (TH2) cytokines, including interleukin 4 (IL-4), IL-5 and IL-13, can result in allergic disorders.",11248805_0,0,-1,-1,0,0
563,IL-4,5.0,6.0,26.0,30.0,"Although it is known that IL-4 is critical to the polarization of naïve CD4+ T cells to a TH2 phenotype, both in vitro and in many in vivo systems, other factors that regulate in vivo IL-4 production and TH2 commitment are poorly understood.",11248805_1,0,-1,-1,0,0
570,IL-4,38.0,39.0,184.0,188.0,"Although it is known that IL-4 is critical to the polarization of naïve CD4+ T cells to a TH2 phenotype, both in vitro and in many in vivo systems, other factors that regulate in vivo IL-4 production and TH2 commitment are poorly understood.",11248805_1,0,-1,-1,0,0
578,IL-18,0.0,1.0,0.0,5.0,IL-18 and T cell receptor-mediated stimulation could induce naïve CD4+ T cells to develop into IL-4-producing cells in vitro.,11248805_3,0,-1,-1,0,0
584,IL-18,4.0,5.0,20.0,25.0,"Thus, caspase-1 and IL-18 may be critical in regulation of IgE production in vivo, providing a potential therapeutic target for allergic disorders.",11248805_4,0,-1,-1,0,0
603,IFN-gamma,3.0,4.0,15.0,24.0,The pattern of IFN-gamma staining appeared to be intracellular in mononuclear lymphoid cells.,11275803_6,0,-1,-1,0,0
607,recombinant,17.0,18.0,111.0,122.0,The staining was considered to be highly specific because it could be completely blocked by preabsorption with recombinant IFN-gamma.,11275803_7,0,-1,-1,0,0
608,IFN-gamma,18.0,19.0,123.0,132.0,The staining was considered to be highly specific because it could be completely blocked by preabsorption with recombinant IFN-gamma.,11275803_7,0,-1,-1,0,0
613,IFN-gamma,7.0,8.0,40.0,49.0,"Th1 response, which is characterized by IFN-gamma release, is thought to be involved in the host defense against dermatophytes and to reflect cutaneous reaction in dermatophytosis.",11275803_9,0,-1,-1,0,0
