precision,recall,f1-score,ratio,fname
0.708,0.520,0.599,0.0,annotate.f1
0.772,0.832,0.801,1.0,annotate.It_W6_S1.0_R1_10_10.f1
0.794,0.579,0.669,0.1,annotate.It_W6_S1.0_R1_10_1.f1
0.833,0.615,0.708,0.2,annotate.It_W6_S1.0_R1_10_2.f1
0.818,0.655,0.727,0.3,annotate.It_W6_S1.0_R1_10_3.f1
0.790,0.743,0.766,0.4,annotate.It_W6_S1.0_R1_10_4.f1
0.786,0.768,0.777,0.5,annotate.It_W6_S1.0_R1_10_5.f1
0.789,0.780,0.784,0.6,annotate.It_W6_S1.0_R1_10_6.f1
0.788,0.803,0.795,0.7,annotate.It_W6_S1.0_R1_10_7.f1
0.764,0.823,0.792,0.8,annotate.It_W6_S1.0_R1_10_8.f1
0.770,0.826,0.797,0.9,annotate.It_W6_S1.0_R1_10_9.f1
0.361,0.058,0.100,0.1,annotate.Scratch_W6_S0.1_R1.f1
0.804,0.261,0.395,0.2,annotate.Scratch_W6_S0.2_R1.f1
0.801,0.386,0.521,0.3,annotate.Scratch_W6_S0.3_R1.f1
0.815,0.541,0.650,0.4,annotate.Scratch_W6_S0.4_R1.f1
0.801,0.676,0.733,0.5,annotate.Scratch_W6_S0.5_R1.f1
0.782,0.791,0.787,0.6,annotate.Scratch_W6_S0.6_R1.f1
0.778,0.810,0.794,0.7,annotate.Scratch_W6_S0.7_R1.f1
0.772,0.833,0.801,0.8,annotate.Scratch_W6_S0.8_R1.f1
0.783,0.831,0.806,0.9,annotate.Scratch_W6_S0.9_R1.f1
0.765,0.845,0.803,1.0,annotate.Scratch_W6_S1.0_R1.f1
0.791,0.572,0.664,0.1,annotate.W6_S0.1_R1.f1
0.834,0.618,0.710,0.2,annotate.W6_S0.2_R1.f1
0.839,0.661,0.740,0.3,annotate.W6_S0.3_R1.f1
0.826,0.748,0.785,0.4,annotate.W6_S0.4_R1.f1
0.822,0.751,0.785,0.5,annotate.W6_S0.5_R1.f1
0.803,0.794,0.799,0.6,annotate.W6_S0.6_R1.f1
0.800,0.808,0.804,0.7,annotate.W6_S0.7_R1.f1
0.790,0.815,0.803,0.8,annotate.W6_S0.8_R1.f1
0.787,0.833,0.809,0.9,annotate.W6_S0.9_R1.f1
0.779,0.838,0.807,1.0,annotate.W6_S1.0_R1.f1
