Cyclophosphamide-induced	cyclophosphamide-induced	O	O	O	O
cystitis	cystitis	O	DISEASE	OTHERS	I
in	in	O	O	O	O
freely-moving	freely-moving	O	O	O	O
conscious	conscious	O	O	O	O
rats	rats	O	O	O	O
:	:	O	O	O	O
behavioral	behavioral	O	O	O	O
approach	approach	O	O	O	O
to	to	O	O	O	O
a	a	O	O	O	O
new	new	O	O	O	O
model	model	O	O	O	O
of	of	O	O	O	O
visceral	visceral	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
.	.	O	O	O	O

PURPOSE	purpose	O	O	O	O
:	:	O	O	O	O
To	to	O	O	O	O
develop	develop	O	O	O	O
a	a	O	O	O	O
model	model	O	O	O	O
of	of	O	O	O	O
visceral	visceral	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
using	using	O	O	O	O
a	a	O	O	O	O
behavioral	behavioral	O	O	O	O
approach	approach	O	O	O	O
.	.	O	O	O	O

Cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
CP	cp	O	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
an	an	O	O	O	O
antitumoral	antitumoral	O	O	O	O
agent	agent	O	O	O	O
known	known	O	O	O	O
to	to	O	O	O	O
produce	produce	O	O	O	O
toxic	toxic	O	O	O	O
effects	effects	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
bladder	bladder	O	O	O	O
wall	wall	O	O	O	O
through	through	O	O	O	O
its	its	O	O	O	O
main	main	O	O	O	O
toxic	toxic	O	O	O	O
metabolite	metabolite	O	O	O	O
acrolein	acrolein	O	O	OTHERS	I
,	,	O	O	O	O
was	was	O	O	O	O
used	used	O	O	O	O
to	to	O	O	O	O
induce	induce	O	O	O	O
cystitis	cystitis	O	DISEASE	OTHERS	I
.	.	O	O	O	O

MATERIALS	materials	O	O	O	O
AND	and	O	O	O	O
METHODS	methods	O	O	O	O
:	:	O	O	O	O
CP	cp	O	O	OTHERS	I
was	was	O	O	O	O
administered	administered	O	O	O	O
at	at	O	O	O	O
doses	doses	O	O	O	O
of	of	O	O	O	O
50	50	O	O	O	O
,	,	O	O	O	O
100	100	O	O	O	O
and	and	O	O	O	O
200	200	O	O	O	O
mg./kg	mg./kg	O	O	O	O
.	.	O	O	O	O

i.p	i.p	O	O	O	O
.	.	O	O	O	O
to	to	O	O	O	O
male	male	O	O	O	O
rats	rats	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
their	their	O	O	O	O
behavior	behavior	O	O	O	O
observed	observed	O	O	O	O
and	and	O	O	O	O
scored	scored	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
0.5	0.5	O	O	O	O
to	to	O	O	O	O
4	4	O	O	O	O
mg./kg	mg./kg	O	O	O	O
.	.	O	O	O	O

i.v	i.v	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
on	on	O	O	O	O
CP-induced	cp-induced	O	O	O	O
behavioral	behavioral	O	O	O	O
modifications	modifications	O	O	O	O
were	were	O	O	O	O
tested	tested	O	O	O	O
administered	administered	O	O	O	O
alone	alone	O	O	O	O
and	and	O	O	O	O
after	after	O	O	O	O
naloxone	naloxone	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
1	1	O	O	O	O
mg./kg	mg./kg	O	O	O	O
.	.	O	O	O	O

s.c	s.c	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
addition	addition	O	O	O	O
,	,	O	O	O	O
90	90	O	O	O	O
minutes	minutes	O	O	O	O
after	after	O	O	O	O
