Prednisolone-induced	prednisolone-induced	O	O	O	O
muscle	muscle	O	O	OTHERS	I
dysfunction	dysfunction	O	O	OTHERS	I
is	is	O	O	O	O
caused	caused	O	O	O	O
more	more	O	O	O	O
by	by	O	O	O	O
atrophy	atrophy	O	DISEASE	OTHERS	I
than	than	O	O	O	O
by	by	O	O	O	O
altered	altered	O	O	O	O
acetylcholine	acetylcholine	CHEMICALS	O	OTHERS	I
receptor	receptor	O	O	O	O
expression	expression	O	O	O	O
.	.	O	O	O	O

Large	large	O	O	O	O
doses	doses	O	O	O	O
of	of	O	O	O	O
glucocorticoids	glucocorticoids	O	O	O	O
can	can	O	O	O	O
alter	alter	O	O	O	O
muscle	muscle	O	O	O	O
physiology	physiology	O	O	O	O
and	and	O	O	O	O
susceptibility	susceptibility	O	O	O	O
to	to	O	O	O	O
neuromuscular	neuromuscular	O	O	O	O
blocking	blocking	O	O	O	O
drugs	drugs	O	O	O	O
by	by	O	O	O	O
mechanisms	mechanisms	O	O	O	O
not	not	O	O	O	O
clearly	clearly	O	O	O	O
understood	understood	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
investigated	investigated	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
moderate	moderate	O	O	O	O
and	and	O	O	O	O
large	large	O	O	O	O
doses	doses	O	O	O	O
of	of	O	O	O	O
prednisolone	prednisolone	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
muscle	muscle	O	O	O	O
function	function	O	O	O	O
and	and	O	O	O	O
pharmacology	pharmacology	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
their	their	O	O	O	O
relationship	relationship	O	O	O	O
to	to	O	O	O	O
changes	changes	O	O	O	O
in	in	O	O	O	O
muscle	muscle	O	O	O	O
size	size	O	O	O	O
and	and	O	O	O	O
acetylcholine	acetylcholine	CHEMICALS	O	OTHERS	I
receptor	receptor	O	O	O	O
(	(	O	O	O	O
AChR	achr	O	O	O	O
)	)	O	O	O	O
expression	expression	O	O	O	O
.	.	O	O	O	O

With	with	O	O	O	O
institutional	institutional	O	O	O	O
approval	approval	O	O	O	O
,	,	O	O	O	O
35	35	O	O	O	O
Sprague-Dawley	sprague-dawley	O	O	O	O
rats	rats	O	O	O	O
were	were	O	O	O	O
randomly	randomly	O	O	O	O
allocated	allocated	O	O	O	O
to	to	O	O	O	O
receive	receive	O	O	O	O
daily	daily	O	O	O	O
subcutaneous	subcutaneous	O	O	O	O
doses	doses	O	O	O	O
of	of	O	O	O	O
10	10	O	O	O	O
mg/kg	mg/kg	O	O	O	O
prednisolone	prednisolone	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
P10	p10	O	O	O	O
group	group	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
100	100	O	O	O	O
mg/kg	mg/kg	O	O	O	O
prednisolone	prednisolone	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
P100	p100	O	O	O	O
group	group	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
an	an	O	O	O	O
equal	equal	O	O	O	O
volume	volume	O	O	O	O
of	of	O	O	O	O
saline	saline	O	O	O	O
(	(	O	O	O	O
S	s	O	O	O	O
group	group	O	O	O	O
)	)	O	O	O	O
for	for	O	O	O	O
7	7	O	O	O	O
days	days	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
fourth	fourth	O	O	O	O
group	group	O	O	O	O
of	of	O	O	O	O
rats	rats	O	O	O	O
was	was	O	O	O	O
pair	pair	O	O	O	O
fed	fed	O	O	O	O
(	(	O	O	O	O
food	food	O	O	O	O
restricted	restricted	O	O	O	O
)	)	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
P100	p100	O	O	O	O
rats	rats	O	O	O	O
for	for	O	O	O	O
7	7	O	O	O	O
days	days	O	O	O	O
(	(	O	O	O	O
FR	fr	O	O	O	O
group	group	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

On	on	O	O	O	O
Day	day	O	O	O	O
8	8	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
nerve-evoked	nerve-evoked	O	O	O	O
peak	peak	O	O	O	O
twitch	twitch	O	O	OTHERS	I
tensions	tensions	O	O	O	O
,	,	O	O	O	O
tetanic	tetanic	O	O	OTHERS	I
tensions	tensions	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
fatigability	fatigability	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
dose-response	dose-response	O	O	O	O
curves	curves	O	O	O	O
of	of	O	O	O	O
d-tubocurarine	d-tubocurarine	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
tibialis	tibialis	O	O	O	O
cranialis	cranialis	O	O	O	O
muscle	muscle	O	O	O	O
were	were	O	O	O	O
measured	measured	O	O	O	O
in	in	O	O	O	O
vivo	vivo	O	O	O	O
and	and	O	O	O	O
related	related	O	O	O	O
to	to	O	O	O	O
muscle	muscle	O	O	O	O
mass	mass	O	O	O	O
or	or	O	O	O	O
expression	expression	O	O	O	O
of	of	O	O	O	O
AChRs	achrs	O	O	O	O
.	.	O	O	O	O

Rate	rate	O	O	O	O
of	of	O	O	O	O
body	body	O	DISEASE	OTHERS	I
weight	weight	O	DISEASE	OTHERS	I
gain	gain	O	DISEASE	OTHERS	I
was	was	O	O	O	O
depressed	depressed	O	DISEASE	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
P100	p100	O	O	O	O
,	,	O	O	O	O
FR	fr	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
P10	p10	O	O	O	O
groups	groups	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
S	s	O	O	O	O
group	group	O	O	O	O
.	.	O	O	O	O

Tibialis	tibialis	O	O	O	O
muscle	muscle	O	O	O	O
mass	mass	O	O	O	O
was	was	O	O	O	O
smaller	smaller	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
P100	p100	O	O	O	O
group	group	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
P10	p10	O	O	O	O
or	or	O	O	O	O
S	s	O	O	O	O
groups	groups	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
evoked	evoked	O	O	O	O
peak	peak	O	O	O	O
twitch	twitch	O	O	OTHERS	I
and	and	O	O	O	O
tetanic	tetanic	O	O	OTHERS	I
tensions	tensions	O	O	O	O
were	were	O	O	O	O
less	less	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
P100	p100	O	O	O	O
group	group	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
P10	p10	O	O	O	O
or	or	O	O	O	O
S	s	O	O	O	O
groups	groups	O	O	O	O
,	,	O	O	O	O
however	however	O	O	O	O
,	,	O	O	O	O
tension	tension	O	O	O	O
per	per	O	O	O	O
milligram	milligram	O	O	O	O
of	of	O	O	O	O
muscle	muscle	O	O	O	O
mass	mass	O	O	O	O
was	was	O	O	O	O
greater	greater	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
P100	p100	O	O	O	O
group	group	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
S	s	O	O	O	O
group	group	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
50	50	O	O	O	O
%	%	O	O	O	O
effective	effective	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
d-tubocurarine	d-tubocurarine	O	O	O	O
(	(	O	O	O	O
microg/kg	microg/kg	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
tibialis	tibialis	O	O	O	O
muscle	muscle	O	O	O	O
was	was	O	O	O	O
smaller	smaller	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
P10	p10	O	O	O	O
(	(	O	O	O	O
33.6	33.6	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
5.4	5.4	O	O	O	O
)	)	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
S	s	O	O	O	O
(	(	O	O	O	O
61.9	61.9	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
5.0	5.0	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
the	the	O	O	O	O
P100	p100	O	O	O	O
(	(	O	O	O	O
71.3	71.3	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
9.6	9.6	O	O	O	O
)	)	O	O	O	O
groups	groups	O	O	O	O
.	.	O	O	O	O

AChR	achr	O	O	O	O
expression	expression	O	O	O	O
was	was	O	O	O	O
less	less	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
P10	p10	O	O	O	O
group	group	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
S	s	O	O	O	O
group	group	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
evoked	evoked	O	O	O	O
tensions	tensions	O	O	O	O
correlated	correlated	O	O	O	O
with	with	O	O	O	O
muscle	muscle	O	O	O	O
mass	mass	O	O	O	O
(	(	O	O	O	O
r(2	r(2	O	O	O	O
)	)	O	O	O	O
=	=	O	O	O	O
0.32	0.32	O	O	O	O
,	,	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
however	however	O	O	O	O
,	,	O	O	O	O
not	not	O	O	O	O
with	with	O	O	O	O
expression	expression	O	O	O	O
of	of	O	O	O	O
AChR.	achr.	O	O	O	O
The	the	O	O	O	O
50	50	O	O	O	O
%	%	O	O	O	O
effective	effective	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
d-tubocurarine	d-tubocurarine	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
correlate	correlate	O	O	O	O
with	with	O	O	O	O
muscle	muscle	O	O	O	O
mass	mass	O	O	O	O
or	or	O	O	O	O
AChR	achr	O	O	O	O
expression	expression	O	O	O	O
.	.	O	O	O	O

Our	our	O	O	O	O
results	results	O	O	O	O
suggest	suggest	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
neuromuscular	neuromuscular	O	O	OTHERS	I
dysfunction	dysfunction	O	O	OTHERS	I
after	after	O	O	O	O
prednisolone	prednisolone	CHEMICALS	O	OTHERS	I
is	is	O	O	O	O
dose-dependent	dose-dependent	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
derives	derives	O	O	O	O
primarily	primarily	O	O	O	O
from	from	O	O	O	O
muscle	muscle	O	DISEASE	OTHERS	I
atrophy	atrophy	O	DISEASE	OTHERS	I
and	and	O	O	O	O
derives	derives	O	O	O	O
less	less	O	O	O	O
so	so	O	O	O	O
from	from	O	O	O	O
changes	changes	O	O	O	O
in	in	O	O	O	O
AChR	achr	O	O	O	O
expression	expression	O	O	O	O
.	.	O	O	O	O

IMPLICATIONS	implications	O	O	O	O
:	:	O	O	O	O
The	the	O	O	O	O
mechanisms	mechanisms	O	O	O	O
by	by	O	O	O	O
which	which	O	O	O	O
chronic	chronic	O	O	O	O
glucocorticoid	glucocorticoid	O	O	O	O
therapy	therapy	O	O	O	O
alters	alters	O	O	O	O
neuromuscular	neuromuscular	O	O	O	O
physiology	physiology	O	O	O	O
and	and	O	O	O	O
pharmacology	pharmacology	O	O	O	O
are	are	O	O	O	O
unclear	unclear	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
suggest	suggest	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
observed	observed	O	O	O	O
effects	effects	O	O	O	O
are	are	O	O	O	O
dose-dependent	dose-dependent	O	O	O	O
and	and	O	O	O	O
derive	derive	O	O	O	O
primarily	primarily	O	O	O	O
from	from	O	O	O	O
muscle	muscle	O	DISEASE	OTHERS	I
atrophy	atrophy	O	DISEASE	OTHERS	I
and	and	O	O	O	O
derive	derive	O	O	O	O
less	less	O	O	O	O
from	from	O	O	O	O
changes	changes	O	O	O	O
in	in	O	O	O	O
acetylcholine	acetylcholine	CHEMICALS	O	OTHERS	I
receptor	receptor	O	O	O	O
expression	expression	O	O	O	O
.	.	O	O	O	O

