Probing	probing	O	O	O	O
peripheral	peripheral	O	O	O	O
and	and	O	O	O	O
central	central	O	O	O	O
cholinergic	cholinergic	O	O	O	O
system	system	O	O	O	O
responses	responses	O	O	O	O
.	.	O	O	O	O

OBJECTIVE	objective	O	O	O	O
:	:	O	O	O	O
The	the	O	O	O	O
pharmacological	pharmacological	O	O	O	O
response	response	O	O	O	O
to	to	O	O	O	O
drugs	drugs	O	O	O	O
that	that	O	O	O	O
act	act	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
cholinergic	cholinergic	O	O	O	O
system	system	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
iris	iris	O	O	O	O
has	has	O	O	O	O
been	been	O	O	O	O
used	used	O	O	O	O
to	to	O	O	O	O
predict	predict	O	O	O	O
deficits	deficits	O	O	O	O
in	in	O	O	O	O
central	central	O	O	O	O
cholinergic	cholinergic	O	O	O	O
functioning	functioning	O	O	O	O
due	due	O	O	O	O
to	to	O	O	O	O
diseases	diseases	O	O	O	O
such	such	O	O	O	O
as	as	O	O	O	O
Alzheimer	alzheimer	O	DISEASE	OTHERS	I
's	's	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
,	,	O	O	O	O
yet	yet	O	O	O	O
correlations	correlations	O	O	O	O
between	between	O	O	O	O
central	central	O	O	O	O
and	and	O	O	O	O
peripheral	peripheral	O	O	O	O
responses	responses	O	O	O	O
have	have	O	O	O	O
not	not	O	O	O	O
been	been	O	O	O	O
properly	properly	O	O	O	O
studied	studied	O	O	O	O
.	.	O	O	O	O

This	this	O	O	O	O
study	study	O	O	O	O
assessed	assessed	O	O	O	O
the	the	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
normal	normal	O	O	O	O
aging	aging	O	O	O	O
on	on	O	O	O	O
(	(	O	O	O	O
1	1	O	O	O	O
)	)	O	O	O	O
the	the	O	O	O	O
tropicamide-induced	tropicamide-induced	O	O	O	O
increase	increase	O	O	O	O
in	in	O	O	O	O
pupil	pupil	O	O	O	O
diameter	diameter	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
(	(	O	O	O	O
2	2	O	O	O	O
)	)	O	O	O	O
the	the	O	O	O	O
reversal	reversal	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
effect	effect	O	O	O	O
with	with	O	O	O	O
pilocarpine	pilocarpine	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Scopolamine	scopolamine	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
used	used	O	O	O	O
as	as	O	O	O	O
a	a	O	O	O	O
positive	positive	O	O	O	O
control	control	O	O	O	O
to	to	O	O	O	O
detect	detect	O	O	O	O
age-dependent	age-dependent	O	O	O	O
changes	changes	O	O	O	O
in	in	O	O	O	O
central	central	O	O	O	O
cholinergic	cholinergic	O	O	O	O
functioning	functioning	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
elderly	elderly	O	O	O	O
.	.	O	O	O	O

DESIGN	design	O	O	O	O
:	:	O	O	O	O
Randomized	randomized	O	O	O	O
double-blind	double-blind	O	O	O	O
controlled	controlled	O	O	O	O
trial	trial	O	O	O	O
.	.	O	O	O	O

PARTICIPANTS	participants	O	O	O	O
:	:	O	O	O	O
Ten	ten	O	O	O	O
healthy	healthy	O	O	O	O
elderly	elderly	O	O	O	O
(	(	O	O	O	O
mean	mean	O	O	O	O
age	age	O	O	O	O
70	70	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
9	9	O	O	O	O
young	young	O	O	O	O
(	(	O	O	O	O
mean	mean	O	O	O	O
age	age	O	O	O	O
33	33	O	O	O	O
)	)	O	O	O	O
volunteers	volunteers	O	O	O	O
.	.	O	O	O	O

INTERVENTIONS	interventions	O	O	O	O
:	:	O	O	O	O
Pupil	pupil	O	O	O	O
diameter	diameter	O	O	O	O
was	was	O	O	O	O
monitored	monitored	O	O	O	O
using	using	O	O	O	O
a	a	O	O	O	O
computerized	computerized	O	O	O	O
infrared	infrared	O	O	O	O
pupillometer	pupillometer	O	O	O	O
over	over	O	O	O	O
4	4	O	O	O	O
hours	hours	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
study	study	O	O	O	O
involved	involved	O	O	O	O
4	4	O	O	O	O
sessions	sessions	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
1	1	O	O	O	O
session	session	O	O	O	O
,	,	O	O	O	O
tropicamide	tropicamide	O	O	OTHERS	I
(	(	O	O	O	O
20	20	O	O	O	O
microL	microl	O	O	O	O
,	,	O	O	O	O
0.01	0.01	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
administered	administered	O	O	O	O
to	to	O	O	O	O
one	one	O	O	O	O
eye	eye	O	O	O	O
and	and	O	O	O	O
placebo	placebo	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
other	other	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
another	another	O	O	O	O
session	session	O	O	O	O
,	,	O	O	O	O
tropicamide	tropicamide	O	O	OTHERS	I
(	(	O	O	O	O
20	20	O	O	O	O
microL	microl	O	O	O	O
,	,	O	O	O	O
0.01	0.01	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
administered	administered	O	O	O	O
to	to	O	O	O	O
both	both	O	O	O	O
eyes	eyes	O	O	O	O
,	,	O	O	O	O
followed	followed	O	O	O	O
23	23	O	O	O	O
minutes	minutes	O	O	O	O
later	later	O	O	O	O
by	by	O	O	O	O
the	the	O	O	O	O
application	application	O	O	O	O
of	of	O	O	O	O
pilocarpine	pilocarpine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
20	20	O	O	O	O
microL	microl	O	O	O	O
,	,	O	O	O	O
0.1	0.1	O	O	O	O
