Antidepressant-induced	antidepressant-induced	O	O	O	O
mania	mania	O	DISEASE	OTHERS	I
in	in	O	O	O	O
bipolar	bipolar	O	DISEASE	OTHERS	I
patients	patients	O	O	O	O
:	:	O	O	O	O
identification	identification	O	O	O	O
of	of	O	O	O	O
risk	risk	O	O	O	O
factors	factors	O	O	O	O
.	.	O	O	O	O

BACKGROUND	background	O	O	O	O
:	:	O	O	O	O
Concerns	concerns	O	O	O	O
about	about	O	O	O	O
possible	possible	O	O	O	O
risks	risks	O	O	O	O
of	of	O	O	O	O
switching	switching	O	O	O	O
to	to	O	O	O	O
mania	mania	O	DISEASE	OTHERS	I
associated	associated	O	O	O	O
with	with	O	O	O	O
antidepressants	antidepressants	CHEMICALS	O	OTHERS	I
continue	continue	O	O	O	O
to	to	O	O	O	O
interfere	interfere	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
establishment	establishment	O	O	O	O
of	of	O	O	O	O
an	an	O	O	O	O
optimal	optimal	O	O	O	O
treatment	treatment	O	O	O	O
paradigm	paradigm	O	O	O	O
for	for	O	O	O	O
bipolar	bipolar	O	DISEASE	OTHERS	I
depression	depression	O	DISEASE	OTHERS	I
.	.	O	O	O	O

METHOD	method	O	O	O	O
:	:	O	O	O	O
The	the	O	O	O	O
response	response	O	O	O	O
of	of	O	O	O	O
44	44	O	O	O	O
patients	patients	O	O	O	O
meeting	meeting	O	O	O	O
DSM-IV	dsm-iv	O	O	O	O
criteria	criteria	O	O	O	O
for	for	O	O	O	O
bipolar	bipolar	O	DISEASE	OTHERS	I
disorder	disorder	O	DISEASE	OTHERS	I
to	to	O	O	O	O
naturalistic	naturalistic	O	O	O	O
treatment	treatment	O	O	O	O
was	was	O	O	O	O
assessed	assessed	O	O	O	O
for	for	O	O	O	O
at	at	O	O	O	O
least	least	O	O	O	O
6	6	O	O	O	O
weeks	weeks	O	O	O	O
using	using	O	O	O	O
the	the	O	O	O	O
Montgomery-Asberg	montgomery-asberg	O	O	O	O
Depression	depression	O	DISEASE	OTHERS	I
Rating	rating	O	O	O	O
Scale	scale	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
Bech-Rafaelson	bech-rafaelson	O	O	O	O
Mania	mania	O	DISEASE	OTHERS	I
Rating	rating	O	O	O	O
Scale	scale	O	O	O	O
.	.	O	O	O	O

Patients	patients	O	O	O	O
who	who	O	O	O	O
experienced	experienced	O	O	O	O
a	a	O	O	O	O
manic	manic	O	DISEASE	OTHERS	I
or	or	O	O	O	O
hypomanic	hypomanic	O	O	OTHERS	I
switch	switch	O	O	O	O
were	were	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
those	those	O	O	O	O
who	who	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
on	on	O	O	O	O
several	several	O	O	O	O
variables	variables	O	O	O	O
including	including	O	O	O	O
age	age	O	O	O	O
,	,	O	O	O	O
sex	sex	O	O	O	O
,	,	O	O	O	O
diagnosis	diagnosis	O	O	O	O
(	(	O	O	O	O
DSM-IV	dsm-iv	O	O	O	O
bipolar	bipolar	O	DISEASE	OTHERS	I
I	i	O	O	OTHERS	I
vs.	vs.	O	O	O	O
bipolar	bipolar	O	DISEASE	OTHERS	I
II	ii	O	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
number	number	O	O	O	O
of	of	O	O	O	O
previous	previous	O	O	O	O
manic	manic	O	DISEASE	OTHERS	I
episodes	episodes	O	O	O	O
,	,	O	O	O	O
type	type	O	O	O	O
of	of	O	O	O	O
antidepressant	antidepressant	CHEMICALS	O	OTHERS	I
therapy	therapy	O	O	O	O
used	used	O	O	O	O
(	(	O	O	O	O
electroconvulsive	electroconvulsive	O	O	O	O
therapy	therapy	O	O	O	O
vs.	vs.	O	O	O	O
antidepressant	antidepressant	CHEMICALS	O	OTHERS	I
drugs	drugs	O	O	O	O
and	and	O	O	O	O
,	,	O	O	O	O
more	more	O	O	O	O
particularly	particularly	O	O	O	O
,	,	O	O	O	O
selective	selective	O	O	O	O
serotonin	serotonin	CHEMICALS	O	OTHERS	I
reuptake	reuptake	O	O	OTHERS	I
inhibitors	inhibitors	O	O	OTHERS	I
[	[	O	O	O	O
SSRIs	ssris	O	O	OTHERS	I
]	]	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
use	use	O	O	O	O
and	and	O	O	O	O
type	type	O	O	O	O
of	of	O	O	O	O
mood	mood	O	O	O	O
stabilizers	stabilizers	O	O	O	O
(	(	O	O	O	O
lithium	lithium	CHEMICALS	O	OTHERS	I
vs.	vs.	O	O	O	O
anticonvulsants	anticonvulsants	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
temperament	temperament	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
patient	patient	O	O	O	O
,	,	O	O	O	O
assessed	assessed	O	O	O	O
during	during	O	O	O	O
a	a	O	O	O	O
normothymic	normothymic	O	O	O	O
period	period	O	O	O	O
using	using	O	O	O	O
the	the	O	O	O	O
hyperthymia	hyperthymia	O	O	O	O
