Immunohistochemical	immunohistochemical	O	O	O	O
study	study	O	O	O	O
on	on	O	O	O	O
inducible	inducible	O	O	O	O
type	type	O	O	O	O
of	of	O	O	O	O
nitric	nitric	CHEMICALS	O	OTHERS	I
oxide	oxide	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
iNOS	inos	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
basic	basic	O	O	O	O
fibroblast	fibroblast	O	O	O	O
growth	growth	O	O	O	O
factor	factor	O	O	O	O
(	(	O	O	O	O
bFGF	bfgf	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
tumor	tumor	O	DISEASE	OTHERS	I
growth	growth	O	O	O	O
factor-beta1	factor-beta1	O	O	O	O
(	(	O	O	O	O
TGF-beta1	tgf-beta1	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
arteritis	arteritis	O	O	OTHERS	I
induced	induced	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
by	by	O	O	O	O
fenoldopam	fenoldopam	O	O	OTHERS	I
and	and	O	O	O	O
theophylline	theophylline	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
vasodilators	vasodilators	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Arteritis	arteritis	O	O	OTHERS	I
induced	induced	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
by	by	O	O	O	O
vasodilators	vasodilators	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
fenoldopam	fenoldopam	O	O	OTHERS	I
and	and	O	O	O	O
theophylline	theophylline	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
was	was	O	O	O	O
examined	examined	O	O	O	O
immunohistochemically	immunohistochemically	O	O	O	O
for	for	O	O	O	O
expressions	expressions	O	O	O	O
of	of	O	O	O	O
inducible	inducible	O	O	O	O
type	type	O	O	O	O
of	of	O	O	O	O
nitric	nitric	CHEMICALS	O	OTHERS	I
oxide	oxide	CHEMICALS	O	OTHERS	I
synthase	synthase	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
iNOS	inos	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
basic	basic	O	O	O	O
fibroblast	fibroblast	O	O	O	O
growth	growth	O	O	O	O
factor	factor	O	O	O	O
(	(	O	O	O	O
bFGF	bfgf	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
tumor	tumor	O	DISEASE	OTHERS	I
growth	growth	O	O	O	O
factor-beta1	factor-beta1	O	O	O	O
(	(	O	O	O	O
TGF-beta1	tgf-beta1	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Rats	rats	O	O	O	O
were	were	O	O	O	O
administered	administered	O	O	O	O
fenoldopam	fenoldopam	O	O	OTHERS	I
for	for	O	O	O	O
24	24	O	O	O	O
hours	hours	O	O	O	O
by	by	O	O	O	O
intravenous	intravenous	O	O	O	O
infusion	infusion	O	O	O	O
with	with	O	O	O	O
or	or	O	O	O	O
without	without	O	O	O	O
following	following	O	O	O	O
repeated	repeated	O	O	O	O
daily	daily	O	O	O	O
oral	oral	O	O	O	O
administrations	administrations	O	O	O	O
of	of	O	O	O	O
theophylline	theophylline	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Irrespective	irrespective	O	O	O	O
of	of	O	O	O	O
theophylline	theophylline	CHEMICALS	O	OTHERS	I
administration	administration	O	O	O	O
,	,	O	O	O	O
iNOS	inos	O	O	O	O
antigens	antigens	O	O	O	O
were	were	O	O	O	O
remarkably	remarkably	O	O	O	O
abundant	abundant	O	O	O	O
in	in	O	O	O	O
ED-1-positive	ed-1-positive	O	O	O	O
cells	cells	O	O	O	O
on	on	O	O	O	O
day	day	O	O	O	O
5	5	O	O	O	O
and	and	O	O	O	O
8	8	O	O	O	O
post-fenoldopam-infusion	post-fenoldopam-infusion	O	O	O	O
(	(	O	O	O	O
DPI	dpi	O	O	O	O
)	)	O	O	O	O
;	;	O	O	O	O
bFGF	bfgf	O	O	O	O
antigens	antigens	O	O	O	O
were	were	O	O	O	O
remarkably	remarkably	O	O	O	O
abundant	abundant	O	O	O	O
in	in	O	O	O	O
ED-1-positive	ed-1-positive	O	O	O	O
cells	cells	O	O	O	O
on	on	O	O	O	O
1	1	O	O	O	O
and	and	O	O	O	O
3	3	O	O	O	O
DPI	dpi	O	O	O	O
;	;	O	O	O	O
TGF-beta1	tgf-beta1	O	O	O	O
antigens	antigens	O	O	O	O
were	were	O	O	O	O
observed	observed	O	O	O	O
in	in	O	O	O	O
ED-1-positive	ed-1-positive	O	O	O	O
cells	cells	O	O	O	O
on	on	O	O	O	O
and	and	O	O	O	O
after	after	O	O	O	O
5	5	O	O	O	O
DPI	dpi	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
results	results	O	O	O	O
suggest	suggest	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
peak	peak	O	O	O	O
expression	expression	O	O	O	O
of	of	O	O	O	O
iNOS	inos	O	O	O	O
antigen	antigen	O	O	O	O
was	was	O	O	O	O
followed	followed	O	O	O	O
by	by	O	O	O	O
that	that	O	O	O	O
of	of	O	O	O	O
bFGF	bfgf	O	O	O	O
antigen	antigen	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
bFGF	bfgf	O	O	O	O
may	may	O	O	O	O
have	have	O	O	O	O
a	a	O	O	O	O
suppressive	suppressive	O	O	O	O
effect	effect	O	O	O	O
on	on	O	O	O	O
iNOS	inos	O	O	O	O
expression	expression	O	O	O	O
in	in	O	O	O	O
these	these	O	O	O	O
rat	rat	O	O	O	O
arteritis	arteritis	O	O	OTHERS	I
models	models	O	O	O	O
.	.	O	O	O	O

On	on	O	O	O	O
the	the	O	O	O	O
other	other	O	O	O	O
hand	hand	O	O	O	O
,	,	O	O	O	O
TGF-beta1	tgf-beta1	O	O	O	O
was	was	O	O	O	O
not	not	O	O	O	O
considered	considered	O	O	O	O
to	to	O	O	O	O
have	have	O	O	O	O
a	a	O	O	O	O
suppressive	suppressive	O	O	O	O
effect	effect	O	O	O	O
on	on	O	O	O	O
iNOS	inos	O	O	O	O
expression	expression	O	O	O	O
in	in	O	O	O	O
these	these	O	O	O	O
models	models	O	O	O	O
.	.	O	O	O	O

